_ws.col.cls_time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
,"0.000000000",,"1","76",,,,,,,
,"0.133477000","0.000000000","2","60","10.0.0.2","50636","192.168.178.95","8081","0","0","0"
,"0.137756000","0.004279000","3","60","192.168.178.95","8081","10.0.0.2","50636","0","0","1"
,"0.166996000",,"4","76",,,,,,,
,"0.191019000",,"5","76",,,,,,,
,"0.279110000",,"6","76",,,,,,,
,"0.446441000","0.312964000","7","52","10.0.0.2","50636","192.168.178.95","8081","0","1","1"
,"0.454650000","0.321173000","8","296","192.168.178.95","8081","10.0.0.2","50636","244","1","1"
,"0.454685000","0.321208000","9","296","192.168.178.95","8081","10.0.0.2","50636","244","245","1"
,"0.454736000","0.321259000","10","296","192.168.178.95","8081","10.0.0.2","50636","244","489","1"
,"0.454756000","0.321279000","11","296","192.168.178.95","8081","10.0.0.2","50636","244","733","1"
,"0.454806000","0.321329000","12","296","192.168.178.95","8081","10.0.0.2","50636","244","977","1"
,"0.454825000","0.321348000","13","296","192.168.178.95","8081","10.0.0.2","50636","244","1221","1"
,"0.454874000","0.321397000","14","296","192.168.178.95","8081","10.0.0.2","50636","244","1465","1"
,"0.454895000","0.321418000","15","296","192.168.178.95","8081","10.0.0.2","50636","244","1709","1"
,"0.454982000","0.321505000","16","296","192.168.178.95","8081","10.0.0.2","50636","244","1953","1"
,"0.455001000","0.321524000","17","296","192.168.178.95","8081","10.0.0.2","50636","244","2197","1"
,"0.758683000","0.625206000","18","52","10.0.0.2","50636","192.168.178.95","8081","0","1","245"
,"0.758706000","0.625229000","19","52","10.0.0.2","50636","192.168.178.95","8081","0","1","489"
,"0.758716000","0.625239000","20","52","10.0.0.2","50636","192.168.178.95","8081","0","1","733"
,"0.758725000","0.625248000","21","52","10.0.0.2","50636","192.168.178.95","8081","0","1","977"
,"0.758734000","0.625257000","22","52","10.0.0.2","50636","192.168.178.95","8081","0","1","1221"
,"0.759742000","0.626265000","23","296","192.168.178.95","8081","10.0.0.2","50636","244","2441","1"
,"0.765302000","0.631825000","24","296","192.168.178.95","8081","10.0.0.2","50636","244","2685","1"
,"0.776179000","0.642702000","25","296","192.168.178.95","8081","10.0.0.2","50636","244","2929","1"
,"0.786948000","0.653471000","26","296","192.168.178.95","8081","10.0.0.2","50636","244","3173","1"
,"0.797969000","0.664492000","27","296","192.168.178.95","8081","10.0.0.2","50636","244","3417","1"
,"0.808892000","0.675415000","28","296","192.168.178.95","8081","10.0.0.2","50636","244","3661","1"
,"0.819748000","0.686271000","29","296","192.168.178.95","8081","10.0.0.2","50636","244","3905","1"
,"0.821991000","0.688514000","30","52","10.0.0.2","50636","192.168.178.95","8081","0","1","1465"
,"0.822015000","0.688538000","31","52","10.0.0.2","50636","192.168.178.95","8081","0","1","1709"
,"0.822025000","0.688548000","32","52","10.0.0.2","50636","192.168.178.95","8081","0","1","1953"
,"0.822035000","0.688558000","33","52","10.0.0.2","50636","192.168.178.95","8081","0","1","2197"
,"0.822044000","0.688567000","34","52","10.0.0.2","50636","192.168.178.95","8081","0","1","2441"
,"0.830625000","0.697148000","35","296","192.168.178.95","8081","10.0.0.2","50636","244","4149","1"
,"0.841535000","0.708058000","36","296","192.168.178.95","8081","10.0.0.2","50636","244","4393","1"
,"0.852269000","0.718792000","37","296","192.168.178.95","8081","10.0.0.2","50636","244","4637","1"
,"0.863255000","0.729778000","38","296","192.168.178.95","8081","10.0.0.2","50636","244","4881","1"
,"0.874020000","0.740543000","39","296","192.168.178.95","8081","10.0.0.2","50636","244","5125","1"
,"0.884746000","0.751269000","40","296","192.168.178.95","8081","10.0.0.2","50636","244","5369","1"
,"0.895716000","0.762239000","41","296","192.168.178.95","8081","10.0.0.2","50636","244","5613","1"
,"0.906582000","0.773105000","42","296","192.168.178.95","8081","10.0.0.2","50636","244","5857","1"
,"0.917468000","0.783991000","43","296","192.168.178.95","8081","10.0.0.2","50636","244","6101","1"
,"0.928366000","0.794889000","44","296","192.168.178.95","8081","10.0.0.2","50636","244","6345","1"
,"0.939270000","0.805793000","45","296","192.168.178.95","8081","10.0.0.2","50636","244","6589","1"
,"0.950139000","0.816662000","46","296","192.168.178.95","8081","10.0.0.2","50636","244","6833","1"
,"0.961026000","0.827549000","47","296","192.168.178.95","8081","10.0.0.2","50636","244","7077","1"
,"1.071913000","0.938436000","48","52","10.0.0.2","50636","192.168.178.95","8081","0","1","2685"
,"1.071920000","0.938443000","49","52","10.0.0.2","50636","192.168.178.95","8081","0","1","2929"
,"1.071924000","0.938447000","50","52","10.0.0.2","50636","192.168.178.95","8081","0","1","3417"
,"1.071927000","0.938450000","51","52","10.0.0.2","50636","192.168.178.95","8081","0","1","3661"
,"1.072649000","0.939172000","52","296","192.168.178.95","8081","10.0.0.2","50636","244","7321","1"
,"1.077993000","0.944516000","53","296","192.168.178.95","8081","10.0.0.2","50636","244","7565","1"
,"1.088970000","0.955493000","54","296","192.168.178.95","8081","10.0.0.2","50636","244","7809","1"
,"1.099775000","0.966298000","55","296","192.168.178.95","8081","10.0.0.2","50636","244","8053","1"
,"1.110753000","0.977276000","56","296","192.168.178.95","8081","10.0.0.2","50636","244","8297","1"
,"1.121668000","0.988191000","57","296","192.168.178.95","8081","10.0.0.2","50636","244","8541","1"
,"1.132562000","0.999085000","58","296","192.168.178.95","8081","10.0.0.2","50636","244","8785","1"
,"1.133834000","1.000357000","59","52","10.0.0.2","50636","192.168.178.95","8081","0","1","3905"
,"1.133856000","1.000379000","60","52","10.0.0.2","50636","192.168.178.95","8081","0","1","4149"
,"1.133868000","1.000391000","61","52","10.0.0.2","50636","192.168.178.95","8081","0","1","4637"
,"1.133878000","1.000401000","62","52","10.0.0.2","50636","192.168.178.95","8081","0","1","4881"
,"1.143666000","1.010189000","63","296","192.168.178.95","8081","10.0.0.2","50636","244","9029","1"
