_ws.col.cls_time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
,"0.000000000","0.000000000","1","60","10.0.0.2","59148","192.168.178.95","8081","0","0","0"
,"0.006771000","0.006771000","2","60","192.168.178.95","8081","10.0.0.2","59148","0","0","1"
,"0.311510000","0.311510000","3","52","10.0.0.2","59148","192.168.178.95","8081","0","1","1"
,"0.320261000","0.320261000","4","296","192.168.178.95","8081","10.0.0.2","59148","244","1","1"
,"0.320296000","0.320296000","5","296","192.168.178.95","8081","10.0.0.2","59148","244","245","1"
,"0.320346000","0.320346000","6","296","192.168.178.95","8081","10.0.0.2","59148","244","489","1"
,"0.320361000","0.320361000","7","296","192.168.178.95","8081","10.0.0.2","59148","244","733","1"
,"0.320409000","0.320409000","8","296","192.168.178.95","8081","10.0.0.2","59148","244","977","1"
,"0.320426000","0.320426000","9","296","192.168.178.95","8081","10.0.0.2","59148","244","1221","1"
,"0.320472000","0.320472000","10","296","192.168.178.95","8081","10.0.0.2","59148","244","1465","1"
,"0.320488000","0.320488000","11","296","192.168.178.95","8081","10.0.0.2","59148","244","1709","1"
,"0.320535000","0.320535000","12","296","192.168.178.95","8081","10.0.0.2","59148","244","1953","1"
,"0.320552000","0.320552000","13","296","192.168.178.95","8081","10.0.0.2","59148","244","2197","1"
,"0.529891000",,"14","76",,,,,,,
,"0.529908000",,"15","48",,,,,,,
,"0.530237000",,"16","76",,,,,,,
,"0.530272000",,"17","48",,,,,,,
,"0.532779000",,"18","76",,,,,,,
,"0.532878000",,"19","76",,,,,,,
,"0.560960000",,"20","76",,,,,,,
,"0.625085000","0.625085000","21","52","10.0.0.2","59148","192.168.178.95","8081","0","1","245"
,"0.625108000","0.625108000","22","52","10.0.0.2","59148","192.168.178.95","8081","0","1","489"
,"0.625118000","0.625118000","23","52","10.0.0.2","59148","192.168.178.95","8081","0","1","733"
,"0.625127000","0.625127000","24","52","10.0.0.2","59148","192.168.178.95","8081","0","1","977"
,"0.625136000","0.625136000","25","52","10.0.0.2","59148","192.168.178.95","8081","0","1","1221"
,"0.625770000",,"26","76",,,,,,,
,"0.625976000","0.625976000","27","296","192.168.178.95","8081","10.0.0.2","59148","244","2441","1"
,"0.631561000","0.631561000","28","296","192.168.178.95","8081","10.0.0.2","59148","244","2685","1"
,"0.642371000","0.642371000","29","296","192.168.178.95","8081","10.0.0.2","59148","244","2929","1"
,"0.653332000","0.653332000","30","296","192.168.178.95","8081","10.0.0.2","59148","244","3173","1"
,"0.663998000","0.663998000","31","296","192.168.178.95","8081","10.0.0.2","59148","244","3417","1"
,"0.674810000","0.674810000","32","296","192.168.178.95","8081","10.0.0.2","59148","244","3661","1"
,"0.685683000","0.685683000","33","296","192.168.178.95","8081","10.0.0.2","59148","244","3905","1"
,"0.686184000","0.686184000","34","52","10.0.0.2","59148","192.168.178.95","8081","0","1","1465"
,"0.686195000","0.686195000","35","52","10.0.0.2","59148","192.168.178.95","8081","0","1","1709"
,"0.686200000","0.686200000","36","52","10.0.0.2","59148","192.168.178.95","8081","0","1","1953"
,"0.686204000","0.686204000","37","52","10.0.0.2","59148","192.168.178.95","8081","0","1","2197"
,"0.686209000","0.686209000","38","52","10.0.0.2","59148","192.168.178.95","8081","0","1","2441"
,"0.696601000","0.696601000","39","296","192.168.178.95","8081","10.0.0.2","59148","244","4149","1"
