_ws.col.cls_time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
,"0.000000000","0.000000000","1","60","10.0.0.2","60496","192.168.178.95","8081","0","0","0"
,"0.006275000","0.006275000","2","60","192.168.178.95","8081","10.0.0.2","60496","0","0","1"
,"0.261283000",,"3","76",,,,,,,
,"0.261303000",,"4","48",,,,,,,
,"0.265223000",,"5","76",,,,,,,
,"0.312391000","0.312391000","6","52","10.0.0.2","60496","192.168.178.95","8081","0","1","1"
,"0.320875000","0.320875000","7","296","192.168.178.95","8081","10.0.0.2","60496","244","1","1"
,"0.320910000","0.320910000","8","296","192.168.178.95","8081","10.0.0.2","60496","244","245","1"
,"0.320950000","0.320950000","9","296","192.168.178.95","8081","10.0.0.2","60496","244","489","1"
,"0.320960000","0.320960000","10","296","192.168.178.95","8081","10.0.0.2","60496","244","733","1"
,"0.320997000","0.320997000","11","296","192.168.178.95","8081","10.0.0.2","60496","244","977","1"
,"0.321007000","0.321007000","12","296","192.168.178.95","8081","10.0.0.2","60496","244","1221","1"
,"0.321044000","0.321044000","13","296","192.168.178.95","8081","10.0.0.2","60496","244","1465","1"
,"0.321054000","0.321054000","14","296","192.168.178.95","8081","10.0.0.2","60496","244","1709","1"
,"0.321091000","0.321091000","15","296","192.168.178.95","8081","10.0.0.2","60496","244","1953","1"
,"0.321102000","0.321102000","16","296","192.168.178.95","8081","10.0.0.2","60496","244","2197","1"
,"0.453351000",,"17","76",,,,,,,
,"0.625363000","0.625363000","18","52","10.0.0.2","60496","192.168.178.95","8081","0","1","245"
,"0.625392000","0.625392000","19","52","10.0.0.2","60496","192.168.178.95","8081","0","1","977"
,"0.625403000","0.625403000","20","52","10.0.0.2","60496","192.168.178.95","8081","0","1","1221"
,"0.626422000","0.626422000","21","296","192.168.178.95","8081","10.0.0.2","60496","244","2441","1"
,"0.626458000","0.626458000","22","296","192.168.178.95","8081","10.0.0.2","60496","244","2685","1"
,"0.626498000","0.626498000","23","296","192.168.178.95","8081","10.0.0.2","60496","244","2929","1"
,"0.626508000","0.626508000","24","296","192.168.178.95","8081","10.0.0.2","60496","244","3173","1"
,"0.626545000","0.626545000","25","296","192.168.178.95","8081","10.0.0.2","60496","244","3417","1"
,"0.626555000","0.626555000","26","296","192.168.178.95","8081","10.0.0.2","60496","244","3661","1"
,"0.626592000","0.626592000","27","296","192.168.178.95","8081","10.0.0.2","60496","244","3905","1"
,"0.626602000","0.626602000","28","296","192.168.178.95","8081","10.0.0.2","60496","244","4149","1"
,"0.626639000","0.626639000","29","296","192.168.178.95","8081","10.0.0.2","60496","244","4393","1"
,"0.626649000","0.626649000","30","296","192.168.178.95","8081","10.0.0.2","60496","244","4637","1"
,"0.645865000",,"31","76",,,,,,,
,"0.645893000",,"32","48",,,,,,,
,"0.648353000",,"33","76",,,,,,,
,"0.687689000","0.687689000","34","52","10.0.0.2","60496","192.168.178.95","8081","0","1","1465"
,"0.687698000","0.687698000","35","52","10.0.0.2","60496","192.168.178.95","8081","0","1","1709"
,"0.687701000","0.687701000","36","52","10.0.0.2","60496","192.168.178.95","8081","0","1","1953"
,"0.687704000","0.687704000","37","52","10.0.0.2","60496","192.168.178.95","8081","0","1","2197"
,"0.687708000","0.687708000","38","52","10.0.0.2","60496","192.168.178.95","8081","0","1","2441"
,"0.688581000","0.688581000","39","296","192.168.178.95","8081","10.0.0.2","60496","244","4881","1"
,"0.688594000","0.688594000","40","296","192.168.178.95","8081","10.0.0.2","60496","244","5125","1"
,"0.688607000","0.688607000","41","296","192.168.178.95","8081","10.0.0.2","60496","244","5369","1"
,"0.688610000","0.688610000","42","296","192.168.178.95","8081","10.0.0.2","60496","244","5613","1"
,"0.688622000","0.688622000","43","296","192.168.178.95","8081","10.0.0.2","60496","244","5857","1"
,"0.688626000","0.688626000","44","296","192.168.178.95","8081","10.0.0.2","60496","244","6101","1"
,"0.688637000","0.688637000","45","296","192.168.178.95","8081","10.0.0.2","60496","244","6345","1"
,"0.688641000","0.688641000","46","296","192.168.178.95","8081","10.0.0.2","60496","244","6589","1"
,"0.688653000","0.688653000","47","296","192.168.178.95","8081","10.0.0.2","60496","244","6833","1"
,"0.688656000","0.688656000","48","296","192.168.178.95","8081","10.0.0.2","60496","244","7077","1"
,"0.902242000",,"49","76",,,,,,,
,"0.937473000","0.937473000","50","52","10.0.0.2","60496","192.168.178.95","8081","0","1","2685"
,"0.937498000","0.937498000","51","52","10.0.0.2","60496","192.168.178.95","8081","0","1","2929"
,"0.937507000","0.937507000","52","52","10.0.0.2","60496","192.168.178.95","8081","0","1","3173"
,"0.937516000","0.937516000","53","52","10.0.0.2","60496","192.168.178.95","8081","0","1","3417"
,"0.937525000","0.937525000","54","52","10.0.0.2","60496","192.168.178.95","8081","0","1","3661"
,"0.938587000","0.938587000","55","296","192.168.178.95","8081","10.0.0.2","60496","244","7321","1"
,"0.938619000","0.938619000","56","296","192.168.178.95","8081","10.0.0.2","60496","244","7565","1"
,"0.938655000","0.938655000","57","296","192.168.178.95","8081","10.0.0.2","60496","244","7809","1"
,"0.938664000","0.938664000","58","296","192.168.178.95","8081","10.0.0.2","60496","244","8053","1"
,"0.938696000","0.938696000","59","296","192.168.178.95","8081","10.0.0.2","60496","244","8297","1"
,"0.938706000","0.938706000","60","296","192.168.178.95","8081","10.0.0.2","60496","244","8541","1"
,"0.938740000","0.938740000","61","296","192.168.178.95","8081","10.0.0.2","60496","244","8785","1"
,"0.938749000","0.938749000","62","296","192.168.178.95","8081","10.0.0.2","60496","244","9029","1"
,"0.938783000","0.938783000","63","296","192.168.178.95","8081","10.0.0.2","60496","244","9273","1"
,"0.938792000","0.938792000","64","296","192.168.178.95","8081","10.0.0.2","60496","244","9517","1"
,"1.000691000","1.000691000","65","52","10.0.0.2","60496","192.168.178.95","8081","0","1","3905"
,"1.000716000","1.000716000","66","52","10.0.0.2","60496","192.168.178.95","8081","0","1","4149"
,"1.000726000","1.000726000","67","52","10.0.0.2","60496","192.168.178.95","8081","0","1","4393"
,"1.000735000","1.000735000","68","52","10.0.0.2","60496","192.168.178.95","8081","0","1","4881"
,"1.001789000","1.001789000","69","296","192.168.178.95","8081","10.0.0.2","60496","244","9761","1"
,"1.001823000","1.001823000","70","296","192.168.178.95","8081","10.0.0.2","60496","244","10005","1"
,"1.001862000","1.001862000","71","296","192.168.178.95","8081","10.0.0.2","60496","244","10249","1"
,"1.001872000","1.001872000","72","296","192.168.178.95","8081","10.0.0.2","60496","244","10493","1"
,"1.001907000","1.001907000","73","296","192.168.178.95","8081","10.0.0.2","60496","244","10737","1"
,"1.001917000","1.001917000","74","296","192.168.178.95","8081","10.0.0.2","60496","244","10981","1"
,"1.001954000","1.001954000","75","296","192.168.178.95","8081","10.0.0.2","60496","244","11225","1"
,"1.001964000","1.001964000","76","296","192.168.178.95","8081","10.0.0.2","60496","244","11469","1"
,"1.002000000","1.002000000","77","296","192.168.178.95","8081","10.0.0.2","60496","244","11713","1"
,"1.002010000","1.002010000","78","296","192.168.178.95","8081","10.0.0.2","60496","244","11957","1"
,"1.062363000","1.062363000","79","52","10.0.0.2","60496","192.168.178.95","8081","0","1","6101"
,"1.063273000","1.063273000","80","296","192.168.178.95","8081","10.0.0.2","60496","244","12201","1"
,"1.063304000","1.063304000","81","296","192.168.178.95","8081","10.0.0.2","60496","244","12445","1"
,"1.063342000","1.063342000","82","296","192.168.178.95","8081","10.0.0.2","60496","244","12689","1"
,"1.063353000","1.063353000","83","296","192.168.178.95","8081","10.0.0.2","60496","244","12933","1"
,"1.063389000","1.063389000","84","296","192.168.178.95","8081","10.0.0.2","60496","244","13177","1"
,"1.063400000","1.063400000","85","296","192.168.178.95","8081","10.0.0.2","60496","244","13421","1"
,"1.063436000","1.063436000","86","296","192.168.178.95","8081","10.0.0.2","60496","244","13665","1"
,"1.063446000","1.063446000","87","296","192.168.178.95","8081","10.0.0.2","60496","244","13909","1"
,"1.063484000","1.063484000","88","296","192.168.178.95","8081","10.0.0.2","60496","244","14153","1"
,"1.063493000","1.063493000","89","296","192.168.178.95","8081","10.0.0.2","60496","244","14397","1"
,"1.125576000","1.125576000","90","52","10.0.0.2","60496","192.168.178.95","8081","0","1","7321"
,"1.126712000","1.126712000","91","296","192.168.178.95","8081","10.0.0.2","60496","244","14641","1"
,"1.126746000","1.126746000","92","296","192.168.178.95","8081","10.0.0.2","60496","244","14885","1"
,"1.126785000","1.126785000","93","296","192.168.178.95","8081","10.0.0.2","60496","244","15129","1"
,"1.126795000","1.126795000","94","296","192.168.178.95","8081","10.0.0.2","60496","244","15373","1"
,"1.126831000","1.126831000","95","296","192.168.178.95","8081","10.0.0.2","60496","244","15617","1"
,"1.126841000","1.126841000","96","296","192.168.178.95","8081","10.0.0.2","60496","244","15861","1"
,"1.126878000","1.126878000","97","296","192.168.178.95","8081","10.0.0.2","60496","244","16105","1"
,"1.126888000","1.126888000","98","296","192.168.178.95","8081","10.0.0.2","60496","244","16349","1"
,"1.126924000","1.126924000","99","296","192.168.178.95","8081","10.0.0.2","60496","244","16593","1"
,"1.126934000","1.126934000","100","296","192.168.178.95","8081","10.0.0.2","60496","244","16837","1"
,"1.250196000","1.250196000","101","52","10.0.0.2","60496","192.168.178.95","8081","0","1","8541"
,"1.251245000","1.251245000","102","296","192.168.178.95","8081","10.0.0.2","60496","244","17081","1"
,"1.251277000","1.251277000","103","296","192.168.178.95","8081","10.0.0.2","60496","244","17325","1"
,"1.251313000","1.251313000","104","296","192.168.178.95","8081","10.0.0.2","60496","244","17569","1"
,"1.251322000","1.251322000","105","296","192.168.178.95","8081","10.0.0.2","60496","244","17813","1"
,"1.251356000","1.251356000","106","296","192.168.178.95","8081","10.0.0.2","60496","244","18057","1"
,"1.251365000","1.251365000","107","296","192.168.178.95","8081","10.0.0.2","60496","244","18301","1"
,"1.251398000","1.251398000","108","296","192.168.178.95","8081","10.0.0.2","60496","244","18545","1"
,"1.251408000","1.251408000","109","296","192.168.178.95","8081","10.0.0.2","60496","244","18789","1"
,"1.251443000","1.251443000","110","296","192.168.178.95","8081","10.0.0.2","60496","244","19033","1"
,"1.251452000","1.251452000","111","296","192.168.178.95","8081","10.0.0.2","60496","244","19277","1"
,"1.285375000",,"112","76",,,,,,,
,"1.311794000","1.311794000","113","52","10.0.0.2","60496","192.168.178.95","8081","0","1","8785"
,"1.311820000","1.311820000","114","52","10.0.0.2","60496","192.168.178.95","8081","0","1","9761"
,"1.312742000","1.312742000","115","296","192.168.178.95","8081","10.0.0.2","60496","244","19521","1"
,"1.312789000","1.312789000","116","296","192.168.178.95","8081","10.0.0.2","60496","244","19765","1"
,"1.312839000","1.312839000","117","296","192.168.178.95","8081","10.0.0.2","60496","244","20009","1"
,"1.312851000","1.312851000","118","296","192.168.178.95","8081","10.0.0.2","60496","244","20253","1"
,"1.312888000","1.312888000","119","296","192.168.178.95","8081","10.0.0.2","60496","244","20497","1"
,"1.312898000","1.312898000","120","296","192.168.178.95","8081","10.0.0.2","60496","244","20741","1"
,"1.312936000","1.312936000","121","296","192.168.178.95","8081","10.0.0.2","60496","244","20985","1"
,"1.312946000","1.312946000","122","296","192.168.178.95","8081","10.0.0.2","60496","244","21229","1"
,"1.312983000","1.312983000","123","296","192.168.178.95","8081","10.0.0.2","60496","244","21473","1"
,"1.312995000","1.312995000","124","296","192.168.178.95","8081","10.0.0.2","60496","244","21717","1"
,"1.375452000","1.375452000","125","52","10.0.0.2","60496","192.168.178.95","8081","0","1","10981"
,"1.376545000","1.376545000","126","296","192.168.178.95","8081","10.0.0.2","60496","244","21961","1"
,"1.376579000","1.376579000","127","296","192.168.178.95","8081","10.0.0.2","60496","244","22205","1"
,"1.376618000","1.376618000","128","296","192.168.178.95","8081","10.0.0.2","60496","244","22449","1"
,"1.376628000","1.376628000","129","296","192.168.178.95","8081","10.0.0.2","60496","244","22693","1"
,"1.376663000","1.376663000","130","296","192.168.178.95","8081","10.0.0.2","60496","244","22937","1"
,"1.376674000","1.376674000","131","296","192.168.178.95","8081","10.0.0.2","60496","244","23181","1"
,"1.376708000","1.376708000","132","296","192.168.178.95","8081","10.0.0.2","60496","244","23425","1"
,"1.376719000","1.376719000","133","296","192.168.178.95","8081","10.0.0.2","60496","244","23669","1"
,"1.376757000","1.376757000","134","296","192.168.178.95","8081","10.0.0.2","60496","244","23913","1"
,"1.376767000","1.376767000","135","296","192.168.178.95","8081","10.0.0.2","60496","244","24157","1"
,"1.413293000",,"136","76",,,,,,,
,"1.437084000","1.437084000","137","52","10.0.0.2","60496","192.168.178.95","8081","0","1","12201"
,"1.438045000","1.438045000","138","296","192.168.178.95","8081","10.0.0.2","60496","244","24401","1"
,"1.438076000","1.438076000","139","296","192.168.178.95","8081","10.0.0.2","60496","244","24645","1"
,"1.438113000","1.438113000","140","296","192.168.178.95","8081","10.0.0.2","60496","244","24889","1"
,"1.438123000","1.438123000","141","296","192.168.178.95","8081","10.0.0.2","60496","244","25133","1"
,"1.438179000","1.438179000","142","296","192.168.178.95","8081","10.0.0.2","60496","244","25377","1"
,"1.438190000","1.438190000","143","296","192.168.178.95","8081","10.0.0.2","60496","244","25621","1"
,"1.438223000","1.438223000","144","296","192.168.178.95","8081","10.0.0.2","60496","244","25865","1"
