_ws.col.cls_time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
,"0.000000000","0.000000000","1","60","10.0.0.2","38204","192.168.178.95","8081","0","0","0"
,"0.004587000","0.004587000","2","60","192.168.178.95","8081","10.0.0.2","38204","0","0","1"
,"0.067061000",,"3","76",,,,,,,
,"0.311875000","0.311875000","4","52","10.0.0.2","38204","192.168.178.95","8081","0","1","1"
,"0.319580000","0.319580000","5","296","192.168.178.95","8081","10.0.0.2","38204","244","1","1"
,"0.319609000","0.319609000","6","296","192.168.178.95","8081","10.0.0.2","38204","244","245","1"
,"0.319648000","0.319648000","7","296","192.168.178.95","8081","10.0.0.2","38204","244","489","1"
,"0.319658000","0.319658000","8","296","192.168.178.95","8081","10.0.0.2","38204","244","733","1"
,"0.319694000","0.319694000","9","296","192.168.178.95","8081","10.0.0.2","38204","244","977","1"
,"0.319705000","0.319705000","10","296","192.168.178.95","8081","10.0.0.2","38204","244","1221","1"
,"0.319739000","0.319739000","11","296","192.168.178.95","8081","10.0.0.2","38204","244","1465","1"
,"0.319750000","0.319750000","12","296","192.168.178.95","8081","10.0.0.2","38204","244","1709","1"
,"0.319785000","0.319785000","13","296","192.168.178.95","8081","10.0.0.2","38204","244","1953","1"
,"0.319795000","0.319795000","14","296","192.168.178.95","8081","10.0.0.2","38204","244","2197","1"
,"0.625250000","0.625250000","15","52","10.0.0.2","38204","192.168.178.95","8081","0","1","245"
,"0.625279000","0.625279000","16","52","10.0.0.2","38204","192.168.178.95","8081","0","1","489"
,"0.625295000","0.625295000","17","52","10.0.0.2","38204","192.168.178.95","8081","0","1","733"
,"0.625311000","0.625311000","18","52","10.0.0.2","38204","192.168.178.95","8081","0","1","977"
,"0.625324000","0.625324000","19","52","10.0.0.2","38204","192.168.178.95","8081","0","1","1221"
,"0.626136000","0.626136000","20","296","192.168.178.95","8081","10.0.0.2","38204","244","2441","1"
,"0.626166000","0.626166000","21","296","192.168.178.95","8081","10.0.0.2","38204","244","2685","1"
,"0.626211000","0.626211000","22","296","192.168.178.95","8081","10.0.0.2","38204","244","2929","1"
,"0.626223000","0.626223000","23","296","192.168.178.95","8081","10.0.0.2","38204","244","3173","1"
,"0.626259000","0.626259000","24","296","192.168.178.95","8081","10.0.0.2","38204","244","3417","1"
,"0.626270000","0.626270000","25","296","192.168.178.95","8081","10.0.0.2","38204","244","3661","1"
,"0.626305000","0.626305000","26","296","192.168.178.95","8081","10.0.0.2","38204","244","3905","1"
,"0.626316000","0.626316000","27","296","192.168.178.95","8081","10.0.0.2","38204","244","4149","1"
,"0.626352000","0.626352000","28","296","192.168.178.95","8081","10.0.0.2","38204","244","4393","1"
,"0.626364000","0.626364000","29","296","192.168.178.95","8081","10.0.0.2","38204","244","4637","1"
,"0.651081000",,"30","76",,,,,,,
,"0.651099000",,"31","48",,,,,,,
,"0.653931000",,"32","76",,,,,,,
,"0.686438000","0.686438000","33","52","10.0.0.2","38204","192.168.178.95","8081","0","1","1465"
,"0.686448000","0.686448000","34","52","10.0.0.2","38204","192.168.178.95","8081","0","1","1709"
,"0.686453000","0.686453000","35","52","10.0.0.2","38204","192.168.178.95","8081","0","1","1953"
,"0.686458000","0.686458000","36","52","10.0.0.2","38204","192.168.178.95","8081","0","1","2197"
,"0.686462000","0.686462000","37","52","10.0.0.2","38204","192.168.178.95","8081","0","1","2441"
,"0.687305000","0.687305000","38","296","192.168.178.95","8081","10.0.0.2","38204","244","4881","1"
,"0.687318000","0.687318000","39","296","192.168.178.95","8081","10.0.0.2","38204","244","5125","1"
,"0.687332000","0.687332000","40","296","192.168.178.95","8081","10.0.0.2","38204","244","5369","1"
,"0.687336000","0.687336000","41","296","192.168.178.95","8081","10.0.0.2","38204","244","5613","1"
,"0.687347000","0.687347000","42","296","192.168.178.95","8081","10.0.0.2","38204","244","5857","1"
,"0.687350000","0.687350000","43","296","192.168.178.95","8081","10.0.0.2","38204","244","6101","1"
,"0.687361000","0.687361000","44","296","192.168.178.95","8081","10.0.0.2","38204","244","6345","1"
,"0.687365000","0.687365000","45","296","192.168.178.95","8081","10.0.0.2","38204","244","6589","1"
,"0.687376000","0.687376000","46","296","192.168.178.95","8081","10.0.0.2","38204","244","6833","1"
