_ws.col.cls_time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
,"0.000000000","0.000000000","1","60","10.0.0.2","44064","192.168.178.95","8081","0","0","0"
,"0.006410000","0.006410000","2","60","192.168.178.95","8081","10.0.0.2","44064","0","0","1"
,"0.187740000","0.187740000","3","52","10.0.0.2","44064","192.168.178.95","8081","0","1","1"
,"0.195954000","0.195954000","4","296","192.168.178.95","8081","10.0.0.2","44064","244","1","1"
,"0.195986000","0.195986000","5","296","192.168.178.95","8081","10.0.0.2","44064","244","245","1"
,"0.196022000","0.196022000","6","296","192.168.178.95","8081","10.0.0.2","44064","244","489","1"
,"0.196031000","0.196031000","7","296","192.168.178.95","8081","10.0.0.2","44064","244","733","1"
,"0.196062000","0.196062000","8","296","192.168.178.95","8081","10.0.0.2","44064","244","977","1"
,"0.196072000","0.196072000","9","296","192.168.178.95","8081","10.0.0.2","44064","244","1221","1"
,"0.196104000","0.196104000","10","296","192.168.178.95","8081","10.0.0.2","44064","244","1465","1"
,"0.196114000","0.196114000","11","296","192.168.178.95","8081","10.0.0.2","44064","244","1709","1"
,"0.196145000","0.196145000","12","296","192.168.178.95","8081","10.0.0.2","44064","244","1953","1"
,"0.196170000","0.196170000","13","296","192.168.178.95","8081","10.0.0.2","44064","244","2197","1"
,"0.374786000","0.374786000","14","52","10.0.0.2","44064","192.168.178.95","8081","0","1","245"
,"0.374811000","0.374811000","15","52","10.0.0.2","44064","192.168.178.95","8081","0","1","489"
,"0.374821000","0.374821000","16","52","10.0.0.2","44064","192.168.178.95","8081","0","1","733"
,"0.374831000","0.374831000","17","52","10.0.0.2","44064","192.168.178.95","8081","0","1","977"
,"0.374874000","0.374874000","18","52","10.0.0.2","44064","192.168.178.95","8081","0","1","1221"
,"0.375967000","0.375967000","19","296","192.168.178.95","8081","10.0.0.2","44064","244","2441","1"
,"0.376002000","0.376002000","20","296","192.168.178.95","8081","10.0.0.2","44064","244","2685","1"
,"0.376039000","0.376039000","21","296","192.168.178.95","8081","10.0.0.2","44064","244","2929","1"
,"0.376050000","0.376050000","22","296","192.168.178.95","8081","10.0.0.2","44064","244","3173","1"
,"0.376085000","0.376085000","23","296","192.168.178.95","8081","10.0.0.2","44064","244","3417","1"
,"0.376095000","0.376095000","24","296","192.168.178.95","8081","10.0.0.2","44064","244","3661","1"
,"0.376129000","0.376129000","25","296","192.168.178.95","8081","10.0.0.2","44064","244","3905","1"
,"0.376139000","0.376139000","26","296","192.168.178.95","8081","10.0.0.2","44064","244","4149","1"
,"0.376174000","0.376174000","27","296","192.168.178.95","8081","10.0.0.2","44064","244","4393","1"
,"0.376184000","0.376184000","28","296","192.168.178.95","8081","10.0.0.2","44064","244","4637","1"
,"0.438272000","0.438272000","29","52","10.0.0.2","44064","192.168.178.95","8081","0","1","1465"
,"0.438296000","0.438296000","30","52","10.0.0.2","44064","192.168.178.95","8081","0","1","1709"
,"0.438306000","0.438306000","31","52","10.0.0.2","44064","192.168.178.95","8081","0","1","1953"
,"0.438316000","0.438316000","32","52","10.0.0.2","44064","192.168.178.95","8081","0","1","2197"
,"0.438325000","0.438325000","33","52","10.0.0.2","44064","192.168.178.95","8081","0","1","2441"
,"0.439503000","0.439503000","34","296","192.168.178.95","8081","10.0.0.2","44064","244","4881","1"
,"0.439538000","0.439538000","35","296","192.168.178.95","8081","10.0.0.2","44064","244","5125","1"
,"0.439576000","0.439576000","36","296","192.168.178.95","8081","10.0.0.2","44064","244","5369","1"
,"0.439586000","0.439586000","37","296","192.168.178.95","8081","10.0.0.2","44064","244","5613","1"
,"0.439621000","0.439621000","38","296","192.168.178.95","8081","10.0.0.2","44064","244","5857","1"
,"0.439632000","0.439632000","39","296","192.168.178.95","8081","10.0.0.2","44064","244","6101","1"
,"0.439666000","0.439666000","40","296","192.168.178.95","8081","10.0.0.2","44064","244","6345","1"
,"0.439676000","0.439676000","41","296","192.168.178.95","8081","10.0.0.2","44064","244","6589","1"
,"0.439710000","0.439710000","42","296","192.168.178.95","8081","10.0.0.2","44064","244","6833","1"
,"0.439720000","0.439720000","43","296","192.168.178.95","8081","10.0.0.2","44064","244","7077","1"
,"0.563155000","0.563155000","44","52","10.0.0.2","44064","192.168.178.95","8081","0","1","2685"
,"0.563176000","0.563176000","45","52","10.0.0.2","44064","192.168.178.95","8081","0","1","2929"
,"0.563185000","0.563185000","46","52","10.0.0.2","44064","192.168.178.95","8081","0","1","3173"
,"0.563195000","0.563195000","47","52","10.0.0.2","44064","192.168.178.95","8081","0","1","3417"
,"0.563205000","0.563205000","48","52","10.0.0.2","44064","192.168.178.95","8081","0","1","3661"
,"0.564105000","0.564105000","49","296","192.168.178.95","8081","10.0.0.2","44064","244","7321","1"
,"0.564137000","0.564137000","50","296","192.168.178.95","8081","10.0.0.2","44064","244","7565","1"
,"0.564176000","0.564176000","51","296","192.168.178.95","8081","10.0.0.2","44064","244","7809","1"
,"0.564186000","0.564186000","52","296","192.168.178.95","8081","10.0.0.2","44064","244","8053","1"
,"0.564222000","0.564222000","53","296","192.168.178.95","8081","10.0.0.2","44064","244","8297","1"
,"0.564233000","0.564233000","54","296","192.168.178.95","8081","10.0.0.2","44064","244","8541","1"
,"0.564269000","0.564269000","55","296","192.168.178.95","8081","10.0.0.2","44064","244","8785","1"
,"0.564279000","0.564279000","56","296","192.168.178.95","8081","10.0.0.2","44064","244","9029","1"
,"0.564315000","0.564315000","57","296","192.168.178.95","8081","10.0.0.2","44064","244","9273","1"
,"0.564326000","0.564326000","58","296","192.168.178.95","8081","10.0.0.2","44064","244","9517","1"
,"0.576071000",,"59","76",,,,,,,
,"0.576110000",,"60","48",,,,,,,
,"0.578948000",,"61","76",,,,,,,
,"0.625041000","0.625041000","62","52","10.0.0.2","44064","192.168.178.95","8081","0","1","3905"
,"0.625064000","0.625064000","63","52","10.0.0.2","44064","192.168.178.95","8081","0","1","4881"
,"0.626195000","0.626195000","64","296","192.168.178.95","8081","10.0.0.2","44064","244","9761","1"
,"0.626230000","0.626230000","65","296","192.168.178.95","8081","10.0.0.2","44064","244","10005","1"
,"0.626268000","0.626268000","66","296","192.168.178.95","8081","10.0.0.2","44064","244","10249","1"
,"0.626278000","0.626278000","67","296","192.168.178.95","8081","10.0.0.2","44064","244","10493","1"
,"0.626312000","0.626312000","68","296","192.168.178.95","8081","10.0.0.2","44064","244","10737","1"
,"0.626323000","0.626323000","69","296","192.168.178.95","8081","10.0.0.2","44064","244","10981","1"
,"0.626357000","0.626357000","70","296","192.168.178.95","8081","10.0.0.2","44064","244","11225","1"
,"0.626367000","0.626367000","71","296","192.168.178.95","8081","10.0.0.2","44064","244","11469","1"
,"0.626402000","0.626402000","72","296","192.168.178.95","8081","10.0.0.2","44064","244","11713","1"
,"0.626412000","0.626412000","73","296","192.168.178.95","8081","10.0.0.2","44064","244","11957","1"
,"0.687736000","0.687736000","74","52","10.0.0.2","44064","192.168.178.95","8081","0","1","6101"
,"0.688742000","0.688742000","75","296","192.168.178.95","8081","10.0.0.2","44064","244","12201","1"
,"0.688774000","0.688774000","76","296","192.168.178.95","8081","10.0.0.2","44064","244","12445","1"
,"0.688813000","0.688813000","77","296","192.168.178.95","8081","10.0.0.2","44064","244","12689","1"
,"0.688824000","0.688824000","78","296","192.168.178.95","8081","10.0.0.2","44064","244","12933","1"
,"0.688885000","0.688885000","79","296","192.168.178.95","8081","10.0.0.2","44064","244","13177","1"
,"0.688899000","0.688899000","80","296","192.168.178.95","8081","10.0.0.2","44064","244","13421","1"
,"0.688934000","0.688934000","81","296","192.168.178.95","8081","10.0.0.2","44064","244","13665","1"
,"0.688946000","0.688946000","82","296","192.168.178.95","8081","10.0.0.2","44064","244","13909","1"
,"0.688981000","0.688981000","83","296","192.168.178.95","8081","10.0.0.2","44064","244","14153","1"
,"0.688993000","0.688993000","84","296","192.168.178.95","8081","10.0.0.2","44064","244","14397","1"
,"0.750079000","0.750079000","85","52","10.0.0.2","44064","192.168.178.95","8081","0","1","7321"
,"0.750806000","0.750806000","86","296","192.168.178.95","8081","10.0.0.2","44064","244","14641","1"
,"0.750816000","0.750816000","87","296","192.168.178.95","8081","10.0.0.2","44064","244","14885","1"
,"0.750827000","0.750827000","88","296","192.168.178.95","8081","10.0.0.2","44064","244","15129","1"
,"0.750831000","0.750831000","89","296","192.168.178.95","8081","10.0.0.2","44064","244","15373","1"
