_ws.col.cls_time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
,"0.000000000","0.000000000","1","60","10.0.0.2","47418","192.168.178.95","8081","0","0","0"
,"0.003824000","0.003824000","2","60","192.168.178.95","8081","10.0.0.2","47418","0","0","1"
,"0.187271000","0.187271000","3","52","10.0.0.2","47418","192.168.178.95","8081","0","1","1"
,"0.194671000","0.194671000","4","296","192.168.178.95","8081","10.0.0.2","47418","244","1","1"
,"0.194707000","0.194707000","5","296","192.168.178.95","8081","10.0.0.2","47418","244","245","1"
,"0.194747000","0.194747000","6","296","192.168.178.95","8081","10.0.0.2","47418","244","489","1"
,"0.194757000","0.194757000","7","296","192.168.178.95","8081","10.0.0.2","47418","244","733","1"
,"0.194792000","0.194792000","8","296","192.168.178.95","8081","10.0.0.2","47418","244","977","1"
,"0.194802000","0.194802000","9","296","192.168.178.95","8081","10.0.0.2","47418","244","1221","1"
,"0.194837000","0.194837000","10","296","192.168.178.95","8081","10.0.0.2","47418","244","1465","1"
,"0.194847000","0.194847000","11","296","192.168.178.95","8081","10.0.0.2","47418","244","1709","1"
,"0.194882000","0.194882000","12","296","192.168.178.95","8081","10.0.0.2","47418","244","1953","1"
,"0.194893000","0.194893000","13","296","192.168.178.95","8081","10.0.0.2","47418","244","2197","1"
,"0.375730000","0.375730000","14","52","10.0.0.2","47418","192.168.178.95","8081","0","1","245"
,"0.375750000","0.375750000","15","52","10.0.0.2","47418","192.168.178.95","8081","0","1","489"
,"0.375760000","0.375760000","16","52","10.0.0.2","47418","192.168.178.95","8081","0","1","733"
,"0.375770000","0.375770000","17","52","10.0.0.2","47418","192.168.178.95","8081","0","1","977"
,"0.375780000","0.375780000","18","52","10.0.0.2","47418","192.168.178.95","8081","0","1","1221"
,"0.376848000","0.376848000","19","296","192.168.178.95","8081","10.0.0.2","47418","244","2441","1"
,"0.376883000","0.376883000","20","296","192.168.178.95","8081","10.0.0.2","47418","244","2685","1"
,"0.376923000","0.376923000","21","296","192.168.178.95","8081","10.0.0.2","47418","244","2929","1"
,"0.376933000","0.376933000","22","296","192.168.178.95","8081","10.0.0.2","47418","244","3173","1"
,"0.376968000","0.376968000","23","296","192.168.178.95","8081","10.0.0.2","47418","244","3417","1"
,"0.376979000","0.376979000","24","296","192.168.178.95","8081","10.0.0.2","47418","244","3661","1"
,"0.377014000","0.377014000","25","296","192.168.178.95","8081","10.0.0.2","47418","244","3905","1"
,"0.377025000","0.377025000","26","296","192.168.178.95","8081","10.0.0.2","47418","244","4149","1"
,"0.377060000","0.377060000","27","296","192.168.178.95","8081","10.0.0.2","47418","244","4393","1"
,"0.377072000","0.377072000","28","296","192.168.178.95","8081","10.0.0.2","47418","244","4637","1"
,"0.437682000","0.437682000","29","52","10.0.0.2","47418","192.168.178.95","8081","0","1","1465"
,"0.437704000","0.437704000","30","52","10.0.0.2","47418","192.168.178.95","8081","0","1","1709"
,"0.437715000","0.437715000","31","52","10.0.0.2","47418","192.168.178.95","8081","0","1","1953"
,"0.437724000","0.437724000","32","52","10.0.0.2","47418","192.168.178.95","8081","0","1","2197"
,"0.437734000","0.437734000","33","52","10.0.0.2","47418","192.168.178.95","8081","0","1","2441"
,"0.438656000","0.438656000","34","296","192.168.178.95","8081","10.0.0.2","47418","244","4881","1"
,"0.438688000","0.438688000","35","296","192.168.178.95","8081","10.0.0.2","47418","244","5125","1"
,"0.438727000","0.438727000","36","296","192.168.178.95","8081","10.0.0.2","47418","244","5369","1"
