_ws.col.cls_time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
,"0.000000000","0.000000000","1","60","10.0.0.2","39532","192.168.178.95","8081","0","0","0"
,"0.004471000","0.004471000","2","60","192.168.178.95","8081","10.0.0.2","39532","0","0","1"
,"0.193795000",,"3","76",,,,,,,
,"0.312507000","0.312507000","4","52","10.0.0.2","39532","192.168.178.95","8081","0","1","1"
,"0.320787000","0.320787000","5","296","192.168.178.95","8081","10.0.0.2","39532","244","1","1"
,"0.320818000","0.320818000","6","296","192.168.178.95","8081","10.0.0.2","39532","244","245","1"
,"0.320859000","0.320859000","7","296","192.168.178.95","8081","10.0.0.2","39532","244","489","1"
,"0.320871000","0.320871000","8","296","192.168.178.95","8081","10.0.0.2","39532","244","733","1"
,"0.320907000","0.320907000","9","296","192.168.178.95","8081","10.0.0.2","39532","244","977","1"
,"0.320919000","0.320919000","10","296","192.168.178.95","8081","10.0.0.2","39532","244","1221","1"
,"0.320954000","0.320954000","11","296","192.168.178.95","8081","10.0.0.2","39532","244","1465","1"
,"0.320966000","0.320966000","12","296","192.168.178.95","8081","10.0.0.2","39532","244","1709","1"
,"0.321001000","0.321001000","13","296","192.168.178.95","8081","10.0.0.2","39532","244","1953","1"
,"0.321022000","0.321022000","14","296","192.168.178.95","8081","10.0.0.2","39532","244","2197","1"
,"0.465835000",,"15","76",,,,,,,
,"0.529789000",,"16","76",,,,,,,
,"0.529813000",,"17","48",,,,,,,
,"0.532655000",,"18","76",,,,,,,
,"0.624968000","0.624968000","19","52","10.0.0.2","39532","192.168.178.95","8081","0","1","245"
,"0.624994000","0.624994000","20","52","10.0.0.2","39532","192.168.178.95","8081","0","1","489"
,"0.625004000","0.625004000","21","52","10.0.0.2","39532","192.168.178.95","8081","0","1","733"
,"0.625014000","0.625014000","22","52","10.0.0.2","39532","192.168.178.95","8081","0","1","977"
,"0.625024000","0.625024000","23","52","10.0.0.2","39532","192.168.178.95","8081","0","1","1221"
,"0.626030000","0.626030000","24","296","192.168.178.95","8081","10.0.0.2","39532","244","2441","1"
,"0.626064000","0.626064000","25","296","192.168.178.95","8081","10.0.0.2","39532","244","2685","1"
,"0.626104000","0.626104000","26","296","192.168.178.95","8081","10.0.0.2","39532","244","2929","1"
,"0.626114000","0.626114000","27","296","192.168.178.95","8081","10.0.0.2","39532","244","3173","1"
,"0.626149000","0.626149000","28","296","192.168.178.95","8081","10.0.0.2","39532","244","3417","1"
,"0.626160000","0.626160000","29","296","192.168.178.95","8081","10.0.0.2","39532","244","3661","1"
,"0.626193000","0.626193000","30","296","192.168.178.95","8081","10.0.0.2","39532","244","3905","1"
,"0.626204000","0.626204000","31","296","192.168.178.95","8081","10.0.0.2","39532","244","4149","1"
,"0.626238000","0.626238000","32","296","192.168.178.95","8081","10.0.0.2","39532","244","4393","1"
,"0.626249000","0.626249000","33","296","192.168.178.95","8081","10.0.0.2","39532","244","4637","1"
,"0.687171000","0.687171000","34","52","10.0.0.2","39532","192.168.178.95","8081","0","1","1465"
,"0.687195000","0.687195000","35","52","10.0.0.2","39532","192.168.178.95","8081","0","1","1709"
,"0.687205000","0.687205000","36","52","10.0.0.2","39532","192.168.178.95","8081","0","1","1953"
,"0.687214000","0.687214000","37","52","10.0.0.2","39532","192.168.178.95","8081","0","1","2197"
,"0.687224000","0.687224000","38","52","10.0.0.2","39532","192.168.178.95","8081","0","1","2441"
,"0.688271000","0.688271000","39","296","192.168.178.95","8081","10.0.0.2","39532","244","4881","1"
,"0.688305000","0.688305000","40","296","192.168.178.95","8081","10.0.0.2","39532","244","5125","1"
,"0.688345000","0.688345000","41","296","192.168.178.95","8081","10.0.0.2","39532","244","5369","1"
,"0.688356000","0.688356000","42","296","192.168.178.95","8081","10.0.0.2","39532","244","5613","1"
,"0.688391000","0.688391000","43","296","192.168.178.95","8081","10.0.0.2","39532","244","5857","1"
,"0.688401000","0.688401000","44","296","192.168.178.95","8081","10.0.0.2","39532","244","6101","1"
,"0.688436000","0.688436000","45","296","192.168.178.95","8081","10.0.0.2","39532","244","6345","1"
,"0.688447000","0.688447000","46","296","192.168.178.95","8081","10.0.0.2","39532","244","6589","1"
,"0.688481000","0.688481000","47","296","192.168.178.95","8081","10.0.0.2","39532","244","6833","1"
,"0.688492000","0.688492000","48","296","192.168.178.95","8081","10.0.0.2","39532","244","7077","1"
,"0.874605000",,"49","76",,,,,,,
,"0.937106000","0.937106000","50","52","10.0.0.2","39532","192.168.178.95","8081","0","1","2685"
,"0.937132000","0.937132000","51","52","10.0.0.2","39532","192.168.178.95","8081","0","1","2929"
,"0.937142000","0.937142000","52","52","10.0.0.2","39532","192.168.178.95","8081","0","1","3173"
,"0.937152000","0.937152000","53","52","10.0.0.2","39532","192.168.178.95","8081","0","1","3417"
,"0.937162000","0.937162000","54","52","10.0.0.2","39532","192.168.178.95","8081","0","1","3661"
,"0.938055000","0.938055000","55","296","192.168.178.95","8081","10.0.0.2","39532","244","7321","1"
,"0.938086000","0.938086000","56","296","192.168.178.95","8081","10.0.0.2","39532","244","7565","1"
,"0.938131000","0.938131000","57","296","192.168.178.95","8081","10.0.0.2","39532","244","7809","1"
,"0.938142000","0.938142000","58","296","192.168.178.95","8081","10.0.0.2","39532","244","8053","1"
,"0.938177000","0.938177000","59","296","192.168.178.95","8081","10.0.0.2","39532","244","8297","1"
,"0.938187000","0.938187000","60","296","192.168.178.95","8081","10.0.0.2","39532","244","8541","1"
,"0.938222000","0.938222000","61","296","192.168.178.95","8081","10.0.0.2","39532","244","8785","1"
,"0.938232000","0.938232000","62","296","192.168.178.95","8081","10.0.0.2","39532","244","9029","1"
,"0.938266000","0.938266000","63","296","192.168.178.95","8081","10.0.0.2","39532","244","9273","1"
,"0.938284000","0.938284000","64","296","192.168.178.95","8081","10.0.0.2","39532","244","9517","1"
,"0.999406000","0.999406000","65","52","10.0.0.2","39532","192.168.178.95","8081","0","1","3905"
,"0.999431000","0.999431000","66","52","10.0.0.2","39532","192.168.178.95","8081","0","1","4881"
,"1.000497000","1.000497000","67","296","192.168.178.95","8081","10.0.0.2","39532","244","9761","1"
,"1.000530000","1.000530000","68","296","192.168.178.95","8081","10.0.0.2","39532","244","10005","1"
,"1.000606000","1.000606000","69","296","192.168.178.95","8081","10.0.0.2","39532","244","10249","1"
,"1.000622000","1.000622000","70","296","192.168.178.95","8081","10.0.0.2","39532","244","10493","1"
,"1.000657000","1.000657000","71","296","192.168.178.95","8081","10.0.0.2","39532","244","10737","1"
,"1.000668000","1.000668000","72","296","192.168.178.95","8081","10.0.0.2","39532","244","10981","1"
,"1.000702000","1.000702000","73","296","192.168.178.95","8081","10.0.0.2","39532","244","11225","1"
,"1.000714000","1.000714000","74","296","192.168.178.95","8081","10.0.0.2","39532","244","11469","1"
,"1.000748000","1.000748000","75","296","192.168.178.95","8081","10.0.0.2","39532","244","11713","1"
,"1.000760000","1.000760000","76","296","192.168.178.95","8081","10.0.0.2","39532","244","11957","1"
,"1.062668000","1.062668000","77","52","10.0.0.2","39532","192.168.178.95","8081","0","1","6101"
,"1.063725000","1.063725000","78","296","192.168.178.95","8081","10.0.0.2","39532","244","12201","1"
