_ws.col.cls_time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
,"0.000000000",,"1","76",,,,,,,
,"0.000023000",,"2","48",,,,,,,
,"0.000873000",,"3","76",,,,,,,
,"0.077917000",,"4","76",,,,,,,
,"0.077936000",,"5","48",,,,,,,
,"0.080830000",,"6","76",,,,,,,
,"0.081595000","0.000000000","7","60","10.0.0.2","47724","192.168.178.95","8081","0","0","0"
,"0.084743000","0.003148000","8","60","192.168.178.95","8081","10.0.0.2","47724","0","0","1"
,"0.166003000",,"9","76",,,,,,,
,"0.229761000",,"10","76",,,,,,,
,"0.317971000",,"11","76",,,,,,,
,"0.394072000","0.312477000","12","52","10.0.0.2","47724","192.168.178.95","8081","0","1","1"
,"0.403465000","0.321870000","13","296","192.168.178.95","8081","10.0.0.2","47724","244","1","1"
,"0.403502000","0.321907000","14","296","192.168.178.95","8081","10.0.0.2","47724","244","245","1"
,"0.403544000","0.321949000","15","296","192.168.178.95","8081","10.0.0.2","47724","244","489","1"
,"0.403555000","0.321960000","16","296","192.168.178.95","8081","10.0.0.2","47724","244","733","1"
,"0.403593000","0.321998000","17","296","192.168.178.95","8081","10.0.0.2","47724","244","977","1"
,"0.403604000","0.322009000","18","296","192.168.178.95","8081","10.0.0.2","47724","244","1221","1"
,"0.403641000","0.322046000","19","296","192.168.178.95","8081","10.0.0.2","47724","244","1465","1"
,"0.403653000","0.322058000","20","296","192.168.178.95","8081","10.0.0.2","47724","244","1709","1"
,"0.403725000","0.322130000","21","296","192.168.178.95","8081","10.0.0.2","47724","244","1953","1"
,"0.403740000","0.322145000","22","296","192.168.178.95","8081","10.0.0.2","47724","244","2197","1"
,"0.707006000","0.625411000","23","52","10.0.0.2","47724","192.168.178.95","8081","0","1","245"
,"0.707033000","0.625438000","24","52","10.0.0.2","47724","192.168.178.95","8081","0","1","489"
,"0.707044000","0.625449000","25","52","10.0.0.2","47724","192.168.178.95","8081","0","1","733"
,"0.707054000","0.625459000","26","52","10.0.0.2","47724","192.168.178.95","8081","0","1","1221"
,"0.708093000","0.626498000","27","296","192.168.178.95","8081","10.0.0.2","47724","244","2441","1"
,"0.708128000","0.626533000","28","296","192.168.178.95","8081","10.0.0.2","47724","244","2685","1"
,"0.708165000","0.626570000","29","296","192.168.178.95","8081","10.0.0.2","47724","244","2929","1"
,"0.708176000","0.626581000","30","296","192.168.178.95","8081","10.0.0.2","47724","244","3173","1"
,"0.708209000","0.626614000","31","296","192.168.178.95","8081","10.0.0.2","47724","244","3417","1"
,"0.708220000","0.626625000","32","296","192.168.178.95","8081","10.0.0.2","47724","244","3661","1"
,"0.708254000","0.626659000","33","296","192.168.178.95","8081","10.0.0.2","47724","244","3905","1"
,"0.708265000","0.626670000","34","296","192.168.178.95","8081","10.0.0.2","47724","244","4149","1"
,"0.708300000","0.626705000","35","296","192.168.178.95","8081","10.0.0.2","47724","244","4393","1"
,"0.708311000","0.626716000","36","296","192.168.178.95","8081","10.0.0.2","47724","244","4637","1"
,"0.768189000","0.686594000","37","52","10.0.0.2","47724","192.168.178.95","8081","0","1","1465"
,"0.768196000","0.686601000","38","52","10.0.0.2","47724","192.168.178.95","8081","0","1","1709"
,"0.768199000","0.686604000","39","52","10.0.0.2","47724","192.168.178.95","8081","0","1","1953"
,"0.768203000","0.686608000","40","52","10.0.0.2","47724","192.168.178.95","8081","0","1","2197"
,"0.768206000","0.686611000","41","52","10.0.0.2","47724","192.168.178.95","8081","0","1","2441"
,"0.768998000","0.687403000","42","296","192.168.178.95","8081","10.0.0.2","47724","244","4881","1"
,"0.769007000","0.687412000","43","296","192.168.178.95","8081","10.0.0.2","47724","244","5125","1"
,"0.769019000","0.687424000","44","296","192.168.178.95","8081","10.0.0.2","47724","244","5369","1"
,"0.769022000","0.687427000","45","296","192.168.178.95","8081","10.0.0.2","47724","244","5613","1"
,"0.769032000","0.687437000","46","296","192.168.178.95","8081","10.0.0.2","47724","244","5857","1"
,"0.769035000","0.687440000","47","296","192.168.178.95","8081","10.0.0.2","47724","244","6101","1"
,"0.769045000","0.687450000","48","296","192.168.178.95","8081","10.0.0.2","47724","244","6345","1"
,"0.769048000","0.687453000","49","296","192.168.178.95","8081","10.0.0.2","47724","244","6589","1"
,"0.769137000","0.687542000","50","296","192.168.178.95","8081","10.0.0.2","47724","244","6833","1"
,"0.769146000","0.687551000","51","296","192.168.178.95","8081","10.0.0.2","47724","244","7077","1"
,"1.018475000","0.936880000","52","52","10.0.0.2","47724","192.168.178.95","8081","0","1","2685"
,"1.018498000","0.936903000","53","52","10.0.0.2","47724","192.168.178.95","8081","0","1","2929"
,"1.018508000","0.936913000","54","52","10.0.0.2","47724","192.168.178.95","8081","0","1","3173"
,"1.018517000","0.936922000","55","52","10.0.0.2","47724","192.168.178.95","8081","0","1","3417"
,"1.018526000","0.936931000","56","52","10.0.0.2","47724","192.168.178.95","8081","0","1","3661"
,"1.019625000","0.938030000","57","296","192.168.178.95","8081","10.0.0.2","47724","244","7321","1"
,"1.019656000","0.938061000","58","296","192.168.178.95","8081","10.0.0.2","47724","244","7565","1"
,"1.019715000","0.938120000","59","296","192.168.178.95","8081","10.0.0.2","47724","244","7809","1"
,"1.019726000","0.938131000","60","296","192.168.178.95","8081","10.0.0.2","47724","244","8053","1"
,"1.019758000","0.938163000","61","296","192.168.178.95","8081","10.0.0.2","47724","244","8297","1"
,"1.019768000","0.938173000","62","296","192.168.178.95","8081","10.0.0.2","47724","244","8541","1"
,"1.019800000","0.938205000","63","296","192.168.178.95","8081","10.0.0.2","47724","244","8785","1"
,"1.019810000","0.938215000","64","296","192.168.178.95","8081","10.0.0.2","47724","244","9029","1"
,"1.019842000","0.938247000","65","296","192.168.178.95","8081","10.0.0.2","47724","244","9273","1"
,"1.019852000","0.938257000","66","296","192.168.178.95","8081","10.0.0.2","47724","244","9517","1"
,"1.069754000",,"67","76",,,,,,,
,"1.081933000","1.000338000","68","52","10.0.0.2","47724","192.168.178.95","8081","0","1","3905"
,"1.081957000","1.000362000","69","52","10.0.0.2","47724","192.168.178.95","8081","0","1","4149"
,"1.081967000","1.000372000","70","52","10.0.0.2","47724","192.168.178.95","8081","0","1","4881"
,"1.082813000","1.001218000","71","296","192.168.178.95","8081","10.0.0.2","47724","244","9761","1"
,"1.082844000","1.001249000","72","296","192.168.178.95","8081","10.0.0.2","47724","244","10005","1"
,"1.082880000","1.001285000","73","296","192.168.178.95","8081","10.0.0.2","47724","244","10249","1"
,"1.082889000","1.001294000","74","296","192.168.178.95","8081","10.0.0.2","47724","244","10493","1"
,"1.082920000","1.001325000","75","296","192.168.178.95","8081","10.0.0.2","47724","244","10737","1"
,"1.082930000","1.001335000","76","296","192.168.178.95","8081","10.0.0.2","47724","244","10981","1"
,"1.082960000","1.001365000","77","296","192.168.178.95","8081","10.0.0.2","47724","244","11225","1"
,"1.082969000","1.001374000","78","296","192.168.178.95","8081","10.0.0.2","47724","244","11469","1"
,"1.083021000","1.001426000","79","296","192.168.178.95","8081","10.0.0.2","47724","244","11713","1"
,"1.083033000","1.001438000","80","296","192.168.178.95","8081","10.0.0.2","47724","244","11957","1"
,"1.143327000","1.061732000","81","52","10.0.0.2","47724","192.168.178.95","8081","0","1","6101"
,"1.144407000","1.062812000","82","296","192.168.178.95","8081","10.0.0.2","47724","244","12201","1"
,"1.144442000","1.062847000","83","296","192.168.178.95","8081","10.0.0.2","47724","244","12445","1"
,"1.144481000","1.062886000","84","296","192.168.178.95","8081","10.0.0.2","47724","244","12689","1"
,"1.144491000","1.062896000","85","296","192.168.178.95","8081","10.0.0.2","47724","244","12933","1"
,"1.144526000","1.062931000","86","296","192.168.178.95","8081","10.0.0.2","47724","244","13177","1"
,"1.144536000","1.062941000","87","296","192.168.178.95","8081","10.0.0.2","47724","244","13421","1"
,"1.144571000","1.062976000","88","296","192.168.178.95","8081","10.0.0.2","47724","244","13665","1"
,"1.144582000","1.062987000","89","296","192.168.178.95","8081","10.0.0.2","47724","244","13909","1"
,"1.144616000","1.063021000","90","296","192.168.178.95","8081","10.0.0.2","47724","244","14153","1"
,"1.144626000","1.063031000","91","296","192.168.178.95","8081","10.0.0.2","47724","244","14397","1"
,"1.206618000","1.125023000","92","52","10.0.0.2","47724","192.168.178.95","8081","0","1","7321"
,"1.207561000","1.125966000","93","296","192.168.178.95","8081","10.0.0.2","47724","244","14641","1"
,"1.207591000","1.125996000","94","296","192.168.178.95","8081","10.0.0.2","47724","244","14885","1"
,"1.207629000","1.126034000","95","296","192.168.178.95","8081","10.0.0.2","47724","244","15129","1"
,"1.207639000","1.126044000","96","296","192.168.178.95","8081","10.0.0.2","47724","244","15373","1"
,"1.207702000","1.126107000","97","296","192.168.178.95","8081","10.0.0.2","47724","244","15617","1"
,"1.207715000","1.126120000","98","296","192.168.178.95","8081","10.0.0.2","47724","244","15861","1"
,"1.207750000","1.126155000","99","296","192.168.178.95","8081","10.0.0.2","47724","244","16105","1"
,"1.207761000","1.126166000","100","296","192.168.178.95","8081","10.0.0.2","47724","244","16349","1"
,"1.207794000","1.126199000","101","296","192.168.178.95","8081","10.0.0.2","47724","244","16593","1"
,"1.207805000","1.126210000","102","296","192.168.178.95","8081","10.0.0.2","47724","244","16837","1"
,"1.331856000","1.250261000","103","52","10.0.0.2","47724","192.168.178.95","8081","0","1","8541"
,"1.332819000","1.251224000","104","296","192.168.178.95","8081","10.0.0.2","47724","244","17081","1"
,"1.332850000","1.251255000","105","296","192.168.178.95","8081","10.0.0.2","47724","244","17325","1"
,"1.332888000","1.251293000","106","296","192.168.178.95","8081","10.0.0.2","47724","244","17569","1"
,"1.332898000","1.251303000","107","296","192.168.178.95","8081","10.0.0.2","47724","244","17813","1"
,"1.332933000","1.251338000","108","296","192.168.178.95","8081","10.0.0.2","47724","244","18057","1"
,"1.332944000","1.251349000","109","296","192.168.178.95","8081","10.0.0.2","47724","244","18301","1"
,"1.332979000","1.251384000","110","296","192.168.178.95","8081","10.0.0.2","47724","244","18545","1"
,"1.332991000","1.251396000","111","296","192.168.178.95","8081","10.0.0.2","47724","244","18789","1"
,"1.333026000","1.251431000","112","296","192.168.178.95","8081","10.0.0.2","47724","244","19033","1"
,"1.333037000","1.251442000","113","296","192.168.178.95","8081","10.0.0.2","47724","244","19277","1"
,"1.394090000","1.312495000","114","52","10.0.0.2","47724","192.168.178.95","8081","0","1","9761"
,"1.395238000","1.313643000","115","296","192.168.178.95","8081","10.0.0.2","47724","244","19521","1"
,"1.395274000","1.313679000","116","296","192.168.178.95","8081","10.0.0.2","47724","244","19765","1"
,"1.395314000","1.313719000","117","296","192.168.178.95","8081","10.0.0.2","47724","244","20009","1"
,"1.395325000","1.313730000","118","296","192.168.178.95","8081","10.0.0.2","47724","244","20253","1"
,"1.395362000","1.313767000","119","296","192.168.178.95","8081","10.0.0.2","47724","244","20497","1"
,"1.395374000","1.313779000","120","296","192.168.178.95","8081","10.0.0.2","47724","244","20741","1"
,"1.395412000","1.313817000","121","296","192.168.178.95","8081","10.0.0.2","47724","244","20985","1"
,"1.395424000","1.313829000","122","296","192.168.178.95","8081","10.0.0.2","47724","244","21229","1"
,"1.395463000","1.313868000","123","296","192.168.178.95","8081","10.0.0.2","47724","244","21473","1"
,"1.395474000","1.313879000","124","296","192.168.178.95","8081","10.0.0.2","47724","244","21717","1"
,"1.456801000","1.375206000","125","52","10.0.0.2","47724","192.168.178.95","8081","0","1","10981"
,"1.457794000","1.376199000","126","296","192.168.178.95","8081","10.0.0.2","47724","244","21961","1"
,"1.457827000","1.376232000","127","296","192.168.178.95","8081","10.0.0.2","47724","244","22205","1"
,"1.457867000","1.376272000","128","296","192.168.178.95","8081","10.0.0.2","47724","244","22449","1"
,"1.457879000","1.376284000","129","296","192.168.178.95","8081","10.0.0.2","47724","244","22693","1"
,"1.457917000","1.376322000","130","296","192.168.178.95","8081","10.0.0.2","47724","244","22937","1"
,"1.457928000","1.376333000","131","296","192.168.178.95","8081","10.0.0.2","47724","244","23181","1"
,"1.457965000","1.376370000","132","296","192.168.178.95","8081","10.0.0.2","47724","244","23425","1"
,"1.457977000","1.376382000","133","296","192.168.178.95","8081","10.0.0.2","47724","244","23669","1"
,"1.458014000","1.376419000","134","296","192.168.178.95","8081","10.0.0.2","47724","244","23913","1"
,"1.458026000","1.376431000","135","296","192.168.178.95","8081","10.0.0.2","47724","244","24157","1"
