_ws.col.cls_time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
,"0.000000000",,"1","76",,,,,,,
,"0.000024000",,"2","48",,,,,,,
,"0.000911000",,"3","76",,,,,,,
,"0.038836000","0.000000000","4","60","10.0.0.2","54388","192.168.178.95","8081","0","0","0"
,"0.043454000","0.004618000","5","60","192.168.178.95","8081","10.0.0.2","54388","0","0","1"
,"0.085968000",,"6","76",,,,,,,
,"0.350842000","0.312006000","7","52","10.0.0.2","54388","192.168.178.95","8081","0","1","1"
,"0.358376000","0.319540000","8","296","192.168.178.95","8081","10.0.0.2","54388","244","1","1"
,"0.358412000","0.319576000","9","296","192.168.178.95","8081","10.0.0.2","54388","244","245","1"
,"0.358452000","0.319616000","10","296","192.168.178.95","8081","10.0.0.2","54388","244","489","1"
,"0.358463000","0.319627000","11","296","192.168.178.95","8081","10.0.0.2","54388","244","733","1"
,"0.358498000","0.319662000","12","296","192.168.178.95","8081","10.0.0.2","54388","244","977","1"
,"0.358509000","0.319673000","13","296","192.168.178.95","8081","10.0.0.2","54388","244","1221","1"
,"0.358544000","0.319708000","14","296","192.168.178.95","8081","10.0.0.2","54388","244","1465","1"
,"0.358555000","0.319719000","15","296","192.168.178.95","8081","10.0.0.2","54388","244","1709","1"
,"0.358589000","0.319753000","16","296","192.168.178.95","8081","10.0.0.2","54388","244","1953","1"
,"0.358600000","0.319764000","17","296","192.168.178.95","8081","10.0.0.2","54388","244","2197","1"
,"0.663772000","0.624936000","18","52","10.0.0.2","54388","192.168.178.95","8081","0","1","245"
,"0.663795000","0.624959000","19","52","10.0.0.2","54388","192.168.178.95","8081","0","1","489"
,"0.663806000","0.624970000","20","52","10.0.0.2","54388","192.168.178.95","8081","0","1","733"
,"0.663815000","0.624979000","21","52","10.0.0.2","54388","192.168.178.95","8081","0","1","977"
,"0.663826000","0.624990000","22","52","10.0.0.2","54388","192.168.178.95","8081","0","1","1221"
,"0.664861000","0.626025000","23","296","192.168.178.95","8081","10.0.0.2","54388","244","2441","1"
,"0.664896000","0.626060000","24","296","192.168.178.95","8081","10.0.0.2","54388","244","2685","1"
,"0.664935000","0.626099000","25","296","192.168.178.95","8081","10.0.0.2","54388","244","2929","1"
,"0.664945000","0.626109000","26","296","192.168.178.95","8081","10.0.0.2","54388","244","3173","1"
,"0.664980000","0.626144000","27","296","192.168.178.95","8081","10.0.0.2","54388","244","3417","1"
,"0.664991000","0.626155000","28","296","192.168.178.95","8081","10.0.0.2","54388","244","3661","1"
,"0.665025000","0.626189000","29","296","192.168.178.95","8081","10.0.0.2","54388","244","3905","1"
