_ws.col.cls_time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
,"0.000000000","0.000000000","1","60","10.0.0.2","60928","192.168.178.95","8081","0","0","0"
,"0.004866000","0.004866000","2","60","192.168.178.95","8081","10.0.0.2","60928","0","0","1"
,"0.129941000",,"3","76",,,,,,,
,"0.129958000",,"4","48",,,,,,,
,"0.132909000",,"5","76",,,,,,,
,"0.145981000",,"6","76",,,,,,,
,"0.312247000","0.312247000","7","52","10.0.0.2","60928","192.168.178.95","8081","0","1","1"
,"0.319607000","0.319607000","8","296","192.168.178.95","8081","10.0.0.2","60928","244","1","1"
,"0.319633000","0.319633000","9","296","192.168.178.95","8081","10.0.0.2","60928","244","245","1"
,"0.319668000","0.319668000","10","296","192.168.178.95","8081","10.0.0.2","60928","244","489","1"
,"0.319678000","0.319678000","11","296","192.168.178.95","8081","10.0.0.2","60928","244","733","1"
,"0.319709000","0.319709000","12","296","192.168.178.95","8081","10.0.0.2","60928","244","977","1"
,"0.319719000","0.319719000","13","296","192.168.178.95","8081","10.0.0.2","60928","244","1221","1"
,"0.319750000","0.319750000","14","296","192.168.178.95","8081","10.0.0.2","60928","244","1465","1"
,"0.319760000","0.319760000","15","296","192.168.178.95","8081","10.0.0.2","60928","244","1709","1"
,"0.319813000","0.319813000","16","296","192.168.178.95","8081","10.0.0.2","60928","244","1953","1"
,"0.319830000","0.319830000","17","296","192.168.178.95","8081","10.0.0.2","60928","244","2197","1"
,"0.466013000",,"18","76",,,,,,,
,"0.625041000","0.625041000","19","52","10.0.0.2","60928","192.168.178.95","8081","0","1","245"
,"0.625065000","0.625065000","20","52","10.0.0.2","60928","192.168.178.95","8081","0","1","489"
,"0.625075000","0.625075000","21","52","10.0.0.2","60928","192.168.178.95","8081","0","1","733"
,"0.625085000","0.625085000","22","52","10.0.0.2","60928","192.168.178.95","8081","0","1","977"
,"0.625094000","0.625094000","23","52","10.0.0.2","60928","192.168.178.95","8081","0","1","1221"
,"0.626017000","0.626017000","24","296","192.168.178.95","8081","10.0.0.2","60928","244","2441","1"
,"0.626048000","0.626048000","25","296","192.168.178.95","8081","10.0.0.2","60928","244","2685","1"
,"0.626094000","0.626094000","26","296","192.168.178.95","8081","10.0.0.2","60928","244","2929","1"
,"0.626105000","0.626105000","27","296","192.168.178.95","8081","10.0.0.2","60928","244","3173","1"
,"0.626139000","0.626139000","28","296","192.168.178.95","8081","10.0.0.2","60928","244","3417","1"
,"0.626149000","0.626149000","29","296","192.168.178.95","8081","10.0.0.2","60928","244","3661","1"
,"0.626183000","0.626183000","30","296","192.168.178.95","8081","10.0.0.2","60928","244","3905","1"
,"0.626193000","0.626193000","31","296","192.168.178.95","8081","10.0.0.2","60928","244","4149","1"
,"0.626227000","0.626227000","32","296","192.168.178.95","8081","10.0.0.2","60928","244","4393","1"
,"0.626237000","0.626237000","33","296","192.168.178.95","8081","10.0.0.2","60928","244","4637","1"
,"0.687221000","0.687221000","34","52","10.0.0.2","60928","192.168.178.95","8081","0","1","1465"
,"0.687231000","0.687231000","35","52","10.0.0.2","60928","192.168.178.95","8081","0","1","1709"
,"0.687235000","0.687235000","36","52","10.0.0.2","60928","192.168.178.95","8081","0","1","1953"
,"0.687238000","0.687238000","37","52","10.0.0.2","60928","192.168.178.95","8081","0","1","2197"
,"0.687241000","0.687241000","38","52","10.0.0.2","60928","192.168.178.95","8081","0","1","2441"
,"0.687926000","0.687926000","39","296","192.168.178.95","8081","10.0.0.2","60928","244","4881","1"
,"0.687936000","0.687936000","40","296","192.168.178.95","8081","10.0.0.2","60928","244","5125","1"
