_ws.col.cls_time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
,"0.000000000",,"1","76",,,,,,,
,"0.000015000",,"2","48",,,,,,,
,"0.003013000",,"3","76",,,,,,,
,"0.018826000","0.000000000","4","60","10.0.0.2","35758","192.168.178.95","8081","0","0","0"
,"0.023659000","0.004833000","5","60","192.168.178.95","8081","10.0.0.2","35758","0","0","1"
,"0.331994000","0.313168000","6","52","10.0.0.2","35758","192.168.178.95","8081","0","1","1"
,"0.339960000","0.321134000","7","296","192.168.178.95","8081","10.0.0.2","35758","244","1","1"
,"0.339997000","0.321171000","8","296","192.168.178.95","8081","10.0.0.2","35758","244","245","1"
,"0.340038000","0.321212000","9","296","192.168.178.95","8081","10.0.0.2","35758","244","489","1"
,"0.340049000","0.321223000","10","296","192.168.178.95","8081","10.0.0.2","35758","244","733","1"
,"0.340087000","0.321261000","11","296","192.168.178.95","8081","10.0.0.2","35758","244","977","1"
,"0.340098000","0.321272000","12","296","192.168.178.95","8081","10.0.0.2","35758","244","1221","1"
,"0.340135000","0.321309000","13","296","192.168.178.95","8081","10.0.0.2","35758","244","1465","1"
,"0.340147000","0.321321000","14","296","192.168.178.95","8081","10.0.0.2","35758","244","1709","1"
,"0.340185000","0.321359000","15","296","192.168.178.95","8081","10.0.0.2","35758","244","1953","1"
,"0.340196000","0.321370000","16","296","192.168.178.95","8081","10.0.0.2","35758","244","2197","1"
,"0.464657000",,"17","76",,,,,,,
,"0.464687000",,"18","48",,,,,,,
,"0.467056000",,"19","76",,,,,,,
,"0.495950000",,"20","76",,,,,,,
,"0.568164000",,"21","76",,,,,,,
,"0.640207000",,"22","76",,,,,,,
,"0.644329000","0.625503000","23","52","10.0.0.2","35758","192.168.178.95","8081","0","1","245"
,"0.644354000","0.625528000","24","52","10.0.0.2","35758","192.168.178.95","8081","0","1","489"
,"0.644364000","0.625538000","25","52","10.0.0.2","35758","192.168.178.95","8081","0","1","733"
,"0.644374000","0.625548000","26","52","10.0.0.2","35758","192.168.178.95","8081","0","1","977"
,"0.644384000","0.625558000","27","52","10.0.0.2","35758","192.168.178.95","8081","0","1","1221"
,"0.645337000","0.626511000","28","296","192.168.178.95","8081","10.0.0.2","35758","244","2441","1"
,"0.645368000","0.626542000","29","296","192.168.178.95","8081","10.0.0.2","35758","244","2685","1"
