_ws.col.cls_time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
,"0.000000000","0.000000000","1","60","10.0.0.2","47538","192.168.178.95","8081","0","0","0"
,"0.007400000","0.007400000","2","60","192.168.178.95","8081","10.0.0.2","47538","0","0","1"
,"0.173247000",,"3","76",,,,,,,
,"0.173280000",,"4","48",,,,,,,
,"0.175910000",,"5","76",,,,,,,
,"0.312136000","0.312136000","6","52","10.0.0.2","47538","192.168.178.95","8081","0","1","1"
,"0.320123000","0.320123000","7","296","192.168.178.95","8081","10.0.0.2","47538","244","1","1"
,"0.320152000","0.320152000","8","296","192.168.178.95","8081","10.0.0.2","47538","244","245","1"
,"0.320187000","0.320187000","9","296","192.168.178.95","8081","10.0.0.2","47538","244","489","1"
,"0.320196000","0.320196000","10","296","192.168.178.95","8081","10.0.0.2","47538","244","733","1"
,"0.320227000","0.320227000","11","296","192.168.178.95","8081","10.0.0.2","47538","244","977","1"
,"0.320236000","0.320236000","12","296","192.168.178.95","8081","10.0.0.2","47538","244","1221","1"
,"0.320268000","0.320268000","13","296","192.168.178.95","8081","10.0.0.2","47538","244","1465","1"
,"0.320278000","0.320278000","14","296","192.168.178.95","8081","10.0.0.2","47538","244","1709","1"
,"0.320310000","0.320310000","15","296","192.168.178.95","8081","10.0.0.2","47538","244","1953","1"
,"0.320320000","0.320320000","16","296","192.168.178.95","8081","10.0.0.2","47538","244","2197","1"
,"0.381052000",,"17","76",,,,,,,
,"0.597055000",,"18","76",,,,,,,
,"0.624439000","0.624439000","19","52","10.0.0.2","47538","192.168.178.95","8081","0","1","245"
,"0.624465000","0.624465000","20","52","10.0.0.2","47538","192.168.178.95","8081","0","1","489"
,"0.624475000","0.624475000","21","52","10.0.0.2","47538","192.168.178.95","8081","0","1","733"
,"0.624485000","0.624485000","22","52","10.0.0.2","47538","192.168.178.95","8081","0","1","977"
,"0.624494000","0.624494000","23","52","10.0.0.2","47538","192.168.178.95","8081","0","1","1221"
,"0.625545000","0.625545000","24","296","192.168.178.95","8081","10.0.0.2","47538","244","2441","1"
,"0.625581000","0.625581000","25","296","192.168.178.95","8081","10.0.0.2","47538","244","2685","1"
,"0.625628000","0.625628000","26","296","192.168.178.95","8081","10.0.0.2","47538","244","2929","1"
,"0.625639000","0.625639000","27","296","192.168.178.95","8081","10.0.0.2","47538","244","3173","1"
,"0.625678000","0.625678000","28","296","192.168.178.95","8081","10.0.0.2","47538","244","3417","1"
,"0.625689000","0.625689000","29","296","192.168.178.95","8081","10.0.0.2","47538","244","3661","1"
,"0.625726000","0.625726000","30","296","192.168.178.95","8081","10.0.0.2","47538","244","3905","1"
,"0.625781000","0.625781000","31","296","192.168.178.95","8081","10.0.0.2","47538","244","4149","1"
,"0.625822000","0.625822000","32","296","192.168.178.95","8081","10.0.0.2","47538","244","4393","1"
,"0.625833000","0.625833000","33","296","192.168.178.95","8081","10.0.0.2","47538","244","4637","1"
,"0.676846000",,"34","76",,,,,,,
,"0.676871000",,"35","48",,,,,,,
,"0.679782000",,"36","76",,,,,,,
,"0.686637000","0.686637000","37","52","10.0.0.2","47538","192.168.178.95","8081","0","1","1465"
,"0.686644000","0.686644000","38","52","10.0.0.2","47538","192.168.178.95","8081","0","1","1709"
,"0.686648000","0.686648000","39","52","10.0.0.2","47538","192.168.178.95","8081","0","1","1953"
,"0.686651000","0.686651000","40","52","10.0.0.2","47538","192.168.178.95","8081","0","1","2197"
,"0.686654000","0.686654000","41","52","10.0.0.2","47538","192.168.178.95","8081","0","1","2441"
,"0.687414000","0.687414000","42","296","192.168.178.95","8081","10.0.0.2","47538","244","4881","1"
,"0.687422000","0.687422000","43","296","192.168.178.95","8081","10.0.0.2","47538","244","5125","1"
,"0.687434000","0.687434000","44","296","192.168.178.95","8081","10.0.0.2","47538","244","5369","1"
,"0.687438000","0.687438000","45","296","192.168.178.95","8081","10.0.0.2","47538","244","5613","1"
,"0.687449000","0.687449000","46","296","192.168.178.95","8081","10.0.0.2","47538","244","5857","1"
,"0.687452000","0.687452000","47","296","192.168.178.95","8081","10.0.0.2","47538","244","6101","1"
,"0.687463000","0.687463000","48","296","192.168.178.95","8081","10.0.0.2","47538","244","6345","1"
,"0.687466000","0.687466000","49","296","192.168.178.95","8081","10.0.0.2","47538","244","6589","1"
,"0.687514000","0.687514000","50","296","192.168.178.95","8081","10.0.0.2","47538","244","6833","1"
,"0.687521000","0.687521000","51","296","192.168.178.95","8081","10.0.0.2","47538","244","7077","1"
,"0.936456000","0.936456000","52","52","10.0.0.2","47538","192.168.178.95","8081","0","1","2685"
