_ws.col.cls_time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
,"0.000000000",,"1","76",,,,,,,
,"0.029561000","0.000000000","2","60","10.0.0.2","42892","192.168.178.95","8081","0","0","0"
,"0.034384000","0.004823000","3","60","192.168.178.95","8081","10.0.0.2","42892","0","0","1"
,"0.287933000",,"4","76",,,,,,,
,"0.341847000","0.312286000","5","52","10.0.0.2","42892","192.168.178.95","8081","0","1","1"
,"0.347487000","0.317926000","6","296","192.168.178.95","8081","10.0.0.2","42892","244","1","1"
,"0.347521000","0.317960000","7","296","192.168.178.95","8081","10.0.0.2","42892","244","245","1"
,"0.347561000","0.318000000","8","296","192.168.178.95","8081","10.0.0.2","42892","244","489","1"
,"0.347572000","0.318011000","9","296","192.168.178.95","8081","10.0.0.2","42892","244","733","1"
,"0.347607000","0.318046000","10","296","192.168.178.95","8081","10.0.0.2","42892","244","977","1"
,"0.347618000","0.318057000","11","296","192.168.178.95","8081","10.0.0.2","42892","244","1221","1"
,"0.347653000","0.318092000","12","296","192.168.178.95","8081","10.0.0.2","42892","244","1465","1"
,"0.347663000","0.318102000","13","296","192.168.178.95","8081","10.0.0.2","42892","244","1709","1"
,"0.347726000","0.318165000","14","296","192.168.178.95","8081","10.0.0.2","42892","244","1953","1"
,"0.347740000","0.318179000","15","296","192.168.178.95","8081","10.0.0.2","42892","244","2197","1"
,"0.543913000",,"16","76",,,,,,,
,"0.543928000",,"17","48",,,,,,,
,"0.546788000",,"18","76",,,,,,,
,"0.564782000",,"19","76",,,,,,,
,"0.647897000",,"20","76",,,,,,,
,"0.654796000","0.625235000","21","52","10.0.0.2","42892","192.168.178.95","8081","0","1","245"
,"0.654821000","0.625260000","22","52","10.0.0.2","42892","192.168.178.95","8081","0","1","489"
,"0.654831000","0.625270000","23","52","10.0.0.2","42892","192.168.178.95","8081","0","1","733"
,"0.654841000","0.625280000","24","52","10.0.0.2","42892","192.168.178.95","8081","0","1","977"
,"0.654850000","0.625289000","25","52","10.0.0.2","42892","192.168.178.95","8081","0","1","1221"
,"0.655940000","0.626379000","26","296","192.168.178.95","8081","10.0.0.2","42892","244","2441","1"
,"0.655975000","0.626414000","27","296","192.168.178.95","8081","10.0.0.2","42892","244","2685","1"
,"0.656015000","0.626454000","28","296","192.168.178.95","8081","10.0.0.2","42892","244","2929","1"
,"0.656025000","0.626464000","29","296","192.168.178.95","8081","10.0.0.2","42892","244","3173","1"
,"0.656060000","0.626499000","30","296","192.168.178.95","8081","10.0.0.2","42892","244","3417","1"
,"0.656070000","0.626509000","31","296","192.168.178.95","8081","10.0.0.2","42892","244","3661","1"
,"0.656104000","0.626543000","32","296","192.168.178.95","8081","10.0.0.2","42892","244","3905","1"
,"0.656115000","0.626554000","33","296","192.168.178.95","8081","10.0.0.2","42892","244","4149","1"
,"0.656148000","0.626587000","34","296","192.168.178.95","8081","10.0.0.2","42892","244","4393","1"
,"0.656158000","0.626597000","35","296","192.168.178.95","8081","10.0.0.2","42892","244","4637","1"
,"0.717038000","0.687477000","36","52","10.0.0.2","42892","192.168.178.95","8081","0","1","1465"
,"0.717045000","0.687484000","37","52","10.0.0.2","42892","192.168.178.95","8081","0","1","1709"
,"0.717048000","0.687487000","38","52","10.0.0.2","42892","192.168.178.95","8081","0","1","1953"
,"0.717051000","0.687490000","39","52","10.0.0.2","42892","192.168.178.95","8081","0","1","2197"
,"0.717054000","0.687493000","40","52","10.0.0.2","42892","192.168.178.95","8081","0","1","2441"
,"0.717734000","0.688173000","41","296","192.168.178.95","8081","10.0.0.2","42892","244","4881","1"
,"0.717743000","0.688182000","42","296","192.168.178.95","8081","10.0.0.2","42892","244","5125","1"
,"0.717754000","0.688193000","43","296","192.168.178.95","8081","10.0.0.2","42892","244","5369","1"
,"0.717758000","0.688197000","44","296","192.168.178.95","8081","10.0.0.2","42892","244","5613","1"
,"0.717768000","0.688207000","45","296","192.168.178.95","8081","10.0.0.2","42892","244","5857","1"
,"0.717771000","0.688210000","46","296","192.168.178.95","8081","10.0.0.2","42892","244","6101","1"
,"0.717782000","0.688221000","47","296","192.168.178.95","8081","10.0.0.2","42892","244","6345","1"
,"0.717785000","0.688224000","48","296","192.168.178.95","8081","10.0.0.2","42892","244","6589","1"
,"0.717795000","0.688234000","49","296","192.168.178.95","8081","10.0.0.2","42892","244","6833","1"
,"0.717798000","0.688237000","50","296","192.168.178.95","8081","10.0.0.2","42892","244","7077","1"
,"0.966598000","0.937037000","51","52","10.0.0.2","42892","192.168.178.95","8081","0","1","2685"
,"0.966624000","0.937063000","52","52","10.0.0.2","42892","192.168.178.95","8081","0","1","2929"
,"0.966634000","0.937073000","53","52","10.0.0.2","42892","192.168.178.95","8081","0","1","3173"
,"0.966644000","0.937083000","54","52","10.0.0.2","42892","192.168.178.95","8081","0","1","3417"
,"0.966654000","0.937093000","55","52","10.0.0.2","42892","192.168.178.95","8081","0","1","3661"
,"0.967584000","0.938023000","56","296","192.168.178.95","8081","10.0.0.2","42892","244","7321","1"
,"0.967615000","0.938054000","57","296","192.168.178.95","8081","10.0.0.2","42892","244","7565","1"
,"0.967654000","0.938093000","58","296","192.168.178.95","8081","10.0.0.2","42892","244","7809","1"
,"0.967665000","0.938104000","59","296","192.168.178.95","8081","10.0.0.2","42892","244","8053","1"
,"0.967726000","0.938165000","60","296","192.168.178.95","8081","10.0.0.2","42892","244","8297","1"
,"0.967740000","0.938179000","61","296","192.168.178.95","8081","10.0.0.2","42892","244","8541","1"
,"0.967775000","0.938214000","62","296","192.168.178.95","8081","10.0.0.2","42892","244","8785","1"
,"0.967786000","0.938225000","63","296","192.168.178.95","8081","10.0.0.2","42892","244","9029","1"
,"0.967820000","0.938259000","64","296","192.168.178.95","8081","10.0.0.2","42892","244","9273","1"
,"0.967839000","0.938278000","65","296","192.168.178.95","8081","10.0.0.2","42892","244","9517","1"
,"1.029772000","1.000211000","66","52","10.0.0.2","42892","192.168.178.95","8081","0","1","3905"
,"1.029797000","1.000236000","67","52","10.0.0.2","42892","192.168.178.95","8081","0","1","4881"
,"1.030806000","1.001245000","68","296","192.168.178.95","8081","10.0.0.2","42892","244","9761","1"
,"1.030837000","1.001276000","69","296","192.168.178.95","8081","10.0.0.2","42892","244","10005","1"
,"1.030876000","1.001315000","70","296","192.168.178.95","8081","10.0.0.2","42892","244","10249","1"
,"1.030886000","1.001325000","71","296","192.168.178.95","8081","10.0.0.2","42892","244","10493","1"
