_ws.col.cls_time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
,"0.000000000",,"1","76",,,,,,,
,"0.000019000",,"2","48",,,,,,,
,"0.002940000",,"3","76",,,,,,,
,"0.091153000","0.000000000","4","60","10.0.0.2","32834","192.168.178.95","8081","0","0","0"
,"0.095638000","0.004485000","5","60","192.168.178.95","8081","10.0.0.2","32834","0","0","1"
,"0.376414000",,"6","76",,,,,,,
,"0.376440000",,"7","48",,,,,,,
,"0.378992000",,"8","76",,,,,,,
,"0.403248000","0.312095000","9","52","10.0.0.2","32834","192.168.178.95","8081","0","1","1"
,"0.410311000","0.319158000","10","296","192.168.178.95","8081","10.0.0.2","32834","244","1","1"
,"0.410347000","0.319194000","11","296","192.168.178.95","8081","10.0.0.2","32834","244","245","1"
,"0.410387000","0.319234000","12","296","192.168.178.95","8081","10.0.0.2","32834","244","489","1"
,"0.410397000","0.319244000","13","296","192.168.178.95","8081","10.0.0.2","32834","244","733","1"
,"0.410432000","0.319279000","14","296","192.168.178.95","8081","10.0.0.2","32834","244","977","1"
,"0.410442000","0.319289000","15","296","192.168.178.95","8081","10.0.0.2","32834","244","1221","1"
,"0.410477000","0.319324000","16","296","192.168.178.95","8081","10.0.0.2","32834","244","1465","1"
,"0.410488000","0.319335000","17","296","192.168.178.95","8081","10.0.0.2","32834","244","1709","1"
,"0.410523000","0.319370000","18","296","192.168.178.95","8081","10.0.0.2","32834","244","1953","1"
,"0.410533000","0.319380000","19","296","192.168.178.95","8081","10.0.0.2","32834","244","2197","1"
,"0.716192000","0.625039000","20","52","10.0.0.2","32834","192.168.178.95","8081","0","1","245"
,"0.716223000","0.625070000","21","52","10.0.0.2","32834","192.168.178.95","8081","0","1","489"
,"0.716238000","0.625085000","22","52","10.0.0.2","32834","192.168.178.95","8081","0","1","733"
,"0.716254000","0.625101000","23","52","10.0.0.2","32834","192.168.178.95","8081","0","1","977"
,"0.716267000","0.625114000","24","52","10.0.0.2","32834","192.168.178.95","8081","0","1","1221"
,"0.717184000","0.626031000","25","296","192.168.178.95","8081","10.0.0.2","32834","244","2441","1"
,"0.717217000","0.626064000","26","296","192.168.178.95","8081","10.0.0.2","32834","244","2685","1"
,"0.717257000","0.626104000","27","296","192.168.178.95","8081","10.0.0.2","32834","244","2929","1"
,"0.717268000","0.626115000","28","296","192.168.178.95","8081","10.0.0.2","32834","244","3173","1"
,"0.717303000","0.626150000","29","296","192.168.178.95","8081","10.0.0.2","32834","244","3417","1"
,"0.717317000","0.626164000","30","296","192.168.178.95","8081","10.0.0.2","32834","244","3661","1"
,"0.717353000","0.626200000","31","296","192.168.178.95","8081","10.0.0.2","32834","244","3905","1"
,"0.717365000","0.626212000","32","296","192.168.178.95","8081","10.0.0.2","32834","244","4149","1"
,"0.717401000","0.626248000","33","296","192.168.178.95","8081","10.0.0.2","32834","244","4393","1"
,"0.717412000","0.626259000","34","296","192.168.178.95","8081","10.0.0.2","32834","244","4637","1"
,"0.759861000",,"35","76",,,,,,,
,"0.759868000",,"36","76",,,,,,,
,"0.777481000","0.686328000","37","52","10.0.0.2","32834","192.168.178.95","8081","0","1","1465"
,"0.777493000","0.686340000","38","52","10.0.0.2","32834","192.168.178.95","8081","0","1","1709"
,"0.777498000","0.686345000","39","52","10.0.0.2","32834","192.168.178.95","8081","0","1","1953"
,"0.777505000","0.686352000","40","52","10.0.0.2","32834","192.168.178.95","8081","0","1","2197"
,"0.777510000","0.686357000","41","52","10.0.0.2","32834","192.168.178.95","8081","0","1","2441"
,"0.778378000","0.687225000","42","296","192.168.178.95","8081","10.0.0.2","32834","244","4881","1"
,"0.778393000","0.687240000","43","296","192.168.178.95","8081","10.0.0.2","32834","244","5125","1"
,"0.778408000","0.687255000","44","296","192.168.178.95","8081","10.0.0.2","32834","244","5369","1"
,"0.778412000","0.687259000","45","296","192.168.178.95","8081","10.0.0.2","32834","244","5613","1"
,"0.778426000","0.687273000","46","296","192.168.178.95","8081","10.0.0.2","32834","244","5857","1"
,"0.778430000","0.687277000","47","296","192.168.178.95","8081","10.0.0.2","32834","244","6101","1"
,"0.778443000","0.687290000","48","296","192.168.178.95","8081","10.0.0.2","32834","244","6345","1"
,"0.778447000","0.687294000","49","296","192.168.178.95","8081","10.0.0.2","32834","244","6589","1"
,"0.778461000","0.687308000","50","296","192.168.178.95","8081","10.0.0.2","32834","244","6833","1"
,"0.778465000","0.687312000","51","296","192.168.178.95","8081","10.0.0.2","32834","244","7077","1"
,"1.027497000","0.936344000","52","52","10.0.0.2","32834","192.168.178.95","8081","0","1","2685"
,"1.027524000","0.936371000","53","52","10.0.0.2","32834","192.168.178.95","8081","0","1","2929"
,"1.027538000","0.936385000","54","52","10.0.0.2","32834","192.168.178.95","8081","0","1","3173"
,"1.027552000","0.936399000","55","52","10.0.0.2","32834","192.168.178.95","8081","0","1","3417"
,"1.027565000","0.936412000","56","52","10.0.0.2","32834","192.168.178.95","8081","0","1","3661"
,"1.028538000","0.937385000","57","296","192.168.178.95","8081","10.0.0.2","32834","244","7321","1"
,"1.028570000","0.937417000","58","296","192.168.178.95","8081","10.0.0.2","32834","244","7565","1"
,"1.028605000","0.937452000","59","296","192.168.178.95","8081","10.0.0.2","32834","244","7809","1"
