_ws.col.cls_time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
,"0.000000000",,"1","76",,,,,,,
,"0.102822000","0.000000000","2","60","10.0.0.2","33166","192.168.10.22","8081","0","0","0"
,"0.104968000","0.002146000","3","60","192.168.10.22","8081","10.0.0.2","33166","0","0","1"
,"0.415163000","0.312341000","4","52","10.0.0.2","33166","192.168.10.22","8081","0","1","1"
,"0.415172000","0.312350000","5","89","10.0.0.2","33166","192.168.10.22","8081","37","1","1"
,"0.416254000","0.313432000","6","52","192.168.10.22","8081","10.0.0.2","33166","0","1","38"
,"0.416276000","0.313454000","7","52","192.168.10.22","8081","10.0.0.2","33166","0","1","38"
,"0.416408000","0.313586000","8","53","192.168.10.22","8081","10.0.0.2","33166","1","1","38"
,"0.632750000",,"9","76",,,,,,,
,"0.632778000",,"10","48",,,,,,,
,"0.635101000",,"11","76",,,,,,,
,"0.696058000",,"12","76",,,,,,,
,"0.727432000","0.624610000","13","52","10.0.0.2","33166","192.168.10.22","8081","0","38","2"
,"0.727457000","0.624635000","14","56","10.0.0.2","33166","192.168.10.22","8081","4","38","2"
,"0.727472000","0.624650000","15","100","10.0.0.2","33166","192.168.10.22","8081","48","42","2"
,"0.727485000","0.624663000","16","100","10.0.0.2","33166","192.168.10.22","8081","48","90","2"
,"0.727498000","0.624676000","17","100","10.0.0.2","33166","192.168.10.22","8081","48","138","2"
,"0.728604000","0.625782000","18","52","192.168.10.22","8081","10.0.0.2","33166","0","2","186"
,"0.728941000","0.626119000","19","53","192.168.10.22","8081","10.0.0.2","33166","1","2","186"
,"1.040739000","0.000000000","20","60","10.0.0.2","33174","192.168.10.22","8081","0","0","0"
,"1.040750000","0.937928000","21","52","10.0.0.2","33166","192.168.10.22","8081","0","186","3"
,"1.041715000","0.000976000","22","60","192.168.10.22","8081","10.0.0.2","33174","0","0","1"
,"1.072202000",,"23","76",,,,,,,
,"1.272245000",,"24","76",,,,,,,
,"1.352299000","0.311560000","25","52","10.0.0.2","33174","192.168.10.22","8081","0","1","1"
,"1.352309000","0.311570000","26","89","10.0.0.2","33174","192.168.10.22","8081","37","1","1"
,"1.353405000","0.312666000","27","52","192.168.10.22","8081","10.0.0.2","33174","0","1","38"
,"1.366040000","1.263218000","28","53","192.168.10.22","8081","10.0.0.2","33166","1","3","186"
,"1.366084000","1.263262000","29","53","192.168.10.22","8081","10.0.0.2","33166","1","4","186"
,"1.366498000","0.325759000","30","140","192.168.10.22","8081","10.0.0.2","33174","88","1","38"
,"1.366646000","0.325907000","31","140","192.168.10.22","8081","10.0.0.2","33174","88","89","38"
,"1.366669000","0.325930000","32","140","192.168.10.22","8081","10.0.0.2","33174","88","177","38"
,"1.366725000","0.325986000","33","140","192.168.10.22","8081","10.0.0.2","33174","88","265","38"
,"1.366738000","0.325999000","34","140","192.168.10.22","8081","10.0.0.2","33174","88","353","38"
,"1.366784000","0.326045000","35","140","192.168.10.22","8081","10.0.0.2","33174","88","441","38"
,"1.366796000","0.326057000","36","140","192.168.10.22","8081","10.0.0.2","33174","88","529","38"
,"1.366841000","0.326102000","37","140","192.168.10.22","8081","10.0.0.2","33174","88","617","38"
,"1.366854000","0.326115000","38","140","192.168.10.22","8081","10.0.0.2","33174","88","705","38"
,"1.366886000","0.326147000","39","140","192.168.10.22","8081","10.0.0.2","33174","88","793","38"
,"1.665843000","1.563021000","40","52","10.0.0.2","33166","192.168.10.22","8081","0","186","4"
,"1.665868000","1.563046000","41","52","10.0.0.2","33166","192.168.10.22","8081","0","186","5"
,"1.665882000","0.625143000","42","52","10.0.0.2","33174","192.168.10.22","8081","0","38","89"
,"1.665898000","0.625159000","43","52","10.0.0.2","33174","192.168.10.22","8081","0","38","177"
,"1.665946000","0.625207000","44","52","10.0.0.2","33174","192.168.10.22","8081","0","38","265"
,"1.665964000","0.625225000","45","52","10.0.0.2","33174","192.168.10.22","8081","0","38","353"
,"1.665983000","0.625244000","46","52","10.0.0.2","33174","192.168.10.22","8081","0","38","441"
,"1.666001000","0.625262000","47","52","10.0.0.2","33174","192.168.10.22","8081","0","38","529"
,"1.666018000","0.625279000","48","52","10.0.0.2","33174","192.168.10.22","8081","0","38","617"
,"1.666032000","0.625293000","49","52","10.0.0.2","33174","192.168.10.22","8081","0","38","705"
,"1.666043000","0.625304000","50","52","10.0.0.2","33174","192.168.10.22","8081","0","38","793"
,"1.666850000","0.626111000","51","140","192.168.10.22","8081","10.0.0.2","33174","88","881","38"
,"1.672426000","0.631687000","52","140","192.168.10.22","8081","10.0.0.2","33174","88","969","38"
,"1.683336000","0.642597000","53","140","192.168.10.22","8081","10.0.0.2","33174","88","1057","38"
,"1.694218000","0.653479000","54","140","192.168.10.22","8081","10.0.0.2","33174","88","1145","38"
,"1.705191000","0.664452000","55","140","192.168.10.22","8081","10.0.0.2","33174","88","1233","38"
,"1.716023000","0.675284000","56","140","192.168.10.22","8081","10.0.0.2","33174","88","1321","38"
,"1.726819000","0.686080000","57","140","192.168.10.22","8081","10.0.0.2","33174","88","1409","38"
,"1.727011000","0.686272000","58","52","10.0.0.2","33174","192.168.10.22","8081","0","38","881"
,"1.737828000","0.697089000","59","140","192.168.10.22","8081","10.0.0.2","33174","88","1497","38"
,"1.748814000","0.708075000","60","140","192.168.10.22","8081","10.0.0.2","33174","88","1585","38"
,"1.759730000","0.718991000","61","140","192.168.10.22","8081","10.0.0.2","33174","88","1673","38"
