_ws.col.cls_time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
,"0.000000000",,"1","76",,,,,,,
,"0.089110000","0.000000000","2","60","10.0.0.2","56026","192.168.10.22","8081","0","0","0"
,"0.091738000","0.002628000","3","60","192.168.10.22","8081","10.0.0.2","56026","0","0","1"
,"0.403054000","0.313944000","4","52","10.0.0.2","56026","192.168.10.22","8081","0","1","1"
,"0.403075000","0.313965000","5","89","10.0.0.2","56026","192.168.10.22","8081","37","1","1"
,"0.404270000","0.315160000","6","52","192.168.10.22","8081","10.0.0.2","56026","0","1","38"
,"0.404473000","0.315363000","7","53","192.168.10.22","8081","10.0.0.2","56026","1","1","38"
,"0.714040000","0.624930000","8","52","10.0.0.2","56026","192.168.10.22","8081","0","38","2"
,"0.714048000","0.624938000","9","56","10.0.0.2","56026","192.168.10.22","8081","4","38","2"
,"0.714052000","0.624942000","10","100","10.0.0.2","56026","192.168.10.22","8081","48","42","2"
,"0.714055000","0.624945000","11","100","10.0.0.2","56026","192.168.10.22","8081","48","90","2"
,"0.714058000","0.624948000","12","100","10.0.0.2","56026","192.168.10.22","8081","48","138","2"
,"0.715005000","0.625895000","13","52","192.168.10.22","8081","10.0.0.2","56026","0","2","186"
,"0.715472000","0.626362000","14","53","192.168.10.22","8081","10.0.0.2","56026","1","2","186"
,"0.760110000",,"15","76",,,,,,,
,"0.760872000",,"16","76",,,,,,,
,"0.760896000",,"17","48",,,,,,,
,"0.763211000",,"18","76",,,,,,,
,"1.027827000","0.000000000","19","60","10.0.0.2","56038","192.168.10.22","8081","0","0","0"
,"1.027862000","0.938752000","20","52","10.0.0.2","56026","192.168.10.22","8081","0","186","3"
,"1.029097000","0.001270000","21","60","192.168.10.22","8081","10.0.0.2","56038","0","0","1"
,"1.232176000",,"22","76",,,,,,,
,"1.339902000","0.312075000","23","52","10.0.0.2","56038","192.168.10.22","8081","0","1","1"
,"1.339932000","0.312105000","24","89","10.0.0.2","56038","192.168.10.22","8081","37","1","1"
,"1.341183000","0.313356000","25","52","192.168.10.22","8081","10.0.0.2","56038","0","1","38"
,"1.341224000","0.313397000","26","52","192.168.10.22","8081","10.0.0.2","56038","0","1","38"
,"1.353954000","1.264844000","27","53","192.168.10.22","8081","10.0.0.2","56026","1","3","186"
,"1.354028000","1.264918000","28","53","192.168.10.22","8081","10.0.0.2","56026","1","4","186"
,"1.354614000","0.326787000","29","140","192.168.10.22","8081","10.0.0.2","56038","88","1","38"
,"1.354655000","0.326828000","30","140","192.168.10.22","8081","10.0.0.2","56038","88","89","38"
,"1.354729000","0.326902000","31","140","192.168.10.22","8081","10.0.0.2","56038","88","177","38"
,"1.354745000","0.326918000","32","140","192.168.10.22","8081","10.0.0.2","56038","88","265","38"
,"1.354796000","0.326969000","33","140","192.168.10.22","8081","10.0.0.2","56038","88","353","38"
,"1.354809000","0.326982000","34","140","192.168.10.22","8081","10.0.0.2","56038","88","441","38"
,"1.354854000","0.327027000","35","140","192.168.10.22","8081","10.0.0.2","56038","88","529","38"
,"1.354866000","0.327039000","36","140","192.168.10.22","8081","10.0.0.2","56038","88","617","38"
,"1.354912000","0.327085000","37","140","192.168.10.22","8081","10.0.0.2","56038","88","705","38"
,"1.354924000","0.327097000","38","140","192.168.10.22","8081","10.0.0.2","56038","88","793","38"
,"1.528165000",,"39","76",,,,,,,
,"1.652160000","1.563050000","40","52","10.0.0.2","56026","192.168.10.22","8081","0","186","4"
,"1.652186000","1.563076000","41","52","10.0.0.2","56026","192.168.10.22","8081","0","186","5"
,"1.652201000","0.624374000","42","52","10.0.0.2","56038","192.168.10.22","8081","0","38","89"
,"1.652217000","0.624390000","43","52","10.0.0.2","56038","192.168.10.22","8081","0","38","177"
,"1.652231000","0.624404000","44","52","10.0.0.2","56038","192.168.10.22","8081","0","38","265"
,"1.652245000","0.624418000","45","52","10.0.0.2","56038","192.168.10.22","8081","0","38","353"
,"1.652259000","0.624432000","46","52","10.0.0.2","56038","192.168.10.22","8081","0","38","441"
,"1.652272000","0.624445000","47","52","10.0.0.2","56038","192.168.10.22","8081","0","38","529"
,"1.652285000","0.624458000","48","52","10.0.0.2","56038","192.168.10.22","8081","0","38","617"
,"1.652299000","0.624472000","49","52","10.0.0.2","56038","192.168.10.22","8081","0","38","705"
,"1.653333000","0.625506000","50","140","192.168.10.22","8081","10.0.0.2","56038","88","881","38"
,"1.653377000","0.625550000","51","140","192.168.10.22","8081","10.0.0.2","56038","88","969","38"
,"1.653437000","0.625610000","52","140","192.168.10.22","8081","10.0.0.2","56038","88","1057","38"
,"1.653453000","0.625626000","53","140","192.168.10.22","8081","10.0.0.2","56038","88","1145","38"
,"1.653503000","0.625676000","54","140","192.168.10.22","8081","10.0.0.2","56038","88","1233","38"
,"1.653515000","0.625688000","55","140","192.168.10.22","8081","10.0.0.2","56038","88","1321","38"
,"1.653559000","0.625732000","56","140","192.168.10.22","8081","10.0.0.2","56038","88","1409","38"
,"1.653570000","0.625743000","57","140","192.168.10.22","8081","10.0.0.2","56038","88","1497","38"
,"1.653614000","0.625787000","58","140","192.168.10.22","8081","10.0.0.2","56038","88","1585","38"
,"1.653627000","0.625800000","59","140","192.168.10.22","8081","10.0.0.2","56038","88","1673","38"
,"1.653671000","0.625844000","60","140","192.168.10.22","8081","10.0.0.2","56038","88","1761","38"
,"1.653684000","0.625857000","61","140","192.168.10.22","8081","10.0.0.2","56038","88","1849","38"
,"1.653729000","0.625902000","62","140","192.168.10.22","8081","10.0.0.2","56038","88","1937","38"
,"1.653741000","0.625914000","63","140","192.168.10.22","8081","10.0.0.2","56038","88","2025","38"
,"1.653785000","0.625958000","64","140","192.168.10.22","8081","10.0.0.2","56038","88","2113","38"
,"1.653797000","0.625970000","65","140","192.168.10.22","8081","10.0.0.2","56038","88","2201","38"
,"1.714283000","0.686456000","66","52","10.0.0.2","56038","192.168.10.22","8081","0","38","793"
,"1.714292000","0.686465000","67","52","10.0.0.2","56038","192.168.10.22","8081","0","38","881"
,"1.715045000","0.687218000","68","140","192.168.10.22","8081","10.0.0.2","56038","88","2289","38"
,"1.715076000","0.687249000","69","140","192.168.10.22","8081","10.0.0.2","56038","88","2377","38"
,"1.715126000","0.687299000","70","140","192.168.10.22","8081","10.0.0.2","56038","88","2465","38"
,"1.715137000","0.687310000","71","140","192.168.10.22","8081","10.0.0.2","56038","88","2553","38"
,"1.964948000","0.937121000","72","52","10.0.0.2","56038","192.168.10.22","8081","0","38","969"
,"1.965015000","0.937188000","73","52","10.0.0.2","56038","192.168.10.22","8081","0","38","1057"
,"1.965035000","0.937208000","74","52","10.0.0.2","56038","192.168.10.22","8081","0","38","1145"
,"1.965052000","0.937225000","75","52","10.0.0.2","56038","192.168.10.22","8081","0","38","1233"
,"1.965066000","0.937239000","76","52","10.0.0.2","56038","192.168.10.22","8081","0","38","1321"
,"1.965080000","0.937253000","77","52","10.0.0.2","56038","192.168.10.22","8081","0","38","1585"
,"1.965094000","0.937267000","78","52","10.0.0.2","56038","192.168.10.22","8081","0","38","1761"
,"1.966048000","0.938221000","79","140","192.168.10.22","8081","10.0.0.2","56038","88","2641","38"
,"1.966092000","0.938265000","80","140","192.168.10.22","8081","10.0.0.2","56038","88","2729","38"
,"1.966153000","0.938326000","81","140","192.168.10.22","8081","10.0.0.2","56038","88","2817","38"
,"1.966166000","0.938339000","82","140","192.168.10.22","8081","10.0.0.2","56038","88","2905","38"
,"1.966212000","0.938385000","83","140","192.168.10.22","8081","10.0.0.2","56038","88","2993","38"
,"1.966223000","0.938396000","84","140","192.168.10.22","8081","10.0.0.2","56038","88","3081","38"
,"1.966267000","0.938440000","85","140","192.168.10.22","8081","10.0.0.2","56038","88","3169","38"
,"1.966277000","0.938450000","86","140","192.168.10.22","8081","10.0.0.2","56038","88","3257","38"
,"1.966321000","0.938494000","87","140","192.168.10.22","8081","10.0.0.2","56038","88","3345","38"
,"1.966341000","0.938514000","88","140","192.168.10.22","8081","10.0.0.2","56038","88","3433","38"
,"1.966384000","0.938557000","89","140","192.168.10.22","8081","10.0.0.2","56038","88","3521","38"
,"1.966397000","0.938570000","90","140","192.168.10.22","8081","10.0.0.2","56038","88","3609","38"
,"1.966441000","0.938614000","91","140","192.168.10.22","8081","10.0.0.2","56038","88","3697","38"
,"1.966455000","0.938628000","92","140","192.168.10.22","8081","10.0.0.2","56038","88","3785","38"
,"1.966499000","0.938672000","93","140","192.168.10.22","8081","10.0.0.2","56038","88","3873","38"
,"1.966510000","0.938683000","94","140","192.168.10.22","8081","10.0.0.2","56038","88","3961","38"
,"1.966554000","0.938727000","95","140","192.168.10.22","8081","10.0.0.2","56038","88","4049","38"
,"1.966567000","0.938740000","96","140","192.168.10.22","8081","10.0.0.2","56038","88","4137","38"
,"1.966611000","0.938784000","97","140","192.168.10.22","8081","10.0.0.2","56038","88","4225","38"
,"1.966622000","0.938795000","98","140","192.168.10.22","8081","10.0.0.2","56038","88","4313","38"
,"2.027268000","0.999441000","99","52","10.0.0.2","56038","192.168.10.22","8081","0","38","2553"
,"2.027296000","0.999469000","100","52","10.0.0.2","56038","192.168.10.22","8081","0","38","2641"
,"2.028411000","1.000584000","101","140","192.168.10.22","8081","10.0.0.2","56038","88","4401","38"
,"2.028436000","1.000609000","102","140","192.168.10.22","8081","10.0.0.2","56038","88","4489","38"
,"2.028483000","1.000656000","103","140","192.168.10.22","8081","10.0.0.2","56038","88","4577","38"
,"2.028494000","1.000667000","104","140","192.168.10.22","8081","10.0.0.2","56038","88","4665","38"
,"2.028538000","1.000711000","105","140","192.168.10.22","8081","10.0.0.2","56038","88","4753","38"
,"2.028549000","1.000722000","106","140","192.168.10.22","8081","10.0.0.2","56038","88","4841","38"
,"2.028593000","1.000766000","107","140","192.168.10.22","8081","10.0.0.2","56038","88","4929","38"
,"2.028605000","1.000778000","108","140","192.168.10.22","8081","10.0.0.2","56038","88","5017","38"
,"2.028648000","1.000821000","109","140","192.168.10.22","8081","10.0.0.2","56038","88","5105","38"
,"2.028660000","1.000833000","110","140","192.168.10.22","8081","10.0.0.2","56038","88","5193","38"
,"2.028702000","1.000875000","111","140","192.168.10.22","8081","10.0.0.2","56038","88","5281","38"
,"2.028715000","1.000888000","112","140","192.168.10.22","8081","10.0.0.2","56038","88","5369","38"
,"2.028759000","1.000932000","113","140","192.168.10.22","8081","10.0.0.2","56038","88","5457","38"
,"2.028773000","1.000946000","114","140","192.168.10.22","8081","10.0.0.2","56038","88","5545","38"
,"2.028816000","1.000989000","115","140","192.168.10.22","8081","10.0.0.2","56038","88","5633","38"
,"2.028827000","1.001000000","116","140","192.168.10.22","8081","10.0.0.2","56038","88","5721","38"
,"2.028870000","1.001043000","117","140","192.168.10.22","8081","10.0.0.2","56038","88","5809","38"
,"2.028883000","1.001056000","118","140","192.168.10.22","8081","10.0.0.2","56038","88","5897","38"
,"2.028925000","1.001098000","119","140","192.168.10.22","8081","10.0.0.2","56038","88","5985","38"
,"2.028937000","1.001110000","120","140","192.168.10.22","8081","10.0.0.2","56038","88","6073","38"
,"2.278119000","1.250292000","121","52","10.0.0.2","56038","192.168.10.22","8081","0","38","3433"
,"2.278146000","1.250319000","122","52","10.0.0.2","56038","192.168.10.22","8081","0","38","3521"
,"2.279175000","1.251348000","123","140","192.168.10.22","8081","10.0.0.2","56038","88","6161","38"
,"2.279221000","1.251394000","124","140","192.168.10.22","8081","10.0.0.2","56038","88","6249","38"
,"2.279284000","1.251457000","125","140","192.168.10.22","8081","10.0.0.2","56038","88","6337","38"
,"2.279297000","1.251470000","126","140","192.168.10.22","8081","10.0.0.2","56038","88","6425","38"
,"2.279343000","1.251516000","127","140","192.168.10.22","8081","10.0.0.2","56038","88","6513","38"
,"2.279354000","1.251527000","128","140","192.168.10.22","8081","10.0.0.2","56038","88","6601","38"
,"2.279398000","1.251571000","129","140","192.168.10.22","8081","10.0.0.2","56038","88","6689","38"
,"2.279409000","1.251582000","130","140","192.168.10.22","8081","10.0.0.2","56038","88","6777","38"
,"2.279453000","1.251626000","131","140","192.168.10.22","8081","10.0.0.2","56038","88","6865","38"
,"2.279476000","1.251649000","132","140","192.168.10.22","8081","10.0.0.2","56038","88","6953","38"
,"2.279521000","1.251694000","133","140","192.168.10.22","8081","10.0.0.2","56038","88","7041","38"
,"2.279534000","1.251707000","134","140","192.168.10.22","8081","10.0.0.2","56038","88","7129","38"
,"2.279579000","1.251752000","135","140","192.168.10.22","8081","10.0.0.2","56038","88","7217","38"
,"2.279593000","1.251766000","136","140","192.168.10.22","8081","10.0.0.2","56038","88","7305","38"
,"2.279636000","1.251809000","137","140","192.168.10.22","8081","10.0.0.2","56038","88","7393","38"
,"2.279647000","1.251820000","138","140","192.168.10.22","8081","10.0.0.2","56038","88","7481","38"
,"2.279690000","1.251863000","139","140","192.168.10.22","8081","10.0.0.2","56038","88","7569","38"
,"2.279703000","1.251876000","140","140","192.168.10.22","8081","10.0.0.2","56038","88","7657","38"
,"2.279747000","1.251920000","141","140","192.168.10.22","8081","10.0.0.2","56038","88","7745","38"
,"2.279758000","1.251931000","142","140","192.168.10.22","8081","10.0.0.2","56038","88","7833","38"
,"2.339479000","1.311652000","143","52","10.0.0.2","56038","192.168.10.22","8081","0","38","4313"
,"2.339507000","1.311680000","144","52","10.0.0.2","56038","192.168.10.22","8081","0","38","4401"
,"2.340408000","1.312581000","145","140","192.168.10.22","8081","10.0.0.2","56038","88","7921","38"
,"2.340446000","1.312619000","146","140","192.168.10.22","8081","10.0.0.2","56038","88","8009","38"
,"2.340496000","1.312669000","147","140","192.168.10.22","8081","10.0.0.2","56038","88","8097","38"
,"2.340508000","1.312681000","148","140","192.168.10.22","8081","10.0.0.2","56038","88","8185","38"
,"2.340554000","1.312727000","149","140","192.168.10.22","8081","10.0.0.2","56038","88","8273","38"
,"2.340566000","1.312739000","150","140","192.168.10.22","8081","10.0.0.2","56038","88","8361","38"
,"2.340609000","1.312782000","151","140","192.168.10.22","8081","10.0.0.2","56038","88","8449","38"
,"2.340620000","1.312793000","152","140","192.168.10.22","8081","10.0.0.2","56038","88","8537","38"
,"2.340665000","1.312838000","153","140","192.168.10.22","8081","10.0.0.2","56038","88","8625","38"
,"2.340678000","1.312851000","154","140","192.168.10.22","8081","10.0.0.2","56038","88","8713","38"
,"2.340722000","1.312895000","155","140","192.168.10.22","8081","10.0.0.2","56038","88","8801","38"
,"2.340734000","1.312907000","156","140","192.168.10.22","8081","10.0.0.2","56038","88","8889","38"
,"2.340779000","1.312952000","157","140","192.168.10.22","8081","10.0.0.2","56038","88","8977","38"
,"2.340792000","1.312965000","158","140","192.168.10.22","8081","10.0.0.2","56038","88","9065","38"
,"2.340836000","1.313009000","159","140","192.168.10.22","8081","10.0.0.2","56038","88","9153","38"
,"2.340846000","1.313019000","160","140","192.168.10.22","8081","10.0.0.2","56038","88","9241","38"
,"2.340890000","1.313063000","161","140","192.168.10.22","8081","10.0.0.2","56038","88","9329","38"
,"2.340902000","1.313075000","162","140","192.168.10.22","8081","10.0.0.2","56038","88","9417","38"
,"2.340945000","1.313118000","163","140","192.168.10.22","8081","10.0.0.2","56038","88","9505","38"
,"2.340994000","1.313167000","164","140","192.168.10.22","8081","10.0.0.2","56038","88","9593","38"
,"2.402791000","1.374964000","165","52","10.0.0.2","56038","192.168.10.22","8081","0","38","4929"
,"2.402798000","1.374971000","166","52","10.0.0.2","56038","192.168.10.22","8081","0","38","5369"
,"2.403526000","1.375699000","167","140","192.168.10.22","8081","10.0.0.2","56038","88","9681","38"
,"2.403539000","1.375712000","168","140","192.168.10.22","8081","10.0.0.2","56038","88","9769","38"
,"2.403551000","1.375724000","169","140","192.168.10.22","8081","10.0.0.2","56038","88","9857","38"
,"2.403554000","1.375727000","170","140","192.168.10.22","8081","10.0.0.2","56038","88","9945","38"
,"2.403565000","1.375738000","171","140","192.168.10.22","8081","10.0.0.2","56038","88","10033","38"
,"2.403568000","1.375741000","172","140","192.168.10.22","8081","10.0.0.2","56038","88","10121","38"
,"2.403579000","1.375752000","173","140","192.168.10.22","8081","10.0.0.2","56038","88","10209","38"
,"2.403581000","1.375754000","174","140","192.168.10.22","8081","10.0.0.2","56038","88","10297","38"
,"2.403602000","1.375775000","175","140","192.168.10.22","8081","10.0.0.2","56038","88","10385","38"
,"2.403605000","1.375778000","176","140","192.168.10.22","8081","10.0.0.2","56038","88","10473","38"
,"2.403616000","1.375789000","177","140","192.168.10.22","8081","10.0.0.2","56038","88","10561","38"
,"2.403619000","1.375792000","178","140","192.168.10.22","8081","10.0.0.2","56038","88","10649","38"
,"2.403737000","1.375910000","179","140","192.168.10.22","8081","10.0.0.2","56038","88","10737","38"
,"2.403746000","1.375919000","180","140","192.168.10.22","8081","10.0.0.2","56038","88","10825","38"
,"2.403758000","1.375931000","181","140","192.168.10.22","8081","10.0.0.2","56038","88","10913","38"
,"2.403760000","1.375933000","182","140","192.168.10.22","8081","10.0.0.2","56038","88","11001","38"
,"2.403772000","1.375945000","183","140","192.168.10.22","8081","10.0.0.2","56038","88","11089","38"
,"2.403774000","1.375947000","184","140","192.168.10.22","8081","10.0.0.2","56038","88","11177","38"
,"2.403785000","1.375958000","185","140","192.168.10.22","8081","10.0.0.2","56038","88","11265","38"
,"2.403788000","1.375961000","186","140","192.168.10.22","8081","10.0.0.2","56038","88","11353","38"
,"2.403799000","1.375972000","187","140","192.168.10.22","8081","10.0.0.2","56038","88","11441","38"
,"2.403801000","1.375974000","188","140","192.168.10.22","8081","10.0.0.2","56038","88","11529","38"
,"2.465089000","1.437262000","189","52","10.0.0.2","56038","192.168.10.22","8081","0","38","5985"
,"2.465119000","1.437292000","190","52","10.0.0.2","56038","192.168.10.22","8081","0","38","6161"
,"2.466137000","1.438310000","191","140","192.168.10.22","8081","10.0.0.2","56038","88","11617","38"
,"2.466181000","1.438354000","192","140","192.168.10.22","8081","10.0.0.2","56038","88","11705","38"
,"2.466240000","1.438413000","193","140","192.168.10.22","8081","10.0.0.2","56038","88","11793","38"
,"2.466256000","1.438429000","194","140","192.168.10.22","8081","10.0.0.2","56038","88","11881","38"
,"2.466304000","1.438477000","195","140","192.168.10.22","8081","10.0.0.2","56038","88","11969","38"
,"2.466315000","1.438488000","196","140","192.168.10.22","8081","10.0.0.2","56038","88","12057","38"
,"2.466359000","1.438532000","197","140","192.168.10.22","8081","10.0.0.2","56038","88","12145","38"
,"2.466370000","1.438543000","198","140","192.168.10.22","8081","10.0.0.2","56038","88","12233","38"
,"2.466417000","1.438590000","199","140","192.168.10.22","8081","10.0.0.2","56038","88","12321","38"
,"2.466431000","1.438604000","200","140","192.168.10.22","8081","10.0.0.2","56038","88","12409","38"
,"2.466476000","1.438649000","201","140","192.168.10.22","8081","10.0.0.2","56038","88","12497","38"
,"2.466490000","1.438663000","202","140","192.168.10.22","8081","10.0.0.2","56038","88","12585","38"
,"2.466535000","1.438708000","203","140","192.168.10.22","8081","10.0.0.2","56038","88","12673","38"
,"2.466547000","1.438720000","204","140","192.168.10.22","8081","10.0.0.2","56038","88","12761","38"
,"2.466591000","1.438764000","205","140","192.168.10.22","8081","10.0.0.2","56038","88","12849","38"
,"2.466604000","1.438777000","206","140","192.168.10.22","8081","10.0.0.2","56038","88","12937","38"
,"2.466648000","1.438821000","207","140","192.168.10.22","8081","10.0.0.2","56038","88","13025","38"
,"2.466660000","1.438833000","208","140","192.168.10.22","8081","10.0.0.2","56038","88","13113","38"
,"2.589398000","1.561571000","209","52","10.0.0.2","56038","192.168.10.22","8081","0","38","6953"
,"2.589422000","1.561595000","210","52","10.0.0.2","56038","192.168.10.22","8081","0","38","7041"
,"2.590409000","1.562582000","211","140","192.168.10.22","8081","10.0.0.2","56038","88","13201","38"
,"2.590455000","1.562628000","212","140","192.168.10.22","8081","10.0.0.2","56038","88","13289","38"
,"2.590522000","1.562695000","213","140","192.168.10.22","8081","10.0.0.2","56038","88","13377","38"
,"2.590536000","1.562709000","214","140","192.168.10.22","8081","10.0.0.2","56038","88","13465","38"
,"2.590584000","1.562757000","215","140","192.168.10.22","8081","10.0.0.2","56038","88","13553","38"
,"2.590596000","1.562769000","216","140","192.168.10.22","8081","10.0.0.2","56038","88","13641","38"
