_ws.col.cls_time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
,"0.000000000","0.000000000","1","60","10.0.0.2","42008","192.168.10.22","8081","0","0","0"
,"0.003464000","0.003464000","2","60","192.168.10.22","8081","10.0.0.2","42008","0","0","1"
,"0.050438000",,"3","76",,,,,,,
,"0.187829000","0.187829000","4","52","10.0.0.2","42008","192.168.10.22","8081","0","1","1"
,"0.187840000","0.187840000","5","89","10.0.0.2","42008","192.168.10.22","8081","37","1","1"
,"0.188887000","0.188887000","6","52","192.168.10.22","8081","10.0.0.2","42008","0","1","38"
,"0.189062000","0.189062000","7","53","192.168.10.22","8081","10.0.0.2","42008","1","1","38"
,"0.375286000","0.375286000","8","52","10.0.0.2","42008","192.168.10.22","8081","0","38","2"
,"0.375304000","0.375304000","9","56","10.0.0.2","42008","192.168.10.22","8081","4","38","2"
,"0.375308000","0.375308000","10","100","10.0.0.2","42008","192.168.10.22","8081","48","42","2"
,"0.375311000","0.375311000","11","100","10.0.0.2","42008","192.168.10.22","8081","48","90","2"
,"0.375314000","0.375314000","12","100","10.0.0.2","42008","192.168.10.22","8081","48","138","2"
,"0.376213000","0.376213000","13","52","192.168.10.22","8081","10.0.0.2","42008","0","2","186"
,"0.562398000","0.562398000","14","54","10.0.0.2","42008","192.168.10.22","8081","2","186","2"
,"0.563521000","0.563521000","15","53","192.168.10.22","8081","10.0.0.2","42008","1","2","188"
,"0.698421000",,"16","76",,,,,,,
,"0.750134000","0.000000000","17","60","10.0.0.2","42010","192.168.10.22","8081","0","0","0"
,"0.751442000","0.001308000","18","60","192.168.10.22","8081","10.0.0.2","42010","0","0","1"
,"0.762924000",,"19","76",,,,,,,
,"0.762944000",,"20","48",,,,,,,
,"0.765509000",,"21","76",,,,,,,
,"0.812316000","0.812316000","22","52","10.0.0.2","42008","192.168.10.22","8081","0","188","3"
,"0.937842000","0.187708000","23","52","10.0.0.2","42010","192.168.10.22","8081","0","1","1"
,"0.937870000","0.187736000","24","89","10.0.0.2","42010","192.168.10.22","8081","37","1","1"
,"0.939125000","0.188991000","25","52","192.168.10.22","8081","10.0.0.2","42010","0","1","38"
,"0.950314000","0.950314000","26","53","192.168.10.22","8081","10.0.0.2","42008","1","3","188"
,"0.950325000","0.950325000","27","53","192.168.10.22","8081","10.0.0.2","42008","1","4","188"
,"0.951058000","0.200924000","28","140","192.168.10.22","8081","10.0.0.2","42010","88","1","38"
,"0.951089000","0.200955000","29","140","192.168.10.22","8081","10.0.0.2","42010","88","89","38"
,"0.951145000","0.201011000","30","140","192.168.10.22","8081","10.0.0.2","42010","88","177","38"
,"0.951158000","0.201024000","31","140","192.168.10.22","8081","10.0.0.2","42010","88","265","38"
,"0.951210000","0.201076000","32","140","192.168.10.22","8081","10.0.0.2","42010","88","353","38"
,"0.951224000","0.201090000","33","140","192.168.10.22","8081","10.0.0.2","42010","88","441","38"
,"0.951295000","0.201161000","34","140","192.168.10.22","8081","10.0.0.2","42010","88","529","38"
,"0.951308000","0.201174000","35","140","192.168.10.22","8081","10.0.0.2","42010","88","617","38"
,"0.951352000","0.201218000","36","140","192.168.10.22","8081","10.0.0.2","42010","88","705","38"
,"0.951363000","0.201229000","37","140","192.168.10.22","8081","10.0.0.2","42010","88","793","38"
,"1.125930000","1.125930000","38","52","10.0.0.2","42008","192.168.10.22","8081","0","188","4"
,"1.125957000","1.125957000","39","52","10.0.0.2","42008","192.168.10.22","8081","0","188","5"
,"1.125970000","0.375836000","40","52","10.0.0.2","42010","192.168.10.22","8081","0","38","89"
,"1.125982000","0.375848000","41","52","10.0.0.2","42010","192.168.10.22","8081","0","38","177"
,"1.125994000","0.375860000","42","52","10.0.0.2","42010","192.168.10.22","8081","0","38","265"
,"1.126007000","0.375873000","43","52","10.0.0.2","42010","192.168.10.22","8081","0","38","353"
,"1.126020000","0.375886000","44","52","10.0.0.2","42010","192.168.10.22","8081","0","38","441"
,"1.126033000","0.375899000","45","52","10.0.0.2","42010","192.168.10.22","8081","0","38","529"
,"1.126046000","0.375912000","46","52","10.0.0.2","42010","192.168.10.22","8081","0","38","617"
,"1.126059000","0.375925000","47","52","10.0.0.2","42010","192.168.10.22","8081","0","38","705"
,"1.126072000","0.375938000","48","52","10.0.0.2","42010","192.168.10.22","8081","0","38","793"
,"1.127215000","0.377081000","49","140","192.168.10.22","8081","10.0.0.2","42010","88","881","38"
,"1.127243000","0.377109000","50","140","192.168.10.22","8081","10.0.0.2","42010","88","969","38"
,"1.127356000","0.377222000","51","140","192.168.10.22","8081","10.0.0.2","42010","88","1057","38"
,"1.127377000","0.377243000","52","140","192.168.10.22","8081","10.0.0.2","42010","88","1145","38"
,"1.127424000","0.377290000","53","140","192.168.10.22","8081","10.0.0.2","42010","88","1233","38"
,"1.127435000","0.377301000","54","140","192.168.10.22","8081","10.0.0.2","42010","88","1321","38"
,"1.127478000","0.377344000","55","140","192.168.10.22","8081","10.0.0.2","42010","88","1409","38"
,"1.127491000","0.377357000","56","140","192.168.10.22","8081","10.0.0.2","42010","88","1497","38"
,"1.127535000","0.377401000","57","140","192.168.10.22","8081","10.0.0.2","42010","88","1585","38"
,"1.127548000","0.377414000","58","140","192.168.10.22","8081","10.0.0.2","42010","88","1673","38"
,"1.127592000","0.377458000","59","140","192.168.10.22","8081","10.0.0.2","42010","88","1761","38"
,"1.127605000","0.377471000","60","140","192.168.10.22","8081","10.0.0.2","42010","88","1849","38"
,"1.127648000","0.377514000","61","140","192.168.10.22","8081","10.0.0.2","42010","88","1937","38"
,"1.127659000","0.377525000","62","140","192.168.10.22","8081","10.0.0.2","42010","88","2025","38"
,"1.127703000","0.377569000","63","140","192.168.10.22","8081","10.0.0.2","42010","88","2113","38"
,"1.127715000","0.377581000","64","140","192.168.10.22","8081","10.0.0.2","42010","88","2201","38"
