_ws.col.cls_time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
,"0.000000000",,"1","76",,,,,,,
,"0.087387000","0.000000000","2","60","10.0.0.2","35326","192.168.10.22","8081","0","0","0"
,"0.090041000","0.002654000","3","60","192.168.10.22","8081","10.0.0.2","35326","0","0","1"
,"0.400371000","0.312984000","4","52","10.0.0.2","35326","192.168.10.22","8081","0","1","1"
,"0.400396000","0.313009000","5","89","10.0.0.2","35326","192.168.10.22","8081","37","1","1"
,"0.401549000","0.314162000","6","52","192.168.10.22","8081","10.0.0.2","35326","0","1","38"
,"0.401932000","0.314545000","7","53","192.168.10.22","8081","10.0.0.2","35326","1","1","38"
,"0.640642000",,"8","76",,,,,,,
,"0.640666000",,"9","48",,,,,,,
,"0.643154000",,"10","76",,,,,,,
,"0.712873000","0.625486000","11","52","10.0.0.2","35326","192.168.10.22","8081","0","38","2"
,"0.712898000","0.625511000","12","56","10.0.0.2","35326","192.168.10.22","8081","4","38","2"
,"0.712943000","0.625556000","13","100","10.0.0.2","35326","192.168.10.22","8081","48","42","2"
,"0.712961000","0.625574000","14","100","10.0.0.2","35326","192.168.10.22","8081","48","90","2"
,"0.712977000","0.625590000","15","100","10.0.0.2","35326","192.168.10.22","8081","48","138","2"
,"0.714056000","0.626669000","16","52","192.168.10.22","8081","10.0.0.2","35326","0","2","186"
,"0.768042000",,"17","76",,,,,,,
,"1.025895000","0.938508000","18","54","10.0.0.2","35326","192.168.10.22","8081","2","186","2"
,"1.027308000","0.939921000","19","53","192.168.10.22","8081","10.0.0.2","35326","1","2","188"
,"1.152188000",,"20","76",,,,,,,
,"1.152207000",,"21","76",,,,,,,
,"1.337646000","0.000000000","22","60","10.0.0.2","35332","192.168.10.22","8081","0","0","0"
,"1.337658000","1.250271000","23","52","10.0.0.2","35326","192.168.10.22","8081","0","188","3"
,"1.338834000","0.001188000","24","60","192.168.10.22","8081","10.0.0.2","35332","0","0","1"
,"1.650225000","0.312579000","25","52","10.0.0.2","35332","192.168.10.22","8081","0","1","1"
,"1.650234000","0.312588000","26","89","10.0.0.2","35332","192.168.10.22","8081","37","1","1"
,"1.651565000","0.313919000","27","52","192.168.10.22","8081","10.0.0.2","35332","0","1","38"
,"1.651607000","0.313961000","28","52","192.168.10.22","8081","10.0.0.2","35332","0","1","38"
,"1.663957000","1.576570000","29","53","192.168.10.22","8081","10.0.0.2","35326","1","3","188"
,"1.664001000","1.576614000","30","53","192.168.10.22","8081","10.0.0.2","35326","1","4","188"
,"1.664384000","0.326738000","31","140","192.168.10.22","8081","10.0.0.2","35332","88","1","38"
,"1.664421000","0.326775000","32","140","192.168.10.22","8081","10.0.0.2","35332","88","89","38"
,"1.664472000","0.326826000","33","140","192.168.10.22","8081","10.0.0.2","35332","88","177","38"
,"1.664484000","0.326838000","34","140","192.168.10.22","8081","10.0.0.2","35332","88","265","38"
,"1.664530000","0.326884000","35","140","192.168.10.22","8081","10.0.0.2","35332","88","353","38"
,"1.664541000","0.326895000","36","140","192.168.10.22","8081","10.0.0.2","35332","88","441","38"
,"1.664586000","0.326940000","37","140","192.168.10.22","8081","10.0.0.2","35332","88","529","38"
,"1.664598000","0.326952000","38","140","192.168.10.22","8081","10.0.0.2","35332","88","617","38"
,"1.664644000","0.326998000","39","140","192.168.10.22","8081","10.0.0.2","35332","88","705","38"
,"1.664658000","0.327012000","40","140","192.168.10.22","8081","10.0.0.2","35332","88","793","38"
,"1.962971000","1.875584000","41","52","10.0.0.2","35326","192.168.10.22","8081","0","188","4"
,"1.962979000","1.875592000","42","52","10.0.0.2","35326","192.168.10.22","8081","0","188","5"
,"1.962983000","0.625337000","43","52","10.0.0.2","35332","192.168.10.22","8081","0","38","89"
,"1.962986000","0.625340000","44","52","10.0.0.2","35332","192.168.10.22","8081","0","38","177"
,"1.962989000","0.625343000","45","52","10.0.0.2","35332","192.168.10.22","8081","0","38","265"
,"1.962993000","0.625347000","46","52","10.0.0.2","35332","192.168.10.22","8081","0","38","353"
,"1.962997000","0.625351000","47","52","10.0.0.2","35332","192.168.10.22","8081","0","38","441"
,"1.963001000","0.625355000","48","52","10.0.0.2","35332","192.168.10.22","8081","0","38","529"
,"1.963005000","0.625359000","49","52","10.0.0.2","35332","192.168.10.22","8081","0","38","617"
,"1.963007000","0.625361000","50","52","10.0.0.2","35332","192.168.10.22","8081","0","38","705"
,"1.963756000","0.626110000","51","140","192.168.10.22","8081","10.0.0.2","35332","88","881","38"
,"1.963769000","0.626123000","52","140","192.168.10.22","8081","10.0.0.2","35332","88","969","38"
,"1.963783000","0.626137000","53","140","192.168.10.22","8081","10.0.0.2","35332","88","1057","38"
,"1.963786000","0.626140000","54","140","192.168.10.22","8081","10.0.0.2","35332","88","1145","38"
,"1.963864000","0.626218000","55","140","192.168.10.22","8081","10.0.0.2","35332","88","1233","38"
,"1.963872000","0.626226000","56","140","192.168.10.22","8081","10.0.0.2","35332","88","1321","38"
,"1.963884000","0.626238000","57","140","192.168.10.22","8081","10.0.0.2","35332","88","1409","38"
,"1.963887000","0.626241000","58","140","192.168.10.22","8081","10.0.0.2","35332","88","1497","38"
,"1.963944000","0.626298000","59","140","192.168.10.22","8081","10.0.0.2","35332","88","1585","38"
,"1.963952000","0.626306000","60","140","192.168.10.22","8081","10.0.0.2","35332","88","1673","38"
,"1.963965000","0.626319000","61","140","192.168.10.22","8081","10.0.0.2","35332","88","1761","38"
,"1.963968000","0.626322000","62","140","192.168.10.22","8081","10.0.0.2","35332","88","1849","38"
,"1.963987000","0.626341000","63","140","192.168.10.22","8081","10.0.0.2","35332","88","1937","38"
,"1.963990000","0.626344000","64","140","192.168.10.22","8081","10.0.0.2","35332","88","2025","38"
,"1.964001000","0.626355000","65","140","192.168.10.22","8081","10.0.0.2","35332","88","2113","38"
,"1.964004000","0.626358000","66","140","192.168.10.22","8081","10.0.0.2","35332","88","2201","38"
,"2.025293000","0.687647000","67","52","10.0.0.2","35332","192.168.10.22","8081","0","38","793"
,"2.025321000","0.687675000","68","52","10.0.0.2","35332","192.168.10.22","8081","0","38","881"
,"2.026284000","0.688638000","69","140","192.168.10.22","8081","10.0.0.2","35332","88","2289","38"
,"2.026325000","0.688679000","70","140","192.168.10.22","8081","10.0.0.2","35332","88","2377","38"
,"2.026380000","0.688734000","71","140","192.168.10.22","8081","10.0.0.2","35332","88","2465","38"
,"2.026396000","0.688750000","72","140","192.168.10.22","8081","10.0.0.2","35332","88","2553","38"
,"2.275320000","0.937674000","73","52","10.0.0.2","35332","192.168.10.22","8081","0","38","969"
,"2.275345000","0.937699000","74","52","10.0.0.2","35332","192.168.10.22","8081","0","38","1057"
,"2.275358000","0.937712000","75","52","10.0.0.2","35332","192.168.10.22","8081","0","38","1145"
,"2.275372000","0.937726000","76","52","10.0.0.2","35332","192.168.10.22","8081","0","38","1233"
,"2.275385000","0.937739000","77","52","10.0.0.2","35332","192.168.10.22","8081","0","38","1497"
,"2.275400000","0.937754000","78","52","10.0.0.2","35332","192.168.10.22","8081","0","38","1585"
,"2.275413000","0.937767000","79","52","10.0.0.2","35332","192.168.10.22","8081","0","38","1761"
,"2.276346000","0.938700000","80","140","192.168.10.22","8081","10.0.0.2","35332","88","2641","38"
,"2.276393000","0.938747000","81","140","192.168.10.22","8081","10.0.0.2","35332","88","2729","38"
