_ws.col.cls_time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
,"0.000000000","0.000000000","1","60","10.0.0.2","42414","192.168.10.22","8081","0","0","0"
,"0.003790000","0.003790000","2","60","192.168.10.22","8081","10.0.0.2","42414","0","0","1"
,"0.121417000",,"3","76",,,,,,,
,"0.121446000",,"4","48",,,,,,,
,"0.124438000",,"5","76",,,,,,,
,"0.281398000",,"6","76",,,,,,,
,"0.313189000","0.313189000","7","52","10.0.0.2","42414","192.168.10.22","8081","0","1","1"
,"0.313217000","0.313217000","8","89","10.0.0.2","42414","192.168.10.22","8081","37","1","1"
,"0.314684000","0.314684000","9","52","192.168.10.22","8081","10.0.0.2","42414","0","1","38"
,"0.314725000","0.314725000","10","52","192.168.10.22","8081","10.0.0.2","42414","0","1","38"
,"0.314979000","0.314979000","11","53","192.168.10.22","8081","10.0.0.2","42414","1","1","38"
,"0.546035000",,"12","76",,,,,,,
,"0.546058000",,"13","48",,,,,,,
,"0.548574000",,"14","76",,,,,,,
,"0.609413000",,"15","76",,,,,,,
,"0.624879000","0.624879000","16","52","10.0.0.2","42414","192.168.10.22","8081","0","38","2"
,"0.624907000","0.624907000","17","56","10.0.0.2","42414","192.168.10.22","8081","4","38","2"
,"0.624921000","0.624921000","18","100","10.0.0.2","42414","192.168.10.22","8081","48","42","2"
,"0.624936000","0.624936000","19","100","10.0.0.2","42414","192.168.10.22","8081","48","90","2"
,"0.624949000","0.624949000","20","100","10.0.0.2","42414","192.168.10.22","8081","48","138","2"
,"0.626025000","0.626025000","21","52","192.168.10.22","8081","10.0.0.2","42414","0","2","186"
,"0.809583000",,"22","76",,,,,,,
,"0.937619000","0.937619000","23","58","10.0.0.2","42414","192.168.10.22","8081","6","186","2"
,"0.939018000","0.939018000","24","53","192.168.10.22","8081","10.0.0.2","42414","1","2","192"
,"1.049595000",,"25","76",,,,,,,
,"1.250230000","0.000000000","26","60","10.0.0.2","42424","192.168.10.22","8081","0","0","0"
,"1.250262000","1.250262000","27","52","10.0.0.2","42414","192.168.10.22","8081","0","192","3"
,"1.251616000","0.001386000","28","60","192.168.10.22","8081","10.0.0.2","42424","0","0","1"
,"1.562876000","0.312646000","29","52","10.0.0.2","42424","192.168.10.22","8081","0","1","1"
,"1.562905000","0.312675000","30","89","10.0.0.2","42424","192.168.10.22","8081","37","1","1"
,"1.564384000","0.314154000","31","52","192.168.10.22","8081","10.0.0.2","42424","0","1","38"
,"1.577003000","1.577003000","32","53","192.168.10.22","8081","10.0.0.2","42414","1","3","192"
,"1.577045000","1.577045000","33","53","192.168.10.22","8081","10.0.0.2","42414","1","4","192"
,"1.577708000","0.327478000","34","140","192.168.10.22","8081","10.0.0.2","42424","88","1","38"
,"1.577749000","0.327519000","35","140","192.168.10.22","8081","10.0.0.2","42424","88","89","38"
,"1.577809000","0.327579000","36","140","192.168.10.22","8081","10.0.0.2","42424","88","177","38"
,"1.577824000","0.327594000","37","140","192.168.10.22","8081","10.0.0.2","42424","88","265","38"
,"1.577874000","0.327644000","38","140","192.168.10.22","8081","10.0.0.2","42424","88","353","38"
,"1.577886000","0.327656000","39","140","192.168.10.22","8081","10.0.0.2","42424","88","441","38"
,"1.577931000","0.327701000","40","140","192.168.10.22","8081","10.0.0.2","42424","88","529","38"
,"1.577942000","0.327712000","41","140","192.168.10.22","8081","10.0.0.2","42424","88","617","38"
,"1.577987000","0.327757000","42","140","192.168.10.22","8081","10.0.0.2","42424","88","705","38"
,"1.578007000","0.327777000","43","140","192.168.10.22","8081","10.0.0.2","42424","88","793","38"
,"1.874730000","1.874730000","44","52","10.0.0.2","42414","192.168.10.22","8081","0","192","4"
,"1.874743000","1.874743000","45","52","10.0.0.2","42414","192.168.10.22","8081","0","192","5"
,"1.874750000","0.624520000","46","52","10.0.0.2","42424","192.168.10.22","8081","0","38","89"
,"1.874757000","0.624527000","47","52","10.0.0.2","42424","192.168.10.22","8081","0","38","177"
,"1.874764000","0.624534000","48","52","10.0.0.2","42424","192.168.10.22","8081","0","38","265"
,"1.874771000","0.624541000","49","52","10.0.0.2","42424","192.168.10.22","8081","0","38","353"
