_ws.col.cls_time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
,"0.000000000",,"1","76",,,,,,,
,"0.087979000","0.000000000","2","60","10.0.0.2","60962","192.168.10.22","8081","0","0","0"
,"0.090224000",,"3","76",,,,,,,
,"0.090243000",,"4","48",,,,,,,
,"0.090268000","0.002289000","5","60","192.168.10.22","8081","10.0.0.2","60962","0","0","1"
,"0.091113000",,"6","76",,,,,,,
,"0.095181000",,"7","76",,,,,,,
,"0.275479000","0.187500000","8","52","10.0.0.2","60962","192.168.10.22","8081","0","1","1"
,"0.275507000","0.187528000","9","89","10.0.0.2","60962","192.168.10.22","8081","37","1","1"
,"0.276719000","0.188740000","10","52","192.168.10.22","8081","10.0.0.2","60962","0","1","38"
,"0.277066000","0.189087000","11","53","192.168.10.22","8081","10.0.0.2","60962","1","1","38"
,"0.463380000","0.375401000","12","52","10.0.0.2","60962","192.168.10.22","8081","0","38","2"
,"0.463409000","0.375430000","13","56","10.0.0.2","60962","192.168.10.22","8081","4","38","2"
,"0.463423000","0.375444000","14","100","10.0.0.2","60962","192.168.10.22","8081","48","42","2"
,"0.463436000","0.375457000","15","100","10.0.0.2","60962","192.168.10.22","8081","48","90","2"
,"0.463460000","0.375481000","16","100","10.0.0.2","60962","192.168.10.22","8081","48","138","2"
,"0.464568000","0.376589000","17","52","192.168.10.22","8081","10.0.0.2","60962","0","2","186"
,"0.560094000",,"18","76",,,,,,,
,"0.624228000",,"19","76",,,,,,,
,"0.649913000","0.561934000","20","53","10.0.0.2","60962","192.168.10.22","8081","1","186","2"
,"0.651371000","0.563392000","21","53","192.168.10.22","8081","10.0.0.2","60962","1","2","187"
,"0.837669000","0.000000000","22","60","10.0.0.2","60976","192.168.10.22","8081","0","0","0"
,"0.838914000","0.001245000","23","60","192.168.10.22","8081","10.0.0.2","60976","0","0","1"
,"0.900323000","0.812344000","24","52","10.0.0.2","60962","192.168.10.22","8081","0","187","3"
,"1.025365000","0.187696000","25","52","10.0.0.2","60976","192.168.10.22","8081","0","1","1"
,"1.025394000","0.187725000","26","89","10.0.0.2","60976","192.168.10.22","8081","37","1","1"
,"1.026733000","0.189064000","27","52","192.168.10.22","8081","10.0.0.2","60976","0","1","38"
,"1.038119000","0.950140000","28","53","192.168.10.22","8081","10.0.0.2","60962","1","3","187"
,"1.038161000","0.950182000","29","53","192.168.10.22","8081","10.0.0.2","60962","1","4","187"
,"1.038730000","0.201061000","30","140","192.168.10.22","8081","10.0.0.2","60976","88","1","38"
,"1.038770000","0.201101000","31","140","192.168.10.22","8081","10.0.0.2","60976","88","89","38"
,"1.038831000","0.201162000","32","140","192.168.10.22","8081","10.0.0.2","60976","88","177","38"
,"1.038845000","0.201176000","33","140","192.168.10.22","8081","10.0.0.2","60976","88","265","38"
,"1.038901000","0.201232000","34","140","192.168.10.22","8081","10.0.0.2","60976","88","353","38"
,"1.038915000","0.201246000","35","140","192.168.10.22","8081","10.0.0.2","60976","88","441","38"
,"1.038962000","0.201293000","36","140","192.168.10.22","8081","10.0.0.2","60976","88","529","38"
,"1.039004000","0.201335000","37","140","192.168.10.22","8081","10.0.0.2","60976","88","617","38"
,"1.039055000","0.201386000","38","140","192.168.10.22","8081","10.0.0.2","60976","88","705","38"
,"1.039069000","0.201400000","39","140","192.168.10.22","8081","10.0.0.2","60976","88","793","38"
,"1.213427000","1.125448000","40","52","10.0.0.2","60962","192.168.10.22","8081","0","187","4"
,"1.213454000","1.125475000","41","52","10.0.0.2","60962","192.168.10.22","8081","0","187","5"
,"1.213467000","0.375798000","42","52","10.0.0.2","60976","192.168.10.22","8081","0","38","89"
,"1.213480000","0.375811000","43","52","10.0.0.2","60976","192.168.10.22","8081","0","38","177"
,"1.213495000","0.375826000","44","52","10.0.0.2","60976","192.168.10.22","8081","0","38","265"
,"1.213509000","0.375840000","45","52","10.0.0.2","60976","192.168.10.22","8081","0","38","353"
,"1.213522000","0.375853000","46","52","10.0.0.2","60976","192.168.10.22","8081","0","38","441"
,"1.213535000","0.375866000","47","52","10.0.0.2","60976","192.168.10.22","8081","0","38","529"
,"1.213549000","0.375880000","48","52","10.0.0.2","60976","192.168.10.22","8081","0","38","617"
,"1.213563000","0.375894000","49","52","10.0.0.2","60976","192.168.10.22","8081","0","38","705"
,"1.213576000","0.375907000","50","52","10.0.0.2","60976","192.168.10.22","8081","0","38","793"
,"1.214577000","0.376908000","51","140","192.168.10.22","8081","10.0.0.2","60976","88","881","38"
,"1.214620000","0.376951000","52","140","192.168.10.22","8081","10.0.0.2","60976","88","969","38"
,"1.214680000","0.377011000","53","140","192.168.10.22","8081","10.0.0.2","60976","88","1057","38"
,"1.214695000","0.377026000","54","140","192.168.10.22","8081","10.0.0.2","60976","88","1145","38"
,"1.214741000","0.377072000","55","140","192.168.10.22","8081","10.0.0.2","60976","88","1233","38"
,"1.214753000","0.377084000","56","140","192.168.10.22","8081","10.0.0.2","60976","88","1321","38"
,"1.214797000","0.377128000","57","140","192.168.10.22","8081","10.0.0.2","60976","88","1409","38"
,"1.214809000","0.377140000","58","140","192.168.10.22","8081","10.0.0.2","60976","88","1497","38"
,"1.214853000","0.377184000","59","140","192.168.10.22","8081","10.0.0.2","60976","88","1585","38"
,"1.214877000","0.377208000","60","140","192.168.10.22","8081","10.0.0.2","60976","88","1673","38"
,"1.214921000","0.377252000","61","140","192.168.10.22","8081","10.0.0.2","60976","88","1761","38"
,"1.214934000","0.377265000","62","140","192.168.10.22","8081","10.0.0.2","60976","88","1849","38"
,"1.215015000","0.377346000","63","140","192.168.10.22","8081","10.0.0.2","60976","88","1937","38"
,"1.215030000","0.377361000","64","140","192.168.10.22","8081","10.0.0.2","60976","88","2025","38"
,"1.215074000","0.377405000","65","140","192.168.10.22","8081","10.0.0.2","60976","88","2113","38"
,"1.215085000","0.377416000","66","140","192.168.10.22","8081","10.0.0.2","60976","88","2201","38"
,"1.215128000","0.377459000","67","140","192.168.10.22","8081","10.0.0.2","60976","88","2289","38"
,"1.215138000","0.377469000","68","140","192.168.10.22","8081","10.0.0.2","60976","88","2377","38"
,"1.274818000","0.437149000","69","52","10.0.0.2","60976","192.168.10.22","8081","0","38","881"
,"1.275748000","0.438079000","70","140","192.168.10.22","8081","10.0.0.2","60976","88","2465","38"
,"1.275776000","0.438107000","71","140","192.168.10.22","8081","10.0.0.2","60976","88","2553","38"
,"1.399838000","0.562169000","72","52","10.0.0.2","60976","192.168.10.22","8081","0","38","969"
,"1.399864000","0.562195000","73","52","10.0.0.2","60976","192.168.10.22","8081","0","38","1057"
,"1.399878000","0.562209000","74","52","10.0.0.2","60976","192.168.10.22","8081","0","38","1145"
,"1.399892000","0.562223000","75","52","10.0.0.2","60976","192.168.10.22","8081","0","38","1233"
,"1.399906000","0.562237000","76","52","10.0.0.2","60976","192.168.10.22","8081","0","38","1321"
,"1.399919000","0.562250000","77","52","10.0.0.2","60976","192.168.10.22","8081","0","38","1585"
,"1.399933000","0.562264000","78","52","10.0.0.2","60976","192.168.10.22","8081","0","38","1761"
,"1.401162000","0.563493000","79","140","192.168.10.22","8081","10.0.0.2","60976","88","2641","38"
,"1.401189000","0.563520000","80","140","192.168.10.22","8081","10.0.0.2","60976","88","2729","38"
,"1.401247000","0.563578000","81","140","192.168.10.22","8081","10.0.0.2","60976","88","2817","38"
,"1.401262000","0.563593000","82","140","192.168.10.22","8081","10.0.0.2","60976","88","2905","38"
,"1.401311000","0.563642000","83","140","192.168.10.22","8081","10.0.0.2","60976","88","2993","38"
,"1.401322000","0.563653000","84","140","192.168.10.22","8081","10.0.0.2","60976","88","3081","38"
