_ws.col.cls_time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
,"0.000000000",,"1","76",,,,,,,
,"0.024084000",,"2","76",,,,,,,
,"0.080053000",,"3","76",,,,,,,
,"0.102478000","0.000000000","4","60","10.0.0.2","56956","192.168.10.22","8081","0","0","0"
,"0.104727000","0.002249000","5","60","192.168.10.22","8081","10.0.0.2","56956","0","0","1"
,"0.415700000","0.313222000","6","52","10.0.0.2","56956","192.168.10.22","8081","0","1","1"
,"0.415724000","0.313246000","7","89","10.0.0.2","56956","192.168.10.22","8081","37","1","1"
,"0.417189000","0.314711000","8","52","192.168.10.22","8081","10.0.0.2","56956","0","1","38"
,"0.417529000","0.315051000","9","53","192.168.10.22","8081","10.0.0.2","56956","1","1","38"
,"0.696192000",,"10","76",,,,,,,
,"0.727269000","0.624791000","11","52","10.0.0.2","56956","192.168.10.22","8081","0","38","2"
,"0.727297000","0.624819000","12","56","10.0.0.2","56956","192.168.10.22","8081","4","38","2"
,"0.727310000","0.624832000","13","100","10.0.0.2","56956","192.168.10.22","8081","48","42","2"
,"0.727325000","0.624847000","14","100","10.0.0.2","56956","192.168.10.22","8081","48","90","2"
,"0.728470000","0.625992000","15","52","192.168.10.22","8081","10.0.0.2","56956","0","2","138"
,"1.040139000","0.937661000","16","99","10.0.0.2","56956","192.168.10.22","8081","47","138","2"
,"1.041640000","0.939162000","17","53","192.168.10.22","8081","10.0.0.2","56956","1","2","185"
,"1.353007000","0.000000000","18","60","10.0.0.2","56972","192.168.10.22","8081","0","0","0"
,"1.353043000","1.250565000","19","52","10.0.0.2","56956","192.168.10.22","8081","0","185","3"
,"1.354264000","0.001257000","20","60","192.168.10.22","8081","10.0.0.2","56972","0","0","1"
,"1.665768000","0.312761000","21","52","10.0.0.2","56972","192.168.10.22","8081","0","1","1"
,"1.665795000","0.312788000","22","89","10.0.0.2","56972","192.168.10.22","8081","37","1","1"
,"1.667152000","0.314145000","23","52","192.168.10.22","8081","10.0.0.2","56972","0","1","38"
,"1.679767000","1.577289000","24","53","192.168.10.22","8081","10.0.0.2","56956","1","3","185"
,"1.679788000","1.577310000","25","53","192.168.10.22","8081","10.0.0.2","56956","1","4","185"
