_ws.col.cls_time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
,"0.000000000","0.000000000","1","60","10.0.0.2","48772","192.168.10.22","8081","0","0","0"
,"0.001647000","0.001647000","2","60","192.168.10.22","8081","10.0.0.2","48772","0","0","1"
,"0.187208000","0.187208000","3","52","10.0.0.2","48772","192.168.10.22","8081","0","1","1"
,"0.187236000","0.187236000","4","89","10.0.0.2","48772","192.168.10.22","8081","37","1","1"
,"0.188427000","0.188427000","5","52","192.168.10.22","8081","10.0.0.2","48772","0","1","38"
,"0.188473000","0.188473000","6","53","192.168.10.22","8081","10.0.0.2","48772","1","1","38"
,"0.344608000",,"7","76",,,,,,,
,"0.344622000",,"8","76",,,,,,,
,"0.375456000","0.375456000","9","52","10.0.0.2","48772","192.168.10.22","8081","0","38","2"
,"0.375467000","0.375467000","10","56","10.0.0.2","48772","192.168.10.22","8081","4","38","2"
,"0.375470000","0.375470000","11","100","10.0.0.2","48772","192.168.10.22","8081","48","42","2"
,"0.375474000","0.375474000","12","100","10.0.0.2","48772","192.168.10.22","8081","48","90","2"
,"0.375477000","0.375477000","13","100","10.0.0.2","48772","192.168.10.22","8081","48","138","2"
,"0.376425000","0.376425000","14","52","192.168.10.22","8081","10.0.0.2","48772","0","2","186"
,"0.562524000","0.562524000","15","53","10.0.0.2","48772","192.168.10.22","8081","1","186","2"
,"0.563895000","0.563895000","16","53","192.168.10.22","8081","10.0.0.2","48772","1","2","187"
,"0.728571000",,"17","76",,,,,,,
,"0.728606000",,"18","48",,,,,,,
,"0.731501000",,"19","76",,,,,,,
,"0.750225000","0.000000000","20","60","10.0.0.2","48786","192.168.10.22","8081","0","0","0"
,"0.751505000","0.001280000","21","60","192.168.10.22","8081","10.0.0.2","48786","0","0","1"
,"0.812380000","0.812380000","22","52","10.0.0.2","48772","192.168.10.22","8081","0","187","3"
,"0.937787000","0.187562000","23","52","10.0.0.2","48786","192.168.10.22","8081","0","1","1"
,"0.937815000","0.187590000","24","89","10.0.0.2","48786","192.168.10.22","8081","37","1","1"
,"0.939108000","0.188883000","25","52","192.168.10.22","8081","10.0.0.2","48786","0","1","38"
,"0.939152000","0.188927000","26","52","192.168.10.22","8081","10.0.0.2","48786","0","1","38"
,"0.950252000","0.950252000","27","53","192.168.10.22","8081","10.0.0.2","48772","1","3","187"
,"0.950295000","0.950295000","28","53","192.168.10.22","8081","10.0.0.2","48772","1","4","187"
,"0.950626000","0.200401000","29","140","192.168.10.22","8081","10.0.0.2","48786","88","1","38"
,"0.950634000","0.200409000","30","140","192.168.10.22","8081","10.0.0.2","48786","88","89","38"
,"0.950646000","0.200421000","31","140","192.168.10.22","8081","10.0.0.2","48786","88","177","38"
,"0.950648000","0.200423000","32","140","192.168.10.22","8081","10.0.0.2","48786","88","265","38"
,"0.950683000","0.200458000","33","140","192.168.10.22","8081","10.0.0.2","48786","88","353","38"
,"0.950686000","0.200461000","34","140","192.168.10.22","8081","10.0.0.2","48786","88","441","38"
,"0.950697000","0.200472000","35","140","192.168.10.22","8081","10.0.0.2","48786","88","529","38"
,"0.950699000","0.200474000","36","140","192.168.10.22","8081","10.0.0.2","48786","88","617","38"
