_ws.col.cls_time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
,"0.000000000","0.000000000","1","60","10.0.0.2","53030","192.168.10.22","8081","0","0","0"
,"0.003461000","0.003461000","2","60","192.168.10.22","8081","10.0.0.2","53030","0","0","1"
,"0.152414000",,"3","76",,,,,,,
,"0.177018000",,"4","76",,,,,,,
,"0.177048000",,"5","48",,,,,,,
,"0.179498000",,"6","76",,,,,,,
,"0.187143000","0.187143000","7","52","10.0.0.2","53030","192.168.10.22","8081","0","1","1"
,"0.187175000","0.187175000","8","89","10.0.0.2","53030","192.168.10.22","8081","37","1","1"
,"0.188603000","0.188603000","9","52","192.168.10.22","8081","10.0.0.2","53030","0","1","38"
,"0.189105000","0.189105000","10","53","192.168.10.22","8081","10.0.0.2","53030","1","1","38"
,"0.375524000","0.375524000","11","52","10.0.0.2","53030","192.168.10.22","8081","0","38","2"
,"0.375541000","0.375541000","12","56","10.0.0.2","53030","192.168.10.22","8081","4","38","2"
,"0.375549000","0.375549000","13","100","10.0.0.2","53030","192.168.10.22","8081","48","42","2"
,"0.375556000","0.375556000","14","100","10.0.0.2","53030","192.168.10.22","8081","48","90","2"
,"0.375564000","0.375564000","15","100","10.0.0.2","53030","192.168.10.22","8081","48","138","2"
,"0.376618000","0.376618000","16","52","192.168.10.22","8081","10.0.0.2","53030","0","2","186"
,"0.504392000",,"17","76",,,,,,,
,"0.512390000",,"18","76",,,,,,,
,"0.562822000","0.562822000","19","57","10.0.0.2","53030","192.168.10.22","8081","5","186","2"
,"0.564204000","0.564204000","20","53","192.168.10.22","8081","10.0.0.2","53030","1","2","191"
,"0.750075000","0.000000000","21","60","10.0.0.2","53042","192.168.10.22","8081","0","0","0"
,"0.751571000","0.001496000","22","60","192.168.10.22","8081","10.0.0.2","53042","0","0","1"
,"0.812232000","0.812232000","23","52","10.0.0.2","53030","192.168.10.22","8081","0","191","3"
,"0.848399000",,"24","76",,,,,,,
,"0.937666000","0.187591000","25","52","10.0.0.2","53042","192.168.10.22","8081","0","1","1"
,"0.937693000","0.187618000","26","89","10.0.0.2","53042","192.168.10.22","8081","37","1","1"
,"0.939103000","0.189028000","27","52","192.168.10.22","8081","10.0.0.2","53042","0","1","38"
,"0.950140000","0.950140000","28","53","192.168.10.22","8081","10.0.0.2","53030","1","3","191"
,"0.950182000","0.950182000","29","53","192.168.10.22","8081","10.0.0.2","53030","1","4","191"
,"0.950854000","0.200779000","30","140","192.168.10.22","8081","10.0.0.2","53042","88","1","38"
,"0.950896000","0.200821000","31","140","192.168.10.22","8081","10.0.0.2","53042","88","89","38"
,"0.950954000","0.200879000","32","140","192.168.10.22","8081","10.0.0.2","53042","88","177","38"
,"0.950967000","0.200892000","33","140","192.168.10.22","8081","10.0.0.2","53042","88","265","38"
,"0.951022000","0.200947000","34","140","192.168.10.22","8081","10.0.0.2","53042","88","353","38"
,"0.951036000","0.200961000","35","140","192.168.10.22","8081","10.0.0.2","53042","88","441","38"
,"0.951082000","0.201007000","36","140","192.168.10.22","8081","10.0.0.2","53042","88","529","38"
,"0.951094000","0.201019000","37","140","192.168.10.22","8081","10.0.0.2","53042","88","617","38"
,"0.951137000","0.201062000","38","140","192.168.10.22","8081","10.0.0.2","53042","88","705","38"
,"0.951160000","0.201085000","39","140","192.168.10.22","8081","10.0.0.2","53042","88","793","38"
,"1.125728000","1.125728000","40","52","10.0.0.2","53030","192.168.10.22","8081","0","191","4"
,"1.125750000","1.125750000","41","52","10.0.0.2","53030","192.168.10.22","8081","0","191","5"
,"1.125764000","0.375689000","42","52","10.0.0.2","53042","192.168.10.22","8081","0","38","89"
,"1.125779000","0.375704000","43","52","10.0.0.2","53042","192.168.10.22","8081","0","38","177"
,"1.125793000","0.375718000","44","52","10.0.0.2","53042","192.168.10.22","8081","0","38","265"
,"1.125807000","0.375732000","45","52","10.0.0.2","53042","192.168.10.22","8081","0","38","353"
,"1.125821000","0.375746000","46","52","10.0.0.2","53042","192.168.10.22","8081","0","38","441"
,"1.125836000","0.375761000","47","52","10.0.0.2","53042","192.168.10.22","8081","0","38","529"
,"1.125851000","0.375776000","48","52","10.0.0.2","53042","192.168.10.22","8081","0","38","617"
,"1.125866000","0.375791000","49","52","10.0.0.2","53042","192.168.10.22","8081","0","38","705"
,"1.125880000","0.375805000","50","52","10.0.0.2","53042","192.168.10.22","8081","0","38","793"
,"1.126758000","0.376683000","51","140","192.168.10.22","8081","10.0.0.2","53042","88","881","38"
,"1.126794000","0.376719000","52","140","192.168.10.22","8081","10.0.0.2","53042","88","969","38"
,"1.126847000","0.376772000","53","140","192.168.10.22","8081","10.0.0.2","53042","88","1057","38"
,"1.126859000","0.376784000","54","140","192.168.10.22","8081","10.0.0.2","53042","88","1145","38"
,"1.126905000","0.376830000","55","140","192.168.10.22","8081","10.0.0.2","53042","88","1233","38"
,"1.126916000","0.376841000","56","140","192.168.10.22","8081","10.0.0.2","53042","88","1321","38"
,"1.126962000","0.376887000","57","140","192.168.10.22","8081","10.0.0.2","53042","88","1409","38"
,"1.126973000","0.376898000","58","140","192.168.10.22","8081","10.0.0.2","53042","88","1497","38"
,"1.127017000","0.376942000","59","140","192.168.10.22","8081","10.0.0.2","53042","88","1585","38"
,"1.127030000","0.376955000","60","140","192.168.10.22","8081","10.0.0.2","53042","88","1673","38"
,"1.127074000","0.376999000","61","140","192.168.10.22","8081","10.0.0.2","53042","88","1761","38"
,"1.127086000","0.377011000","62","140","192.168.10.22","8081","10.0.0.2","53042","88","1849","38"
,"1.127130000","0.377055000","63","140","192.168.10.22","8081","10.0.0.2","53042","88","1937","38"
,"1.127141000","0.377066000","64","140","192.168.10.22","8081","10.0.0.2","53042","88","2025","38"
,"1.127184000","0.377109000","65","140","192.168.10.22","8081","10.0.0.2","53042","88","2113","38"
,"1.127195000","0.377120000","66","140","192.168.10.22","8081","10.0.0.2","53042","88","2201","38"
,"1.127238000","0.377163000","67","140","192.168.10.22","8081","10.0.0.2","53042","88","2289","38"
,"1.127251000","0.377176000","68","140","192.168.10.22","8081","10.0.0.2","53042","88","2377","38"
,"1.187706000","0.437631000","69","52","10.0.0.2","53042","192.168.10.22","8081","0","38","881"
,"1.188671000","0.438596000","70","140","192.168.10.22","8081","10.0.0.2","53042","88","2465","38"
,"1.188712000","0.438637000","71","140","192.168.10.22","8081","10.0.0.2","53042","88","2553","38"
,"1.312243000","0.562168000","72","52","10.0.0.2","53042","192.168.10.22","8081","0","38","969"
,"1.312300000","0.562225000","73","52","10.0.0.2","53042","192.168.10.22","8081","0","38","1057"
,"1.312322000","0.562247000","74","52","10.0.0.2","53042","192.168.10.22","8081","0","38","1145"
,"1.312337000","0.562262000","75","52","10.0.0.2","53042","192.168.10.22","8081","0","38","1409"
,"1.312353000","0.562278000","76","52","10.0.0.2","53042","192.168.10.22","8081","0","38","1497"
,"1.312367000","0.562292000","77","52","10.0.0.2","53042","192.168.10.22","8081","0","38","1585"
,"1.312381000","0.562306000","78","52","10.0.0.2","53042","192.168.10.22","8081","0","38","1761"
,"1.313326000","0.563251000","79","140","192.168.10.22","8081","10.0.0.2","53042","88","2641","38"
,"1.313369000","0.563294000","80","140","192.168.10.22","8081","10.0.0.2","53042","88","2729","38"
,"1.313430000","0.563355000","81","140","192.168.10.22","8081","10.0.0.2","53042","88","2817","38"
,"1.313443000","0.563368000","82","140","192.168.10.22","8081","10.0.0.2","53042","88","2905","38"
,"1.313488000","0.563413000","83","140","192.168.10.22","8081","10.0.0.2","53042","88","2993","38"
