_ws.col.cls_time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
,"0.000000000","0.000000000","1","60","10.0.0.2","48270","192.168.10.22","8081","0","0","0"
,"0.003923000","0.003923000","2","60","192.168.10.22","8081","10.0.0.2","48270","0","0","1"
,"0.031977000",,"3","76",,,,,,,
,"0.032011000",,"4","48",,,,,,,
,"0.034895000",,"5","76",,,,,,,
,"0.112422000",,"6","76",,,,,,,
,"0.112444000",,"7","48",,,,,,,
,"0.114962000",,"8","76",,,,,,,
,"0.186635000","0.186635000","9","52","10.0.0.2","48270","192.168.10.22","8081","0","1","1"
,"0.186664000","0.186664000","10","89","10.0.0.2","48270","192.168.10.22","8081","37","1","1"
,"0.188109000","0.188109000","11","52","192.168.10.22","8081","10.0.0.2","48270","0","1","38"
,"0.188147000","0.188147000","12","52","192.168.10.22","8081","10.0.0.2","48270","0","1","38"
,"0.188306000","0.188306000","13","53","192.168.10.22","8081","10.0.0.2","48270","1","1","38"
,"0.239935000",,"14","76",,,,,,,
,"0.374922000","0.374922000","15","52","10.0.0.2","48270","192.168.10.22","8081","0","38","2"
,"0.374949000","0.374949000","16","56","10.0.0.2","48270","192.168.10.22","8081","4","38","2"
,"0.374963000","0.374963000","17","100","10.0.0.2","48270","192.168.10.22","8081","48","42","2"
,"0.374980000","0.374980000","18","100","10.0.0.2","48270","192.168.10.22","8081","48","90","2"
,"0.374993000","0.374993000","19","100","10.0.0.2","48270","192.168.10.22","8081","48","138","2"
,"0.376104000","0.376104000","20","52","192.168.10.22","8081","10.0.0.2","48270","0","2","186"
,"0.503928000",,"21","76",,,,,,,
,"0.536069000",,"22","76",,,,,,,
,"0.562330000","0.562330000","23","54","10.0.0.2","48270","192.168.10.22","8081","2","186","2"
,"0.563823000","0.563823000","24","53","192.168.10.22","8081","10.0.0.2","48270","1","2","188"
,"0.616059000",,"25","76",,,,,,,
,"0.750292000","0.000000000","26","60","10.0.0.2","48278","192.168.10.22","8081","0","0","0"
,"0.751827000","0.001535000","27","60","192.168.10.22","8081","10.0.0.2","48278","0","0","1"
,"0.811700000","0.811700000","28","52","10.0.0.2","48270","192.168.10.22","8081","0","188","3"
,"0.936495000","0.186203000","29","52","10.0.0.2","48278","192.168.10.22","8081","0","1","1"
,"0.936523000","0.186231000","30","89","10.0.0.2","48278","192.168.10.22","8081","37","1","1"
,"0.937992000","0.187700000","31","52","192.168.10.22","8081","10.0.0.2","48278","0","1","38"
,"0.938034000","0.187742000","32","52","192.168.10.22","8081","10.0.0.2","48278","0","1","38"
,"0.949065000","0.949065000","33","53","192.168.10.22","8081","10.0.0.2","48270","1","3","188"
,"0.949107000","0.949107000","34","53","192.168.10.22","8081","10.0.0.2","48270","1","4","188"
,"0.949761000","0.199469000","35","140","192.168.10.22","8081","10.0.0.2","48278","88","1","38"
,"0.949843000","0.199551000","36","140","192.168.10.22","8081","10.0.0.2","48278","88","89","38"
,"0.949912000","0.199620000","37","140","192.168.10.22","8081","10.0.0.2","48278","88","177","38"
,"0.949929000","0.199637000","38","140","192.168.10.22","8081","10.0.0.2","48278","88","265","38"
