_ws.col.cls_time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
,"0.000000000","0.000000000","1","60","10.0.0.2","55212","192.168.10.22","8081","0","0","0"
,"0.003477000","0.003477000","2","60","192.168.10.22","8081","10.0.0.2","55212","0","0","1"
,"0.163801000",,"3","76",,,,,,,
,"0.163812000",,"4","48",,,,,,,
,"0.166306000",,"5","76",,,,,,,
,"0.187669000","0.187669000","6","52","10.0.0.2","55212","192.168.10.22","8081","0","1","1"
,"0.187698000","0.187698000","7","89","10.0.0.2","55212","192.168.10.22","8081","37","1","1"
,"0.188801000","0.188801000","8","52","192.168.10.22","8081","10.0.0.2","55212","0","1","38"
,"0.189075000","0.189075000","9","53","192.168.10.22","8081","10.0.0.2","55212","1","1","38"
,"0.375479000","0.375479000","10","52","10.0.0.2","55212","192.168.10.22","8081","0","38","2"
,"0.375501000","0.375501000","11","56","10.0.0.2","55212","192.168.10.22","8081","4","38","2"
,"0.375509000","0.375509000","12","100","10.0.0.2","55212","192.168.10.22","8081","48","42","2"
,"0.375518000","0.375518000","13","100","10.0.0.2","55212","192.168.10.22","8081","48","90","2"
,"0.375539000","0.375539000","14","100","10.0.0.2","55212","192.168.10.22","8081","48","138","2"
,"0.376480000","0.376480000","15","52","192.168.10.22","8081","10.0.0.2","55212","0","2","186"
,"0.507378000",,"16","76",,,,,,,
,"0.539278000",,"17","76",,,,,,,
,"0.539308000",,"18","48",,,,,,,
,"0.542223000",,"19","76",,,,,,,
,"0.562562000","0.562562000","20","53","10.0.0.2","55212","192.168.10.22","8081","1","186","2"
,"0.563978000","0.563978000","21","53","192.168.10.22","8081","10.0.0.2","55212","1","2","187"
,"0.749752000","0.000000000","22","60","10.0.0.2","34234","192.168.10.22","8081","0","0","0"
,"0.750699000","0.000947000","23","60","192.168.10.22","8081","10.0.0.2","34234","0","0","1"
,"0.811908000","0.811908000","24","52","10.0.0.2","55212","192.168.10.22","8081","0","187","3"
,"0.936938000","0.187186000","25","52","10.0.0.2","34234","192.168.10.22","8081","0","1","1"
,"0.936948000","0.187196000","26","89","10.0.0.2","34234","192.168.10.22","8081","37","1","1"
,"0.937966000","0.188214000","27","52","192.168.10.22","8081","10.0.0.2","34234","0","1","38"
,"0.949082000","0.949082000","28","53","192.168.10.22","8081","10.0.0.2","55212","1","3","187"
,"0.949107000","0.949107000","29","53","192.168.10.22","8081","10.0.0.2","55212","1","4","187"
,"0.949623000","0.199871000","30","140","192.168.10.22","8081","10.0.0.2","34234","88","1","38"
,"0.949635000","0.199883000","31","140","192.168.10.22","8081","10.0.0.2","34234","88","89","38"
,"0.949648000","0.199896000","32","140","192.168.10.22","8081","10.0.0.2","34234","88","177","38"
,"0.949651000","0.199899000","33","140","192.168.10.22","8081","10.0.0.2","34234","88","265","38"
,"0.949662000","0.199910000","34","140","192.168.10.22","8081","10.0.0.2","34234","88","353","38"
,"0.949665000","0.199913000","35","140","192.168.10.22","8081","10.0.0.2","34234","88","441","38"
,"0.949726000","0.199974000","36","140","192.168.10.22","8081","10.0.0.2","34234","88","529","38"
,"0.949734000","0.199982000","37","140","192.168.10.22","8081","10.0.0.2","34234","88","617","38"
,"0.949745000","0.199993000","38","140","192.168.10.22","8081","10.0.0.2","34234","88","705","38"
,"0.949748000","0.199996000","39","140","192.168.10.22","8081","10.0.0.2","34234","88","793","38"
,"1.019181000",,"40","76",,,,,,,
,"1.115377000",,"41","76",,,,,,,
,"1.124807000","1.124807000","42","52","10.0.0.2","55212","192.168.10.22","8081","0","187","4"
,"1.124833000","1.124833000","43","52","10.0.0.2","55212","192.168.10.22","8081","0","187","5"
,"1.124846000","0.375094000","44","52","10.0.0.2","34234","192.168.10.22","8081","0","38","89"
,"1.124862000","0.375110000","45","52","10.0.0.2","34234","192.168.10.22","8081","0","38","177"
,"1.124876000","0.375124000","46","52","10.0.0.2","34234","192.168.10.22","8081","0","38","265"
,"1.124890000","0.375138000","47","52","10.0.0.2","34234","192.168.10.22","8081","0","38","353"
,"1.124905000","0.375153000","48","52","10.0.0.2","34234","192.168.10.22","8081","0","38","441"
,"1.124920000","0.375168000","49","52","10.0.0.2","34234","192.168.10.22","8081","0","38","529"
,"1.124933000","0.375181000","50","52","10.0.0.2","34234","192.168.10.22","8081","0","38","617"
,"1.124948000","0.375196000","51","52","10.0.0.2","34234","192.168.10.22","8081","0","38","705"
,"1.124960000","0.375208000","52","52","10.0.0.2","34234","192.168.10.22","8081","0","38","793"
,"1.125828000","0.376076000","53","140","192.168.10.22","8081","10.0.0.2","34234","88","881","38"
,"1.125863000","0.376111000","54","140","192.168.10.22","8081","10.0.0.2","34234","88","969","38"
,"1.125913000","0.376161000","55","140","192.168.10.22","8081","10.0.0.2","34234","88","1057","38"
,"1.125925000","0.376173000","56","140","192.168.10.22","8081","10.0.0.2","34234","88","1145","38"
,"1.125969000","0.376217000","57","140","192.168.10.22","8081","10.0.0.2","34234","88","1233","38"
,"1.125980000","0.376228000","58","140","192.168.10.22","8081","10.0.0.2","34234","88","1321","38"
,"1.126024000","0.376272000","59","140","192.168.10.22","8081","10.0.0.2","34234","88","1409","38"
,"1.126035000","0.376283000","60","140","192.168.10.22","8081","10.0.0.2","34234","88","1497","38"
,"1.126079000","0.376327000","61","140","192.168.10.22","8081","10.0.0.2","34234","88","1585","38"
,"1.126125000","0.376373000","62","140","192.168.10.22","8081","10.0.0.2","34234","88","1673","38"
,"1.126184000","0.376432000","63","140","192.168.10.22","8081","10.0.0.2","34234","88","1761","38"
,"1.126198000","0.376446000","64","140","192.168.10.22","8081","10.0.0.2","34234","88","1849","38"
,"1.126242000","0.376490000","65","140","192.168.10.22","8081","10.0.0.2","34234","88","1937","38"
,"1.126253000","0.376501000","66","140","192.168.10.22","8081","10.0.0.2","34234","88","2025","38"
,"1.126297000","0.376545000","67","140","192.168.10.22","8081","10.0.0.2","34234","88","2113","38"
,"1.126308000","0.376556000","68","140","192.168.10.22","8081","10.0.0.2","34234","88","2201","38"
