_ws.col.cls_time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
,"0.000000000","0.000000000","1","60","10.0.0.2","42698","192.168.10.22","8081","0","0","0"
,"0.003377000","0.003377000","2","60","192.168.10.22","8081","10.0.0.2","42698","0","0","1"
,"0.203192000",,"3","76",,,,,,,
,"0.203207000",,"4","48",,,,,,,
,"0.205698000",,"5","76",,,,,,,
,"0.313193000","0.313193000","6","52","10.0.0.2","42698","192.168.10.22","8081","0","1","1"
,"0.313223000","0.313223000","7","89","10.0.0.2","42698","192.168.10.22","8081","37","1","1"
,"0.314655000","0.314655000","8","52","192.168.10.22","8081","10.0.0.2","42698","0","1","38"
,"0.314685000","0.314685000","9","52","192.168.10.22","8081","10.0.0.2","42698","0","1","38"
,"0.314995000","0.314995000","10","53","192.168.10.22","8081","10.0.0.2","42698","1","1","38"
,"0.330630000",,"11","76",,,,,,,
,"0.386780000",,"12","76",,,,,,,
,"0.522624000",,"13","76",,,,,,,
,"0.624802000","0.624802000","14","52","10.0.0.2","42698","192.168.10.22","8081","0","38","2"
,"0.624811000","0.624811000","15","56","10.0.0.2","42698","192.168.10.22","8081","4","38","2"
,"0.624815000","0.624815000","16","100","10.0.0.2","42698","192.168.10.22","8081","48","42","2"
,"0.624818000","0.624818000","17","100","10.0.0.2","42698","192.168.10.22","8081","48","90","2"
,"0.624822000","0.624822000","18","100","10.0.0.2","42698","192.168.10.22","8081","48","138","2"
,"0.625917000","0.625917000","19","52","192.168.10.22","8081","10.0.0.2","42698","0","2","186"
,"0.842718000",,"20","76",,,,,,,
,"0.937696000","0.937696000","21","57","10.0.0.2","42698","192.168.10.22","8081","5","186","2"
,"0.939107000","0.939107000","22","53","192.168.10.22","8081","10.0.0.2","42698","1","2","191"
,"1.250596000","0.000000000","23","60","10.0.0.2","42710","192.168.10.22","8081","0","0","0"
,"1.250628000","1.250628000","24","52","10.0.0.2","42698","192.168.10.22","8081","0","191","3"
,"1.251948000","0.001352000","25","60","192.168.10.22","8081","10.0.0.2","42710","0","0","1"
,"1.563154000","0.312558000","26","52","10.0.0.2","42710","192.168.10.22","8081","0","1","1"
,"1.563164000","0.312568000","27","89","10.0.0.2","42710","192.168.10.22","8081","37","1","1"
,"1.564596000","0.314000000","28","52","192.168.10.22","8081","10.0.0.2","42710","0","1","38"
,"1.564639000","0.314043000","29","52","192.168.10.22","8081","10.0.0.2","42710","0","1","38"
,"1.577019000","1.577019000","30","53","192.168.10.22","8081","10.0.0.2","42698","1","3","191"
,"1.577062000","1.577062000","31","53","192.168.10.22","8081","10.0.0.2","42698","1","4","191"
,"1.577731000","0.327135000","32","140","192.168.10.22","8081","10.0.0.2","42710","88","1","38"
,"1.577772000","0.327176000","33","140","192.168.10.22","8081","10.0.0.2","42710","88","89","38"
