_ws.col.cls_time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
,"0.000000000","0.000000000","1","60","10.0.0.2","51032","192.168.10.22","8081","0","0","0"
,"0.002981000","0.002981000","2","60","192.168.10.22","8081","10.0.0.2","51032","0","0","1"
,"0.111756000",,"3","76",,,,,,,
,"0.119726000",,"4","76",,,,,,,
,"0.128203000",,"5","76",,,,,,,
,"0.128225000",,"6","48",,,,,,,
,"0.130927000",,"7","76",,,,,,,
,"0.187138000","0.187138000","8","52","10.0.0.2","51032","192.168.10.22","8081","0","1","1"
,"0.187147000","0.187147000","9","89","10.0.0.2","51032","192.168.10.22","8081","37","1","1"
,"0.188355000","0.188355000","10","52","192.168.10.22","8081","10.0.0.2","51032","0","1","38"
,"0.188663000","0.188663000","11","53","192.168.10.22","8081","10.0.0.2","51032","1","1","38"
,"0.374928000","0.374928000","12","52","10.0.0.2","51032","192.168.10.22","8081","0","38","2"
,"0.374937000","0.374937000","13","56","10.0.0.2","51032","192.168.10.22","8081","4","38","2"
,"0.374940000","0.374940000","14","100","10.0.0.2","51032","192.168.10.22","8081","48","42","2"
,"0.374943000","0.374943000","15","100","10.0.0.2","51032","192.168.10.22","8081","48","90","2"
,"0.374946000","0.374946000","16","100","10.0.0.2","51032","192.168.10.22","8081","48","138","2"
,"0.375794000","0.375794000","17","52","192.168.10.22","8081","10.0.0.2","51032","0","2","186"
,"0.561935000","0.561935000","18","53","10.0.0.2","51032","192.168.10.22","8081","1","186","2"
,"0.563459000","0.563459000","19","53","192.168.10.22","8081","10.0.0.2","51032","1","2","187"
,"0.749391000","0.000000000","20","60","10.0.0.2","51040","192.168.10.22","8081","0","0","0"
,"0.750640000","0.001249000","21","60","192.168.10.22","8081","10.0.0.2","51040","0","0","1"
,"0.791827000",,"22","76",,,,,,,
,"0.811675000","0.811675000","23","52","10.0.0.2","51032","192.168.10.22","8081","0","187","3"
,"0.936622000","0.187231000","24","52","10.0.0.2","51040","192.168.10.22","8081","0","1","1"
,"0.936632000","0.187241000","25","89","10.0.0.2","51040","192.168.10.22","8081","37","1","1"
,"0.937913000","0.188522000","26","52","192.168.10.22","8081","10.0.0.2","51040","0","1","38"
,"0.937925000","0.188534000","27","52","192.168.10.22","8081","10.0.0.2","51040","0","1","38"
,"0.949036000","0.949036000","28","53","192.168.10.22","8081","10.0.0.2","51032","1","3","187"
,"0.949048000","0.949048000","29","53","192.168.10.22","8081","10.0.0.2","51032","1","4","187"
,"0.949648000","0.200257000","30","140","192.168.10.22","8081","10.0.0.2","51040","88","1","38"
,"0.949672000","0.200281000","31","140","192.168.10.22","8081","10.0.0.2","51040","88","89","38"
,"0.949739000","0.200348000","32","140","192.168.10.22","8081","10.0.0.2","51040","88","177","38"
,"0.949744000","0.200353000","33","140","192.168.10.22","8081","10.0.0.2","51040","88","265","38"
,"0.949754000","0.200363000","34","140","192.168.10.22","8081","10.0.0.2","51040","88","353","38"
,"0.949757000","0.200366000","35","140","192.168.10.22","8081","10.0.0.2","51040","88","441","38"
,"0.949768000","0.200377000","36","140","192.168.10.22","8081","10.0.0.2","51040","88","529","38"
