_ws.col.cls_time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
,"0.000000000",,"1","76",,,,,,,
,"0.000011000",,"2","48",,,,,,,
,"0.002894000",,"3","76",,,,,,,
,"0.071946000",,"4","76",,,,,,,
,"0.089982000","0.000000000","5","60","10.0.0.2","54862","192.168.10.22","8081","0","0","0"
,"0.091597000","0.001615000","6","60","192.168.10.22","8081","10.0.0.2","54862","0","0","1"
,"0.276541000","0.186559000","7","52","10.0.0.2","54862","192.168.10.22","8081","0","1","1"
,"0.276552000","0.186570000","8","89","10.0.0.2","54862","192.168.10.22","8081","37","1","1"
,"0.277620000","0.187638000","9","52","192.168.10.22","8081","10.0.0.2","54862","0","1","38"
,"0.277995000","0.188013000","10","53","192.168.10.22","8081","10.0.0.2","54862","1","1","38"
,"0.464886000","0.374904000","11","52","10.0.0.2","54862","192.168.10.22","8081","0","38","2"
,"0.464897000","0.374915000","12","56","10.0.0.2","54862","192.168.10.22","8081","4","38","2"
,"0.464902000","0.374920000","13","100","10.0.0.2","54862","192.168.10.22","8081","48","42","2"
,"0.464908000","0.374926000","14","100","10.0.0.2","54862","192.168.10.22","8081","48","90","2"
,"0.464914000","0.374932000","15","100","10.0.0.2","54862","192.168.10.22","8081","48","138","2"
,"0.465824000","0.375842000","16","52","192.168.10.22","8081","10.0.0.2","54862","0","2","186"
,"0.466139000","0.376157000","17","53","192.168.10.22","8081","10.0.0.2","54862","1","2","186"
,"0.652584000","0.000000000","18","60","10.0.0.2","54868","192.168.10.22","8081","0","0","0"
,"0.653883000","0.001299000","19","60","192.168.10.22","8081","10.0.0.2","54868","0","0","1"
,"0.704490000",,"20","76",,,,,,,
,"0.704520000",,"21","48",,,,,,,
,"0.707714000",,"22","76",,,,,,,
,"0.714832000","0.624850000","23","52","10.0.0.2","54862","192.168.10.22","8081","0","186","3"
,"0.799984000",,"24","76",,,,,,,
,"0.840309000","0.187725000","25","52","10.0.0.2","54868","192.168.10.22","8081","0","1","1"
,"0.840335000","0.187751000","26","89","10.0.0.2","54868","192.168.10.22","8081","37","1","1"
,"0.841714000","0.189130000","27","52","192.168.10.22","8081","10.0.0.2","54868","0","1","38"
,"0.841756000","0.189172000","28","52","192.168.10.22","8081","10.0.0.2","54868","0","1","38"
,"0.853259000","0.763277000","29","53","192.168.10.22","8081","10.0.0.2","54862","1","3","186"
,"0.853301000","0.763319000","30","53","192.168.10.22","8081","10.0.0.2","54862","1","4","186"
,"0.853678000","0.201094000","31","140","192.168.10.22","8081","10.0.0.2","54868","88","1","38"
,"0.853714000","0.201130000","32","140","192.168.10.22","8081","10.0.0.2","54868","88","89","38"
,"0.853755000","0.201171000","33","140","192.168.10.22","8081","10.0.0.2","54868","88","177","38"
,"0.853804000","0.201220000","34","140","192.168.10.22","8081","10.0.0.2","54868","88","265","38"
,"0.853816000","0.201232000","35","140","192.168.10.22","8081","10.0.0.2","54868","88","353","38"
,"0.853901000","0.201317000","36","140","192.168.10.22","8081","10.0.0.2","54868","88","441","38"
,"0.853915000","0.201331000","37","140","192.168.10.22","8081","10.0.0.2","54868","88","529","38"
,"0.853961000","0.201377000","38","140","192.168.10.22","8081","10.0.0.2","54868","88","617","38"
,"0.853973000","0.201389000","39","140","192.168.10.22","8081","10.0.0.2","54868","88","705","38"
,"0.854007000","0.201423000","40","140","192.168.10.22","8081","10.0.0.2","54868","88","793","38"
,"1.024062000",,"41","76",,,,,,,
,"1.027462000","0.937480000","42","52","10.0.0.2","54862","192.168.10.22","8081","0","186","4"
,"1.027490000","0.937508000","43","52","10.0.0.2","54862","192.168.10.22","8081","0","186","5"
,"1.027510000","0.374926000","44","52","10.0.0.2","54868","192.168.10.22","8081","0","38","89"
,"1.027529000","0.374945000","45","52","10.0.0.2","54868","192.168.10.22","8081","0","38","177"
,"1.027546000","0.374962000","46","52","10.0.0.2","54868","192.168.10.22","8081","0","38","265"
,"1.027562000","0.374978000","47","52","10.0.0.2","54868","192.168.10.22","8081","0","38","353"
,"1.027577000","0.374993000","48","52","10.0.0.2","54868","192.168.10.22","8081","0","38","441"
,"1.027593000","0.375009000","49","52","10.0.0.2","54868","192.168.10.22","8081","0","38","529"
,"1.027610000","0.375026000","50","52","10.0.0.2","54868","192.168.10.22","8081","0","38","617"
,"1.027626000","0.375042000","51","52","10.0.0.2","54868","192.168.10.22","8081","0","38","705"
,"1.028547000","0.375963000","52","140","192.168.10.22","8081","10.0.0.2","54868","88","881","38"
,"1.031893000","0.379309000","53","140","192.168.10.22","8081","10.0.0.2","54868","88","969","38"
,"1.038439000","0.385855000","54","140","192.168.10.22","8081","10.0.0.2","54868","88","1057","38"
,"1.045001000","0.392417000","55","140","192.168.10.22","8081","10.0.0.2","54868","88","1145","38"
,"1.051577000","0.398993000","56","140","192.168.10.22","8081","10.0.0.2","54868","88","1233","38"
,"1.058145000","0.405561000","57","140","192.168.10.22","8081","10.0.0.2","54868","88","1321","38"
,"1.064591000","0.412007000","58","140","192.168.10.22","8081","10.0.0.2","54868","88","1409","38"
,"1.071303000","0.418719000","59","140","192.168.10.22","8081","10.0.0.2","54868","88","1497","38"
,"1.077902000","0.425318000","60","140","192.168.10.22","8081","10.0.0.2","54868","88","1585","38"
,"1.084445000","0.431861000","61","140","192.168.10.22","8081","10.0.0.2","54868","88","1673","38"
,"1.090329000","0.437745000","62","52","10.0.0.2","54868","192.168.10.22","8081","0","38","793"
,"1.090353000","0.437769000","63","52","10.0.0.2","54868","192.168.10.22","8081","0","38","881"
,"1.090989000","0.438405000","64","140","192.168.10.22","8081","10.0.0.2","54868","88","1761","38"
,"1.097506000","0.444922000","65","140","192.168.10.22","8081","10.0.0.2","54868","88","1849","38"
,"1.104043000","0.451459000","66","140","192.168.10.22","8081","10.0.0.2","54868","88","1937","38"
,"1.110612000","0.458028000","67","140","192.168.10.22","8081","10.0.0.2","54868","88","2025","38"
,"1.117193000","0.464609000","68","140","192.168.10.22","8081","10.0.0.2","54868","88","2113","38"
,"1.123765000","0.471181000","69","140","192.168.10.22","8081","10.0.0.2","54868","88","2201","38"
,"1.130342000","0.477758000","70","140","192.168.10.22","8081","10.0.0.2","54868","88","2289","38"
,"1.136910000","0.484326000","71","140","192.168.10.22","8081","10.0.0.2","54868","88","2377","38"
,"1.143623000","0.491039000","72","140","192.168.10.22","8081","10.0.0.2","54868","88","2465","38"
,"1.150183000","0.497599000","73","140","192.168.10.22","8081","10.0.0.2","54868","88","2553","38"
,"1.215258000","0.562674000","74","52","10.0.0.2","54868","192.168.10.22","8081","0","38","969"
,"1.215285000","0.562701000","75","52","10.0.0.2","54868","192.168.10.22","8081","0","38","1057"
,"1.215305000","0.562721000","76","52","10.0.0.2","54868","192.168.10.22","8081","0","38","1145"
,"1.215325000","0.562741000","77","52","10.0.0.2","54868","192.168.10.22","8081","0","38","1233"
,"1.215343000","0.562759000","78","52","10.0.0.2","54868","192.168.10.22","8081","0","38","1321"
,"1.215360000","0.562776000","79","52","10.0.0.2","54868","192.168.10.22","8081","0","38","1585"
,"1.215376000","0.562792000","80","52","10.0.0.2","54868","192.168.10.22","8081","0","38","1761"
,"1.216280000","0.563696000","81","140","192.168.10.22","8081","10.0.0.2","54868","88","2641","38"
,"1.219564000","0.566980000","82","140","192.168.10.22","8081","10.0.0.2","54868","88","2729","38"
,"1.226132000","0.573548000","83","140","192.168.10.22","8081","10.0.0.2","54868","88","2817","38"
,"1.232682000","0.580098000","84","140","192.168.10.22","8081","10.0.0.2","54868","88","2905","38"
,"1.239271000","0.586687000","85","140","192.168.10.22","8081","10.0.0.2","54868","88","2993","38"
,"1.245888000","0.593304000","86","140","192.168.10.22","8081","10.0.0.2","54868","88","3081","38"
,"1.252434000","0.599850000","87","140","192.168.10.22","8081","10.0.0.2","54868","88","3169","38"
,"1.259009000","0.606425000","88","140","192.168.10.22","8081","10.0.0.2","54868","88","3257","38"
,"1.265447000","0.612863000","89","140","192.168.10.22","8081","10.0.0.2","54868","88","3345","38"
