_ws.col.cls_time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
,"0.000000000","0.000000000","1","60","10.0.0.2","45118","192.168.10.22","8081","0","0","0"
,"0.003395000","0.003395000","2","60","192.168.10.22","8081","10.0.0.2","45118","0","0","1"
,"0.230467000",,"3","76",,,,,,,
,"0.230488000",,"4","48",,,,,,,
,"0.233109000",,"5","76",,,,,,,
,"0.313615000","0.313615000","6","52","10.0.0.2","45118","192.168.10.22","8081","0","1","1"
,"0.313646000","0.313646000","7","89","10.0.0.2","45118","192.168.10.22","8081","37","1","1"
,"0.314848000","0.314848000","8","52","192.168.10.22","8081","10.0.0.2","45118","0","1","38"
,"0.314993000","0.314993000","9","53","192.168.10.22","8081","10.0.0.2","45118","1","1","38"
,"0.453955000",,"10","76",,,,,,,
,"0.625543000","0.625543000","11","52","10.0.0.2","45118","192.168.10.22","8081","0","38","2"
,"0.625552000","0.625552000","12","56","10.0.0.2","45118","192.168.10.22","8081","4","38","2"
,"0.625557000","0.625557000","13","100","10.0.0.2","45118","192.168.10.22","8081","48","42","2"
,"0.625562000","0.625562000","14","100","10.0.0.2","45118","192.168.10.22","8081","48","90","2"
,"0.625567000","0.625567000","15","100","10.0.0.2","45118","192.168.10.22","8081","48","138","2"
,"0.626431000","0.626431000","16","52","192.168.10.22","8081","10.0.0.2","45118","0","2","186"
,"0.626821000","0.626821000","17","53","192.168.10.22","8081","10.0.0.2","45118","1","2","186"
,"0.645957000",,"18","76",,,,,,,
,"0.937988000","0.000000000","19","60","10.0.0.2","45124","192.168.10.22","8081","0","0","0"
,"0.938022000","0.938022000","20","52","10.0.0.2","45118","192.168.10.22","8081","0","186","3"
,"0.939145000","0.001157000","21","60","192.168.10.22","8081","10.0.0.2","45124","0","0","1"
,"1.222007000",,"22","76",,,,,,,
,"1.222014000",,"23","76",,,,,,,
,"1.250420000","0.312432000","24","52","10.0.0.2","45124","192.168.10.22","8081","0","1","1"
,"1.250431000","0.312443000","25","89","10.0.0.2","45124","192.168.10.22","8081","37","1","1"
,"1.251492000","0.313504000","26","52","192.168.10.22","8081","10.0.0.2","45124","0","1","38"
,"1.251504000","0.313516000","27","52","192.168.10.22","8081","10.0.0.2","45124","0","1","38"
,"1.262967000","1.262967000","28","53","192.168.10.22","8081","10.0.0.2","45118","1","3","186"
,"1.262979000","1.262979000","29","53","192.168.10.22","8081","10.0.0.2","45118","1","4","186"
,"1.263542000","0.325554000","30","140","192.168.10.22","8081","10.0.0.2","45124","88","1","38"
,"1.263553000","0.325565000","31","140","192.168.10.22","8081","10.0.0.2","45124","88","89","38"
,"1.263567000","0.325579000","32","140","192.168.10.22","8081","10.0.0.2","45124","88","177","38"
,"1.263570000","0.325582000","33","140","192.168.10.22","8081","10.0.0.2","45124","88","265","38"
,"1.263581000","0.325593000","34","140","192.168.10.22","8081","10.0.0.2","45124","88","353","38"
,"1.263584000","0.325596000","35","140","192.168.10.22","8081","10.0.0.2","45124","88","441","38"
,"1.263595000","0.325607000","36","140","192.168.10.22","8081","10.0.0.2","45124","88","529","38"
,"1.263598000","0.325610000","37","140","192.168.10.22","8081","10.0.0.2","45124","88","617","38"
,"1.263609000","0.325621000","38","140","192.168.10.22","8081","10.0.0.2","45124","88","705","38"
,"1.263612000","0.325624000","39","140","192.168.10.22","8081","10.0.0.2","45124","88","793","38"
,"1.562815000","1.562815000","40","52","10.0.0.2","45118","192.168.10.22","8081","0","186","4"
,"1.562825000","1.562825000","41","52","10.0.0.2","45118","192.168.10.22","8081","0","186","5"
,"1.562830000","0.624842000","42","52","10.0.0.2","45124","192.168.10.22","8081","0","38","89"
,"1.562835000","0.624847000","43","52","10.0.0.2","45124","192.168.10.22","8081","0","38","177"
,"1.562839000","0.624851000","44","52","10.0.0.2","45124","192.168.10.22","8081","0","38","265"
,"1.562842000","0.624854000","45","52","10.0.0.2","45124","192.168.10.22","8081","0","38","353"
,"1.562845000","0.624857000","46","52","10.0.0.2","45124","192.168.10.22","8081","0","38","441"
,"1.562848000","0.624860000","47","52","10.0.0.2","45124","192.168.10.22","8081","0","38","529"
,"1.562851000","0.624863000","48","52","10.0.0.2","45124","192.168.10.22","8081","0","38","617"
,"1.562854000","0.624866000","49","52","10.0.0.2","45124","192.168.10.22","8081","0","38","705"
,"1.563651000","0.625663000","50","140","192.168.10.22","8081","10.0.0.2","45124","88","881","38"
,"1.563663000","0.625675000","51","140","192.168.10.22","8081","10.0.0.2","45124","88","969","38"
,"1.563679000","0.625691000","52","140","192.168.10.22","8081","10.0.0.2","45124","88","1057","38"
,"1.563682000","0.625694000","53","140","192.168.10.22","8081","10.0.0.2","45124","88","1145","38"
,"1.563792000","0.625804000","54","140","192.168.10.22","8081","10.0.0.2","45124","88","1233","38"
,"1.563797000","0.625809000","55","140","192.168.10.22","8081","10.0.0.2","45124","88","1321","38"
,"1.563810000","0.625822000","56","140","192.168.10.22","8081","10.0.0.2","45124","88","1409","38"
,"1.563813000","0.625825000","57","140","192.168.10.22","8081","10.0.0.2","45124","88","1497","38"
,"1.563824000","0.625836000","58","140","192.168.10.22","8081","10.0.0.2","45124","88","1585","38"
,"1.563827000","0.625839000","59","140","192.168.10.22","8081","10.0.0.2","45124","88","1673","38"
,"1.563838000","0.625850000","60","140","192.168.10.22","8081","10.0.0.2","45124","88","1761","38"
,"1.563841000","0.625853000","61","140","192.168.10.22","8081","10.0.0.2","45124","88","1849","38"
,"1.563889000","0.625901000","62","140","192.168.10.22","8081","10.0.0.2","45124","88","1937","38"
,"1.563894000","0.625906000","63","140","192.168.10.22","8081","10.0.0.2","45124","88","2025","38"
,"1.563905000","0.625917000","64","140","192.168.10.22","8081","10.0.0.2","45124","88","2113","38"
,"1.563908000","0.625920000","65","140","192.168.10.22","8081","10.0.0.2","45124","88","2201","38"
,"1.624877000","0.686889000","66","52","10.0.0.2","45124","192.168.10.22","8081","0","38","793"
,"1.624894000","0.686906000","67","52","10.0.0.2","45124","192.168.10.22","8081","0","38","881"
,"1.625715000","0.687727000","68","140","192.168.10.22","8081","10.0.0.2","45124","88","2289","38"
,"1.625746000","0.687758000","69","140","192.168.10.22","8081","10.0.0.2","45124","88","2377","38"
,"1.625805000","0.687817000","70","140","192.168.10.22","8081","10.0.0.2","45124","88","2465","38"
,"1.625821000","0.687833000","71","140","192.168.10.22","8081","10.0.0.2","45124","88","2553","38"
,"1.874862000","0.936874000","72","52","10.0.0.2","45124","192.168.10.22","8081","0","38","969"
