_ws.col.cls_time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
,"0.000000000","0.000000000","1","60","10.0.0.2","44270","192.168.10.22","8081","0","0","0"
,"0.004306000","0.004306000","2","60","192.168.10.22","8081","10.0.0.2","44270","0","0","1"
,"0.086204000",,"3","76",,,,,,,
,"0.086223000",,"4","48",,,,,,,
,"0.089160000",,"5","76",,,,,,,
,"0.150744000",,"6","76",,,,,,,
,"0.150771000",,"7","48",,,,,,,
,"0.153288000",,"8","76",,,,,,,
,"0.186995000","0.186995000","9","52","10.0.0.2","44270","192.168.10.22","8081","0","1","1"
,"0.187024000","0.187024000","10","89","10.0.0.2","44270","192.168.10.22","8081","37","1","1"
,"0.188331000","0.188331000","11","52","192.168.10.22","8081","10.0.0.2","44270","0","1","38"
,"0.188461000","0.188461000","12","53","192.168.10.22","8081","10.0.0.2","44270","1","1","38"
,"0.358181000",,"13","76",,,,,,,
,"0.375668000","0.375668000","14","52","10.0.0.2","44270","192.168.10.22","8081","0","38","2"
,"0.375678000","0.375678000","15","56","10.0.0.2","44270","192.168.10.22","8081","4","38","2"
,"0.375681000","0.375681000","16","100","10.0.0.2","44270","192.168.10.22","8081","48","42","2"
,"0.375684000","0.375684000","17","100","10.0.0.2","44270","192.168.10.22","8081","48","90","2"
,"0.375688000","0.375688000","18","100","10.0.0.2","44270","192.168.10.22","8081","48","138","2"
,"0.376757000","0.376757000","19","52","192.168.10.22","8081","10.0.0.2","44270","0","2","186"
,"0.562011000","0.562011000","20","54","10.0.0.2","44270","192.168.10.22","8081","2","186","2"
,"0.563407000","0.563407000","21","53","192.168.10.22","8081","10.0.0.2","44270","1","2","188"
,"0.590304000",,"22","76",,,,,,,
,"0.686184000",,"23","76",,,,,,,
,"0.750156000",,"24","76",,,,,,,
,"0.750730000","0.000000000","25","60","10.0.0.2","44278","192.168.10.22","8081","0","0","0"
,"0.751949000","0.001219000","26","60","192.168.10.22","8081","10.0.0.2","44278","0","0","1"
,"0.812070000","0.812070000","27","52","10.0.0.2","44270","192.168.10.22","8081","0","188","3"
,"0.937421000","0.186691000","28","52","10.0.0.2","44278","192.168.10.22","8081","0","1","1"
,"0.937430000","0.186700000","29","89","10.0.0.2","44278","192.168.10.22","8081","37","1","1"
,"0.938487000","0.187757000","30","52","192.168.10.22","8081","10.0.0.2","44278","0","1","38"
,"0.938499000","0.187769000","31","52","192.168.10.22","8081","10.0.0.2","44278","0","1","38"
,"0.950095000","0.950095000","32","53","192.168.10.22","8081","10.0.0.2","44270","1","3","188"
,"0.950132000","0.950132000","33","53","192.168.10.22","8081","10.0.0.2","44270","1","4","188"
,"0.950752000","0.200022000","34","140","192.168.10.22","8081","10.0.0.2","44278","88","1","38"
,"0.950782000","0.200052000","35","140","192.168.10.22","8081","10.0.0.2","44278","88","89","38"
,"0.950845000","0.200115000","36","140","192.168.10.22","8081","10.0.0.2","44278","88","177","38"
,"0.950862000","0.200132000","37","140","192.168.10.22","8081","10.0.0.2","44278","88","265","38"
,"0.950917000","0.200187000","38","140","192.168.10.22","8081","10.0.0.2","44278","88","353","38"
