_ws.col.cls_time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
,"0.000000000",,"1","76",,,,,,,
,"0.070830000","0.000000000","2","60","10.0.0.2","44414","192.168.10.22","8081","0","0","0"
,"0.072651000","0.001821000","3","60","192.168.10.22","8081","10.0.0.2","44414","0","0","1"
,"0.168188000",,"4","76",,,,,,,
,"0.257761000","0.186931000","5","52","10.0.0.2","44414","192.168.10.22","8081","0","1","1"
,"0.257774000","0.186944000","6","89","10.0.0.2","44414","192.168.10.22","8081","37","1","1"
,"0.258833000","0.188003000","7","52","192.168.10.22","8081","10.0.0.2","44414","0","1","38"
,"0.258864000","0.188034000","8","52","192.168.10.22","8081","10.0.0.2","44414","0","1","38"
,"0.259264000","0.188434000","9","53","192.168.10.22","8081","10.0.0.2","44414","1","1","38"
,"0.446335000","0.375505000","10","52","10.0.0.2","44414","192.168.10.22","8081","0","38","2"
,"0.446344000","0.375514000","11","56","10.0.0.2","44414","192.168.10.22","8081","4","38","2"
,"0.446348000","0.375518000","12","100","10.0.0.2","44414","192.168.10.22","8081","48","42","2"
,"0.446352000","0.375522000","13","100","10.0.0.2","44414","192.168.10.22","8081","48","90","2"
,"0.446356000","0.375526000","14","100","10.0.0.2","44414","192.168.10.22","8081","48","138","2"
,"0.447249000","0.376419000","15","52","192.168.10.22","8081","10.0.0.2","44414","0","2","186"
,"0.488096000",,"16","76",,,,,,,
,"0.633357000","0.562527000","17","54","10.0.0.2","44414","192.168.10.22","8081","2","186","2"
,"0.634602000","0.563772000","18","53","192.168.10.22","8081","10.0.0.2","44414","1","2","188"
,"0.744300000",,"19","76",,,,,,,
,"0.821611000","0.000000000","20","60","10.0.0.2","44430","192.168.10.22","8081","0","0","0"
,"0.822776000","0.001165000","21","60","192.168.10.22","8081","10.0.0.2","44430","0","0","1"
,"0.882989000","0.812159000","22","52","10.0.0.2","44414","192.168.10.22","8081","0","188","3"
,"1.008206000","0.186595000","23","52","10.0.0.2","44430","192.168.10.22","8081","0","1","1"
,"1.008234000","0.186623000","24","89","10.0.0.2","44430","192.168.10.22","8081","37","1","1"
,"1.009531000","0.187920000","25","52","192.168.10.22","8081","10.0.0.2","44430","0","1","38"
,"1.009574000","0.187963000","26","52","192.168.10.22","8081","10.0.0.2","44430","0","1","38"
,"1.021006000","0.950176000","27","53","192.168.10.22","8081","10.0.0.2","44414","1","3","188"
,"1.021057000","0.950227000","28","53","192.168.10.22","8081","10.0.0.2","44414","1","4","188"
,"1.021851000","0.200240000","29","140","192.168.10.22","8081","10.0.0.2","44430","88","1","38"
,"1.021892000","0.200281000","30","140","192.168.10.22","8081","10.0.0.2","44430","88","89","38"
,"1.021955000","0.200344000","31","140","192.168.10.22","8081","10.0.0.2","44430","88","177","38"
,"1.021994000","0.200383000","32","140","192.168.10.22","8081","10.0.0.2","44430","88","265","38"
,"1.022054000","0.200443000","33","140","192.168.10.22","8081","10.0.0.2","44430","88","353","38"
,"1.022068000","0.200457000","34","140","192.168.10.22","8081","10.0.0.2","44430","88","441","38"
,"1.022115000","0.200504000","35","140","192.168.10.22","8081","10.0.0.2","44430","88","529","38"
,"1.022127000","0.200516000","36","140","192.168.10.22","8081","10.0.0.2","44430","88","617","38"
,"1.022172000","0.200561000","37","140","192.168.10.22","8081","10.0.0.2","44430","88","705","38"
,"1.022186000","0.200575000","38","140","192.168.10.22","8081","10.0.0.2","44430","88","793","38"
,"1.195940000","1.125110000","39","52","10.0.0.2","44414","192.168.10.22","8081","0","188","4"
,"1.195988000","1.125158000","40","52","10.0.0.2","44414","192.168.10.22","8081","0","188","5"
,"1.196021000","0.374410000","41","52","10.0.0.2","44430","192.168.10.22","8081","0","38","89"
,"1.196041000","0.374430000","42","52","10.0.0.2","44430","192.168.10.22","8081","0","38","177"
,"1.196059000","0.374448000","43","52","10.0.0.2","44430","192.168.10.22","8081","0","38","265"
,"1.196074000","0.374463000","44","52","10.0.0.2","44430","192.168.10.22","8081","0","38","353"
,"1.196089000","0.374478000","45","52","10.0.0.2","44430","192.168.10.22","8081","0","38","441"
,"1.196102000","0.374491000","46","52","10.0.0.2","44430","192.168.10.22","8081","0","38","529"
