_ws.col.cls_time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
,"0.000000000","0.000000000","1","60","10.0.0.2","56628","192.168.10.22","8081","0","0","0"
,"0.002420000","0.002420000","2","60","192.168.10.22","8081","10.0.0.2","56628","0","0","1"
,"0.188795000",,"3","76",,,,,,,
,"0.212792000",,"4","76",,,,,,,
,"0.313123000","0.313123000","5","52","10.0.0.2","56628","192.168.10.22","8081","0","1","1"
,"0.313152000","0.313152000","6","89","10.0.0.2","56628","192.168.10.22","8081","37","1","1"
,"0.314445000","0.314445000","7","52","192.168.10.22","8081","10.0.0.2","56628","0","1","38"
,"0.314469000","0.314469000","8","52","192.168.10.22","8081","10.0.0.2","56628","0","1","38"
,"0.314592000","0.314592000","9","53","192.168.10.22","8081","10.0.0.2","56628","1","1","38"
,"0.624659000","0.624659000","10","52","10.0.0.2","56628","192.168.10.22","8081","0","38","2"
,"0.624698000","0.624698000","11","56","10.0.0.2","56628","192.168.10.22","8081","4","38","2"
,"0.624718000","0.624718000","12","100","10.0.0.2","56628","192.168.10.22","8081","48","42","2"
,"0.624735000","0.624735000","13","100","10.0.0.2","56628","192.168.10.22","8081","48","90","2"
,"0.624750000","0.624750000","14","100","10.0.0.2","56628","192.168.10.22","8081","48","138","2"
,"0.625820000","0.625820000","15","52","192.168.10.22","8081","10.0.0.2","56628","0","2","186"
,"0.733418000",,"16","76",,,,,,,
,"0.733447000",,"17","48",,,,,,,
,"0.735814000",,"18","76",,,,,,,
,"0.938267000","0.938267000","19","58","10.0.0.2","56628","192.168.10.22","8081","6","186","2"
,"0.939745000","0.939745000","20","53","192.168.10.22","8081","10.0.0.2","56628","1","2","192"
,"0.980807000",,"21","76",,,,,,,
,"1.249775000","0.000000000","22","60","10.0.0.2","56634","192.168.10.22","8081","0","0","0"
,"1.249811000","1.249811000","23","52","10.0.0.2","56628","192.168.10.22","8081","0","192","3"
,"1.250873000","0.001098000","24","60","192.168.10.22","8081","10.0.0.2","56634","0","0","1"
,"1.562756000","0.312981000","25","52","10.0.0.2","56634","192.168.10.22","8081","0","1","1"
,"1.562785000","0.313010000","26","89","10.0.0.2","56634","192.168.10.22","8081","37","1","1"
,"1.564130000","0.314355000","27","52","192.168.10.22","8081","10.0.0.2","56634","0","1","38"
,"1.564173000","0.314398000","28","52","192.168.10.22","8081","10.0.0.2","56634","0","1","38"
,"1.575434000","1.575434000","29","53","192.168.10.22","8081","10.0.0.2","56628","1","3","192"
,"1.575448000","1.575448000","30","53","192.168.10.22","8081","10.0.0.2","56628","1","4","192"
,"1.576114000","0.326339000","31","140","192.168.10.22","8081","10.0.0.2","56634","88","1","38"
,"1.576154000","0.326379000","32","140","192.168.10.22","8081","10.0.0.2","56634","88","89","38"
