_ws.col.cls_time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
,"0.000000000","0.000000000","1","60","10.0.0.2","58312","192.168.10.22","8081","0","0","0"
,"0.004041000","0.004041000","2","60","192.168.10.22","8081","10.0.0.2","58312","0","0","1"
,"0.187047000","0.187047000","3","52","10.0.0.2","58312","192.168.10.22","8081","0","1","1"
,"0.187058000","0.187058000","4","89","10.0.0.2","58312","192.168.10.22","8081","37","1","1"
,"0.188148000","0.188148000","5","52","192.168.10.22","8081","10.0.0.2","58312","0","1","38"
,"0.188404000","0.188404000","6","53","192.168.10.22","8081","10.0.0.2","58312","1","1","38"
,"0.197029000",,"7","76",,,,,,,
,"0.197048000",,"8","48",,,,,,,
,"0.199392000",,"9","76",,,,,,,
,"0.247470000",,"10","76",,,,,,,
,"0.375202000","0.375202000","11","52","10.0.0.2","58312","192.168.10.22","8081","0","38","2"
,"0.375225000","0.375225000","12","56","10.0.0.2","58312","192.168.10.22","8081","4","38","2"
,"0.375230000","0.375230000","13","100","10.0.0.2","58312","192.168.10.22","8081","48","42","2"
,"0.375236000","0.375236000","14","100","10.0.0.2","58312","192.168.10.22","8081","48","90","2"
,"0.375241000","0.375241000","15","100","10.0.0.2","58312","192.168.10.22","8081","48","138","2"
,"0.376085000","0.376085000","16","52","192.168.10.22","8081","10.0.0.2","58312","0","2","186"
,"0.562355000","0.562355000","17","53","10.0.0.2","58312","192.168.10.22","8081","1","186","2"
,"0.563526000","0.563526000","18","53","192.168.10.22","8081","10.0.0.2","58312","1","2","187"
,"0.749987000","0.000000000","19","60","10.0.0.2","60544","192.168.10.22","8081","0","0","0"
,"0.751044000","0.001057000","20","60","192.168.10.22","8081","10.0.0.2","60544","0","0","1"
,"0.804387000",,"21","76",,,,,,,
,"0.804420000",,"22","48",,,,,,,
,"0.807299000",,"23","76",,,,,,,
,"0.812258000","0.812258000","24","52","10.0.0.2","58312","192.168.10.22","8081","0","187","3"
,"0.876284000",,"25","76",,,,,,,
,"0.932462000",,"26","76",,,,,,,
,"0.937307000","0.187320000","27","52","10.0.0.2","60544","192.168.10.22","8081","0","1","1"
,"0.937317000","0.187330000","28","89","10.0.0.2","60544","192.168.10.22","8081","37","1","1"
,"0.938542000","0.188555000","29","52","192.168.10.22","8081","10.0.0.2","60544","0","1","38"
,"0.938569000","0.188582000","30","52","192.168.10.22","8081","10.0.0.2","60544","0","1","38"
,"0.950095000","0.950095000","31","53","192.168.10.22","8081","10.0.0.2","58312","1","3","187"
,"0.950126000","0.950126000","32","53","192.168.10.22","8081","10.0.0.2","58312","1","4","187"
,"0.950802000","0.200815000","33","140","192.168.10.22","8081","10.0.0.2","60544","88","1","38"
,"0.950835000","0.200848000","34","140","192.168.10.22","8081","10.0.0.2","60544","88","89","38"
,"0.950891000","0.200904000","35","140","192.168.10.22","8081","10.0.0.2","60544","88","177","38"
,"0.950906000","0.200919000","36","140","192.168.10.22","8081","10.0.0.2","60544","88","265","38"
,"0.950960000","0.200973000","37","140","192.168.10.22","8081","10.0.0.2","60544","88","353","38"
,"0.950977000","0.200990000","38","140","192.168.10.22","8081","10.0.0.2","60544","88","441","38"
,"0.951029000","0.201042000","39","140","192.168.10.22","8081","10.0.0.2","60544","88","529","38"
,"0.951042000","0.201055000","40","140","192.168.10.22","8081","10.0.0.2","60544","88","617","38"
,"0.951087000","0.201100000","41","140","192.168.10.22","8081","10.0.0.2","60544","88","705","38"
,"0.951101000","0.201114000","42","140","192.168.10.22","8081","10.0.0.2","60544","88","793","38"
,"1.125319000","1.125319000","43","52","10.0.0.2","58312","192.168.10.22","8081","0","187","4"
,"1.125346000","1.125346000","44","52","10.0.0.2","58312","192.168.10.22","8081","0","187","5"
,"1.125363000","0.375376000","45","52","10.0.0.2","60544","192.168.10.22","8081","0","38","89"
,"1.125380000","0.375393000","46","52","10.0.0.2","60544","192.168.10.22","8081","0","38","177"
,"1.125397000","0.375410000","47","52","10.0.0.2","60544","192.168.10.22","8081","0","38","265"
,"1.125413000","0.375426000","48","52","10.0.0.2","60544","192.168.10.22","8081","0","38","353"
,"1.125428000","0.375441000","49","52","10.0.0.2","60544","192.168.10.22","8081","0","38","441"
,"1.125445000","0.375458000","50","52","10.0.0.2","60544","192.168.10.22","8081","0","38","529"
,"1.125462000","0.375475000","51","52","10.0.0.2","60544","192.168.10.22","8081","0","38","617"
,"1.125477000","0.375490000","52","52","10.0.0.2","60544","192.168.10.22","8081","0","38","705"
,"1.126473000","0.376486000","53","140","192.168.10.22","8081","10.0.0.2","60544","88","881","38"
,"1.126545000","0.376558000","54","140","192.168.10.22","8081","10.0.0.2","60544","88","969","38"
,"1.126597000","0.376610000","55","140","192.168.10.22","8081","10.0.0.2","60544","88","1057","38"
,"1.126610000","0.376623000","56","140","192.168.10.22","8081","10.0.0.2","60544","88","1145","38"
,"1.126654000","0.376667000","57","140","192.168.10.22","8081","10.0.0.2","60544","88","1233","38"
,"1.126682000","0.376695000","58","140","192.168.10.22","8081","10.0.0.2","60544","88","1321","38"
,"1.126726000","0.376739000","59","140","192.168.10.22","8081","10.0.0.2","60544","88","1409","38"
,"1.126740000","0.376753000","60","140","192.168.10.22","8081","10.0.0.2","60544","88","1497","38"
,"1.126785000","0.376798000","61","140","192.168.10.22","8081","10.0.0.2","60544","88","1585","38"
,"1.126798000","0.376811000","62","140","192.168.10.22","8081","10.0.0.2","60544","88","1673","38"
,"1.126844000","0.376857000","63","140","192.168.10.22","8081","10.0.0.2","60544","88","1761","38"
,"1.126857000","0.376870000","64","140","192.168.10.22","8081","10.0.0.2","60544","88","1849","38"
,"1.126902000","0.376915000","65","140","192.168.10.22","8081","10.0.0.2","60544","88","1937","38"
,"1.126915000","0.376928000","66","140","192.168.10.22","8081","10.0.0.2","60544","88","2025","38"
,"1.126959000","0.376972000","67","140","192.168.10.22","8081","10.0.0.2","60544","88","2113","38"
,"1.126971000","0.376984000","68","140","192.168.10.22","8081","10.0.0.2","60544","88","2201","38"
,"1.187557000","0.437570000","69","52","10.0.0.2","60544","192.168.10.22","8081","0","38","793"
,"1.187564000","0.437577000","70","52","10.0.0.2","60544","192.168.10.22","8081","0","38","881"
,"1.188507000","0.438520000","71","140","192.168.10.22","8081","10.0.0.2","60544","88","2289","38"
,"1.188540000","0.438553000","72","140","192.168.10.22","8081","10.0.0.2","60544","88","2377","38"
,"1.188597000","0.438610000","73","140","192.168.10.22","8081","10.0.0.2","60544","88","2465","38"
,"1.188612000","0.438625000","74","140","192.168.10.22","8081","10.0.0.2","60544","88","2553","38"
,"1.312585000","0.562598000","75","52","10.0.0.2","60544","192.168.10.22","8081","0","38","969"
,"1.312612000","0.562625000","76","52","10.0.0.2","60544","192.168.10.22","8081","0","38","1057"
,"1.312628000","0.562641000","77","52","10.0.0.2","60544","192.168.10.22","8081","0","38","1145"
,"1.312645000","0.562658000","78","52","10.0.0.2","60544","192.168.10.22","8081","0","38","1233"
,"1.312661000","0.562674000","79","52","10.0.0.2","60544","192.168.10.22","8081","0","38","1321"
,"1.312678000","0.562691000","80","52","10.0.0.2","60544","192.168.10.22","8081","0","38","1409"
,"1.312692000","0.562705000","81","52","10.0.0.2","60544","192.168.10.22","8081","0","38","1673"
,"1.312709000","0.562722000","82","52","10.0.0.2","60544","192.168.10.22","8081","0","38","1761"
,"1.313797000","0.563810000","83","140","192.168.10.22","8081","10.0.0.2","60544","88","2641","38"
,"1.313826000","0.563839000","84","140","192.168.10.22","8081","10.0.0.2","60544","88","2729","38"
,"1.313886000","0.563899000","85","140","192.168.10.22","8081","10.0.0.2","60544","88","2817","38"
,"1.313902000","0.563915000","86","140","192.168.10.22","8081","10.0.0.2","60544","88","2905","38"
,"1.313957000","0.563970000","87","140","192.168.10.22","8081","10.0.0.2","60544","88","2993","38"
,"1.313971000","0.563984000","88","140","192.168.10.22","8081","10.0.0.2","60544","88","3081","38"
,"1.314016000","0.564029000","89","140","192.168.10.22","8081","10.0.0.2","60544","88","3169","38"
,"1.314028000","0.564041000","90","140","192.168.10.22","8081","10.0.0.2","60544","88","3257","38"
,"1.314073000","0.564086000","91","140","192.168.10.22","8081","10.0.0.2","60544","88","3345","38"
,"1.314088000","0.564101000","92","140","192.168.10.22","8081","10.0.0.2","60544","88","3433","38"
,"1.314133000","0.564146000","93","140","192.168.10.22","8081","10.0.0.2","60544","88","3521","38"
,"1.314147000","0.564160000","94","140","192.168.10.22","8081","10.0.0.2","60544","88","3609","38"
,"1.314212000","0.564225000","95","140","192.168.10.22","8081","10.0.0.2","60544","88","3697","38"
,"1.314239000","0.564252000","96","140","192.168.10.22","8081","10.0.0.2","60544","88","3785","38"
,"1.314288000","0.564301000","97","140","192.168.10.22","8081","10.0.0.2","60544","88","3873","38"
,"1.314300000","0.564313000","98","140","192.168.10.22","8081","10.0.0.2","60544","88","3961","38"
,"1.314345000","0.564358000","99","140","192.168.10.22","8081","10.0.0.2","60544","88","4049","38"
