_ws.col.cls_time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
,"0.000000000",,"1","76",,,,,,,
,"0.000012000",,"2","48",,,,,,,
,"0.002973000",,"3","76",,,,,,,
,"0.040257000","0.000000000","4","60","10.0.0.2","57840","192.168.10.22","8081","0","0","0"
,"0.042763000","0.002506000","5","60","192.168.10.22","8081","10.0.0.2","57840","0","0","1"
,"0.263986000",,"6","76",,,,,,,
,"0.353003000","0.312746000","7","52","10.0.0.2","57840","192.168.10.22","8081","0","1","1"
,"0.353034000","0.312777000","8","89","10.0.0.2","57840","192.168.10.22","8081","37","1","1"
,"0.354265000","0.314008000","9","52","192.168.10.22","8081","10.0.0.2","57840","0","1","38"
,"0.354526000","0.314269000","10","53","192.168.10.22","8081","10.0.0.2","57840","1","1","38"
,"0.408726000",,"11","76",,,,,,,
,"0.408746000",,"12","48",,,,,,,
,"0.411029000",,"13","76",,,,,,,
,"0.471982000",,"14","76",,,,,,,
,"0.568203000",,"15","76",,,,,,,
,"0.664772000","0.624515000","16","52","10.0.0.2","57840","192.168.10.22","8081","0","38","2"
,"0.664783000","0.624526000","17","56","10.0.0.2","57840","192.168.10.22","8081","4","38","2"
,"0.664787000","0.624530000","18","100","10.0.0.2","57840","192.168.10.22","8081","48","42","2"
,"0.664791000","0.624534000","19","100","10.0.0.2","57840","192.168.10.22","8081","48","90","2"
,"0.665675000","0.625418000","20","52","192.168.10.22","8081","10.0.0.2","57840","0","2","138"
,"0.768182000",,"21","76",,,,,,,
,"0.978171000","0.937914000","22","99","10.0.0.2","57840","192.168.10.22","8081","47","138","2"
,"0.979374000","0.939117000","23","53","192.168.10.22","8081","10.0.0.2","57840","1","2","185"
,"1.289736000","0.000000000","24","60","10.0.0.2","57848","192.168.10.22","8081","0","0","0"
,"1.289768000","1.249511000","25","52","10.0.0.2","57840","192.168.10.22","8081","0","185","3"
,"1.290982000","0.001246000","26","60","192.168.10.22","8081","10.0.0.2","57848","0","0","1"
,"1.602580000","0.312844000","27","52","10.0.0.2","57848","192.168.10.22","8081","0","1","1"
,"1.602590000","0.312854000","28","89","10.0.0.2","57848","192.168.10.22","8081","37","1","1"
,"1.603633000","0.313897000","29","52","192.168.10.22","8081","10.0.0.2","57848","0","1","38"
,"1.603647000","0.313911000","30","52","192.168.10.22","8081","10.0.0.2","57848","0","1","38"
,"1.615105000","1.574848000","31","53","192.168.10.22","8081","10.0.0.2","57840","1","3","185"
,"1.615127000","1.574870000","32","53","192.168.10.22","8081","10.0.0.2","57840","1","4","185"
,"1.615721000","0.325985000","33","140","192.168.10.22","8081","10.0.0.2","57848","88","1","38"
,"1.615734000","0.325998000","34","140","192.168.10.22","8081","10.0.0.2","57848","88","89","38"
,"1.615747000","0.326011000","35","140","192.168.10.22","8081","10.0.0.2","57848","88","177","38"
,"1.615750000","0.326014000","36","140","192.168.10.22","8081","10.0.0.2","57848","88","265","38"
,"1.615762000","0.326026000","37","140","192.168.10.22","8081","10.0.0.2","57848","88","353","38"
,"1.615764000","0.326028000","38","140","192.168.10.22","8081","10.0.0.2","57848","88","441","38"
,"1.615801000","0.326065000","39","140","192.168.10.22","8081","10.0.0.2","57848","88","529","38"
,"1.615806000","0.326070000","40","140","192.168.10.22","8081","10.0.0.2","57848","88","617","38"
