_ws.col.cls_time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
,"0.000000000","0.000000000","1","60","10.0.0.2","54638","192.168.10.22","8081","0","0","0"
,"0.003027000","0.003027000","2","60","192.168.10.22","8081","10.0.0.2","54638","0","0","1"
,"0.031988000",,"3","76",,,,,,,
,"0.224600000",,"4","76",,,,,,,
,"0.224627000",,"5","48",,,,,,,
,"0.227077000",,"6","76",,,,,,,
,"0.313496000","0.313496000","7","52","10.0.0.2","54638","192.168.10.22","8081","0","1","1"
,"0.313525000","0.313525000","8","89","10.0.0.2","54638","192.168.10.22","8081","37","1","1"
,"0.314938000","0.314938000","9","52","192.168.10.22","8081","10.0.0.2","54638","0","1","38"
,"0.315174000","0.315174000","10","53","192.168.10.22","8081","10.0.0.2","54638","1","1","38"
,"0.625327000","0.625327000","11","52","10.0.0.2","54638","192.168.10.22","8081","0","38","2"
,"0.625356000","0.625356000","12","56","10.0.0.2","54638","192.168.10.22","8081","4","38","2"
,"0.625373000","0.625373000","13","100","10.0.0.2","54638","192.168.10.22","8081","48","42","2"
,"0.625389000","0.625389000","14","100","10.0.0.2","54638","192.168.10.22","8081","48","90","2"
,"0.625404000","0.625404000","15","100","10.0.0.2","54638","192.168.10.22","8081","48","138","2"
,"0.626535000","0.626535000","16","52","192.168.10.22","8081","10.0.0.2","54638","0","2","186"
,"0.711994000",,"17","76",,,,,,,
,"0.903972000",,"18","76",,,,,,,
,"0.937929000","0.937929000","19","53","10.0.0.2","54638","192.168.10.22","8081","1","186","2"
,"0.939362000","0.939362000","20","53","192.168.10.22","8081","10.0.0.2","54638","1","2","187"
,"1.096013000",,"21","76",,,,,,,
,"1.249837000","0.000000000","22","60","10.0.0.2","54650","192.168.10.22","8081","0","0","0"
,"1.249857000","1.249857000","23","52","10.0.0.2","54638","192.168.10.22","8081","0","187","3"
,"1.250771000","0.000934000","24","60","192.168.10.22","8081","10.0.0.2","54650","0","0","1"
,"1.563268000","0.313431000","25","52","10.0.0.2","54650","192.168.10.22","8081","0","1","1"
,"1.563278000","0.313441000","26","89","10.0.0.2","54650","192.168.10.22","8081","37","1","1"
,"1.564452000","0.314615000","27","52","192.168.10.22","8081","10.0.0.2","54650","0","1","38"
,"1.575958000","1.575958000","28","53","192.168.10.22","8081","10.0.0.2","54638","1","3","187"
,"1.575973000","1.575973000","29","53","192.168.10.22","8081","10.0.0.2","54638","1","4","187"
,"1.576727000","0.326890000","30","140","192.168.10.22","8081","10.0.0.2","54650","88","1","38"
,"1.576740000","0.326903000","31","140","192.168.10.22","8081","10.0.0.2","54650","88","89","38"
,"1.576753000","0.326916000","32","140","192.168.10.22","8081","10.0.0.2","54650","88","177","38"
,"1.576757000","0.326920000","33","140","192.168.10.22","8081","10.0.0.2","54650","88","265","38"
,"1.576768000","0.326931000","34","140","192.168.10.22","8081","10.0.0.2","54650","88","353","38"
,"1.576771000","0.326934000","35","140","192.168.10.22","8081","10.0.0.2","54650","88","441","38"
,"1.576782000","0.326945000","36","140","192.168.10.22","8081","10.0.0.2","54650","88","529","38"
,"1.576785000","0.326948000","37","140","192.168.10.22","8081","10.0.0.2","54650","88","617","38"
,"1.576796000","0.326959000","38","140","192.168.10.22","8081","10.0.0.2","54650","88","705","38"
,"1.576800000","0.326963000","39","140","192.168.10.22","8081","10.0.0.2","54650","88","793","38"
,"1.875490000","1.875490000","40","52","10.0.0.2","54638","192.168.10.22","8081","0","187","4"
,"1.875500000","1.875500000","41","52","10.0.0.2","54638","192.168.10.22","8081","0","187","5"
,"1.875504000","0.625667000","42","52","10.0.0.2","54650","192.168.10.22","8081","0","38","89"
,"1.875507000","0.625670000","43","52","10.0.0.2","54650","192.168.10.22","8081","0","38","177"
,"1.875512000","0.625675000","44","52","10.0.0.2","54650","192.168.10.22","8081","0","38","265"
,"1.875516000","0.625679000","45","52","10.0.0.2","54650","192.168.10.22","8081","0","38","353"
,"1.875521000","0.625684000","46","52","10.0.0.2","54650","192.168.10.22","8081","0","38","441"
,"1.875524000","0.625687000","47","52","10.0.0.2","54650","192.168.10.22","8081","0","38","529"
,"1.875529000","0.625692000","48","52","10.0.0.2","54650","192.168.10.22","8081","0","38","617"
,"1.875534000","0.625697000","49","52","10.0.0.2","54650","192.168.10.22","8081","0","38","705"
,"1.875537000","0.625700000","50","52","10.0.0.2","54650","192.168.10.22","8081","0","38","793"
,"1.876349000","0.626512000","51","140","192.168.10.22","8081","10.0.0.2","54650","88","881","38"
,"1.876362000","0.626525000","52","140","192.168.10.22","8081","10.0.0.2","54650","88","969","38"
,"1.876377000","0.626540000","53","140","192.168.10.22","8081","10.0.0.2","54650","88","1057","38"
,"1.876380000","0.626543000","54","140","192.168.10.22","8081","10.0.0.2","54650","88","1145","38"
,"1.876471000","0.626634000","55","140","192.168.10.22","8081","10.0.0.2","54650","88","1233","38"
,"1.876479000","0.626642000","56","140","192.168.10.22","8081","10.0.0.2","54650","88","1321","38"
,"1.876492000","0.626655000","57","140","192.168.10.22","8081","10.0.0.2","54650","88","1409","38"
,"1.876495000","0.626658000","58","140","192.168.10.22","8081","10.0.0.2","54650","88","1497","38"
,"1.876507000","0.626670000","59","140","192.168.10.22","8081","10.0.0.2","54650","88","1585","38"
,"1.876510000","0.626673000","60","140","192.168.10.22","8081","10.0.0.2","54650","88","1673","38"
,"1.876522000","0.626685000","61","140","192.168.10.22","8081","10.0.0.2","54650","88","1761","38"
,"1.876525000","0.626688000","62","140","192.168.10.22","8081","10.0.0.2","54650","88","1849","38"
,"1.876536000","0.626699000","63","140","192.168.10.22","8081","10.0.0.2","54650","88","1937","38"
,"1.876541000","0.626704000","64","140","192.168.10.22","8081","10.0.0.2","54650","88","2025","38"
,"1.876552000","0.626715000","65","140","192.168.10.22","8081","10.0.0.2","54650","88","2113","38"
,"1.876556000","0.626719000","66","140","192.168.10.22","8081","10.0.0.2","54650","88","2201","38"
,"1.876673000","0.626836000","67","140","192.168.10.22","8081","10.0.0.2","54650","88","2289","38"
,"1.876681000","0.626844000","68","140","192.168.10.22","8081","10.0.0.2","54650","88","2377","38"
,"1.937669000","0.687832000","69","52","10.0.0.2","54650","192.168.10.22","8081","0","38","881"
,"1.938587000","0.688750000","70","140","192.168.10.22","8081","10.0.0.2","54650","88","2465","38"
,"1.938624000","0.688787000","71","140","192.168.10.22","8081","10.0.0.2","54650","88","2553","38"
,"2.187649000","0.937812000","72","52","10.0.0.2","54650","192.168.10.22","8081","0","38","969"
,"2.187673000","0.937836000","73","52","10.0.0.2","54650","192.168.10.22","8081","0","38","1057"
,"2.187686000","0.937849000","74","52","10.0.0.2","54650","192.168.10.22","8081","0","38","1145"
,"2.187698000","0.937861000","75","52","10.0.0.2","54650","192.168.10.22","8081","0","38","1233"
,"2.187710000","0.937873000","76","52","10.0.0.2","54650","192.168.10.22","8081","0","38","1321"
,"2.187722000","0.937885000","77","52","10.0.0.2","54650","192.168.10.22","8081","0","38","1497"
,"2.187734000","0.937897000","78","52","10.0.0.2","54650","192.168.10.22","8081","0","38","1585"
,"2.187746000","0.937909000","79","52","10.0.0.2","54650","192.168.10.22","8081","0","38","1761"
,"2.188570000","0.938733000","80","140","192.168.10.22","8081","10.0.0.2","54650","88","2641","38"
,"2.188607000","0.938770000","81","140","192.168.10.22","8081","10.0.0.2","54650","88","2729","38"
,"2.188661000","0.938824000","82","140","192.168.10.22","8081","10.0.0.2","54650","88","2817","38"
,"2.188674000","0.938837000","83","140","192.168.10.22","8081","10.0.0.2","54650","88","2905","38"
,"2.188722000","0.938885000","84","140","192.168.10.22","8081","10.0.0.2","54650","88","2993","38"
,"2.188737000","0.938900000","85","140","192.168.10.22","8081","10.0.0.2","54650","88","3081","38"
,"2.188783000","0.938946000","86","140","192.168.10.22","8081","10.0.0.2","54650","88","3169","38"
,"2.188796000","0.938959000","87","140","192.168.10.22","8081","10.0.0.2","54650","88","3257","38"
,"2.188858000","0.939021000","88","140","192.168.10.22","8081","10.0.0.2","54650","88","3345","38"
,"2.188888000","0.939051000","89","140","192.168.10.22","8081","10.0.0.2","54650","88","3433","38"
,"2.188937000","0.939100000","90","140","192.168.10.22","8081","10.0.0.2","54650","88","3521","38"
,"2.188949000","0.939112000","91","140","192.168.10.22","8081","10.0.0.2","54650","88","3609","38"
,"2.188996000","0.939159000","92","140","192.168.10.22","8081","10.0.0.2","54650","88","3697","38"
,"2.189010000","0.939173000","93","140","192.168.10.22","8081","10.0.0.2","54650","88","3785","38"
,"2.189056000","0.939219000","94","140","192.168.10.22","8081","10.0.0.2","54650","88","3873","38"
,"2.189069000","0.939232000","95","140","192.168.10.22","8081","10.0.0.2","54650","88","3961","38"
,"2.189115000","0.939278000","96","140","192.168.10.22","8081","10.0.0.2","54650","88","4049","38"
,"2.189129000","0.939292000","97","140","192.168.10.22","8081","10.0.0.2","54650","88","4137","38"
,"2.189175000","0.939338000","98","140","192.168.10.22","8081","10.0.0.2","54650","88","4225","38"
,"2.189187000","0.939350000","99","140","192.168.10.22","8081","10.0.0.2","54650","88","4313","38"
,"2.249791000","0.999954000","100","52","10.0.0.2","54650","192.168.10.22","8081","0","38","2553"
,"2.249800000","0.999963000","101","52","10.0.0.2","54650","192.168.10.22","8081","0","38","2641"
,"2.250459000","1.000622000","102","140","192.168.10.22","8081","10.0.0.2","54650","88","4401","38"
,"2.250468000","1.000631000","103","140","192.168.10.22","8081","10.0.0.2","54650","88","4489","38"
,"2.250496000","1.000659000","104","140","192.168.10.22","8081","10.0.0.2","54650","88","4577","38"
,"2.250500000","1.000663000","105","140","192.168.10.22","8081","10.0.0.2","54650","88","4665","38"
,"2.250512000","1.000675000","106","140","192.168.10.22","8081","10.0.0.2","54650","88","4753","38"
,"2.250516000","1.000679000","107","140","192.168.10.22","8081","10.0.0.2","54650","88","4841","38"
,"2.250527000","1.000690000","108","140","192.168.10.22","8081","10.0.0.2","54650","88","4929","38"
,"2.250530000","1.000693000","109","140","192.168.10.22","8081","10.0.0.2","54650","88","5017","38"
,"2.250542000","1.000705000","110","140","192.168.10.22","8081","10.0.0.2","54650","88","5105","38"
,"2.250545000","1.000708000","111","140","192.168.10.22","8081","10.0.0.2","54650","88","5193","38"
,"2.250557000","1.000720000","112","140","192.168.10.22","8081","10.0.0.2","54650","88","5281","38"
,"2.250560000","1.000723000","113","140","192.168.10.22","8081","10.0.0.2","54650","88","5369","38"
,"2.250660000","1.000823000","114","140","192.168.10.22","8081","10.0.0.2","54650","88","5457","38"
,"2.250668000","1.000831000","115","140","192.168.10.22","8081","10.0.0.2","54650","88","5545","38"
,"2.250680000","1.000843000","116","140","192.168.10.22","8081","10.0.0.2","54650","88","5633","38"
,"2.250683000","1.000846000","117","140","192.168.10.22","8081","10.0.0.2","54650","88","5721","38"
,"2.250695000","1.000858000","118","140","192.168.10.22","8081","10.0.0.2","54650","88","5809","38"
,"2.250708000","1.000871000","119","140","192.168.10.22","8081","10.0.0.2","54650","88","5897","38"
,"2.250720000","1.000883000","120","140","192.168.10.22","8081","10.0.0.2","54650","88","5985","38"
,"2.250723000","1.000886000","121","140","192.168.10.22","8081","10.0.0.2","54650","88","6073","38"
,"2.500403000","1.250566000","122","52","10.0.0.2","54650","192.168.10.22","8081","0","38","3433"
,"2.500431000","1.250594000","123","52","10.0.0.2","54650","192.168.10.22","8081","0","38","3521"
,"2.501465000","1.251628000","124","140","192.168.10.22","8081","10.0.0.2","54650","88","6161","38"
,"2.501512000","1.251675000","125","140","192.168.10.22","8081","10.0.0.2","54650","88","6249","38"
,"2.501578000","1.251741000","126","140","192.168.10.22","8081","10.0.0.2","54650","88","6337","38"
,"2.501594000","1.251757000","127","140","192.168.10.22","8081","10.0.0.2","54650","88","6425","38"
,"2.501643000","1.251806000","128","140","192.168.10.22","8081","10.0.0.2","54650","88","6513","38"
,"2.501655000","1.251818000","129","140","192.168.10.22","8081","10.0.0.2","54650","88","6601","38"
,"2.501700000","1.251863000","130","140","192.168.10.22","8081","10.0.0.2","54650","88","6689","38"
,"2.501712000","1.251875000","131","140","192.168.10.22","8081","10.0.0.2","54650","88","6777","38"
,"2.501757000","1.251920000","132","140","192.168.10.22","8081","10.0.0.2","54650","88","6865","38"
,"2.501772000","1.251935000","133","140","192.168.10.22","8081","10.0.0.2","54650","88","6953","38"
,"2.501818000","1.251981000","134","140","192.168.10.22","8081","10.0.0.2","54650","88","7041","38"
,"2.501834000","1.251997000","135","140","192.168.10.22","8081","10.0.0.2","54650","88","7129","38"
,"2.501913000","1.252076000","136","140","192.168.10.22","8081","10.0.0.2","54650","88","7217","38"
