_ws.col.cls_time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
,"0.000000000",,"1","76",,,,,,,
,"0.024005000",,"2","76",,,,,,,
,"0.046685000","0.000000000","3","60","10.0.0.2","37370","192.168.10.22","8081","0","0","0"
,"0.050579000","0.003894000","4","60","192.168.10.22","8081","10.0.0.2","37370","0","0","1"
,"0.144070000",,"5","76",,,,,,,
,"0.144102000",,"6","48",,,,,,,
,"0.146965000",,"7","76",,,,,,,
,"0.233991000","0.187306000","8","52","10.0.0.2","37370","192.168.10.22","8081","0","1","1"
,"0.234020000","0.187335000","9","89","10.0.0.2","37370","192.168.10.22","8081","37","1","1"
,"0.235486000","0.188801000","10","52","192.168.10.22","8081","10.0.0.2","37370","0","1","38"
,"0.235526000","0.188841000","11","52","192.168.10.22","8081","10.0.0.2","37370","0","1","38"
,"0.235708000","0.189023000","12","53","192.168.10.22","8081","10.0.0.2","37370","1","1","38"
,"0.422338000","0.375653000","13","52","10.0.0.2","37370","192.168.10.22","8081","0","38","2"
,"0.422368000","0.375683000","14","56","10.0.0.2","37370","192.168.10.22","8081","4","38","2"
,"0.422385000","0.375700000","15","100","10.0.0.2","37370","192.168.10.22","8081","48","42","2"
,"0.422401000","0.375716000","16","100","10.0.0.2","37370","192.168.10.22","8081","48","90","2"
,"0.422416000","0.375731000","17","100","10.0.0.2","37370","192.168.10.22","8081","48","138","2"
,"0.423510000","0.376825000","18","52","192.168.10.22","8081","10.0.0.2","37370","0","2","186"
,"0.503956000",,"19","76",,,,,,,
,"0.608974000","0.562289000","20","57","10.0.0.2","37370","192.168.10.22","8081","5","186","2"
,"0.610395000","0.563710000","21","53","192.168.10.22","8081","10.0.0.2","37370","1","2","191"
,"0.797540000","0.000000000","22","60","10.0.0.2","37374","192.168.10.22","8081","0","0","0"
,"0.798681000","0.001141000","23","60","192.168.10.22","8081","10.0.0.2","37374","0","0","1"
,"0.858754000","0.812069000","24","52","10.0.0.2","37370","192.168.10.22","8081","0","191","3"
,"0.983873000","0.186333000","25","52","10.0.0.2","37374","192.168.10.22","8081","0","1","1"
,"0.983894000","0.186354000","26","89","10.0.0.2","37374","192.168.10.22","8081","37","1","1"
,"0.985356000","0.187816000","27","52","192.168.10.22","8081","10.0.0.2","37374","0","1","38"
,"0.985398000","0.187858000","28","52","192.168.10.22","8081","10.0.0.2","37374","0","1","38"
,"0.992000000",,"29","76",,,,,,,
,"0.996782000","0.950097000","30","53","192.168.10.22","8081","10.0.0.2","37370","1","3","191"
,"0.996823000","0.950138000","31","53","192.168.10.22","8081","10.0.0.2","37370","1","4","191"
,"0.997445000","0.199905000","32","140","192.168.10.22","8081","10.0.0.2","37374","88","1","38"
,"0.997486000","0.199946000","33","140","192.168.10.22","8081","10.0.0.2","37374","88","89","38"
,"0.997548000","0.200008000","34","140","192.168.10.22","8081","10.0.0.2","37374","88","177","38"
,"0.997565000","0.200025000","35","140","192.168.10.22","8081","10.0.0.2","37374","88","265","38"
,"0.997619000","0.200079000","36","140","192.168.10.22","8081","10.0.0.2","37374","88","353","38"
,"0.997632000","0.200092000","37","140","192.168.10.22","8081","10.0.0.2","37374","88","441","38"
,"0.997676000","0.200136000","38","140","192.168.10.22","8081","10.0.0.2","37374","88","529","38"
,"0.997688000","0.200148000","39","140","192.168.10.22","8081","10.0.0.2","37374","88","617","38"
,"0.997732000","0.200192000","40","140","192.168.10.22","8081","10.0.0.2","37374","88","705","38"
,"0.997746000","0.200206000","41","140","192.168.10.22","8081","10.0.0.2","37374","88","793","38"
,"1.171688000","1.125003000","42","52","10.0.0.2","37370","192.168.10.22","8081","0","191","4"
,"1.171712000","1.125027000","43","52","10.0.0.2","37370","192.168.10.22","8081","0","191","5"
,"1.171728000","0.374188000","44","52","10.0.0.2","37374","192.168.10.22","8081","0","38","89"
,"1.171744000","0.374204000","45","52","10.0.0.2","37374","192.168.10.22","8081","0","38","177"
,"1.171758000","0.374218000","46","52","10.0.0.2","37374","192.168.10.22","8081","0","38","265"
,"1.171774000","0.374234000","47","52","10.0.0.2","37374","192.168.10.22","8081","0","38","353"
,"1.171791000","0.374251000","48","52","10.0.0.2","37374","192.168.10.22","8081","0","38","441"
,"1.171807000","0.374267000","49","52","10.0.0.2","37374","192.168.10.22","8081","0","38","529"
