_ws.col.cls_time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
,"0.000000000",,"1","76",,,,,,,
,"0.000012000",,"2","48",,,,,,,
,"0.001780000",,"3","76",,,,,,,
,"0.026472000","0.000000000","4","60","10.0.0.2","33040","192.168.10.22","8081","0","0","0"
,"0.028306000","0.001834000","5","60","192.168.10.22","8081","10.0.0.2","33040","0","0","1"
,"0.214148000","0.187676000","6","52","10.0.0.2","33040","192.168.10.22","8081","0","1","1"
,"0.214156000","0.187684000","7","89","10.0.0.2","33040","192.168.10.22","8081","37","1","1"
,"0.215464000","0.188992000","8","52","192.168.10.22","8081","10.0.0.2","33040","0","1","38"
,"0.215508000","0.189036000","9","52","192.168.10.22","8081","10.0.0.2","33040","0","1","38"
,"0.215589000","0.189117000","10","53","192.168.10.22","8081","10.0.0.2","33040","1","1","38"
,"0.270897000",,"11","76",,,,,,,
,"0.310843000",,"12","76",,,,,,,
,"0.402260000","0.375788000","13","52","10.0.0.2","33040","192.168.10.22","8081","0","38","2"
,"0.402290000","0.375818000","14","56","10.0.0.2","33040","192.168.10.22","8081","4","38","2"
,"0.402309000","0.375837000","15","100","10.0.0.2","33040","192.168.10.22","8081","48","42","2"
,"0.402327000","0.375855000","16","100","10.0.0.2","33040","192.168.10.22","8081","48","90","2"
,"0.402343000","0.375871000","17","100","10.0.0.2","33040","192.168.10.22","8081","48","138","2"
,"0.403452000","0.376980000","18","52","192.168.10.22","8081","10.0.0.2","33040","0","2","186"
,"0.438751000",,"19","76",,,,,,,
,"0.588814000","0.562342000","20","54","10.0.0.2","33040","192.168.10.22","8081","2","186","2"
,"0.590196000","0.563724000","21","53","192.168.10.22","8081","10.0.0.2","33040","1","2","188"
,"0.776391000","0.000000000","22","60","10.0.0.2","33046","192.168.10.22","8081","0","0","0"
,"0.777694000","0.001303000","23","60","192.168.10.22","8081","10.0.0.2","33046","0","0","1"
,"0.838636000","0.812164000","24","52","10.0.0.2","33040","192.168.10.22","8081","0","188","3"
,"0.963923000","0.187532000","25","52","10.0.0.2","33046","192.168.10.22","8081","0","1","1"
,"0.963953000","0.187562000","26","89","10.0.0.2","33046","192.168.10.22","8081","37","1","1"
,"0.965177000","0.188786000","27","52","192.168.10.22","8081","10.0.0.2","33046","0","1","38"
,"0.976715000","0.950243000","28","53","192.168.10.22","8081","10.0.0.2","33040","1","3","188"
,"0.976757000","0.950285000","29","53","192.168.10.22","8081","10.0.0.2","33040","1","4","188"
,"0.977191000","0.200800000","30","140","192.168.10.22","8081","10.0.0.2","33046","88","1","38"
,"0.977227000","0.200836000","31","140","192.168.10.22","8081","10.0.0.2","33046","88","89","38"
,"0.977279000","0.200888000","32","140","192.168.10.22","8081","10.0.0.2","33046","88","177","38"
,"0.977293000","0.200902000","33","140","192.168.10.22","8081","10.0.0.2","33046","88","265","38"
,"0.977338000","0.200947000","34","140","192.168.10.22","8081","10.0.0.2","33046","88","353","38"
,"0.977350000","0.200959000","35","140","192.168.10.22","8081","10.0.0.2","33046","88","441","38"
,"0.977395000","0.201004000","36","140","192.168.10.22","8081","10.0.0.2","33046","88","529","38"
,"0.977418000","0.201027000","37","140","192.168.10.22","8081","10.0.0.2","33046","88","617","38"
