_ws.col.cls_time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
,"0.000000000",,"1","76",,,,,,,
,"0.000017000",,"2","48",,,,,,,
,"0.001247000",,"3","76",,,,,,,
,"0.014017000","0.000000000","4","60","10.0.0.2","57954","192.168.10.22","8081","0","0","0"
,"0.015754000","0.001737000","5","60","192.168.10.22","8081","10.0.0.2","57954","0","0","1"
,"0.078179000",,"6","76",,,,,,,
,"0.198219000",,"7","76",,,,,,,
,"0.201046000","0.187029000","8","52","10.0.0.2","57954","192.168.10.22","8081","0","1","1"
,"0.201129000","0.187112000","9","89","10.0.0.2","57954","192.168.10.22","8081","37","1","1"
,"0.202315000","0.188298000","10","52","192.168.10.22","8081","10.0.0.2","57954","0","1","38"
,"0.202529000","0.188512000","11","53","192.168.10.22","8081","10.0.0.2","57954","1","1","38"
,"0.286216000",,"12","76",,,,,,,
,"0.388882000","0.374865000","13","52","10.0.0.2","57954","192.168.10.22","8081","0","38","2"
,"0.388891000","0.374874000","14","56","10.0.0.2","57954","192.168.10.22","8081","4","38","2"
,"0.388896000","0.374879000","15","100","10.0.0.2","57954","192.168.10.22","8081","48","42","2"
,"0.388901000","0.374884000","16","100","10.0.0.2","57954","192.168.10.22","8081","48","90","2"
,"0.388906000","0.374889000","17","100","10.0.0.2","57954","192.168.10.22","8081","48","138","2"
,"0.389995000","0.375978000","18","52","192.168.10.22","8081","10.0.0.2","57954","0","2","186"
,"0.534344000",,"19","76",,,,,,,
,"0.576529000","0.562512000","20","53","10.0.0.2","57954","192.168.10.22","8081","1","186","2"
,"0.577929000","0.563912000","21","53","192.168.10.22","8081","10.0.0.2","57954","1","2","187"
,"0.763902000","0.000000000","22","60","10.0.0.2","57966","192.168.10.22","8081","0","0","0"
,"0.765327000","0.001425000","23","60","192.168.10.22","8081","10.0.0.2","57966","0","0","1"
,"0.826067000","0.812050000","24","52","10.0.0.2","57954","192.168.10.22","8081","0","187","3"
,"0.951533000","0.187631000","25","52","10.0.0.2","57966","192.168.10.22","8081","0","1","1"
,"0.951544000","0.187642000","26","89","10.0.0.2","57966","192.168.10.22","8081","37","1","1"
,"0.952871000","0.188969000","27","52","192.168.10.22","8081","10.0.0.2","57966","0","1","38"
,"0.952904000","0.189002000","28","52","192.168.10.22","8081","10.0.0.2","57966","0","1","38"
,"0.964307000","0.950290000","29","53","192.168.10.22","8081","10.0.0.2","57954","1","3","187"
,"0.964339000","0.950322000","30","53","192.168.10.22","8081","10.0.0.2","57954","1","4","187"
,"0.965026000","0.201124000","31","140","192.168.10.22","8081","10.0.0.2","57966","88","1","38"
,"0.965089000","0.201187000","32","140","192.168.10.22","8081","10.0.0.2","57966","88","89","38"
,"0.965154000","0.201252000","33","140","192.168.10.22","8081","10.0.0.2","57966","88","177","38"
,"0.965174000","0.201272000","34","140","192.168.10.22","8081","10.0.0.2","57966","88","265","38"
,"0.965227000","0.201325000","35","140","192.168.10.22","8081","10.0.0.2","57966","88","353","38"
,"0.965242000","0.201340000","36","140","192.168.10.22","8081","10.0.0.2","57966","88","441","38"
,"0.965286000","0.201384000","37","140","192.168.10.22","8081","10.0.0.2","57966","88","529","38"
,"0.965300000","0.201398000","38","140","192.168.10.22","8081","10.0.0.2","57966","88","617","38"
,"0.965345000","0.201443000","39","140","192.168.10.22","8081","10.0.0.2","57966","88","705","38"
,"0.965358000","0.201456000","40","140","192.168.10.22","8081","10.0.0.2","57966","88","793","38"
,"1.139171000","1.125154000","41","52","10.0.0.2","57954","192.168.10.22","8081","0","187","4"
,"1.139199000","1.125182000","42","52","10.0.0.2","57954","192.168.10.22","8081","0","187","5"
,"1.139218000","0.375316000","43","52","10.0.0.2","57966","192.168.10.22","8081","0","38","89"
,"1.139236000","0.375334000","44","52","10.0.0.2","57966","192.168.10.22","8081","0","38","177"
,"1.139253000","0.375351000","45","52","10.0.0.2","57966","192.168.10.22","8081","0","38","265"
,"1.139269000","0.375367000","46","52","10.0.0.2","57966","192.168.10.22","8081","0","38","353"
,"1.139284000","0.375382000","47","52","10.0.0.2","57966","192.168.10.22","8081","0","38","441"
,"1.139300000","0.375398000","48","52","10.0.0.2","57966","192.168.10.22","8081","0","38","529"
,"1.139316000","0.375414000","49","52","10.0.0.2","57966","192.168.10.22","8081","0","38","617"
,"1.139332000","0.375430000","50","52","10.0.0.2","57966","192.168.10.22","8081","0","38","705"
,"1.140454000","0.376552000","51","140","192.168.10.22","8081","10.0.0.2","57966","88","881","38"
,"1.140484000","0.376582000","52","140","192.168.10.22","8081","10.0.0.2","57966","88","969","38"
,"1.140538000","0.376636000","53","140","192.168.10.22","8081","10.0.0.2","57966","88","1057","38"
,"1.140554000","0.376652000","54","140","192.168.10.22","8081","10.0.0.2","57966","88","1145","38"
,"1.140606000","0.376704000","55","140","192.168.10.22","8081","10.0.0.2","57966","88","1233","38"
,"1.140621000","0.376719000","56","140","192.168.10.22","8081","10.0.0.2","57966","88","1321","38"
,"1.140666000","0.376764000","57","140","192.168.10.22","8081","10.0.0.2","57966","88","1409","38"
,"1.140677000","0.376775000","58","140","192.168.10.22","8081","10.0.0.2","57966","88","1497","38"
,"1.140721000","0.376819000","59","140","192.168.10.22","8081","10.0.0.2","57966","88","1585","38"
,"1.140733000","0.376831000","60","140","192.168.10.22","8081","10.0.0.2","57966","88","1673","38"
,"1.140779000","0.376877000","61","140","192.168.10.22","8081","10.0.0.2","57966","88","1761","38"
,"1.140793000","0.376891000","62","140","192.168.10.22","8081","10.0.0.2","57966","88","1849","38"
,"1.140838000","0.376936000","63","140","192.168.10.22","8081","10.0.0.2","57966","88","1937","38"
,"1.140852000","0.376950000","64","140","192.168.10.22","8081","10.0.0.2","57966","88","2025","38"
,"1.140896000","0.376994000","65","140","192.168.10.22","8081","10.0.0.2","57966","88","2113","38"
,"1.140908000","0.377006000","66","140","192.168.10.22","8081","10.0.0.2","57966","88","2201","38"
,"1.200997000","0.437095000","67","52","10.0.0.2","57966","192.168.10.22","8081","0","38","793"
,"1.201008000","0.437106000","68","52","10.0.0.2","57966","192.168.10.22","8081","0","38","881"
,"1.201906000","0.438004000","69","140","192.168.10.22","8081","10.0.0.2","57966","88","2289","38"
,"1.201932000","0.438030000","70","140","192.168.10.22","8081","10.0.0.2","57966","88","2377","38"
,"1.201980000","0.438078000","71","140","192.168.10.22","8081","10.0.0.2","57966","88","2465","38"
,"1.201992000","0.438090000","72","140","192.168.10.22","8081","10.0.0.2","57966","88","2553","38"
,"1.326284000","0.562382000","73","52","10.0.0.2","57966","192.168.10.22","8081","0","38","969"
,"1.326294000","0.562392000","74","52","10.0.0.2","57966","192.168.10.22","8081","0","38","1057"
,"1.326298000","0.562396000","75","52","10.0.0.2","57966","192.168.10.22","8081","0","38","1145"
,"1.326302000","0.562400000","76","52","10.0.0.2","57966","192.168.10.22","8081","0","38","1233"
,"1.326308000","0.562406000","77","52","10.0.0.2","57966","192.168.10.22","8081","0","38","1321"
,"1.326313000","0.562411000","78","52","10.0.0.2","57966","192.168.10.22","8081","0","38","1409"
,"1.326339000","0.562437000","79","52","10.0.0.2","57966","192.168.10.22","8081","0","38","1673"
,"1.326355000","0.562453000","80","52","10.0.0.2","57966","192.168.10.22","8081","0","38","1761"
,"1.327496000","0.563594000","81","140","192.168.10.22","8081","10.0.0.2","57966","88","2641","38"
,"1.327523000","0.563621000","82","140","192.168.10.22","8081","10.0.0.2","57966","88","2729","38"
,"1.327580000","0.563678000","83","140","192.168.10.22","8081","10.0.0.2","57966","88","2817","38"
,"1.327595000","0.563693000","84","140","192.168.10.22","8081","10.0.0.2","57966","88","2905","38"
,"1.327649000","0.563747000","85","140","192.168.10.22","8081","10.0.0.2","57966","88","2993","38"
,"1.327663000","0.563761000","86","140","192.168.10.22","8081","10.0.0.2","57966","88","3081","38"
,"1.327709000","0.563807000","87","140","192.168.10.22","8081","10.0.0.2","57966","88","3169","38"
,"1.327721000","0.563819000","88","140","192.168.10.22","8081","10.0.0.2","57966","88","3257","38"
,"1.327766000","0.563864000","89","140","192.168.10.22","8081","10.0.0.2","57966","88","3345","38"
,"1.327791000","0.563889000","90","140","192.168.10.22","8081","10.0.0.2","57966","88","3433","38"
,"1.327836000","0.563934000","91","140","192.168.10.22","8081","10.0.0.2","57966","88","3521","38"
,"1.327849000","0.563947000","92","140","192.168.10.22","8081","10.0.0.2","57966","88","3609","38"
,"1.327894000","0.563992000","93","140","192.168.10.22","8081","10.0.0.2","57966","88","3697","38"
,"1.327908000","0.564006000","94","140","192.168.10.22","8081","10.0.0.2","57966","88","3785","38"
,"1.327954000","0.564052000","95","140","192.168.10.22","8081","10.0.0.2","57966","88","3873","38"
,"1.327968000","0.564066000","96","140","192.168.10.22","8081","10.0.0.2","57966","88","3961","38"
,"1.328012000","0.564110000","97","140","192.168.10.22","8081","10.0.0.2","57966","88","4049","38"
,"1.328024000","0.564122000","98","140","192.168.10.22","8081","10.0.0.2","57966","88","4137","38"
,"1.328104000","0.564202000","99","140","192.168.10.22","8081","10.0.0.2","57966","88","4225","38"
,"1.328119000","0.564217000","100","140","192.168.10.22","8081","10.0.0.2","57966","88","4313","38"
,"1.389094000","0.625192000","101","52","10.0.0.2","57966","192.168.10.22","8081","0","38","2641"
,"1.390152000","0.626250000","102","140","192.168.10.22","8081","10.0.0.2","57966","88","4401","38"
,"1.390176000","0.626274000","103","140","192.168.10.22","8081","10.0.0.2","57966","88","4489","38"
,"1.390226000","0.626324000","104","140","192.168.10.22","8081","10.0.0.2","57966","88","4577","38"
,"1.390238000","0.626336000","105","140","192.168.10.22","8081","10.0.0.2","57966","88","4665","38"
,"1.390284000","0.626382000","106","140","192.168.10.22","8081","10.0.0.2","57966","88","4753","38"
,"1.390296000","0.626394000","107","140","192.168.10.22","8081","10.0.0.2","57966","88","4841","38"
,"1.390341000","0.626439000","108","140","192.168.10.22","8081","10.0.0.2","57966","88","4929","38"
,"1.390354000","0.626452000","109","140","192.168.10.22","8081","10.0.0.2","57966","88","5017","38"
,"1.390398000","0.626496000","110","140","192.168.10.22","8081","10.0.0.2","57966","88","5105","38"
