_ws.col.cls_time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
,"0.000000000",,"1","76",,,,,,,
,"0.000008000",,"2","48",,,,,,,
,"0.002346000",,"3","76",,,,,,,
,"0.015241000",,"4","76",,,,,,,
,"0.015246000",,"5","48",,,,,,,
,"0.018286000",,"6","76",,,,,,,
,"0.095358000",,"7","76",,,,,,,
,"0.134914000","0.000000000","8","60","10.0.0.2","46916","192.168.10.22","8081","0","0","0"
,"0.137154000","0.002240000","9","60","192.168.10.22","8081","10.0.0.2","46916","0","0","1"
,"0.321438000","0.186524000","10","52","10.0.0.2","46916","192.168.10.22","8081","0","1","1"
,"0.321449000","0.186535000","11","89","10.0.0.2","46916","192.168.10.22","8081","37","1","1"
,"0.322597000","0.187683000","12","52","192.168.10.22","8081","10.0.0.2","46916","0","1","38"
,"0.322610000","0.187696000","13","52","192.168.10.22","8081","10.0.0.2","46916","0","1","38"
,"0.322952000","0.188038000","14","53","192.168.10.22","8081","10.0.0.2","46916","1","1","38"
,"0.487311000",,"15","76",,,,,,,
,"0.508993000","0.374079000","16","52","10.0.0.2","46916","192.168.10.22","8081","0","38","2"
,"0.509022000","0.374108000","17","56","10.0.0.2","46916","192.168.10.22","8081","4","38","2"
,"0.509037000","0.374123000","18","100","10.0.0.2","46916","192.168.10.22","8081","48","42","2"
,"0.509054000","0.374140000","19","100","10.0.0.2","46916","192.168.10.22","8081","48","90","2"
,"0.509069000","0.374155000","20","100","10.0.0.2","46916","192.168.10.22","8081","48","138","2"
,"0.510114000","0.375200000","21","52","192.168.10.22","8081","10.0.0.2","46916","0","2","186"
,"0.696329000","0.561415000","22","57","10.0.0.2","46916","192.168.10.22","8081","5","186","2"
,"0.697653000","0.562739000","23","53","192.168.10.22","8081","10.0.0.2","46916","1","2","191"
,"0.884683000","0.000000000","24","60","10.0.0.2","46926","192.168.10.22","8081","0","0","0"
,"0.886236000","0.001553000","25","60","192.168.10.22","8081","10.0.0.2","46926","0","0","1"
,"0.927506000",,"26","76",,,,,,,
,"0.946114000","0.811200000","27","52","10.0.0.2","46916","192.168.10.22","8081","0","191","3"
,"0.991322000",,"28","76",,,,,,,
,"1.071556000","0.186873000","29","52","10.0.0.2","46926","192.168.10.22","8081","0","1","1"
,"1.071582000","0.186899000","30","89","10.0.0.2","46926","192.168.10.22","8081","37","1","1"
,"1.072961000","0.188278000","31","52","192.168.10.22","8081","10.0.0.2","46926","0","1","38"
,"1.084212000","0.949298000","32","53","192.168.10.22","8081","10.0.0.2","46916","1","3","191"
,"1.084234000","0.949320000","33","53","192.168.10.22","8081","10.0.0.2","46916","1","4","191"
,"1.084714000","0.200031000","34","140","192.168.10.22","8081","10.0.0.2","46926","88","1","38"
,"1.084725000","0.200042000","35","140","192.168.10.22","8081","10.0.0.2","46926","88","89","38"
,"1.084836000","0.200153000","36","140","192.168.10.22","8081","10.0.0.2","46926","88","177","38"
,"1.084842000","0.200159000","37","140","192.168.10.22","8081","10.0.0.2","46926","88","265","38"
,"1.084854000","0.200171000","38","140","192.168.10.22","8081","10.0.0.2","46926","88","353","38"
,"1.084857000","0.200174000","39","140","192.168.10.22","8081","10.0.0.2","46926","88","441","38"
,"1.084868000","0.200185000","40","140","192.168.10.22","8081","10.0.0.2","46926","88","529","38"
,"1.084871000","0.200188000","41","140","192.168.10.22","8081","10.0.0.2","46926","88","617","38"
,"1.085025000","0.200342000","42","140","192.168.10.22","8081","10.0.0.2","46926","88","705","38"
,"1.085030000","0.200347000","43","140","192.168.10.22","8081","10.0.0.2","46926","88","793","38"
,"1.259401000","1.124487000","44","52","10.0.0.2","46916","192.168.10.22","8081","0","191","4"
,"1.259431000","1.124517000","45","52","10.0.0.2","46916","192.168.10.22","8081","0","191","5"
,"1.259447000","0.374764000","46","52","10.0.0.2","46926","192.168.10.22","8081","0","38","89"
,"1.259464000","0.374781000","47","52","10.0.0.2","46926","192.168.10.22","8081","0","38","177"
,"1.259479000","0.374796000","48","52","10.0.0.2","46926","192.168.10.22","8081","0","38","265"
,"1.259495000","0.374812000","49","52","10.0.0.2","46926","192.168.10.22","8081","0","38","353"
,"1.259509000","0.374826000","50","52","10.0.0.2","46926","192.168.10.22","8081","0","38","441"
,"1.259524000","0.374841000","51","52","10.0.0.2","46926","192.168.10.22","8081","0","38","529"
,"1.259540000","0.374857000","52","52","10.0.0.2","46926","192.168.10.22","8081","0","38","617"
,"1.259553000","0.374870000","53","52","10.0.0.2","46926","192.168.10.22","8081","0","38","705"
,"1.259568000","0.374885000","54","52","10.0.0.2","46926","192.168.10.22","8081","0","38","793"
,"1.260710000","0.376027000","55","140","192.168.10.22","8081","10.0.0.2","46926","88","881","38"
,"1.260738000","0.376055000","56","140","192.168.10.22","8081","10.0.0.2","46926","88","969","38"
,"1.260796000","0.376113000","57","140","192.168.10.22","8081","10.0.0.2","46926","88","1057","38"
,"1.260812000","0.376129000","58","140","192.168.10.22","8081","10.0.0.2","46926","88","1145","38"
,"1.260866000","0.376183000","59","140","192.168.10.22","8081","10.0.0.2","46926","88","1233","38"
,"1.260882000","0.376199000","60","140","192.168.10.22","8081","10.0.0.2","46926","88","1321","38"
,"1.260928000","0.376245000","61","140","192.168.10.22","8081","10.0.0.2","46926","88","1409","38"
,"1.260941000","0.376258000","62","140","192.168.10.22","8081","10.0.0.2","46926","88","1497","38"
,"1.260985000","0.376302000","63","140","192.168.10.22","8081","10.0.0.2","46926","88","1585","38"
,"1.261000000","0.376317000","64","140","192.168.10.22","8081","10.0.0.2","46926","88","1673","38"
,"1.261045000","0.376362000","65","140","192.168.10.22","8081","10.0.0.2","46926","88","1761","38"
,"1.261060000","0.376377000","66","140","192.168.10.22","8081","10.0.0.2","46926","88","1849","38"
,"1.261104000","0.376421000","67","140","192.168.10.22","8081","10.0.0.2","46926","88","1937","38"
,"1.261118000","0.376435000","68","140","192.168.10.22","8081","10.0.0.2","46926","88","2025","38"
,"1.261163000","0.376480000","69","140","192.168.10.22","8081","10.0.0.2","46926","88","2113","38"
,"1.261175000","0.376492000","70","140","192.168.10.22","8081","10.0.0.2","46926","88","2201","38"
,"1.261257000","0.376574000","71","140","192.168.10.22","8081","10.0.0.2","46926","88","2289","38"
,"1.261273000","0.376590000","72","140","192.168.10.22","8081","10.0.0.2","46926","88","2377","38"
,"1.321279000","0.436596000","73","52","10.0.0.2","46926","192.168.10.22","8081","0","38","881"
,"1.322023000","0.437340000","74","140","192.168.10.22","8081","10.0.0.2","46926","88","2465","38"
,"1.322048000","0.437365000","75","140","192.168.10.22","8081","10.0.0.2","46926","88","2553","38"
,"1.446676000","0.561993000","76","52","10.0.0.2","46926","192.168.10.22","8081","0","38","969"
,"1.446686000","0.562003000","77","52","10.0.0.2","46926","192.168.10.22","8081","0","38","1057"
,"1.446690000","0.562007000","78","52","10.0.0.2","46926","192.168.10.22","8081","0","38","1145"
,"1.446695000","0.562012000","79","52","10.0.0.2","46926","192.168.10.22","8081","0","38","1233"
,"1.446700000","0.562017000","80","52","10.0.0.2","46926","192.168.10.22","8081","0","38","1321"
,"1.446704000","0.562021000","81","52","10.0.0.2","46926","192.168.10.22","8081","0","38","1585"
,"1.446726000","0.562043000","82","52","10.0.0.2","46926","192.168.10.22","8081","0","38","1761"
,"1.447720000","0.563037000","83","140","192.168.10.22","8081","10.0.0.2","46926","88","2641","38"
,"1.447814000","0.563131000","84","140","192.168.10.22","8081","10.0.0.2","46926","88","2729","38"
,"1.448020000","0.563337000","85","140","192.168.10.22","8081","10.0.0.2","46926","88","2817","38"
,"1.448036000","0.563353000","86","140","192.168.10.22","8081","10.0.0.2","46926","88","2905","38"
,"1.448083000","0.563400000","87","140","192.168.10.22","8081","10.0.0.2","46926","88","2993","38"
,"1.448096000","0.563413000","88","140","192.168.10.22","8081","10.0.0.2","46926","88","3081","38"
,"1.448140000","0.563457000","89","140","192.168.10.22","8081","10.0.0.2","46926","88","3169","38"
,"1.448151000","0.563468000","90","140","192.168.10.22","8081","10.0.0.2","46926","88","3257","38"
,"1.448196000","0.563513000","91","140","192.168.10.22","8081","10.0.0.2","46926","88","3345","38"
,"1.448208000","0.563525000","92","140","192.168.10.22","8081","10.0.0.2","46926","88","3433","38"
,"1.448287000","0.563604000","93","140","192.168.10.22","8081","10.0.0.2","46926","88","3521","38"
,"1.448303000","0.563620000","94","140","192.168.10.22","8081","10.0.0.2","46926","88","3609","38"
,"1.448348000","0.563665000","95","140","192.168.10.22","8081","10.0.0.2","46926","88","3697","38"
,"1.448362000","0.563679000","96","140","192.168.10.22","8081","10.0.0.2","46926","88","3785","38"
,"1.448407000","0.563724000","97","140","192.168.10.22","8081","10.0.0.2","46926","88","3873","38"
,"1.448419000","0.563736000","98","140","192.168.10.22","8081","10.0.0.2","46926","88","3961","38"
,"1.448464000","0.563781000","99","140","192.168.10.22","8081","10.0.0.2","46926","88","4049","38"
,"1.448477000","0.563794000","100","140","192.168.10.22","8081","10.0.0.2","46926","88","4137","38"
,"1.448521000","0.563838000","101","140","192.168.10.22","8081","10.0.0.2","46926","88","4225","38"
,"1.448533000","0.563850000","102","140","192.168.10.22","8081","10.0.0.2","46926","88","4313","38"
,"1.509098000","0.624415000","103","52","10.0.0.2","46926","192.168.10.22","8081","0","38","2641"
,"1.510276000","0.625593000","104","140","192.168.10.22","8081","10.0.0.2","46926","88","4401","38"
,"1.510302000","0.625619000","105","140","192.168.10.22","8081","10.0.0.2","46926","88","4489","38"
,"1.510352000","0.625669000","106","140","192.168.10.22","8081","10.0.0.2","46926","88","4577","38"
,"1.510364000","0.625681000","107","140","192.168.10.22","8081","10.0.0.2","46926","88","4665","38"
,"1.510409000","0.625726000","108","140","192.168.10.22","8081","10.0.0.2","46926","88","4753","38"
,"1.510421000","0.625738000","109","140","192.168.10.22","8081","10.0.0.2","46926","88","4841","38"
,"1.510465000","0.625782000","110","140","192.168.10.22","8081","10.0.0.2","46926","88","4929","38"
