_ws.col.cls_time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
,"0.000000000",,"1","76",,,,,,,
,"0.127271000",,"2","76",,,,,,,
,"0.163538000","0.000000000","3","60","10.0.0.2","44738","192.168.10.22","8081","0","0","0"
,"0.165342000","0.001804000","4","60","192.168.10.22","8081","10.0.0.2","44738","0","0","1"
,"0.207133000",,"5","76",,,,,,,
,"0.475924000","0.312386000","6","52","10.0.0.2","44738","192.168.10.22","8081","0","1","1"
,"0.475952000","0.312414000","7","89","10.0.0.2","44738","192.168.10.22","8081","37","1","1"
,"0.477215000","0.313677000","8","52","192.168.10.22","8081","10.0.0.2","44738","0","1","38"
,"0.477436000","0.313898000","9","53","192.168.10.22","8081","10.0.0.2","44738","1","1","38"
,"0.788007000","0.624469000","10","52","10.0.0.2","44738","192.168.10.22","8081","0","38","2"
,"0.788017000","0.624479000","11","56","10.0.0.2","44738","192.168.10.22","8081","4","38","2"
,"0.788021000","0.624483000","12","100","10.0.0.2","44738","192.168.10.22","8081","48","42","2"
,"0.788025000","0.624487000","13","100","10.0.0.2","44738","192.168.10.22","8081","48","90","2"
,"0.788030000","0.624492000","14","100","10.0.0.2","44738","192.168.10.22","8081","48","138","2"
,"0.788908000","0.625370000","15","52","192.168.10.22","8081","10.0.0.2","44738","0","2","186"
,"0.863043000",,"16","76",,,,,,,
,"1.100700000","0.937162000","17","53","10.0.0.2","44738","192.168.10.22","8081","1","186","2"
,"1.101869000","0.938331000","18","53","192.168.10.22","8081","10.0.0.2","44738","1","2","187"
,"1.412886000","0.000000000","19","60","10.0.0.2","44748","192.168.10.22","8081","0","0","0"
,"1.412917000","1.249379000","20","52","10.0.0.2","44738","192.168.10.22","8081","0","187","3"
,"1.414089000","0.001203000","21","60","192.168.10.22","8081","10.0.0.2","44748","0","0","1"
,"1.726121000","0.313235000","22","52","10.0.0.2","44748","192.168.10.22","8081","0","1","1"
,"1.726151000","0.313265000","23","89","10.0.0.2","44748","192.168.10.22","8081","37","1","1"
,"1.727519000","0.314633000","24","52","192.168.10.22","8081","10.0.0.2","44748","0","1","38"
,"1.739048000","1.575510000","25","53","192.168.10.22","8081","10.0.0.2","44738","1","3","187"
,"1.739092000","1.575554000","26","53","192.168.10.22","8081","10.0.0.2","44738","1","4","187"
,"1.739563000","0.326677000","27","140","192.168.10.22","8081","10.0.0.2","44748","88","1","38"
,"1.739605000","0.326719000","28","140","192.168.10.22","8081","10.0.0.2","44748","88","89","38"
,"1.739667000","0.326781000","29","140","192.168.10.22","8081","10.0.0.2","44748","88","177","38"
,"1.739685000","0.326799000","30","140","192.168.10.22","8081","10.0.0.2","44748","88","265","38"
,"1.739740000","0.326854000","31","140","192.168.10.22","8081","10.0.0.2","44748","88","353","38"
,"1.739758000","0.326872000","32","140","192.168.10.22","8081","10.0.0.2","44748","88","441","38"
,"1.739810000","0.326924000","33","140","192.168.10.22","8081","10.0.0.2","44748","88","529","38"
,"1.739826000","0.326940000","34","140","192.168.10.22","8081","10.0.0.2","44748","88","617","38"
,"1.739873000","0.326987000","35","140","192.168.10.22","8081","10.0.0.2","44748","88","705","38"
,"1.739887000","0.327001000","36","140","192.168.10.22","8081","10.0.0.2","44748","88","793","38"
,"2.038270000","1.874732000","37","52","10.0.0.2","44738","192.168.10.22","8081","0","187","4"
,"2.038283000","1.874745000","38","52","10.0.0.2","44738","192.168.10.22","8081","0","187","5"
,"2.038290000","0.625404000","39","52","10.0.0.2","44748","192.168.10.22","8081","0","38","89"
,"2.038297000","0.625411000","40","52","10.0.0.2","44748","192.168.10.22","8081","0","38","177"
,"2.038304000","0.625418000","41","52","10.0.0.2","44748","192.168.10.22","8081","0","38","265"
,"2.038311000","0.625425000","42","52","10.0.0.2","44748","192.168.10.22","8081","0","38","353"
,"2.038319000","0.625433000","43","52","10.0.0.2","44748","192.168.10.22","8081","0","38","441"
,"2.038326000","0.625440000","44","52","10.0.0.2","44748","192.168.10.22","8081","0","38","529"
,"2.038333000","0.625447000","45","52","10.0.0.2","44748","192.168.10.22","8081","0","38","617"
,"2.038339000","0.625453000","46","52","10.0.0.2","44748","192.168.10.22","8081","0","38","705"
,"2.038347000","0.625461000","47","52","10.0.0.2","44748","192.168.10.22","8081","0","38","793"
,"2.039154000","0.626268000","48","140","192.168.10.22","8081","10.0.0.2","44748","88","881","38"
,"2.039190000","0.626304000","49","140","192.168.10.22","8081","10.0.0.2","44748","88","969","38"
,"2.039240000","0.626354000","50","140","192.168.10.22","8081","10.0.0.2","44748","88","1057","38"
,"2.039252000","0.626366000","51","140","192.168.10.22","8081","10.0.0.2","44748","88","1145","38"
,"2.039390000","0.626504000","52","140","192.168.10.22","8081","10.0.0.2","44748","88","1233","38"
,"2.039411000","0.626525000","53","140","192.168.10.22","8081","10.0.0.2","44748","88","1321","38"
,"2.039458000","0.626572000","54","140","192.168.10.22","8081","10.0.0.2","44748","88","1409","38"
,"2.039469000","0.626583000","55","140","192.168.10.22","8081","10.0.0.2","44748","88","1497","38"
,"2.039515000","0.626629000","56","140","192.168.10.22","8081","10.0.0.2","44748","88","1585","38"
,"2.039527000","0.626641000","57","140","192.168.10.22","8081","10.0.0.2","44748","88","1673","38"
,"2.039572000","0.626686000","58","140","192.168.10.22","8081","10.0.0.2","44748","88","1761","38"
,"2.039585000","0.626699000","59","140","192.168.10.22","8081","10.0.0.2","44748","88","1849","38"
,"2.039630000","0.626744000","60","140","192.168.10.22","8081","10.0.0.2","44748","88","1937","38"
,"2.039643000","0.626757000","61","140","192.168.10.22","8081","10.0.0.2","44748","88","2025","38"
,"2.039688000","0.626802000","62","140","192.168.10.22","8081","10.0.0.2","44748","88","2113","38"
,"2.039702000","0.626816000","63","140","192.168.10.22","8081","10.0.0.2","44748","88","2201","38"
,"2.039747000","0.626861000","64","140","192.168.10.22","8081","10.0.0.2","44748","88","2289","38"
,"2.039760000","0.626874000","65","140","192.168.10.22","8081","10.0.0.2","44748","88","2377","38"
,"2.101421000","0.688535000","66","52","10.0.0.2","44748","192.168.10.22","8081","0","38","881"
,"2.102386000","0.689500000","67","140","192.168.10.22","8081","10.0.0.2","44748","88","2465","38"
,"2.102429000","0.689543000","68","140","192.168.10.22","8081","10.0.0.2","44748","88","2553","38"
,"2.351074000","0.938188000","69","52","10.0.0.2","44748","192.168.10.22","8081","0","38","969"
,"2.351101000","0.938215000","70","52","10.0.0.2","44748","192.168.10.22","8081","0","38","1057"
,"2.351117000","0.938231000","71","52","10.0.0.2","44748","192.168.10.22","8081","0","38","1145"
,"2.351135000","0.938249000","72","52","10.0.0.2","44748","192.168.10.22","8081","0","38","1233"
,"2.351164000","0.938278000","73","52","10.0.0.2","44748","192.168.10.22","8081","0","38","1321"
,"2.351181000","0.938295000","74","52","10.0.0.2","44748","192.168.10.22","8081","0","38","1409"
,"2.351198000","0.938312000","75","52","10.0.0.2","44748","192.168.10.22","8081","0","38","1761"
,"2.352193000","0.939307000","76","140","192.168.10.22","8081","10.0.0.2","44748","88","2641","38"
,"2.352237000","0.939351000","77","140","192.168.10.22","8081","10.0.0.2","44748","88","2729","38"
,"2.352302000","0.939416000","78","140","192.168.10.22","8081","10.0.0.2","44748","88","2817","38"
,"2.352318000","0.939432000","79","140","192.168.10.22","8081","10.0.0.2","44748","88","2905","38"
,"2.352366000","0.939480000","80","140","192.168.10.22","8081","10.0.0.2","44748","88","2993","38"
,"2.352378000","0.939492000","81","140","192.168.10.22","8081","10.0.0.2","44748","88","3081","38"
,"2.352423000","0.939537000","82","140","192.168.10.22","8081","10.0.0.2","44748","88","3169","38"
,"2.352435000","0.939549000","83","140","192.168.10.22","8081","10.0.0.2","44748","88","3257","38"
,"2.352481000","0.939595000","84","140","192.168.10.22","8081","10.0.0.2","44748","88","3345","38"
,"2.352495000","0.939609000","85","140","192.168.10.22","8081","10.0.0.2","44748","88","3433","38"
,"2.352540000","0.939654000","86","140","192.168.10.22","8081","10.0.0.2","44748","88","3521","38"
,"2.352553000","0.939667000","87","140","192.168.10.22","8081","10.0.0.2","44748","88","3609","38"
,"2.352599000","0.939713000","88","140","192.168.10.22","8081","10.0.0.2","44748","88","3697","38"
,"2.352614000","0.939728000","89","140","192.168.10.22","8081","10.0.0.2","44748","88","3785","38"
,"2.352660000","0.939774000","90","140","192.168.10.22","8081","10.0.0.2","44748","88","3873","38"
,"2.352672000","0.939786000","91","140","192.168.10.22","8081","10.0.0.2","44748","88","3961","38"
,"2.352717000","0.939831000","92","140","192.168.10.22","8081","10.0.0.2","44748","88","4049","38"
,"2.352730000","0.939844000","93","140","192.168.10.22","8081","10.0.0.2","44748","88","4137","38"
,"2.352775000","0.939889000","94","140","192.168.10.22","8081","10.0.0.2","44748","88","4225","38"
,"2.352787000","0.939901000","95","140","192.168.10.22","8081","10.0.0.2","44748","88","4313","38"
,"2.413370000","1.000484000","96","52","10.0.0.2","44748","192.168.10.22","8081","0","38","2641"
,"2.414344000","1.001458000","97","140","192.168.10.22","8081","10.0.0.2","44748","88","4401","38"
,"2.414392000","1.001506000","98","140","192.168.10.22","8081","10.0.0.2","44748","88","4489","38"
,"2.414456000","1.001570000","99","140","192.168.10.22","8081","10.0.0.2","44748","88","4577","38"
,"2.414473000","1.001587000","100","140","192.168.10.22","8081","10.0.0.2","44748","88","4665","38"
,"2.414523000","1.001637000","101","140","192.168.10.22","8081","10.0.0.2","44748","88","4753","38"
,"2.414535000","1.001649000","102","140","192.168.10.22","8081","10.0.0.2","44748","88","4841","38"
,"2.414580000","1.001694000","103","140","192.168.10.22","8081","10.0.0.2","44748","88","4929","38"
,"2.414592000","1.001706000","104","140","192.168.10.22","8081","10.0.0.2","44748","88","5017","38"
,"2.414638000","1.001752000","105","140","192.168.10.22","8081","10.0.0.2","44748","88","5105","38"
,"2.414653000","1.001767000","106","140","192.168.10.22","8081","10.0.0.2","44748","88","5193","38"
,"2.414699000","1.001813000","107","140","192.168.10.22","8081","10.0.0.2","44748","88","5281","38"
,"2.414714000","1.001828000","108","140","192.168.10.22","8081","10.0.0.2","44748","88","5369","38"
,"2.414760000","1.001874000","109","140","192.168.10.22","8081","10.0.0.2","44748","88","5457","38"
,"2.414772000","1.001886000","110","140","192.168.10.22","8081","10.0.0.2","44748","88","5545","38"
,"2.414816000","1.001930000","111","140","192.168.10.22","8081","10.0.0.2","44748","88","5633","38"
,"2.414830000","1.001944000","112","140","192.168.10.22","8081","10.0.0.2","44748","88","5721","38"
,"2.414874000","1.001988000","113","140","192.168.10.22","8081","10.0.0.2","44748","88","5809","38"
,"2.414888000","1.002002000","114","140","192.168.10.22","8081","10.0.0.2","44748","88","5897","38"
,"2.414932000","1.002046000","115","140","192.168.10.22","8081","10.0.0.2","44748","88","5985","38"
,"2.414946000","1.002060000","116","140","192.168.10.22","8081","10.0.0.2","44748","88","6073","38"
,"2.663175000","1.250289000","117","52","10.0.0.2","44748","192.168.10.22","8081","0","38","3521"
,"2.664130000","1.251244000","118","140","192.168.10.22","8081","10.0.0.2","44748","88","6161","38"
,"2.664175000","1.251289000","119","140","192.168.10.22","8081","10.0.0.2","44748","88","6249","38"
,"2.664239000","1.251353000","120","140","192.168.10.22","8081","10.0.0.2","44748","88","6337","38"
,"2.664256000","1.251370000","121","140","192.168.10.22","8081","10.0.0.2","44748","88","6425","38"
,"2.664304000","1.251418000","122","140","192.168.10.22","8081","10.0.0.2","44748","88","6513","38"
,"2.664317000","1.251431000","123","140","192.168.10.22","8081","10.0.0.2","44748","88","6601","38"
,"2.664362000","1.251476000","124","140","192.168.10.22","8081","10.0.0.2","44748","88","6689","38"
,"2.664374000","1.251488000","125","140","192.168.10.22","8081","10.0.0.2","44748","88","6777","38"
,"2.664419000","1.251533000","126","140","192.168.10.22","8081","10.0.0.2","44748","88","6865","38"
,"2.664433000","1.251547000","127","140","192.168.10.22","8081","10.0.0.2","44748","88","6953","38"
,"2.664480000","1.251594000","128","140","192.168.10.22","8081","10.0.0.2","44748","88","7041","38"
,"2.664493000","1.251607000","129","140","192.168.10.22","8081","10.0.0.2","44748","88","7129","38"
,"2.664539000","1.251653000","130","140","192.168.10.22","8081","10.0.0.2","44748","88","7217","38"
,"2.664554000","1.251668000","131","140","192.168.10.22","8081","10.0.0.2","44748","88","7305","38"
,"2.664599000","1.251713000","132","140","192.168.10.22","8081","10.0.0.2","44748","88","7393","38"
,"2.664611000","1.251725000","133","140","192.168.10.22","8081","10.0.0.2","44748","88","7481","38"
,"2.664656000","1.251770000","134","140","192.168.10.22","8081","10.0.0.2","44748","88","7569","38"
,"2.664670000","1.251784000","135","140","192.168.10.22","8081","10.0.0.2","44748","88","7657","38"
,"2.664715000","1.251829000","136","140","192.168.10.22","8081","10.0.0.2","44748","88","7745","38"
,"2.664727000","1.251841000","137","140","192.168.10.22","8081","10.0.0.2","44748","88","7833","38"
,"2.726576000","1.313690000","138","52","10.0.0.2","44748","192.168.10.22","8081","0","38","3873"
,"2.726603000","1.313717000","139","52","10.0.0.2","44748","192.168.10.22","8081","0","38","4401"
,"2.727576000","1.314690000","140","140","192.168.10.22","8081","10.0.0.2","44748","88","7921","38"
,"2.727620000","1.314734000","141","140","192.168.10.22","8081","10.0.0.2","44748","88","8009","38"
,"2.727686000","1.314800000","142","140","192.168.10.22","8081","10.0.0.2","44748","88","8097","38"
,"2.727705000","1.314819000","143","140","192.168.10.22","8081","10.0.0.2","44748","88","8185","38"
,"2.727757000","1.314871000","144","140","192.168.10.22","8081","10.0.0.2","44748","88","8273","38"
