_ws.col.cls_time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
,"0.000000000",,"1","76",,,,,,,
,"0.152051000",,"2","76",,,,,,,
,"0.161002000","0.000000000","3","60","10.0.0.2","51842","192.168.178.95","2500","0","0","0"
,"0.163971000","0.002969000","4","60","192.168.178.95","2500","10.0.0.2","51842","0","0","1"
,"0.224123000",,"5","76",,,,,,,
,"0.349310000","0.188308000","6","52","10.0.0.2","51842","192.168.178.95","2500","0","1","1"
,"0.349333000","0.188331000","7","89","10.0.0.2","51842","192.168.178.95","2500","37","1","1"
,"0.350952000","0.189950000","8","52","192.168.178.95","2500","10.0.0.2","51842","0","1","38"
,"0.350984000","0.189982000","9","53","192.168.178.95","2500","10.0.0.2","51842","1","1","38"
,"0.535723000","0.374721000","10","52","10.0.0.2","51842","192.168.178.95","2500","0","38","2"
,"0.535740000","0.374738000","11","56","10.0.0.2","51842","192.168.178.95","2500","4","38","2"
,"0.535748000","0.374746000","12","100","10.0.0.2","51842","192.168.178.95","2500","48","42","2"
,"0.535754000","0.374752000","13","100","10.0.0.2","51842","192.168.178.95","2500","48","90","2"
,"0.535761000","0.374759000","14","100","10.0.0.2","51842","192.168.178.95","2500","48","138","2"
,"0.536708000","0.375706000","15","52","192.168.178.95","2500","10.0.0.2","51842","0","2","138"
,"0.536734000","0.375732000","16","53","192.168.178.95","2500","10.0.0.2","51842","1","2","186"
,"0.723650000","0.000000000","17","60","10.0.0.2","51854","192.168.178.95","2500","0","0","0"
,"0.727248000","0.003598000","18","60","192.168.178.95","2500","10.0.0.2","51854","0","0","1"
,"0.786018000","0.625016000","19","52","10.0.0.2","51842","192.168.178.95","2500","0","186","3"
,"0.888026000",,"20","76",,,,,,,
,"0.911150000","0.187500000","21","52","10.0.0.2","51854","192.168.178.95","2500","0","1","1"
,"0.911172000","0.187522000","22","89","10.0.0.2","51854","192.168.178.95","2500","37","1","1"
,"0.912912000","0.189262000","23","52","192.168.178.95","2500","10.0.0.2","51854","0","1","38"
,"0.913599000","0.752597000","24","53","192.168.178.95","2500","10.0.0.2","51842","1","3","186"
,"0.913634000","0.189984000","25","140","192.168.178.95","2500","10.0.0.2","51854","88","1","38"
,"0.913687000","0.190037000","26","140","192.168.178.95","2500","10.0.0.2","51854","88","89","38"
,"0.913705000","0.190055000","27","140","192.168.178.95","2500","10.0.0.2","51854","88","177","38"
,"0.913752000","0.190102000","28","140","192.168.178.95","2500","10.0.0.2","51854","88","265","38"
,"0.913768000","0.190118000","29","140","192.168.178.95","2500","10.0.0.2","51854","88","353","38"
,"0.913816000","0.190166000","30","140","192.168.178.95","2500","10.0.0.2","51854","88","441","38"
,"0.913832000","0.190182000","31","140","192.168.178.95","2500","10.0.0.2","51854","88","529","38"
,"0.913900000","0.190250000","32","140","192.168.178.95","2500","10.0.0.2","51854","88","617","38"
,"0.913919000","0.190269000","33","140","192.168.178.95","2500","10.0.0.2","51854","88","705","38"
,"0.913958000","0.190308000","34","140","192.168.178.95","2500","10.0.0.2","51854","88","793","38"
,"1.099265000","0.938263000","35","52","10.0.0.2","51842","192.168.178.95","2500","0","186","4"
,"1.099272000","0.375622000","36","52","10.0.0.2","51854","192.168.178.95","2500","0","38","89"
,"1.099293000","0.375643000","37","52","10.0.0.2","51854","192.168.178.95","2500","0","38","177"
,"1.099296000","0.375646000","38","52","10.0.0.2","51854","192.168.178.95","2500","0","38","265"
,"1.099299000","0.375649000","39","52","10.0.0.2","51854","192.168.178.95","2500","0","38","353"
,"1.099302000","0.375652000","40","52","10.0.0.2","51854","192.168.178.95","2500","0","38","441"
,"1.099305000","0.375655000","41","52","10.0.0.2","51854","192.168.178.95","2500","0","38","529"
,"1.099308000","0.375658000","42","52","10.0.0.2","51854","192.168.178.95","2500","0","38","617"
,"1.099311000","0.375661000","43","52","10.0.0.2","51854","192.168.178.95","2500","0","38","705"
,"1.099313000","0.375663000","44","52","10.0.0.2","51854","192.168.178.95","2500","0","38","793"
,"1.099941000","0.938939000","45","53","192.168.178.95","2500","10.0.0.2","51842","1","4","186"
,"1.099949000","0.376299000","46","140","192.168.178.95","2500","10.0.0.2","51854","88","881","38"
,"1.103275000","0.379625000","47","140","192.168.178.95","2500","10.0.0.2","51854","88","969","38"
,"1.109813000","0.386163000","48","140","192.168.178.95","2500","10.0.0.2","51854","88","1057","38"
,"1.116432000","0.392782000","49","140","192.168.178.95","2500","10.0.0.2","51854","88","1145","38"
,"1.122996000","0.399346000","50","140","192.168.178.95","2500","10.0.0.2","51854","88","1233","38"
,"1.129478000","0.405828000","51","140","192.168.178.95","2500","10.0.0.2","51854","88","1321","38"
,"1.136026000","0.412376000","52","140","192.168.178.95","2500","10.0.0.2","51854","88","1409","38"
,"1.142554000","0.418904000","53","140","192.168.178.95","2500","10.0.0.2","51854","88","1497","38"
,"1.149079000","0.425429000","54","140","192.168.178.95","2500","10.0.0.2","51854","88","1585","38"
,"1.155636000","0.431986000","55","140","192.168.178.95","2500","10.0.0.2","51854","88","1673","38"
,"1.160869000","0.437219000","56","52","10.0.0.2","51854","192.168.178.95","2500","0","38","881"
,"1.162181000","0.438531000","57","140","192.168.178.95","2500","10.0.0.2","51854","88","1761","38"
,"1.168721000","0.445071000","58","140","192.168.178.95","2500","10.0.0.2","51854","88","1849","38"
,"1.175263000","0.451613000","59","140","192.168.178.95","2500","10.0.0.2","51854","88","1937","38"
,"1.181812000","0.458162000","60","140","192.168.178.95","2500","10.0.0.2","51854","88","2025","38"
,"1.188359000","0.464709000","61","140","192.168.178.95","2500","10.0.0.2","51854","88","2113","38"
,"1.194914000","0.471264000","62","140","192.168.178.95","2500","10.0.0.2","51854","88","2201","38"
,"1.201435000","0.477785000","63","140","192.168.178.95","2500","10.0.0.2","51854","88","2289","38"
,"1.207969000","0.484319000","64","140","192.168.178.95","2500","10.0.0.2","51854","88","2377","38"
,"1.214658000","0.491008000","65","140","192.168.178.95","2500","10.0.0.2","51854","88","2465","38"
,"1.221119000","0.497469000","66","140","192.168.178.95","2500","10.0.0.2","51854","88","2553","38"
,"1.285606000","1.124604000","67","52","10.0.0.2","51842","192.168.178.95","2500","0","186","5"
,"1.285625000","0.561975000","68","52","10.0.0.2","51854","192.168.178.95","2500","0","38","969"
,"1.285633000","0.561983000","69","52","10.0.0.2","51854","192.168.178.95","2500","0","38","1233"
,"1.285641000","0.561991000","70","52","10.0.0.2","51854","192.168.178.95","2500","0","38","1321"
,"1.285649000","0.561999000","71","52","10.0.0.2","51854","192.168.178.95","2500","0","38","1409"
,"1.285657000","0.562007000","72","52","10.0.0.2","51854","192.168.178.95","2500","0","38","1497"
,"1.285665000","0.562015000","73","52","10.0.0.2","51854","192.168.178.95","2500","0","38","1585"
,"1.285672000","0.562022000","74","52","10.0.0.2","51854","192.168.178.95","2500","0","38","1761"
,"1.286634000","0.562984000","75","140","192.168.178.95","2500","10.0.0.2","51854","88","2641","38"
,"1.289944000","0.566294000","76","140","192.168.178.95","2500","10.0.0.2","51854","88","2729","38"
,"1.296455000","0.572805000","77","140","192.168.178.95","2500","10.0.0.2","51854","88","2817","38"
,"1.303035000","0.579385000","78","140","192.168.178.95","2500","10.0.0.2","51854","88","2905","38"
,"1.309572000","0.585922000","79","140","192.168.178.95","2500","10.0.0.2","51854","88","2993","38"
,"1.316048000","0.592398000","80","140","192.168.178.95","2500","10.0.0.2","51854","88","3081","38"
,"1.322649000","0.598999000","81","140","192.168.178.95","2500","10.0.0.2","51854","88","3169","38"
,"1.329178000","0.605528000","82","140","192.168.178.95","2500","10.0.0.2","51854","88","3257","38"
,"1.335707000","0.612057000","83","140","192.168.178.95","2500","10.0.0.2","51854","88","3345","38"
,"1.342270000","0.618620000","84","140","192.168.178.95","2500","10.0.0.2","51854","88","3433","38"
,"1.348676000","0.625026000","85","140","192.168.178.95","2500","10.0.0.2","51854","88","3521","38"
,"1.349379000","0.625729000","86","52","10.0.0.2","51854","192.168.178.95","2500","0","38","2553"
,"1.355259000","0.631609000","87","140","192.168.178.95","2500","10.0.0.2","51854","88","3609","38"
,"1.360829000","0.637179000","88","140","192.168.178.95","2500","10.0.0.2","51854","88","3697","38"
,"1.366403000","0.642753000","89","140","192.168.178.95","2500","10.0.0.2","51854","88","3785","38"
,"1.371939000","0.648289000","90","140","192.168.178.95","2500","10.0.0.2","51854","88","3873","38"
,"1.377341000","0.653691000","91","140","192.168.178.95","2500","10.0.0.2","51854","88","3961","38"
,"1.383009000","0.659359000","92","140","192.168.178.95","2500","10.0.0.2","51854","88","4049","38"
,"1.388603000","0.664953000","93","140","192.168.178.95","2500","10.0.0.2","51854","88","4137","38"
,"1.394070000","0.670420000","94","140","192.168.178.95","2500","10.0.0.2","51854","88","4225","38"
,"1.399369000","0.675719000","95","140","192.168.178.95","2500","10.0.0.2","51854","88","4313","38"
,"1.405194000","0.681544000","96","140","192.168.178.95","2500","10.0.0.2","51854","88","4401","38"
,"1.410569000","0.686919000","97","140","192.168.178.95","2500","10.0.0.2","51854","88","4489","38"
,"1.416169000","0.692519000","98","140","192.168.178.95","2500","10.0.0.2","51854","88","4577","38"
,"1.421803000","0.698153000","99","140","192.168.178.95","2500","10.0.0.2","51854","88","4665","38"
,"1.427216000","0.703566000","100","140","192.168.178.95","2500","10.0.0.2","51854","88","4753","38"
,"1.432928000","0.709278000","101","140","192.168.178.95","2500","10.0.0.2","51854","88","4841","38"
,"1.438385000","0.714735000","102","140","192.168.178.95","2500","10.0.0.2","51854","88","4929","38"
,"1.443955000","0.720305000","103","140","192.168.178.95","2500","10.0.0.2","51854","88","5017","38"
,"1.449401000","0.725751000","104","140","192.168.178.95","2500","10.0.0.2","51854","88","5105","38"
,"1.455066000","0.731416000","105","140","192.168.178.95","2500","10.0.0.2","51854","88","5193","38"
,"1.460643000","0.736993000","106","140","192.168.178.95","2500","10.0.0.2","51854","88","5281","38"
,"1.465996000","0.742346000","107","140","192.168.178.95","2500","10.0.0.2","51854","88","5369","38"
,"1.471715000","0.748065000","108","140","192.168.178.95","2500","10.0.0.2","51854","88","5457","38"
,"1.473938000","0.750288000","109","52","10.0.0.2","51854","192.168.178.95","2500","0","38","2641"
,"1.473963000","0.750313000","110","52","10.0.0.2","51854","192.168.178.95","2500","0","38","3521"
,"1.477266000","0.753616000","111","140","192.168.178.95","2500","10.0.0.2","51854","88","5545","38"
,"1.480435000","0.756785000","112","140","192.168.178.95","2500","10.0.0.2","51854","88","5633","38"
,"1.483892000","0.760242000","113","140","192.168.178.95","2500","10.0.0.2","51854","88","5721","38"
,"1.487118000","0.763468000","114","140","192.168.178.95","2500","10.0.0.2","51854","88","5809","38"
,"1.490440000","0.766790000","115","140","192.168.178.95","2500","10.0.0.2","51854","88","5897","38"
,"1.493750000","0.770100000","116","140","192.168.178.95","2500","10.0.0.2","51854","88","5985","38"
,"1.497012000","0.773362000","117","140","192.168.178.95","2500","10.0.0.2","51854","88","6073","38"
,"1.500307000","0.776657000","118","140","192.168.178.95","2500","10.0.0.2","51854","88","6161","38"
,"1.503594000","0.779944000","119","140","192.168.178.95","2500","10.0.0.2","51854","88","6249","38"
,"1.506943000","0.783293000","120","140","192.168.178.95","2500","10.0.0.2","51854","88","6337","38"
,"1.510125000","0.786475000","121","140","192.168.178.95","2500","10.0.0.2","51854","88","6425","38"
,"1.513484000","0.789834000","122","140","192.168.178.95","2500","10.0.0.2","51854","88","6513","38"
,"1.516795000","0.793145000","123","140","192.168.178.95","2500","10.0.0.2","51854","88","6601","38"
,"1.520009000","0.796359000","124","140","192.168.178.95","2500","10.0.0.2","51854","88","6689","38"
,"1.523234000","0.799584000","125","140","192.168.178.95","2500","10.0.0.2","51854","88","6777","38"
,"1.526647000","0.802997000","126","140","192.168.178.95","2500","10.0.0.2","51854","88","6865","38"
,"1.529966000","0.806316000","127","140","192.168.178.95","2500","10.0.0.2","51854","88","6953","38"
,"1.533193000","0.809543000","128","140","192.168.178.95","2500","10.0.0.2","51854","88","7041","38"
,"1.535532000","0.811882000","129","52","10.0.0.2","51854","192.168.178.95","2500","0","38","3961"
,"1.535555000","0.811905000","130","52","10.0.0.2","51854","192.168.178.95","2500","0","38","4401"
,"1.536529000","0.812879000","131","140","192.168.178.95","2500","10.0.0.2","51854","88","7129","38"
,"1.539845000","0.816195000","132","140","192.168.178.95","2500","10.0.0.2","51854","88","7217","38"
,"1.542948000","0.819298000","133","140","192.168.178.95","2500","10.0.0.2","51854","88","7305","38"
,"1.546019000","0.822369000","134","140","192.168.178.95","2500","10.0.0.2","51854","88","7393","38"
,"1.549099000","0.825449000","135","140","192.168.178.95","2500","10.0.0.2","51854","88","7481","38"
,"1.552249000","0.828599000","136","140","192.168.178.95","2500","10.0.0.2","51854","88","7569","38"
,"1.555345000","0.831695000","137","140","192.168.178.95","2500","10.0.0.2","51854","88","7657","38"
,"1.558448000","0.834798000","138","140","192.168.178.95","2500","10.0.0.2","51854","88","7745","38"
,"1.561544000","0.837894000","139","140","192.168.178.95","2500","10.0.0.2","51854","88","7833","38"
,"1.564622000","0.840972000","140","140","192.168.178.95","2500","10.0.0.2","51854","88","7921","38"
,"1.567752000","0.844102000","141","140","192.168.178.95","2500","10.0.0.2","51854","88","8009","38"
,"1.570877000","0.847227000","142","140","192.168.178.95","2500","10.0.0.2","51854","88","8097","38"
,"1.573891000","0.850241000","143","140","192.168.178.95","2500","10.0.0.2","51854","88","8185","38"
,"1.577025000","0.853375000","144","140","192.168.178.95","2500","10.0.0.2","51854","88","8273","38"
,"1.580145000","0.856495000","145","140","192.168.178.95","2500","10.0.0.2","51854","88","8361","38"
,"1.598532000","0.874882000","146","52","10.0.0.2","51854","192.168.178.95","2500","0","38","5105"
,"1.598554000","0.874904000","147","52","10.0.0.2","51854","192.168.178.95","2500","0","38","5281"
,"1.599596000","0.875946000","148","140","192.168.178.95","2500","10.0.0.2","51854","88","8449","38"
,"1.601179000","0.877529000","149","140","192.168.178.95","2500","10.0.0.2","51854","88","8537","38"
,"1.603964000","0.880314000","150","140","192.168.178.95","2500","10.0.0.2","51854","88","8625","38"
,"1.606829000","0.883179000","151","140","192.168.178.95","2500","10.0.0.2","51854","88","8713","38"
,"1.609615000","0.885965000","152","140","192.168.178.95","2500","10.0.0.2","51854","88","8801","38"
,"1.612450000","0.888800000","153","140","192.168.178.95","2500","10.0.0.2","51854","88","8889","38"
,"1.615258000","0.891608000","154","140","192.168.178.95","2500","10.0.0.2","51854","88","8977","38"
,"1.618049000","0.894399000","155","140","192.168.178.95","2500","10.0.0.2","51854","88","9065","38"
,"1.620870000","0.897220000","156","140","192.168.178.95","2500","10.0.0.2","51854","88","9153","38"
,"1.623690000","0.900040000","157","140","192.168.178.95","2500","10.0.0.2","51854","88","9241","38"
,"1.626434000","0.902784000","158","140","192.168.178.95","2500","10.0.0.2","51854","88","9329","38"
,"1.629335000","0.905685000","159","140","192.168.178.95","2500","10.0.0.2","51854","88","9417","38"
,"1.632032000","0.908382000","160","140","192.168.178.95","2500","10.0.0.2","51854","88","9505","38"
,"1.634930000","0.911280000","161","140","192.168.178.95","2500","10.0.0.2","51854","88","9593","38"
,"1.637747000","0.914097000","162","140","192.168.178.95","2500","10.0.0.2","51854","88","9681","38"
,"1.640420000","0.916770000","163","140","192.168.178.95","2500","10.0.0.2","51854","88","9769","38"
,"1.643380000","0.919730000","164","140","192.168.178.95","2500","10.0.0.2","51854","88","9857","38"
,"1.646210000","0.922560000","165","140","192.168.178.95","2500","10.0.0.2","51854","88","9945","38"
,"1.660685000","0.937035000","166","52","10.0.0.2","51854","192.168.178.95","2500","0","38","6161"
,"1.661833000","0.938183000","167","140","192.168.178.95","2500","10.0.0.2","51854","88","10033","38"
,"1.662943000","0.939293000","168","140","192.168.178.95","2500","10.0.0.2","51854","88","10121","38"
,"1.665115000","0.941465000","169","140","192.168.178.95","2500","10.0.0.2","51854","88","10209","38"
,"1.667336000","0.943686000","170","140","192.168.178.95","2500","10.0.0.2","51854","88","10297","38"
,"1.669512000","0.945862000","171","140","192.168.178.95","2500","10.0.0.2","51854","88","10385","38"
