_ws.col.cls_time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
,"0.000000000",,"1","76",,,,,,,
,"0.057196000","0.000000000","2","60","10.0.0.2","39180","192.168.178.95","2500","0","0","0"
,"0.061891000","0.004695000","3","60","192.168.178.95","2500","10.0.0.2","39180","0","0","1"
,"0.244058000","0.186862000","4","52","10.0.0.2","39180","192.168.178.95","2500","0","1","1"
,"0.244068000","0.186872000","5","89","10.0.0.2","39180","192.168.178.95","2500","37","1","1"
,"0.245773000","0.188577000","6","52","192.168.178.95","2500","10.0.0.2","39180","0","1","38"
,"0.245785000","0.188589000","7","53","192.168.178.95","2500","10.0.0.2","39180","1","1","38"
,"0.272166000",,"8","76",,,,,,,
,"0.272180000",,"9","48",,,,,,,
,"0.275035000",,"10","76",,,,,,,
,"0.424007000",,"11","76",,,,,,,
,"0.431551000","0.374355000","12","52","10.0.0.2","39180","192.168.178.95","2500","0","38","2"
,"0.431558000","0.374362000","13","56","10.0.0.2","39180","192.168.178.95","2500","4","38","2"
,"0.431562000","0.374366000","14","100","10.0.0.2","39180","192.168.178.95","2500","48","42","2"
,"0.431567000","0.374371000","15","100","10.0.0.2","39180","192.168.178.95","2500","48","90","2"
,"0.431572000","0.374376000","16","100","10.0.0.2","39180","192.168.178.95","2500","48","138","2"
,"0.432267000","0.375071000","17","52","192.168.178.95","2500","10.0.0.2","39180","0","2","186"
,"0.432275000","0.375079000","18","53","192.168.178.95","2500","10.0.0.2","39180","1","2","186"
,"0.619348000","0.000000000","19","60","10.0.0.2","39190","192.168.178.95","2500","0","0","0"
,"0.622198000","0.002850000","20","60","192.168.178.95","2500","10.0.0.2","39190","0","0","1"
,"0.681468000","0.624272000","21","52","10.0.0.2","39180","192.168.178.95","2500","0","186","3"
,"0.806815000","0.187467000","22","52","10.0.0.2","39190","192.168.178.95","2500","0","1","1"
,"0.806840000","0.187492000","23","89","10.0.0.2","39190","192.168.178.95","2500","37","1","1"
