_ws.col.cls_time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
,"0.000000000",,"1","76",,,,,,,
,"0.151733000","0.000000000","2","60","10.0.0.2","45046","192.168.178.95","2500","0","0","0"
,"0.156599000","0.004866000","3","60","192.168.178.95","2500","10.0.0.2","45046","0","0","1"
,"0.339826000","0.188093000","4","52","10.0.0.2","45046","192.168.178.95","2500","0","1","1"
,"0.339855000","0.188122000","5","89","10.0.0.2","45046","192.168.178.95","2500","37","1","1"
,"0.341517000","0.189784000","6","52","192.168.178.95","2500","10.0.0.2","45046","0","1","38"
,"0.341544000","0.189811000","7","53","192.168.178.95","2500","10.0.0.2","45046","1","1","38"
,"0.527282000","0.375549000","8","52","10.0.0.2","45046","192.168.178.95","2500","0","38","2"
,"0.527299000","0.375566000","9","56","10.0.0.2","45046","192.168.178.95","2500","4","38","2"
,"0.527307000","0.375574000","10","100","10.0.0.2","45046","192.168.178.95","2500","48","42","2"
,"0.527315000","0.375582000","11","100","10.0.0.2","45046","192.168.178.95","2500","48","90","2"
,"0.527322000","0.375589000","12","100","10.0.0.2","45046","192.168.178.95","2500","48","138","2"
,"0.527935000",,"13","76",,,,,,,
,"0.527952000",,"14","48",,,,,,,
,"0.528245000","0.376512000","15","52","192.168.178.95","2500","10.0.0.2","45046","0","2","138"
,"0.530917000",,"16","76",,,,,,,
,"0.568516000","0.416783000","17","52","192.168.178.95","2500","10.0.0.2","45046","0","2","186"
,"0.715140000","0.563407000","18","54","10.0.0.2","45046","192.168.178.95","2500","2","186","2"
,"0.716019000","0.564286000","19","52","192.168.178.95","2500","10.0.0.2","45046","0","2","188"
,"0.716246000","0.564513000","20","53","192.168.178.95","2500","10.0.0.2","45046","1","2","188"
,"0.848179000",,"21","76",,,,,,,
,"0.901510000","0.000000000","22","60","10.0.0.2","45050","192.168.178.95","2500","0","0","0"
,"0.904801000","0.003291000","23","60","192.168.178.95","2500","10.0.0.2","45050","0","0","1"
,"0.964694000","0.812961000","24","52","10.0.0.2","45046","192.168.178.95","2500","0","188","3"
,"1.090204000","0.188694000","25","52","10.0.0.2","45050","192.168.178.95","2500","0","1","1"
,"1.090219000","0.188709000","26","89","10.0.0.2","45050","192.168.178.95","2500","37","1","1"
,"1.091633000","0.190123000","27","52","192.168.178.95","2500","10.0.0.2","45050","0","1","38"
,"1.093907000","0.942174000","28","53","192.168.178.95","2500","10.0.0.2","45046","1","3","188"
,"1.093939000","0.192429000","29","140","192.168.178.95","2500","10.0.0.2","45050","88","1","38"
,"1.093986000","0.192476000","30","140","192.168.178.95","2500","10.0.0.2","45050","88","89","38"
,"1.094001000","0.192491000","31","140","192.168.178.95","2500","10.0.0.2","45050","88","177","38"
,"1.094044000","0.192534000","32","140","192.168.178.95","2500","10.0.0.2","45050","88","265","38"
,"1.094059000","0.192549000","33","140","192.168.178.95","2500","10.0.0.2","45050","88","353","38"
,"1.094103000","0.192593000","34","140","192.168.178.95","2500","10.0.0.2","45050","88","441","38"
,"1.094117000","0.192607000","35","140","192.168.178.95","2500","10.0.0.2","45050","88","529","38"
,"1.094174000","0.192664000","36","140","192.168.178.95","2500","10.0.0.2","45050","88","617","38"
,"1.094190000","0.192680000","37","140","192.168.178.95","2500","10.0.0.2","45050","88","705","38"
,"1.094224000","0.192714000","38","140","192.168.178.95","2500","10.0.0.2","45050","88","793","38"
,"1.103989000",,"39","76",,,,,,,
,"1.276419000","1.124686000","40","52","10.0.0.2","45046","192.168.178.95","2500","0","188","4"
,"1.276426000","0.374916000","41","52","10.0.0.2","45050","192.168.178.95","2500","0","38","89"
,"1.276429000","0.374919000","42","52","10.0.0.2","45050","192.168.178.95","2500","0","38","177"
,"1.276450000","0.374940000","43","52","10.0.0.2","45050","192.168.178.95","2500","0","38","265"
,"1.276453000","0.374943000","44","52","10.0.0.2","45050","192.168.178.95","2500","0","38","353"
,"1.276456000","0.374946000","45","52","10.0.0.2","45050","192.168.178.95","2500","0","38","441"
,"1.276459000","0.374949000","46","52","10.0.0.2","45050","192.168.178.95","2500","0","38","529"
,"1.276462000","0.374952000","47","52","10.0.0.2","45050","192.168.178.95","2500","0","38","617"
,"1.276464000","0.374954000","48","52","10.0.0.2","45050","192.168.178.95","2500","0","38","705"
,"1.276467000","0.374957000","49","52","10.0.0.2","45050","192.168.178.95","2500","0","38","793"
,"1.277108000","1.125375000","50","53","192.168.178.95","2500","10.0.0.2","45046","1","4","188"
,"1.277116000","0.375606000","51","140","192.168.178.95","2500","10.0.0.2","45050","88","881","38"
,"1.277133000","0.375623000","52","140","192.168.178.95","2500","10.0.0.2","45050","88","969","38"
,"1.277138000","0.375628000","53","140","192.168.178.95","2500","10.0.0.2","45050","88","1057","38"
,"1.277152000","0.375642000","54","140","192.168.178.95","2500","10.0.0.2","45050","88","1145","38"
,"1.277158000","0.375648000","55","140","192.168.178.95","2500","10.0.0.2","45050","88","1233","38"
,"1.277172000","0.375662000","56","140","192.168.178.95","2500","10.0.0.2","45050","88","1321","38"
,"1.277178000","0.375668000","57","140","192.168.178.95","2500","10.0.0.2","45050","88","1409","38"
,"1.277190000","0.375680000","58","140","192.168.178.95","2500","10.0.0.2","45050","88","1497","38"
,"1.277344000","0.375834000","59","140","192.168.178.95","2500","10.0.0.2","45050","88","1585","38"
,"1.277352000","0.375842000","60","140","192.168.178.95","2500","10.0.0.2","45050","88","1673","38"
,"1.277367000","0.375857000","61","140","192.168.178.95","2500","10.0.0.2","45050","88","1761","38"
,"1.277373000","0.375863000","62","140","192.168.178.95","2500","10.0.0.2","45050","88","1849","38"
,"1.277386000","0.375876000","63","140","192.168.178.95","2500","10.0.0.2","45050","88","1937","38"
,"1.277392000","0.375882000","64","140","192.168.178.95","2500","10.0.0.2","45050","88","2025","38"
,"1.277405000","0.375895000","65","140","192.168.178.95","2500","10.0.0.2","45050","88","2113","38"
,"1.277410000","0.375900000","66","140","192.168.178.95","2500","10.0.0.2","45050","88","2201","38"
,"1.277597000","0.376087000","67","140","192.168.178.95","2500","10.0.0.2","45050","88","2289","38"
,"1.277605000","0.376095000","68","140","192.168.178.95","2500","10.0.0.2","45050","88","2377","38"
,"1.340130000","0.438620000","69","52","10.0.0.2","45050","192.168.178.95","2500","0","38","881"
,"1.340868000","0.439358000","70","140","192.168.178.95","2500","10.0.0.2","45050","88","2465","38"
,"1.340890000","0.439380000","71","140","192.168.178.95","2500","10.0.0.2","45050","88","2553","38"
,"1.359855000",,"72","76",,,,,,,
,"1.464443000","1.312710000","73","52","10.0.0.2","45046","192.168.178.95","2500","0","188","5"
,"1.464456000","0.562946000","74","52","10.0.0.2","45050","192.168.178.95","2500","0","38","969"
,"1.464462000","0.562952000","75","52","10.0.0.2","45050","192.168.178.95","2500","0","38","1145"
,"1.464467000","0.562957000","76","52","10.0.0.2","45050","192.168.178.95","2500","0","38","1233"
,"1.464473000","0.562963000","77","52","10.0.0.2","45050","192.168.178.95","2500","0","38","1321"
,"1.464478000","0.562968000","78","52","10.0.0.2","45050","192.168.178.95","2500","0","38","1409"
,"1.464484000","0.562974000","79","52","10.0.0.2","45050","192.168.178.95","2500","0","38","1497"
,"1.464490000","0.562980000","80","52","10.0.0.2","45050","192.168.178.95","2500","0","38","1585"
,"1.464495000","0.562985000","81","52","10.0.0.2","45050","192.168.178.95","2500","0","38","1761"
,"1.465488000","0.563978000","82","140","192.168.178.95","2500","10.0.0.2","45050","88","2641","38"
,"1.465511000","0.564001000","83","140","192.168.178.95","2500","10.0.0.2","45050","88","2729","38"
,"1.465542000","0.564032000","84","140","192.168.178.95","2500","10.0.0.2","45050","88","2817","38"
,"1.465552000","0.564042000","85","140","192.168.178.95","2500","10.0.0.2","45050","88","2905","38"
