_ws.col.cls_time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
,"0.000000000",,"1","76",,,,,,,
,"0.000015000",,"2","48",,,,,,,
,"0.001283000",,"3","76",,,,,,,
,"0.108560000","0.000000000","4","60","10.0.0.2","34180","192.168.178.95","2500","0","0","0"
,"0.113989000","0.005429000","5","60","192.168.178.95","2500","10.0.0.2","34180","0","0","1"
,"0.296570000","0.188010000","6","52","10.0.0.2","34180","192.168.178.95","2500","0","1","1"
,"0.296591000","0.188031000","7","89","10.0.0.2","34180","192.168.178.95","2500","37","1","1"
,"0.298509000","0.189949000","8","52","192.168.178.95","2500","10.0.0.2","34180","0","1","38"
,"0.298536000","0.189976000","9","53","192.168.178.95","2500","10.0.0.2","34180","1","1","38"
,"0.483335000","0.374775000","10","52","10.0.0.2","34180","192.168.178.95","2500","0","38","2"
,"0.483354000","0.374794000","11","56","10.0.0.2","34180","192.168.178.95","2500","4","38","2"
,"0.483362000","0.374802000","12","100","10.0.0.2","34180","192.168.178.95","2500","48","42","2"
,"0.483370000","0.374810000","13","100","10.0.0.2","34180","192.168.178.95","2500","48","90","2"
,"0.483378000","0.374818000","14","100","10.0.0.2","34180","192.168.178.95","2500","48","138","2"
,"0.484358000","0.375798000","15","52","192.168.178.95","2500","10.0.0.2","34180","0","2","138"
,"0.525225000","0.416665000","16","52","192.168.178.95","2500","10.0.0.2","34180","0","2","186"
,"0.638379000",,"17","76",,,,,,,
,"0.638404000",,"18","48",,,,,,,
,"0.641233000",,"19","76",,,,,,,
,"0.670690000","0.562130000","20","54","10.0.0.2","34180","192.168.178.95","2500","2","186","2"
,"0.671584000","0.563024000","21","52","192.168.178.95","2500","10.0.0.2","34180","0","2","188"
,"0.671613000","0.563053000","22","53","192.168.178.95","2500","10.0.0.2","34180","1","2","188"
,"0.830474000",,"23","76",,,,,,,
,"0.830493000",,"24","76",,,,,,,
,"0.857901000","0.000000000","25","60","10.0.0.2","34182","192.168.178.95","2500","0","0","0"
,"0.861050000","0.003149000","26","60","192.168.178.95","2500","10.0.0.2","34182","0","0","1"
,"0.862315000",,"27","76",,,,,,,
,"0.878258000",,"28","76",,,,,,,
,"0.921068000","0.812508000","29","52","10.0.0.2","34180","192.168.178.95","2500","0","188","3"
,"1.046099000","0.188198000","30","52","10.0.0.2","34182","192.168.178.95","2500","0","1","1"
