_ws.col.cls_time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
,"0.000000000","0.000000000","1","60","10.0.0.2","32848","192.168.178.95","2500","0","0","0"
,"0.007210000","0.007210000","2","60","192.168.178.95","2500","10.0.0.2","32848","0","0","1"
,"0.171896000",,"3","76",,,,,,,
,"0.171922000",,"4","48",,,,,,,
,"0.174664000",,"5","76",,,,,,,
,"0.188798000","0.188798000","6","52","10.0.0.2","32848","192.168.178.95","2500","0","1","1"
,"0.188822000","0.188822000","7","89","10.0.0.2","32848","192.168.178.95","2500","37","1","1"
,"0.190948000","0.190948000","8","52","192.168.178.95","2500","10.0.0.2","32848","0","1","38"
,"0.190975000","0.190975000","9","53","192.168.178.95","2500","10.0.0.2","32848","1","1","38"
,"0.375664000","0.375664000","10","52","10.0.0.2","32848","192.168.178.95","2500","0","38","2"
,"0.375678000","0.375678000","11","56","10.0.0.2","32848","192.168.178.95","2500","4","38","2"
,"0.375684000","0.375684000","12","100","10.0.0.2","32848","192.168.178.95","2500","48","42","2"
,"0.375690000","0.375690000","13","100","10.0.0.2","32848","192.168.178.95","2500","48","90","2"
,"0.375695000","0.375695000","14","100","10.0.0.2","32848","192.168.178.95","2500","48","138","2"
,"0.376646000","0.376646000","15","52","192.168.178.95","2500","10.0.0.2","32848","0","2","186"
,"0.419754000",,"16","76",,,,,,,
,"0.459605000",,"17","76",,,,,,,
,"0.459631000",,"18","48",,,,,,,
,"0.462555000",,"19","76",,,,,,,
,"0.563138000","0.563138000","20","58","10.0.0.2","32848","192.168.178.95","2500","6","186","2"
,"0.564317000","0.564317000","21","53","192.168.178.95","2500","10.0.0.2","32848","1","2","192"
,"0.750165000","0.000000000","22","60","10.0.0.2","32860","192.168.178.95","2500","0","0","0"
,"0.753316000","0.003151000","23","60","192.168.178.95","2500","10.0.0.2","32860","0","0","1"
,"0.779717000",,"24","76",,,,,,,
,"0.813471000","0.813471000","25","52","10.0.0.2","32848","192.168.178.95","2500","0","192","3"
,"0.938678000","0.188513000","26","52","10.0.0.2","32860","192.168.178.95","2500","0","1","1"
,"0.938702000","0.188537000","27","89","10.0.0.2","32860","192.168.178.95","2500","37","1","1"
,"0.939558000",,"28","76",,,,,,,
