_ws.col.cls_time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
,"0.000000000","0.000000000","1","60","10.0.0.2","55504","192.168.178.95","2500","0","0","0"
,"0.004849000","0.004849000","2","60","192.168.178.95","2500","10.0.0.2","55504","0","0","1"
,"0.187378000","0.187378000","3","52","10.0.0.2","55504","192.168.178.95","2500","0","1","1"
,"0.187405000","0.187405000","4","89","10.0.0.2","55504","192.168.178.95","2500","37","1","1"
,"0.189697000","0.189697000","5","52","192.168.178.95","2500","10.0.0.2","55504","0","1","38"
,"0.189727000","0.189727000","6","53","192.168.178.95","2500","10.0.0.2","55504","1","1","38"
,"0.374296000","0.374296000","7","52","10.0.0.2","55504","192.168.178.95","2500","0","38","2"
,"0.374313000","0.374313000","8","56","10.0.0.2","55504","192.168.178.95","2500","4","38","2"
,"0.374320000","0.374320000","9","100","10.0.0.2","55504","192.168.178.95","2500","48","42","2"
,"0.374326000","0.374326000","10","100","10.0.0.2","55504","192.168.178.95","2500","48","90","2"
,"0.374333000","0.374333000","11","100","10.0.0.2","55504","192.168.178.95","2500","48","138","2"
,"0.375462000","0.375462000","12","52","192.168.178.95","2500","10.0.0.2","55504","0","2","186"
,"0.562832000","0.562832000","13","53","10.0.0.2","55504","192.168.178.95","2500","1","186","2"
,"0.564157000","0.564157000","14","53","192.168.178.95","2500","10.0.0.2","55504","1","2","187"
,"0.581637000",,"15","76",,,,,,,
,"0.581654000",,"16","48",,,,,,,
,"0.584669000",,"17","76",,,,,,,
,"0.615526000",,"18","76",,,,,,,
,"0.645787000",,"19","76",,,,,,,
,"0.749217000","0.000000000","20","60","10.0.0.2","55508","192.168.178.95","2500","0","0","0"
,"0.751923000","0.002706000","21","60","192.168.178.95","2500","10.0.0.2","55508","0","0","1"
,"0.812309000","0.812309000","22","52","10.0.0.2","55504","192.168.178.95","2500","0","187","3"
,"0.937830000","0.188613000","23","52","10.0.0.2","55508","192.168.178.95","2500","0","1","1"
,"0.937846000","0.188629000","24","89","10.0.0.2","55508","192.168.178.95","2500","37","1","1"
,"0.939621000","0.190404000","25","52","192.168.178.95","2500","10.0.0.2","55508","0","1","38"
,"0.940403000","0.940403000","26","53","192.168.178.95","2500","10.0.0.2","55504","1","3","187"
,"0.940429000","0.191212000","27","140","192.168.178.95","2500","10.0.0.2","55508","88","1","38"
,"0.940470000","0.191253000","28","140","192.168.178.95","2500","10.0.0.2","55508","88","89","38"
,"0.940483000","0.191266000","29","140","192.168.178.95","2500","10.0.0.2","55508","88","177","38"
,"0.940543000","0.191326000","30","140","192.168.178.95","2500","10.0.0.2","55508","88","265","38"
,"0.940561000","0.191344000","31","140","192.168.178.95","2500","10.0.0.2","55508","88","353","38"
,"0.940599000","0.191382000","32","140","192.168.178.95","2500","10.0.0.2","55508","88","441","38"
,"0.940612000","0.191395000","33","140","192.168.178.95","2500","10.0.0.2","55508","88","529","38"
,"0.940648000","0.191431000","34","140","192.168.178.95","2500","10.0.0.2","55508","88","617","38"
,"0.940657000","0.191440000","35","140","192.168.178.95","2500","10.0.0.2","55508","88","705","38"
,"0.940676000","0.191459000","36","140","192.168.178.95","2500","10.0.0.2","55508","88","793","38"
,"1.061586000",,"37","76",,,,,,,
,"1.124055000","1.124055000","38","52","10.0.0.2","55504","192.168.178.95","2500","0","187","4"
,"1.124088000","0.374871000","39","52","10.0.0.2","55508","192.168.178.95","2500","0","38","89"
,"1.124091000","0.374874000","40","52","10.0.0.2","55508","192.168.178.95","2500","0","38","177"
,"1.124095000","0.374878000","41","52","10.0.0.2","55508","192.168.178.95","2500","0","38","265"
,"1.124098000","0.374881000","42","52","10.0.0.2","55508","192.168.178.95","2500","0","38","353"
,"1.124101000","0.374884000","43","52","10.0.0.2","55508","192.168.178.95","2500","0","38","441"
,"1.124103000","0.374886000","44","52","10.0.0.2","55508","192.168.178.95","2500","0","38","529"
,"1.124107000","0.374890000","45","52","10.0.0.2","55508","192.168.178.95","2500","0","38","617"
,"1.124110000","0.374893000","46","52","10.0.0.2","55508","192.168.178.95","2500","0","38","705"
,"1.124113000","0.374896000","47","52","10.0.0.2","55508","192.168.178.95","2500","0","38","793"
,"1.124776000","1.124776000","48","53","192.168.178.95","2500","10.0.0.2","55504","1","4","187"
,"1.124787000","0.375570000","49","140","192.168.178.95","2500","10.0.0.2","55508","88","881","38"
,"1.124822000","0.375605000","50","140","192.168.178.95","2500","10.0.0.2","55508","88","969","38"
,"1.124826000","0.375609000","51","140","192.168.178.95","2500","10.0.0.2","55508","88","1057","38"
,"1.124836000","0.375619000","52","140","192.168.178.95","2500","10.0.0.2","55508","88","1145","38"
,"1.124839000","0.375622000","53","140","192.168.178.95","2500","10.0.0.2","55508","88","1233","38"
,"1.124848000","0.375631000","54","140","192.168.178.95","2500","10.0.0.2","55508","88","1321","38"
,"1.124851000","0.375634000","55","140","192.168.178.95","2500","10.0.0.2","55508","88","1409","38"
,"1.124861000","0.375644000","56","140","192.168.178.95","2500","10.0.0.2","55508","88","1497","38"
,"1.124864000","0.375647000","57","140","192.168.178.95","2500","10.0.0.2","55508","88","1585","38"
,"1.124873000","0.375656000","58","140","192.168.178.95","2500","10.0.0.2","55508","88","1673","38"
,"1.124876000","0.375659000","59","140","192.168.178.95","2500","10.0.0.2","55508","88","1761","38"
,"1.124884000","0.375667000","60","140","192.168.178.95","2500","10.0.0.2","55508","88","1849","38"
,"1.125000000","0.375783000","61","140","192.168.178.95","2500","10.0.0.2","55508","88","1937","38"
,"1.125007000","0.375790000","62","140","192.168.178.95","2500","10.0.0.2","55508","88","2025","38"
,"1.125038000","0.375821000","63","140","192.168.178.95","2500","10.0.0.2","55508","88","2113","38"
,"1.125042000","0.375825000","64","140","192.168.178.95","2500","10.0.0.2","55508","88","2201","38"
,"1.125051000","0.375834000","65","140","192.168.178.95","2500","10.0.0.2","55508","88","2289","38"
,"1.125054000","0.375837000","66","140","192.168.178.95","2500","10.0.0.2","55508","88","2377","38"
,"1.187630000","0.438413000","67","52","10.0.0.2","55508","192.168.178.95","2500","0","38","881"
,"1.188323000","0.439106000","68","140","192.168.178.95","2500","10.0.0.2","55508","88","2465","38"
,"1.188331000","0.439114000","69","140","192.168.178.95","2500","10.0.0.2","55508","88","2553","38"
,"1.312940000","1.312940000","70","52","10.0.0.2","55504","192.168.178.95","2500","0","187","5"
,"1.312952000","0.563735000","71","52","10.0.0.2","55508","192.168.178.95","2500","0","38","969"
,"1.312956000","0.563739000","72","52","10.0.0.2","55508","192.168.178.95","2500","0","38","1321"
,"1.312960000","0.563743000","73","52","10.0.0.2","55508","192.168.178.95","2500","0","38","1409"
,"1.312964000","0.563747000","74","52","10.0.0.2","55508","192.168.178.95","2500","0","38","1497"
,"1.312969000","0.563752000","75","52","10.0.0.2","55508","192.168.178.95","2500","0","38","1585"
,"1.312973000","0.563756000","76","52","10.0.0.2","55508","192.168.178.95","2500","0","38","1673"
,"1.312977000","0.563760000","77","52","10.0.0.2","55508","192.168.178.95","2500","0","38","1761"
,"1.313852000","0.564635000","78","140","192.168.178.95","2500","10.0.0.2","55508","88","2641","38"
,"1.313868000","0.564651000","79","140","192.168.178.95","2500","10.0.0.2","55508","88","2729","38"
,"1.313891000","0.564674000","80","140","192.168.178.95","2500","10.0.0.2","55508","88","2817","38"
,"1.313898000","0.564681000","81","140","192.168.178.95","2500","10.0.0.2","55508","88","2905","38"
,"1.313919000","0.564702000","82","140","192.168.178.95","2500","10.0.0.2","55508","88","2993","38"
,"1.313924000","0.564707000","83","140","192.168.178.95","2500","10.0.0.2","55508","88","3081","38"
,"1.313940000","0.564723000","84","140","192.168.178.95","2500","10.0.0.2","55508","88","3169","38"
,"1.313944000","0.564727000","85","140","192.168.178.95","2500","10.0.0.2","55508","88","3257","38"
,"1.313960000","0.564743000","86","140","192.168.178.95","2500","10.0.0.2","55508","88","3345","38"
,"1.313964000","0.564747000","87","140","192.168.178.95","2500","10.0.0.2","55508","88","3433","38"
,"1.313979000","0.564762000","88","140","192.168.178.95","2500","10.0.0.2","55508","88","3521","38"
,"1.313985000","0.564768000","89","140","192.168.178.95","2500","10.0.0.2","55508","88","3609","38"
,"1.314000000","0.564783000","90","140","192.168.178.95","2500","10.0.0.2","55508","88","3697","38"
,"1.314005000","0.564788000","91","140","192.168.178.95","2500","10.0.0.2","55508","88","3785","38"
,"1.314020000","0.564803000","92","140","192.168.178.95","2500","10.0.0.2","55508","88","3873","38"
,"1.314025000","0.564808000","93","140","192.168.178.95","2500","10.0.0.2","55508","88","3961","38"
,"1.314040000","0.564823000","94","140","192.168.178.95","2500","10.0.0.2","55508","88","4049","38"
,"1.314045000","0.564828000","95","140","192.168.178.95","2500","10.0.0.2","55508","88","4137","38"
,"1.314060000","0.564843000","96","140","192.168.178.95","2500","10.0.0.2","55508","88","4225","38"
,"1.314065000","0.564848000","97","140","192.168.178.95","2500","10.0.0.2","55508","88","4313","38"
,"1.374561000","0.625344000","98","52","10.0.0.2","55508","192.168.178.95","2500","0","38","2641"
,"1.375632000","0.626415000","99","140","192.168.178.95","2500","10.0.0.2","55508","88","4401","38"
,"1.375667000","0.626450000","100","140","192.168.178.95","2500","10.0.0.2","55508","88","4489","38"
,"1.375719000","0.626502000","101","140","192.168.178.95","2500","10.0.0.2","55508","88","4577","38"
,"1.375738000","0.626521000","102","140","192.168.178.95","2500","10.0.0.2","55508","88","4665","38"
,"1.375777000","0.626560000","103","140","192.168.178.95","2500","10.0.0.2","55508","88","4753","38"
,"1.375787000","0.626570000","104","140","192.168.178.95","2500","10.0.0.2","55508","88","4841","38"
,"1.375821000","0.626604000","105","140","192.168.178.95","2500","10.0.0.2","55508","88","4929","38"
,"1.375836000","0.626619000","106","140","192.168.178.95","2500","10.0.0.2","55508","88","5017","38"
,"1.375882000","0.626665000","107","140","192.168.178.95","2500","10.0.0.2","55508","88","5105","38"
,"1.375901000","0.626684000","108","140","192.168.178.95","2500","10.0.0.2","55508","88","5193","38"
,"1.375949000","0.626732000","109","140","192.168.178.95","2500","10.0.0.2","55508","88","5281","38"
,"1.375964000","0.626747000","110","140","192.168.178.95","2500","10.0.0.2","55508","88","5369","38"
,"1.375999000","0.626782000","111","140","192.168.178.95","2500","10.0.0.2","55508","88","5457","38"
,"1.376010000","0.626793000","112","140","192.168.178.95","2500","10.0.0.2","55508","88","5545","38"
,"1.376045000","0.626828000","113","140","192.168.178.95","2500","10.0.0.2","55508","88","5633","38"
,"1.376057000","0.626840000","114","140","192.168.178.95","2500","10.0.0.2","55508","88","5721","38"
,"1.376091000","0.626874000","115","140","192.168.178.95","2500","10.0.0.2","55508","88","5809","38"
,"1.376102000","0.626885000","116","140","192.168.178.95","2500","10.0.0.2","55508","88","5897","38"
,"1.376136000","0.626919000","117","140","192.168.178.95","2500","10.0.0.2","55508","88","5985","38"
,"1.376147000","0.626930000","118","140","192.168.178.95","2500","10.0.0.2","55508","88","6073","38"
,"1.499844000","0.750627000","119","52","10.0.0.2","55508","192.168.178.95","2500","0","38","3521"
,"1.500724000","0.751507000","120","140","192.168.178.95","2500","10.0.0.2","55508","88","6161","38"
,"1.500753000","0.751536000","121","140","192.168.178.95","2500","10.0.0.2","55508","88","6249","38"
,"1.500806000","0.751589000","122","140","192.168.178.95","2500","10.0.0.2","55508","88","6337","38"
,"1.500826000","0.751609000","123","140","192.168.178.95","2500","10.0.0.2","55508","88","6425","38"
,"1.500879000","0.751662000","124","140","192.168.178.95","2500","10.0.0.2","55508","88","6513","38"
,"1.500895000","0.751678000","125","140","192.168.178.95","2500","10.0.0.2","55508","88","6601","38"
,"1.500943000","0.751726000","126","140","192.168.178.95","2500","10.0.0.2","55508","88","6689","38"
,"1.500957000","0.751740000","127","140","192.168.178.95","2500","10.0.0.2","55508","88","6777","38"
,"1.500990000","0.751773000","128","140","192.168.178.95","2500","10.0.0.2","55508","88","6865","38"
,"1.501000000","0.751783000","129","140","192.168.178.95","2500","10.0.0.2","55508","88","6953","38"
,"1.501033000","0.751816000","130","140","192.168.178.95","2500","10.0.0.2","55508","88","7041","38"
,"1.501043000","0.751826000","131","140","192.168.178.95","2500","10.0.0.2","55508","88","7129","38"
,"1.501076000","0.751859000","132","140","192.168.178.95","2500","10.0.0.2","55508","88","7217","38"
,"1.501086000","0.751869000","133","140","192.168.178.95","2500","10.0.0.2","55508","88","7305","38"
,"1.501121000","0.751904000","134","140","192.168.178.95","2500","10.0.0.2","55508","88","7393","38"
,"1.501131000","0.751914000","135","140","192.168.178.95","2500","10.0.0.2","55508","88","7481","38"
,"1.501165000","0.751948000","136","140","192.168.178.95","2500","10.0.0.2","55508","88","7569","38"
,"1.501176000","0.751959000","137","140","192.168.178.95","2500","10.0.0.2","55508","88","7657","38"
,"1.501210000","0.751993000","138","140","192.168.178.95","2500","10.0.0.2","55508","88","7745","38"
,"1.501222000","0.752005000","139","140","192.168.178.95","2500","10.0.0.2","55508","88","7833","38"
,"1.562733000","0.813516000","140","52","10.0.0.2","55508","192.168.178.95","2500","0","38","4401"
,"1.563688000","0.814471000","141","140","192.168.178.95","2500","10.0.0.2","55508","88","7921","38"
,"1.563717000","0.814500000","142","140","192.168.178.95","2500","10.0.0.2","55508","88","8009","38"
,"1.563760000","0.814543000","143","140","192.168.178.95","2500","10.0.0.2","55508","88","8097","38"
,"1.563775000","0.814558000","144","140","192.168.178.95","2500","10.0.0.2","55508","88","8185","38"
,"1.563825000","0.814608000","145","140","192.168.178.95","2500","10.0.0.2","55508","88","8273","38"
,"1.563841000","0.814624000","146","140","192.168.178.95","2500","10.0.0.2","55508","88","8361","38"
,"1.563891000","0.814674000","147","140","192.168.178.95","2500","10.0.0.2","55508","88","8449","38"
,"1.563909000","0.814692000","148","140","192.168.178.95","2500","10.0.0.2","55508","88","8537","38"
,"1.563957000","0.814740000","149","140","192.168.178.95","2500","10.0.0.2","55508","88","8625","38"
,"1.563975000","0.814758000","150","140","192.168.178.95","2500","10.0.0.2","55508","88","8713","38"
,"1.564011000","0.814794000","151","140","192.168.178.95","2500","10.0.0.2","55508","88","8801","38"
,"1.564021000","0.814804000","152","140","192.168.178.95","2500","10.0.0.2","55508","88","8889","38"
,"1.564054000","0.814837000","153","140","192.168.178.95","2500","10.0.0.2","55508","88","8977","38"
,"1.564064000","0.814847000","154","140","192.168.178.95","2500","10.0.0.2","55508","88","9065","38"
,"1.564099000","0.814882000","155","140","192.168.178.95","2500","10.0.0.2","55508","88","9153","38"
,"1.564109000","0.814892000","156","140","192.168.178.95","2500","10.0.0.2","55508","88","9241","38"
,"1.564143000","0.814926000","157","140","192.168.178.95","2500","10.0.0.2","55508","88","9329","38"
,"1.564153000","0.814936000","158","140","192.168.178.95","2500","10.0.0.2","55508","88","9417","38"
,"1.564187000","0.814970000","159","140","192.168.178.95","2500","10.0.0.2","55508","88","9505","38"
,"1.564196000","0.814979000","160","140","192.168.178.95","2500","10.0.0.2","55508","88","9593","38"
,"1.624841000","0.875624000","161","52","10.0.0.2","55508","192.168.178.95","2500","0","38","5369"
,"1.625894000","0.876677000","162","140","192.168.178.95","2500","10.0.0.2","55508","88","9681","38"
,"1.625925000","0.876708000","163","140","192.168.178.95","2500","10.0.0.2","55508","88","9769","38"
,"1.625975000","0.876758000","164","140","192.168.178.95","2500","10.0.0.2","55508","88","9857","38"
,"1.625991000","0.876774000","165","140","192.168.178.95","2500","10.0.0.2","55508","88","9945","38"
,"1.626036000","0.876819000","166","140","192.168.178.95","2500","10.0.0.2","55508","88","10033","38"
,"1.626050000","0.876833000","167","140","192.168.178.95","2500","10.0.0.2","55508","88","10121","38"
,"1.626092000","0.876875000","168","140","192.168.178.95","2500","10.0.0.2","55508","88","10209","38"
,"1.626105000","0.876888000","169","140","192.168.178.95","2500","10.0.0.2","55508","88","10297","38"
,"1.626137000","0.876920000","170","140","192.168.178.95","2500","10.0.0.2","55508","88","10385","38"
,"1.626146000","0.876929000","171","140","192.168.178.95","2500","10.0.0.2","55508","88","10473","38"
,"1.626177000","0.876960000","172","140","192.168.178.95","2500","10.0.0.2","55508","88","10561","38"
,"1.626187000","0.876970000","173","140","192.168.178.95","2500","10.0.0.2","55508","88","10649","38"
,"1.626217000","0.877000000","174","140","192.168.178.95","2500","10.0.0.2","55508","88","10737","38"
,"1.626226000","0.877009000","175","140","192.168.178.95","2500","10.0.0.2","55508","88","10825","38"
,"1.626258000","0.877041000","176","140","192.168.178.95","2500","10.0.0.2","55508","88","10913","38"
,"1.626269000","0.877052000","177","140","192.168.178.95","2500","10.0.0.2","55508","88","11001","38"
,"1.626300000","0.877083000","178","140","192.168.178.95","2500","10.0.0.2","55508","88","11089","38"
,"1.626311000","0.877094000","179","140","192.168.178.95","2500","10.0.0.2","55508","88","11177","38"
,"1.626343000","0.877126000","180","140","192.168.178.95","2500","10.0.0.2","55508","88","11265","38"
,"1.626353000","0.877136000","181","140","192.168.178.95","2500","10.0.0.2","55508","88","11353","38"
,"1.626384000","0.877167000","182","140","192.168.178.95","2500","10.0.0.2","55508","88","11441","38"
,"1.626394000","0.877177000","183","140","192.168.178.95","2500","10.0.0.2","55508","88","11529","38"
,"1.687167000","0.937950000","184","52","10.0.0.2","55508","192.168.178.95","2500","0","38","6073"
,"1.687190000","0.937973000","185","52","10.0.0.2","55508","192.168.178.95","2500","0","38","6249"
,"1.688097000","0.938880000","186","140","192.168.178.95","2500","10.0.0.2","55508","88","11617","38"
,"1.688133000","0.938916000","187","140","192.168.178.95","2500","10.0.0.2","55508","88","11705","38"
,"1.688184000","0.938967000","188","140","192.168.178.95","2500","10.0.0.2","55508","88","11793","38"
,"1.688200000","0.938983000","189","140","192.168.178.95","2500","10.0.0.2","55508","88","11881","38"
,"1.688250000","0.939033000","190","140","192.168.178.95","2500","10.0.0.2","55508","88","11969","38"
,"1.688266000","0.939049000","191","140","192.168.178.95","2500","10.0.0.2","55508","88","12057","38"
,"1.688313000","0.939096000","192","140","192.168.178.95","2500","10.0.0.2","55508","88","12145","38"
,"1.688327000","0.939110000","193","140","192.168.178.95","2500","10.0.0.2","55508","88","12233","38"
,"1.688360000","0.939143000","194","140","192.168.178.95","2500","10.0.0.2","55508","88","12321","38"
,"1.688370000","0.939153000","195","140","192.168.178.95","2500","10.0.0.2","55508","88","12409","38"
,"1.688402000","0.939185000","196","140","192.168.178.95","2500","10.0.0.2","55508","88","12497","38"
,"1.688412000","0.939195000","197","140","192.168.178.95","2500","10.0.0.2","55508","88","12585","38"
,"1.688446000","0.939229000","198","140","192.168.178.95","2500","10.0.0.2","55508","88","12673","38"
,"1.688456000","0.939239000","199","140","192.168.178.95","2500","10.0.0.2","55508","88","12761","38"
,"1.688509000","0.939292000","200","140","192.168.178.95","2500","10.0.0.2","55508","88","12849","38"
,"1.688524000","0.939307000","201","140","192.168.178.95","2500","10.0.0.2","55508","88","12937","38"
,"1.688560000","0.939343000","202","140","192.168.178.95","2500","10.0.0.2","55508","88","13025","38"
,"1.688571000","0.939354000","203","140","192.168.178.95","2500","10.0.0.2","55508","88","13113","38"
,"1.688605000","0.939388000","204","140","192.168.178.95","2500","10.0.0.2","55508","88","13201","38"
,"1.688616000","0.939399000","205","140","192.168.178.95","2500","10.0.0.2","55508","88","13289","38"
,"1.749946000","1.000729000","206","52","10.0.0.2","55508","192.168.178.95","2500","0","38","7217"
,"1.751023000","1.001806000","207","140","192.168.178.95","2500","10.0.0.2","55508","88","13377","38"
,"1.751046000","1.001829000","208","140","192.168.178.95","2500","10.0.0.2","55508","88","13465","38"
,"1.751081000","1.001864000","209","140","192.168.178.95","2500","10.0.0.2","55508","88","13553","38"
,"1.751091000","1.001874000","210","140","192.168.178.95","2500","10.0.0.2","55508","88","13641","38"
,"1.751125000","1.001908000","211","140","192.168.178.95","2500","10.0.0.2","55508","88","13729","38"
,"1.751135000","1.001918000","212","140","192.168.178.95","2500","10.0.0.2","55508","88","13817","38"
,"1.751215000","1.001998000","213","140","192.168.178.95","2500","10.0.0.2","55508","88","13905","38"
,"1.751228000","1.002011000","214","140","192.168.178.95","2500","10.0.0.2","55508","88","13993","38"
,"1.751264000","1.002047000","215","140","192.168.178.95","2500","10.0.0.2","55508","88","14081","38"
,"1.751276000","1.002059000","216","140","192.168.178.95","2500","10.0.0.2","55508","88","14169","38"
,"1.751310000","1.002093000","217","140","192.168.178.95","2500","10.0.0.2","55508","88","14257","38"
,"1.751322000","1.002105000","218","140","192.168.178.95","2500","10.0.0.2","55508","88","14345","38"
,"1.751356000","1.002139000","219","140","192.168.178.95","2500","10.0.0.2","55508","88","14433","38"
,"1.751367000","1.002150000","220","140","192.168.178.95","2500","10.0.0.2","55508","88","14521","38"
,"1.751401000","1.002184000","221","140","192.168.178.95","2500","10.0.0.2","55508","88","14609","38"
,"1.751413000","1.002196000","222","140","192.168.178.95","2500","10.0.0.2","55508","88","14697","38"
,"1.751447000","1.002230000","223","140","192.168.178.95","2500","10.0.0.2","55508","88","14785","38"
