_ws.col.cls_time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
,"0.000000000","0.000000000","1","60","10.0.0.2","34196","192.168.178.95","2500","0","0","0"
,"0.004575000","0.004575000","2","60","192.168.178.95","2500","10.0.0.2","34196","0","0","1"
,"0.172565000",,"3","76",,,,,,,
,"0.172582000",,"4","48",,,,,,,
,"0.175408000",,"5","76",,,,,,,
,"0.188564000","0.188564000","6","52","10.0.0.2","34196","192.168.178.95","2500","0","1","1"
,"0.188585000","0.188585000","7","89","10.0.0.2","34196","192.168.178.95","2500","37","1","1"
,"0.190264000","0.190264000","8","52","192.168.178.95","2500","10.0.0.2","34196","0","1","38"
,"0.190293000","0.190293000","9","53","192.168.178.95","2500","10.0.0.2","34196","1","1","38"
,"0.292656000",,"10","76",,,,,,,
,"0.324432000",,"11","76",,,,,,,
,"0.375893000","0.375893000","12","52","10.0.0.2","34196","192.168.178.95","2500","0","38","2"
,"0.375931000","0.375931000","13","56","10.0.0.2","34196","192.168.178.95","2500","4","38","2"
,"0.375940000","0.375940000","14","100","10.0.0.2","34196","192.168.178.95","2500","48","42","2"
,"0.375950000","0.375950000","15","100","10.0.0.2","34196","192.168.178.95","2500","48","90","2"
,"0.377027000","0.377027000","16","52","192.168.178.95","2500","10.0.0.2","34196","0","2","138"
,"0.562884000","0.562884000","17","99","10.0.0.2","34196","192.168.178.95","2500","47","138","2"
,"0.563850000","0.563850000","18","53","192.168.178.95","2500","10.0.0.2","34196","1","2","185"
,"0.750606000","0.000000000","19","60","10.0.0.2","34202","192.168.178.95","2500","0","0","0"
,"0.753676000","0.003070000","20","60","192.168.178.95","2500","10.0.0.2","34202","0","0","1"
,"0.804623000",,"21","76",,,,,,,
,"0.813745000","0.813745000","22","52","10.0.0.2","34196","192.168.178.95","2500","0","185","3"
,"0.938003000","0.187397000","23","52","10.0.0.2","34202","192.168.178.95","2500","0","1","1"
,"0.938023000","0.187417000","24","89","10.0.0.2","34202","192.168.178.95","2500","37","1","1"
,"0.939416000","0.188810000","25","52","192.168.178.95","2500","10.0.0.2","34202","0","1","38"
,"0.940091000","0.940091000","26","53","192.168.178.95","2500","10.0.0.2","34196","1","3","185"
,"0.940120000","0.189514000","27","140","192.168.178.95","2500","10.0.0.2","34202","88","1","38"
,"0.940153000","0.189547000","28","140","192.168.178.95","2500","10.0.0.2","34202","88","89","38"
,"0.940161000","0.189555000","29","140","192.168.178.95","2500","10.0.0.2","34202","88","177","38"
,"0.940188000","0.189582000","30","140","192.168.178.95","2500","10.0.0.2","34202","88","265","38"
,"0.940197000","0.189591000","31","140","192.168.178.95","2500","10.0.0.2","34202","88","353","38"
,"0.940225000","0.189619000","32","140","192.168.178.95","2500","10.0.0.2","34202","88","441","38"
,"0.940234000","0.189628000","33","140","192.168.178.95","2500","10.0.0.2","34202","88","529","38"
,"0.940264000","0.189658000","34","140","192.168.178.95","2500","10.0.0.2","34202","88","617","38"
,"0.940274000","0.189668000","35","140","192.168.178.95","2500","10.0.0.2","34202","88","705","38"
,"0.940297000","0.189691000","36","140","192.168.178.95","2500","10.0.0.2","34202","88","793","38"
,"1.124420000",,"37","76",,,,,,,
,"1.124826000","1.124826000","38","52","10.0.0.2","34196","192.168.178.95","2500","0","185","4"
,"1.124835000","0.374229000","39","52","10.0.0.2","34202","192.168.178.95","2500","0","38","89"
,"1.124841000","0.374235000","40","52","10.0.0.2","34202","192.168.178.95","2500","0","38","177"
,"1.124846000","0.374240000","41","52","10.0.0.2","34202","192.168.178.95","2500","0","38","265"
,"1.124851000","0.374245000","42","52","10.0.0.2","34202","192.168.178.95","2500","0","38","353"
,"1.124855000","0.374249000","43","52","10.0.0.2","34202","192.168.178.95","2500","0","38","441"
,"1.124876000","0.374270000","44","52","10.0.0.2","34202","192.168.178.95","2500","0","38","529"
,"1.124879000","0.374273000","45","52","10.0.0.2","34202","192.168.178.95","2500","0","38","617"
,"1.124883000","0.374277000","46","52","10.0.0.2","34202","192.168.178.95","2500","0","38","705"
,"1.124887000","0.374281000","47","52","10.0.0.2","34202","192.168.178.95","2500","0","38","793"
,"1.125601000","1.125601000","48","53","192.168.178.95","2500","10.0.0.2","34196","1","4","185"
,"1.125631000","0.375025000","49","140","192.168.178.95","2500","10.0.0.2","34202","88","881","38"
,"1.125668000","0.375062000","50","140","192.168.178.95","2500","10.0.0.2","34202","88","969","38"
,"1.125673000","0.375067000","51","140","192.168.178.95","2500","10.0.0.2","34202","88","1057","38"
,"1.125685000","0.375079000","52","140","192.168.178.95","2500","10.0.0.2","34202","88","1145","38"
,"1.125806000","0.375200000","53","140","192.168.178.95","2500","10.0.0.2","34202","88","1233","38"
,"1.125814000","0.375208000","54","140","192.168.178.95","2500","10.0.0.2","34202","88","1321","38"
,"1.125828000","0.375222000","55","140","192.168.178.95","2500","10.0.0.2","34202","88","1409","38"
,"1.125832000","0.375226000","56","140","192.168.178.95","2500","10.0.0.2","34202","88","1497","38"
,"1.125846000","0.375240000","57","140","192.168.178.95","2500","10.0.0.2","34202","88","1585","38"
,"1.125851000","0.375245000","58","140","192.168.178.95","2500","10.0.0.2","34202","88","1673","38"
,"1.125865000","0.375259000","59","140","192.168.178.95","2500","10.0.0.2","34202","88","1761","38"
,"1.125871000","0.375265000","60","140","192.168.178.95","2500","10.0.0.2","34202","88","1849","38"
,"1.125885000","0.375279000","61","140","192.168.178.95","2500","10.0.0.2","34202","88","1937","38"
,"1.125890000","0.375284000","62","140","192.168.178.95","2500","10.0.0.2","34202","88","2025","38"
,"1.125903000","0.375297000","63","140","192.168.178.95","2500","10.0.0.2","34202","88","2113","38"
,"1.125908000","0.375302000","64","140","192.168.178.95","2500","10.0.0.2","34202","88","2201","38"
,"1.126068000","0.375462000","65","140","192.168.178.95","2500","10.0.0.2","34202","88","2289","38"
,"1.126075000","0.375469000","66","140","192.168.178.95","2500","10.0.0.2","34202","88","2377","38"
,"1.188261000","0.437655000","67","52","10.0.0.2","34202","192.168.178.95","2500","0","38","881"
,"1.188917000","0.438311000","68","140","192.168.178.95","2500","10.0.0.2","34202","88","2465","38"
,"1.188924000","0.438318000","69","140","192.168.178.95","2500","10.0.0.2","34202","88","2553","38"
,"1.313106000","1.313106000","70","52","10.0.0.2","34196","192.168.178.95","2500","0","185","5"
,"1.313126000","0.562520000","71","52","10.0.0.2","34202","192.168.178.95","2500","0","38","969"
,"1.313134000","0.562528000","72","52","10.0.0.2","34202","192.168.178.95","2500","0","38","1057"
,"1.313141000","0.562535000","73","52","10.0.0.2","34202","192.168.178.95","2500","0","38","1233"
,"1.313149000","0.562543000","74","52","10.0.0.2","34202","192.168.178.95","2500","0","38","1321"
,"1.313157000","0.562551000","75","52","10.0.0.2","34202","192.168.178.95","2500","0","38","1409"
,"1.313164000","0.562558000","76","52","10.0.0.2","34202","192.168.178.95","2500","0","38","1497"
,"1.313172000","0.562566000","77","52","10.0.0.2","34202","192.168.178.95","2500","0","38","1585"
,"1.313180000","0.562574000","78","52","10.0.0.2","34202","192.168.178.95","2500","0","38","1761"
,"1.314008000","0.563402000","79","140","192.168.178.95","2500","10.0.0.2","34202","88","2641","38"
,"1.314025000","0.563419000","80","140","192.168.178.95","2500","10.0.0.2","34202","88","2729","38"
,"1.314132000","0.563526000","81","140","192.168.178.95","2500","10.0.0.2","34202","88","2817","38"
,"1.314143000","0.563537000","82","140","192.168.178.95","2500","10.0.0.2","34202","88","2905","38"
,"1.314171000","0.563565000","83","140","192.168.178.95","2500","10.0.0.2","34202","88","2993","38"
,"1.314179000","0.563573000","84","140","192.168.178.95","2500","10.0.0.2","34202","88","3081","38"
,"1.314207000","0.563601000","85","140","192.168.178.95","2500","10.0.0.2","34202","88","3169","38"
,"1.314216000","0.563610000","86","140","192.168.178.95","2500","10.0.0.2","34202","88","3257","38"
,"1.314244000","0.563638000","87","140","192.168.178.95","2500","10.0.0.2","34202","88","3345","38"
,"1.314253000","0.563647000","88","140","192.168.178.95","2500","10.0.0.2","34202","88","3433","38"
,"1.314281000","0.563675000","89","140","192.168.178.95","2500","10.0.0.2","34202","88","3521","38"
,"1.314289000","0.563683000","90","140","192.168.178.95","2500","10.0.0.2","34202","88","3609","38"
,"1.314328000","0.563722000","91","140","192.168.178.95","2500","10.0.0.2","34202","88","3697","38"
,"1.314342000","0.563736000","92","140","192.168.178.95","2500","10.0.0.2","34202","88","3785","38"
,"1.314371000","0.563765000","93","140","192.168.178.95","2500","10.0.0.2","34202","88","3873","38"
,"1.314380000","0.563774000","94","140","192.168.178.95","2500","10.0.0.2","34202","88","3961","38"
,"1.314407000","0.563801000","95","140","192.168.178.95","2500","10.0.0.2","34202","88","4049","38"
,"1.314416000","0.563810000","96","140","192.168.178.95","2500","10.0.0.2","34202","88","4137","38"
,"1.314443000","0.563837000","97","140","192.168.178.95","2500","10.0.0.2","34202","88","4225","38"
,"1.314451000","0.563845000","98","140","192.168.178.95","2500","10.0.0.2","34202","88","4313","38"
,"1.375413000","0.624807000","99","52","10.0.0.2","34202","192.168.178.95","2500","0","38","2641"
,"1.376401000","0.625795000","100","140","192.168.178.95","2500","10.0.0.2","34202","88","4401","38"
,"1.376422000","0.625816000","101","140","192.168.178.95","2500","10.0.0.2","34202","88","4489","38"
,"1.376457000","0.625851000","102","140","192.168.178.95","2500","10.0.0.2","34202","88","4577","38"
