_ws.col.cls_time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
,"0.000000000",,"1","76",,,,,,,
,"0.130283000","0.000000000","2","60","10.0.0.2","52984","192.168.178.95","2500","0","0","0"
,"0.135018000","0.004735000","3","60","192.168.178.95","2500","10.0.0.2","52984","0","0","1"
,"0.317996000","0.187713000","4","52","10.0.0.2","52984","192.168.178.95","2500","0","1","1"
,"0.318020000","0.187737000","5","89","10.0.0.2","52984","192.168.178.95","2500","37","1","1"
,"0.319827000","0.189544000","6","52","192.168.178.95","2500","10.0.0.2","52984","0","1","38"
,"0.319852000","0.189569000","7","53","192.168.178.95","2500","10.0.0.2","52984","1","1","38"
,"0.505459000","0.375176000","8","52","10.0.0.2","52984","192.168.178.95","2500","0","38","2"
,"0.505492000","0.375209000","9","56","10.0.0.2","52984","192.168.178.95","2500","4","38","2"
,"0.505500000","0.375217000","10","100","10.0.0.2","52984","192.168.178.95","2500","48","42","2"
,"0.505508000","0.375225000","11","100","10.0.0.2","52984","192.168.178.95","2500","48","90","2"
,"0.505516000","0.375233000","12","100","10.0.0.2","52984","192.168.178.95","2500","48","138","2"
,"0.506635000","0.376352000","13","52","192.168.178.95","2500","10.0.0.2","52984","0","2","186"
,"0.568069000",,"14","76",,,,,,,
,"0.693144000","0.562861000","15","53","10.0.0.2","52984","192.168.178.95","2500","1","186","2"
,"0.694435000","0.564152000","16","53","192.168.178.95","2500","10.0.0.2","52984","1","2","187"
,"0.824165000",,"17","76",,,,,,,
,"0.824181000",,"18","48",,,,,,,
,"0.827092000",,"19","76",,,,,,,
,"0.879899000","0.000000000","20","60","10.0.0.2","52996","192.168.178.95","2500","0","0","0"
,"0.883133000","0.003234000","21","60","192.168.178.95","2500","10.0.0.2","52996","0","0","1"
,"0.943381000","0.813098000","22","52","10.0.0.2","52984","192.168.178.95","2500","0","187","3"
,"1.068133000","0.188234000","23","52","10.0.0.2","52996","192.168.178.95","2500","0","1","1"
,"1.068154000","0.188255000","24","89","10.0.0.2","52996","192.168.178.95","2500","37","1","1"
,"1.069949000","0.190050000","25","52","192.168.178.95","2500","10.0.0.2","52996","0","1","38"
,"1.072354000","0.942071000","26","53","192.168.178.95","2500","10.0.0.2","52984","1","3","187"
,"1.072380000","0.192481000","27","140","192.168.178.95","2500","10.0.0.2","52996","88","1","38"
,"1.072416000","0.192517000","28","140","192.168.178.95","2500","10.0.0.2","52996","88","89","38"
,"1.072425000","0.192526000","29","140","192.168.178.95","2500","10.0.0.2","52996","88","177","38"
,"1.072459000","0.192560000","30","140","192.168.178.95","2500","10.0.0.2","52996","88","265","38"
,"1.072469000","0.192570000","31","140","192.168.178.95","2500","10.0.0.2","52996","88","353","38"
,"1.072502000","0.192603000","32","140","192.168.178.95","2500","10.0.0.2","52996","88","441","38"
,"1.072511000","0.192612000","33","140","192.168.178.95","2500","10.0.0.2","52996","88","529","38"
,"1.072544000","0.192645000","34","140","192.168.178.95","2500","10.0.0.2","52996","88","617","38"
,"1.072553000","0.192654000","35","140","192.168.178.95","2500","10.0.0.2","52996","88","705","38"
,"1.072577000","0.192678000","36","140","192.168.178.95","2500","10.0.0.2","52996","88","793","38"
,"1.254824000","1.124541000","37","52","10.0.0.2","52984","192.168.178.95","2500","0","187","4"
,"1.254832000","0.374933000","38","52","10.0.0.2","52996","192.168.178.95","2500","0","38","89"
,"1.254856000","0.374957000","39","52","10.0.0.2","52996","192.168.178.95","2500","0","38","177"
,"1.254859000","0.374960000","40","52","10.0.0.2","52996","192.168.178.95","2500","0","38","265"
,"1.254862000","0.374963000","41","52","10.0.0.2","52996","192.168.178.95","2500","0","38","353"
,"1.254865000","0.374966000","42","52","10.0.0.2","52996","192.168.178.95","2500","0","38","441"
