_ws.col.cls_time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
,"0.000000000",,"1","76",,,,,,,
,"0.190399000","0.000000000","2","60","10.0.0.2","53224","192.168.178.95","2500","0","0","0"
,"0.193934000","0.003535000","3","60","192.168.178.95","2500","10.0.0.2","53224","0","0","1"
,"0.208092000",,"4","76",,,,,,,
,"0.378383000","0.187984000","5","52","10.0.0.2","53224","192.168.178.95","2500","0","1","1"
,"0.378401000","0.188002000","6","89","10.0.0.2","53224","192.168.178.95","2500","37","1","1"
,"0.380619000","0.190220000","7","52","192.168.178.95","2500","10.0.0.2","53224","0","1","38"
,"0.380651000","0.190252000","8","53","192.168.178.95","2500","10.0.0.2","53224","1","1","38"
,"0.520937000",,"9","76",,,,,,,
,"0.564918000","0.374519000","10","52","10.0.0.2","53224","192.168.178.95","2500","0","38","2"
,"0.564937000","0.374538000","11","56","10.0.0.2","53224","192.168.178.95","2500","4","38","2"
,"0.564946000","0.374547000","12","100","10.0.0.2","53224","192.168.178.95","2500","48","42","2"
,"0.564954000","0.374555000","13","100","10.0.0.2","53224","192.168.178.95","2500","48","90","2"
,"0.564961000","0.374562000","14","100","10.0.0.2","53224","192.168.178.95","2500","48","138","2"
,"0.566009000","0.375610000","15","52","192.168.178.95","2500","10.0.0.2","53224","0","2","186"
,"0.753265000","0.562866000","16","57","10.0.0.2","53224","192.168.178.95","2500","5","186","2"
,"0.754399000","0.564000000","17","53","192.168.178.95","2500","10.0.0.2","53224","1","2","191"
,"0.776169000",,"18","76",,,,,,,
,"0.939448000","0.000000000","19","60","10.0.0.2","53238","192.168.178.95","2500","0","0","0"
,"0.943094000","0.003646000","20","60","192.168.178.95","2500","10.0.0.2","53238","0","0","1"
,"1.002815000","0.812416000","21","52","10.0.0.2","53224","192.168.178.95","2500","0","191","3"
,"1.128251000","0.188803000","22","52","10.0.0.2","53238","192.168.178.95","2500","0","1","1"
,"1.128274000","0.188826000","23","89","10.0.0.2","53238","192.168.178.95","2500","37","1","1"
,"1.129711000","0.190263000","24","52","192.168.178.95","2500","10.0.0.2","53238","0","1","38"
,"1.130391000","0.939992000","25","53","192.168.178.95","2500","10.0.0.2","53224","1","3","191"
,"1.130433000","0.190985000","26","140","192.168.178.95","2500","10.0.0.2","53238","88","1","38"
,"1.130485000","0.191037000","27","140","192.168.178.95","2500","10.0.0.2","53238","88","89","38"
,"1.130501000","0.191053000","28","140","192.168.178.95","2500","10.0.0.2","53238","88","177","38"
,"1.130546000","0.191098000","29","140","192.168.178.95","2500","10.0.0.2","53238","88","265","38"
,"1.130560000","0.191112000","30","140","192.168.178.95","2500","10.0.0.2","53238","88","353","38"
,"1.130603000","0.191155000","31","140","192.168.178.95","2500","10.0.0.2","53238","88","441","38"
,"1.130620000","0.191172000","32","140","192.168.178.95","2500","10.0.0.2","53238","88","529","38"
,"1.130663000","0.191215000","33","140","192.168.178.95","2500","10.0.0.2","53238","88","617","38"
,"1.130680000","0.191232000","34","140","192.168.178.95","2500","10.0.0.2","53238","88","705","38"
,"1.130716000","0.191268000","35","140","192.168.178.95","2500","10.0.0.2","53238","88","793","38"
,"1.315276000","1.124877000","36","52","10.0.0.2","53224","192.168.178.95","2500","0","191","4"
,"1.315302000","0.375854000","37","52","10.0.0.2","53238","192.168.178.95","2500","0","38","89"
,"1.315305000","0.375857000","38","52","10.0.0.2","53238","192.168.178.95","2500","0","38","177"
,"1.315308000","0.375860000","39","52","10.0.0.2","53238","192.168.178.95","2500","0","38","265"
,"1.315310000","0.375862000","40","52","10.0.0.2","53238","192.168.178.95","2500","0","38","353"
,"1.315313000","0.375865000","41","52","10.0.0.2","53238","192.168.178.95","2500","0","38","441"
,"1.315316000","0.375868000","42","52","10.0.0.2","53238","192.168.178.95","2500","0","38","529"
,"1.315319000","0.375871000","43","52","10.0.0.2","53238","192.168.178.95","2500","0","38","617"
,"1.315322000","0.375874000","44","52","10.0.0.2","53238","192.168.178.95","2500","0","38","705"
,"1.315324000","0.375876000","45","52","10.0.0.2","53238","192.168.178.95","2500","0","38","793"
,"1.315957000","1.125558000","46","53","192.168.178.95","2500","10.0.0.2","53224","1","4","191"
,"1.315965000","0.376517000","47","140","192.168.178.95","2500","10.0.0.2","53238","88","881","38"
,"1.315995000","0.376547000","48","140","192.168.178.95","2500","10.0.0.2","53238","88","969","38"
,"1.315998000","0.376550000","49","140","192.168.178.95","2500","10.0.0.2","53238","88","1057","38"
