_ws.col.cls_time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
,"0.000000000",,"1","76",,,,,,,
,"0.000016000",,"2","48",,,,,,,
,"0.002929000",,"3","76",,,,,,,
,"0.029658000","0.000000000","4","60","10.0.0.2","55398","192.168.178.95","2500","0","0","0"
,"0.034108000","0.004450000","5","60","192.168.178.95","2500","10.0.0.2","55398","0","0","1"
,"0.144294000",,"6","76",,,,,,,
,"0.144323000",,"7","48",,,,,,,
,"0.146971000",,"8","76",,,,,,,
,"0.218146000","0.188488000","9","52","10.0.0.2","55398","192.168.178.95","2500","0","1","1"
,"0.218170000","0.188512000","10","89","10.0.0.2","55398","192.168.178.95","2500","37","1","1"
,"0.220233000","0.190575000","11","52","192.168.178.95","2500","10.0.0.2","55398","0","1","38"
,"0.220268000","0.190610000","12","53","192.168.178.95","2500","10.0.0.2","55398","1","1","38"
,"0.405156000","0.375498000","13","52","10.0.0.2","55398","192.168.178.95","2500","0","38","2"
,"0.405175000","0.375517000","14","56","10.0.0.2","55398","192.168.178.95","2500","4","38","2"
,"0.405183000","0.375525000","15","100","10.0.0.2","55398","192.168.178.95","2500","48","42","2"
,"0.405190000","0.375532000","16","100","10.0.0.2","55398","192.168.178.95","2500","48","90","2"
,"0.405198000","0.375540000","17","100","10.0.0.2","55398","192.168.178.95","2500","48","138","2"
,"0.406337000","0.376679000","18","52","192.168.178.95","2500","10.0.0.2","55398","0","2","186"
,"0.455965000",,"19","76",,,,,,,
,"0.496058000",,"20","76",,,,,,,
,"0.583968000",,"21","76",,,,,,,
,"0.592781000","0.563123000","22","54","10.0.0.2","55398","192.168.178.95","2500","2","186","2"
,"0.593986000","0.564328000","23","53","192.168.178.95","2500","10.0.0.2","55398","1","2","188"
,"0.779489000","0.000000000","24","60","10.0.0.2","55414","192.168.178.95","2500","0","0","0"
,"0.782623000","0.003134000","25","60","192.168.178.95","2500","10.0.0.2","55414","0","0","1"
,"0.842724000","0.813066000","26","52","10.0.0.2","55398","192.168.178.95","2500","0","188","3"
,"0.967776000","0.188287000","27","52","10.0.0.2","55414","192.168.178.95","2500","0","1","1"
,"0.967803000","0.188314000","28","89","10.0.0.2","55414","192.168.178.95","2500","37","1","1"
,"0.967894000",,"29","76",,,,,,,
,"0.969264000","0.189775000","30","52","192.168.178.95","2500","10.0.0.2","55414","0","1","38"
,"0.971575000","0.941917000","31","53","192.168.178.95","2500","10.0.0.2","55398","1","3","188"
,"0.971597000","0.192108000","32","140","192.168.178.95","2500","10.0.0.2","55414","88","1","38"
,"0.971628000","0.192139000","33","140","192.168.178.95","2500","10.0.0.2","55414","88","89","38"
,"0.971636000","0.192147000","34","140","192.168.178.95","2500","10.0.0.2","55414","88","177","38"
,"0.971663000","0.192174000","35","140","192.168.178.95","2500","10.0.0.2","55414","88","265","38"
,"0.971671000","0.192182000","36","140","192.168.178.95","2500","10.0.0.2","55414","88","353","38"
,"0.971699000","0.192210000","37","140","192.168.178.95","2500","10.0.0.2","55414","88","441","38"
,"0.971707000","0.192218000","38","140","192.168.178.95","2500","10.0.0.2","55414","88","529","38"
,"0.971736000","0.192247000","39","140","192.168.178.95","2500","10.0.0.2","55414","88","617","38"
,"0.971745000","0.192256000","40","140","192.168.178.95","2500","10.0.0.2","55414","88","705","38"
