_ws.col.cls_time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
,"0.000000000","0.000000000","1","60","10.0.0.2","37134","192.168.178.95","2500","0","0","0"
,"0.006523000","0.006523000","2","60","192.168.178.95","2500","10.0.0.2","37134","0","0","1"
,"0.078455000",,"3","76",,,,,,,
,"0.078480000",,"4","48",,,,,,,
,"0.081298000",,"5","76",,,,,,,
,"0.188628000","0.188628000","6","52","10.0.0.2","37134","192.168.178.95","2500","0","1","1"
,"0.188655000","0.188655000","7","89","10.0.0.2","37134","192.168.178.95","2500","37","1","1"
,"0.190526000","0.190526000","8","52","192.168.178.95","2500","10.0.0.2","37134","0","1","38"
,"0.190559000","0.190559000","9","53","192.168.178.95","2500","10.0.0.2","37134","1","1","38"
,"0.262408000",,"10","76",,,,,,,
,"0.262968000",,"11","76",,,,,,,
,"0.262995000",,"12","48",,,,,,,
,"0.265391000",,"13","76",,,,,,,
,"0.375395000","0.375395000","14","52","10.0.0.2","37134","192.168.178.95","2500","0","38","2"
,"0.375420000","0.375420000","15","56","10.0.0.2","37134","192.168.178.95","2500","4","38","2"
,"0.375431000","0.375431000","16","100","10.0.0.2","37134","192.168.178.95","2500","48","42","2"
,"0.375441000","0.375441000","17","100","10.0.0.2","37134","192.168.178.95","2500","48","90","2"
,"0.375450000","0.375450000","18","100","10.0.0.2","37134","192.168.178.95","2500","48","138","2"
,"0.376403000","0.376403000","19","52","192.168.178.95","2500","10.0.0.2","37134","0","2","138"
,"0.416956000","0.416956000","20","52","192.168.178.95","2500","10.0.0.2","37134","0","2","186"
,"0.563504000","0.563504000","21","53","10.0.0.2","37134","192.168.178.95","2500","1","186","2"
,"0.564419000","0.564419000","22","52","192.168.178.95","2500","10.0.0.2","37134","0","2","187"
,"0.564464000","0.564464000","23","53","192.168.178.95","2500","10.0.0.2","37134","1","2","187"
,"0.622418000",,"24","76",,,,,,,
,"0.646373000",,"25","76",,,,,,,
,"0.727426000",,"26","76",,,,,,,
,"0.749993000","0.000000000","27","60","10.0.0.2","37148","192.168.178.95","2500","0","0","0"
,"0.752800000","0.002807000","28","60","192.168.178.95","2500","10.0.0.2","37148","0","0","1"
,"0.813258000","0.813258000","29","52","10.0.0.2","37134","192.168.178.95","2500","0","187","3"
,"0.938156000","0.188163000","30","52","10.0.0.2","37148","192.168.178.95","2500","0","1","1"
,"0.938171000","0.188178000","31","89","10.0.0.2","37148","192.168.178.95","2500","37","1","1"
,"0.939441000","0.189448000","32","52","192.168.178.95","2500","10.0.0.2","37148","0","1","38"
,"0.940045000","0.940045000","33","53","192.168.178.95","2500","10.0.0.2","37134","1","3","187"
,"0.940065000","0.190072000","34","140","192.168.178.95","2500","10.0.0.2","37148","88","1","38"
,"0.940091000","0.190098000","35","140","192.168.178.95","2500","10.0.0.2","37148","88","89","38"
,"0.940098000","0.190105000","36","140","192.168.178.95","2500","10.0.0.2","37148","88","177","38"
,"0.940122000","0.190129000","37","140","192.168.178.95","2500","10.0.0.2","37148","88","265","38"
,"0.940130000","0.190137000","38","140","192.168.178.95","2500","10.0.0.2","37148","88","353","38"
,"0.940153000","0.190160000","39","140","192.168.178.95","2500","10.0.0.2","37148","88","441","38"
,"0.940161000","0.190168000","40","140","192.168.178.95","2500","10.0.0.2","37148","88","529","38"
,"0.940185000","0.190192000","41","140","192.168.178.95","2500","10.0.0.2","37148","88","617","38"
