_ws.col.cls_time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
,"0.000000000",,"1","76",,,,,,,
,"0.000014000",,"2","48",,,,,,,
,"0.001991000",,"3","76",,,,,,,
,"0.092511000","0.000000000","4","60","10.0.0.2","53280","192.168.178.95","2500","0","0","0"
,"0.096827000","0.004316000","5","60","192.168.178.95","2500","10.0.0.2","53280","0","0","1"
,"0.118989000",,"6","76",,,,,,,
,"0.119013000",,"7","48",,,,,,,
,"0.121945000",,"8","76",,,,,,,
,"0.191104000",,"9","76",,,,,,,
,"0.263067000",,"10","76",,,,,,,
,"0.279476000","0.186965000","11","52","10.0.0.2","53280","192.168.178.95","2500","0","1","1"
,"0.279501000","0.186990000","12","89","10.0.0.2","53280","192.168.178.95","2500","37","1","1"
,"0.281755000","0.189244000","13","52","192.168.178.95","2500","10.0.0.2","53280","0","1","38"
,"0.281789000","0.189278000","14","53","192.168.178.95","2500","10.0.0.2","53280","1","1","38"
,"0.455125000",,"15","76",,,,,,,
,"0.468034000","0.375523000","16","52","10.0.0.2","53280","192.168.178.95","2500","0","38","2"
,"0.468054000","0.375543000","17","56","10.0.0.2","53280","192.168.178.95","2500","4","38","2"
,"0.468063000","0.375552000","18","100","10.0.0.2","53280","192.168.178.95","2500","48","42","2"
,"0.468070000","0.375559000","19","100","10.0.0.2","53280","192.168.178.95","2500","48","90","2"
,"0.468078000","0.375567000","20","100","10.0.0.2","53280","192.168.178.95","2500","48","138","2"
,"0.468967000","0.376456000","21","52","192.168.178.95","2500","10.0.0.2","53280","0","2","138"
,"0.509407000","0.416896000","22","52","192.168.178.95","2500","10.0.0.2","53280","0","2","186"
,"0.654825000","0.562314000","23","57","10.0.0.2","53280","192.168.178.95","2500","5","186","2"
,"0.655733000","0.563222000","24","52","192.168.178.95","2500","10.0.0.2","53280","0","2","191"
,"0.655761000","0.563250000","25","53","192.168.178.95","2500","10.0.0.2","53280","1","2","191"
,"0.842797000","0.000000000","26","60","10.0.0.2","56558","192.168.178.95","2500","0","0","0"
,"0.846123000","0.003326000","27","60","192.168.178.95","2500","10.0.0.2","56558","0","0","1"
,"0.904928000","0.812417000","28","52","10.0.0.2","53280","192.168.178.95","2500","0","191","3"
,"1.029471000","0.186674000","29","52","10.0.0.2","56558","192.168.178.95","2500","0","1","1"
,"1.029493000","0.186696000","30","89","10.0.0.2","56558","192.168.178.95","2500","37","1","1"
,"1.032229000","0.189432000","31","52","192.168.178.95","2500","10.0.0.2","56558","0","1","38"
,"1.032828000","0.940317000","32","53","192.168.178.95","2500","10.0.0.2","53280","1","3","191"
,"1.032891000","0.190094000","33","140","192.168.178.95","2500","10.0.0.2","56558","88","1","38"
,"1.032937000","0.190140000","34","140","192.168.178.95","2500","10.0.0.2","56558","88","89","38"
,"1.032949000","0.190152000","35","140","192.168.178.95","2500","10.0.0.2","56558","88","177","38"
,"1.032986000","0.190189000","36","140","192.168.178.95","2500","10.0.0.2","56558","88","265","38"
,"1.032999000","0.190202000","37","140","192.168.178.95","2500","10.0.0.2","56558","88","353","38"
,"1.033036000","0.190239000","38","140","192.168.178.95","2500","10.0.0.2","56558","88","441","38"
,"1.033051000","0.190254000","39","140","192.168.178.95","2500","10.0.0.2","56558","88","529","38"
,"1.033088000","0.190291000","40","140","192.168.178.95","2500","10.0.0.2","56558","88","617","38"
,"1.033101000","0.190304000","41","140","192.168.178.95","2500","10.0.0.2","56558","88","705","38"
,"1.033129000","0.190332000","42","140","192.168.178.95","2500","10.0.0.2","56558","88","793","38"
,"1.166951000",,"43","76",,,,,,,
,"1.218042000","1.125531000","44","52","10.0.0.2","53280","192.168.178.95","2500","0","191","4"
,"1.218047000","0.375250000","45","52","10.0.0.2","56558","192.168.178.95","2500","0","38","89"
,"1.218050000","0.375253000","46","52","10.0.0.2","56558","192.168.178.95","2500","0","38","177"
,"1.218071000","0.375274000","47","52","10.0.0.2","56558","192.168.178.95","2500","0","38","265"
,"1.218074000","0.375277000","48","52","10.0.0.2","56558","192.168.178.95","2500","0","38","353"
,"1.218077000","0.375280000","49","52","10.0.0.2","56558","192.168.178.95","2500","0","38","441"
,"1.218079000","0.375282000","50","52","10.0.0.2","56558","192.168.178.95","2500","0","38","529"
,"1.218082000","0.375285000","51","52","10.0.0.2","56558","192.168.178.95","2500","0","38","617"
,"1.218085000","0.375288000","52","52","10.0.0.2","56558","192.168.178.95","2500","0","38","705"
,"1.218088000","0.375291000","53","52","10.0.0.2","56558","192.168.178.95","2500","0","38","793"
,"1.218671000","1.126160000","54","53","192.168.178.95","2500","10.0.0.2","53280","1","4","191"
,"1.218679000","0.375882000","55","140","192.168.178.95","2500","10.0.0.2","56558","88","881","38"
,"1.218709000","0.375912000","56","140","192.168.178.95","2500","10.0.0.2","56558","88","969","38"
,"1.218712000","0.375915000","57","140","192.168.178.95","2500","10.0.0.2","56558","88","1057","38"
,"1.218722000","0.375925000","58","140","192.168.178.95","2500","10.0.0.2","56558","88","1145","38"
,"1.218724000","0.375927000","59","140","192.168.178.95","2500","10.0.0.2","56558","88","1233","38"
,"1.218734000","0.375937000","60","140","192.168.178.95","2500","10.0.0.2","56558","88","1321","38"
,"1.218737000","0.375940000","61","140","192.168.178.95","2500","10.0.0.2","56558","88","1409","38"
,"1.218744000","0.375947000","62","140","192.168.178.95","2500","10.0.0.2","56558","88","1497","38"
,"1.218957000","0.376160000","63","140","192.168.178.95","2500","10.0.0.2","56558","88","1585","38"
,"1.218965000","0.376168000","64","140","192.168.178.95","2500","10.0.0.2","56558","88","1673","38"
,"1.218993000","0.376196000","65","140","192.168.178.95","2500","10.0.0.2","56558","88","1761","38"
,"1.218996000","0.376199000","66","140","192.168.178.95","2500","10.0.0.2","56558","88","1849","38"
,"1.219006000","0.376209000","67","140","192.168.178.95","2500","10.0.0.2","56558","88","1937","38"
,"1.219009000","0.376212000","68","140","192.168.178.95","2500","10.0.0.2","56558","88","2025","38"
,"1.219018000","0.376221000","69","140","192.168.178.95","2500","10.0.0.2","56558","88","2113","38"
,"1.219021000","0.376224000","70","140","192.168.178.95","2500","10.0.0.2","56558","88","2201","38"
,"1.219031000","0.376234000","71","140","192.168.178.95","2500","10.0.0.2","56558","88","2289","38"
,"1.219034000","0.376237000","72","140","192.168.178.95","2500","10.0.0.2","56558","88","2377","38"
,"1.280102000","0.437305000","73","52","10.0.0.2","56558","192.168.178.95","2500","0","38","881"
,"1.280754000","0.437957000","74","140","192.168.178.95","2500","10.0.0.2","56558","88","2465","38"
,"1.280763000","0.437966000","75","140","192.168.178.95","2500","10.0.0.2","56558","88","2553","38"
,"1.404689000","1.312178000","76","52","10.0.0.2","53280","192.168.178.95","2500","0","191","5"
