_ws.col.cls_time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
,"0.000000000","0.000000000","1","60","10.0.0.2","54350","192.168.178.95","2500","0","0","0"
,"0.007482000","0.007482000","2","60","192.168.178.95","2500","10.0.0.2","54350","0","0","1"
,"0.025930000",,"3","76",,,,,,,
,"0.025948000",,"4","48",,,,,,,
,"0.028944000",,"5","76",,,,,,,
,"0.122438000",,"6","76",,,,,,,
,"0.122471000",,"7","48",,,,,,,
,"0.124997000",,"8","76",,,,,,,
,"0.187657000","0.187657000","9","52","10.0.0.2","54350","192.168.178.95","2500","0","1","1"
,"0.187676000","0.187676000","10","89","10.0.0.2","54350","192.168.178.95","2500","37","1","1"
,"0.189232000","0.189232000","11","52","192.168.178.95","2500","10.0.0.2","54350","0","1","38"
,"0.189264000","0.189264000","12","53","192.168.178.95","2500","10.0.0.2","54350","1","1","38"
,"0.321874000",,"13","76",,,,,,,
,"0.375003000","0.375003000","14","52","10.0.0.2","54350","192.168.178.95","2500","0","38","2"
,"0.375021000","0.375021000","15","56","10.0.0.2","54350","192.168.178.95","2500","4","38","2"
,"0.375029000","0.375029000","16","100","10.0.0.2","54350","192.168.178.95","2500","48","42","2"
,"0.375036000","0.375036000","17","100","10.0.0.2","54350","192.168.178.95","2500","48","90","2"
,"0.375044000","0.375044000","18","100","10.0.0.2","54350","192.168.178.95","2500","48","138","2"
,"0.375875000","0.375875000","19","52","192.168.178.95","2500","10.0.0.2","54350","0","2","138"
,"0.416494000","0.416494000","20","52","192.168.178.95","2500","10.0.0.2","54350","0","2","186"
,"0.563367000","0.563367000","21","53","10.0.0.2","54350","192.168.178.95","2500","1","186","2"
,"0.564448000","0.564448000","22","52","192.168.178.95","2500","10.0.0.2","54350","0","2","187"
,"0.564483000","0.564483000","23","53","192.168.178.95","2500","10.0.0.2","54350","1","2","187"
,"0.689901000",,"24","76",,,,,,,
,"0.749533000","0.000000000","25","60","10.0.0.2","54352","192.168.178.95","2500","0","0","0"
,"0.752625000","0.003092000","26","60","192.168.178.95","2500","10.0.0.2","54352","0","0","1"
,"0.812826000","0.812826000","27","52","10.0.0.2","54350","192.168.178.95","2500","0","187","3"
,"0.937796000","0.188263000","28","52","10.0.0.2","54352","192.168.178.95","2500","0","1","1"
,"0.937831000","0.188298000","29","89","10.0.0.2","54352","192.168.178.95","2500","37","1","1"
,"0.939122000","0.189589000","30","52","192.168.178.95","2500","10.0.0.2","54352","0","1","38"
,"0.939824000","0.939824000","31","53","192.168.178.95","2500","10.0.0.2","54350","1","3","187"
,"0.939854000","0.190321000","32","140","192.168.178.95","2500","10.0.0.2","54352","88","1","38"
,"0.939892000","0.190359000","33","140","192.168.178.95","2500","10.0.0.2","54352","88","89","38"
,"0.939902000","0.190369000","34","140","192.168.178.95","2500","10.0.0.2","54352","88","177","38"
,"0.939934000","0.190401000","35","140","192.168.178.95","2500","10.0.0.2","54352","88","265","38"
,"0.939944000","0.190411000","36","140","192.168.178.95","2500","10.0.0.2","54352","88","353","38"
,"0.939977000","0.190444000","37","140","192.168.178.95","2500","10.0.0.2","54352","88","441","38"
,"0.939986000","0.190453000","38","140","192.168.178.95","2500","10.0.0.2","54352","88","529","38"
,"0.940018000","0.190485000","39","140","192.168.178.95","2500","10.0.0.2","54352","88","617","38"
,"0.940027000","0.190494000","40","140","192.168.178.95","2500","10.0.0.2","54352","88","705","38"
,"0.940055000","0.190522000","41","140","192.168.178.95","2500","10.0.0.2","54352","88","793","38"
,"0.945971000",,"42","76",,,,,,,
,"1.010000000",,"43","76",,,,,,,
,"1.124525000","1.124525000","44","52","10.0.0.2","54350","192.168.178.95","2500","0","187","4"
,"1.124534000","0.375001000","45","52","10.0.0.2","54352","192.168.178.95","2500","0","38","89"
,"1.124555000","0.375022000","46","52","10.0.0.2","54352","192.168.178.95","2500","0","38","177"
,"1.124558000","0.375025000","47","52","10.0.0.2","54352","192.168.178.95","2500","0","38","265"
,"1.124561000","0.375028000","48","52","10.0.0.2","54352","192.168.178.95","2500","0","38","353"
,"1.124564000","0.375031000","49","52","10.0.0.2","54352","192.168.178.95","2500","0","38","441"
,"1.124566000","0.375033000","50","52","10.0.0.2","54352","192.168.178.95","2500","0","38","529"
,"1.124569000","0.375036000","51","52","10.0.0.2","54352","192.168.178.95","2500","0","38","617"
,"1.124572000","0.375039000","52","52","10.0.0.2","54352","192.168.178.95","2500","0","38","705"
,"1.124575000","0.375042000","53","52","10.0.0.2","54352","192.168.178.95","2500","0","38","793"
,"1.125253000","1.125253000","54","53","192.168.178.95","2500","10.0.0.2","54350","1","4","187"
,"1.125262000","0.375729000","55","140","192.168.178.95","2500","10.0.0.2","54352","88","881","38"
,"1.125272000","0.375739000","56","140","192.168.178.95","2500","10.0.0.2","54352","88","969","38"
,"1.125275000","0.375742000","57","140","192.168.178.95","2500","10.0.0.2","54352","88","1057","38"
,"1.125285000","0.375752000","58","140","192.168.178.95","2500","10.0.0.2","54352","88","1145","38"
,"1.125288000","0.375755000","59","140","192.168.178.95","2500","10.0.0.2","54352","88","1233","38"
,"1.125298000","0.375765000","60","140","192.168.178.95","2500","10.0.0.2","54352","88","1321","38"
,"1.125300000","0.375767000","61","140","192.168.178.95","2500","10.0.0.2","54352","88","1409","38"
,"1.125308000","0.375775000","62","140","192.168.178.95","2500","10.0.0.2","54352","88","1497","38"
,"1.125486000","0.375953000","63","140","192.168.178.95","2500","10.0.0.2","54352","88","1585","38"
,"1.125494000","0.375961000","64","140","192.168.178.95","2500","10.0.0.2","54352","88","1673","38"
,"1.125505000","0.375972000","65","140","192.168.178.95","2500","10.0.0.2","54352","88","1761","38"
,"1.125508000","0.375975000","66","140","192.168.178.95","2500","10.0.0.2","54352","88","1849","38"
,"1.125517000","0.375984000","67","140","192.168.178.95","2500","10.0.0.2","54352","88","1937","38"
