_ws.col.cls_time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"0.000000","0.000000000","0.000000000","1","60","10.0.0.2","59054","89.233.69.5","8081","0","0","0"
"0.035449","0.035449000","0.035449000","2","60","89.233.69.5","8081","10.0.0.2","59054","0","0","1"
"0.313274","0.313274000","0.313274000","3","52","10.0.0.2","59054","89.233.69.5","8081","0","1","1"
"0.313305","0.313305000","0.313305000","4","89","10.0.0.2","59054","89.233.69.5","8081","37","1","1"
"0.345652","0.345652000","0.345652000","5","52","89.233.69.5","8081","10.0.0.2","59054","0","1","38"
"0.345701","0.345701000","0.345701000","6","53","89.233.69.5","8081","10.0.0.2","59054","1","1","38"
"0.441317","0.441317000",,"7","76",,,,,,,
"0.441344","0.441344000",,"8","48",,,,,,,
"0.443833","0.443833000",,"9","76",,,,,,,
"0.504742","0.504742000",,"10","76",,,,,,,
"0.625552","0.625552000","0.625552000","11","52","10.0.0.2","59054","89.233.69.5","8081","0","38","2"
"0.625576","0.625576000","0.625576000","12","56","10.0.0.2","59054","89.233.69.5","8081","4","38","2"
"0.625615","0.625615000","0.625615000","13","100","10.0.0.2","59054","89.233.69.5","8081","48","42","2"
"0.625652","0.625652000","0.625652000","14","100","10.0.0.2","59054","89.233.69.5","8081","48","90","2"
"0.625669","0.625669000","0.625669000","15","100","10.0.0.2","59054","89.233.69.5","8081","48","138","2"
"0.625683","0.625683000","0.625683000","16","76","10.0.0.2","59054","89.233.69.5","8081","24","186","2"
"0.658031","0.658031000","0.658031000","17","52","89.233.69.5","8081","10.0.0.2","59054","0","2","210"
"0.658075","0.658075000","0.658075000","18","53","89.233.69.5","8081","10.0.0.2","59054","1","2","210"
"0.938741","0.938741000","0.000000000","19","60","10.0.0.2","59064","89.233.69.5","8081","0","0","0"
"0.938774","0.938774000","0.938774000","20","52","10.0.0.2","59054","89.233.69.5","8081","0","210","3"
"0.971289","0.971289000","0.032548000","21","60","89.233.69.5","8081","10.0.0.2","59064","0","0","1"
"1.208859","1.208859000",,"22","76",,,,,,,
"1.250162","1.250162000","0.311421000","23","52","10.0.0.2","59064","89.233.69.5","8081","0","1","1"
"1.250193","1.250193000","0.311452000","24","89","10.0.0.2","59064","89.233.69.5","8081","37","1","1"
"1.282297","1.282297000","0.343556000","25","52","89.233.69.5","8081","10.0.0.2","59064","0","1","38"
"1.282342","1.282342000","0.343601000","26","52","89.233.69.5","8081","10.0.0.2","59064","0","1","38"
"1.284455","1.284455000","1.284455000","27","53","89.233.69.5","8081","10.0.0.2","59054","1","3","210"
"1.284503","1.284503000","0.345762000","28","140","89.233.69.5","8081","10.0.0.2","59064","88","1","38"
"1.284568","1.284568000","0.345827000","29","140","89.233.69.5","8081","10.0.0.2","59064","88","89","38"
"1.284585","1.284585000","0.345844000","30","140","89.233.69.5","8081","10.0.0.2","59064","88","177","38"
"1.284670","1.284670000","0.345929000","31","140","89.233.69.5","8081","10.0.0.2","59064","88","265","38"
"1.284683","1.284683000","0.345942000","32","140","89.233.69.5","8081","10.0.0.2","59064","88","353","38"
"1.284728","1.284728000","0.345987000","33","140","89.233.69.5","8081","10.0.0.2","59064","88","441","38"
"1.284740","1.284740000","0.345999000","34","140","89.233.69.5","8081","10.0.0.2","59064","88","529","38"
"1.284784","1.284784000","0.346043000","35","140","89.233.69.5","8081","10.0.0.2","59064","88","617","38"
