_ws.col.cls_time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"0.000000","0.000000000",,"1","76",,,,,,,
"0.152084","0.152084000",,"2","76",,,,,,,
"0.193938","0.193938000","0.000000000","3","60","10.0.0.2","40026","91.97.97.203","8081","0","0","0"
"0.229087","0.229087000","0.035149000","4","60","91.97.97.203","8081","10.0.0.2","40026","0","0","1"
"0.507005","0.507005000","0.313067000","5","52","10.0.0.2","40026","91.97.97.203","8081","0","1","1"
"0.507037","0.507037000","0.313099000","6","89","10.0.0.2","40026","91.97.97.203","8081","37","1","1"
"0.539638","0.539638000","0.345700000","7","52","91.97.97.203","8081","10.0.0.2","40026","0","1","38"
"0.539665","0.539665000","0.345727000","8","52","91.97.97.203","8081","10.0.0.2","40026","0","1","38"
"0.539702","0.539702000","0.345764000","9","53","91.97.97.203","8081","10.0.0.2","40026","1","1","38"
"0.656008","0.656008000",,"10","76",,,,,,,
"0.656043","0.656043000",,"11","48",,,,,,,
"0.658908","0.658908000",,"12","76",,,,,,,
"0.818407","0.818407000","0.624469000","13","52","10.0.0.2","40026","91.97.97.203","8081","0","38","2"
"0.818437","0.818437000","0.624499000","14","56","10.0.0.2","40026","91.97.97.203","8081","4","38","2"
"0.818454","0.818454000","0.624516000","15","100","10.0.0.2","40026","91.97.97.203","8081","48","42","2"
"0.818472","0.818472000","0.624534000","16","100","10.0.0.2","40026","91.97.97.203","8081","48","90","2"
"0.818489","0.818489000","0.624551000","17","100","10.0.0.2","40026","91.97.97.203","8081","48","138","2"
"0.818503","0.818503000","0.624565000","18","76","10.0.0.2","40026","91.97.97.203","8081","24","186","2"
"0.850724","0.850724000","0.656786000","19","52","91.97.97.203","8081","10.0.0.2","40026","0","2","210"
"0.850756","0.850756000","0.656818000","20","53","91.97.97.203","8081","10.0.0.2","40026","1","2","210"
"1.063967","1.063967000",,"21","76",,,,,,,
"1.095967","1.095967000",,"22","76",,,,,,,
"1.131975","1.131975000","0.000000000","23","60","10.0.0.2","40028","91.97.97.203","8081","0","0","0"
"1.132009","1.132009000","0.938071000","24","52","10.0.0.2","40026","91.97.97.203","8081","0","210","3"
"1.164709","1.164709000","0.032734000","25","60","91.97.97.203","8081","10.0.0.2","40028","0","0","1"
"1.443447","1.443447000","0.311472000","26","52","10.0.0.2","40028","91.97.97.203","8081","0","1","1"
"1.443477","1.443477000","0.311502000","27","89","10.0.0.2","40028","91.97.97.203","8081","37","1","1"
"1.476069","1.476069000","0.344094000","28","52","91.97.97.203","8081","10.0.0.2","40028","0","1","38"
"1.478644","1.478644000","1.284706000","29","53","91.97.97.203","8081","10.0.0.2","40026","1","3","210"
"1.478678","1.478678000","0.346703000","30","140","91.97.97.203","8081","10.0.0.2","40028","88","1","38"
"1.478738","1.478738000","0.346763000","31","140","91.97.97.203","8081","10.0.0.2","40028","88","89","38"
"1.478753","1.478753000","0.346778000","32","140","91.97.97.203","8081","10.0.0.2","40028","88","177","38"
"1.478808","1.478808000","0.346833000","33","140","91.97.97.203","8081","10.0.0.2","40028","88","265","38"
"1.478855","1.478855000","0.346880000","34","140","91.97.97.203","8081","10.0.0.2","40028","88","353","38"
"1.478904","1.478904000","0.346929000","35","140","91.97.97.203","8081","10.0.0.2","40028","88","441","38"
"1.478915","1.478915000","0.346940000","36","140","91.97.97.203","8081","10.0.0.2","40028","88","529","38"
"1.478960","1.478960000","0.346985000","37","140","91.97.97.203","8081","10.0.0.2","40028","88","617","38"
"1.478982","1.478982000","0.347007000","38","140","91.97.97.203","8081","10.0.0.2","40028","88","705","38"
"1.479016","1.479016000","0.347041000","39","140","91.97.97.203","8081","10.0.0.2","40028","88","793","38"
