_ws.col.cls_time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"0.000000","0.000000000",,"1","76",,,,,,,
"0.000012","0.000012000",,"2","48",,,,,,,
"0.002974","0.002974000",,"3","76",,,,,,,
"0.030023","0.030023000","0.000000000","4","60","10.0.0.2","39134","91.97.97.203","8081","0","0","0"
"0.065080","0.065080000","0.035057000","5","60","91.97.97.203","8081","10.0.0.2","39134","0","0","1"
"0.216326","0.216326000","0.186303000","6","52","10.0.0.2","39134","91.97.97.203","8081","0","1","1"
"0.216342","0.216342000","0.186319000","7","89","10.0.0.2","39134","91.97.97.203","8081","37","1","1"
"0.249031","0.249031000","0.219008000","8","52","91.97.97.203","8081","10.0.0.2","39134","0","1","38"
"0.249060","0.249060000","0.219037000","9","53","91.97.97.203","8081","10.0.0.2","39134","1","1","38"
"0.256480","0.256480000",,"10","76",,,,,,,
"0.256503","0.256503000",,"11","48",,,,,,,
"0.259531","0.259531000",,"12","76",,,,,,,
"0.312050","0.312050000",,"13","76",,,,,,,
"0.404542","0.404542000","0.374519000","14","52","10.0.0.2","39134","91.97.97.203","8081","0","38","2"
"0.404557","0.404557000","0.374534000","15","56","10.0.0.2","39134","91.97.97.203","8081","4","38","2"
"0.404564","0.404564000","0.374541000","16","100","10.0.0.2","39134","91.97.97.203","8081","48","42","2"
"0.404571","0.404571000","0.374548000","17","100","10.0.0.2","39134","91.97.97.203","8081","48","90","2"
"0.404579","0.404579000","0.374556000","18","100","10.0.0.2","39134","91.97.97.203","8081","48","138","2"
"0.404606","0.404606000","0.374583000","19","78","10.0.0.2","39134","91.97.97.203","8081","26","186","2"
"0.437431","0.437431000","0.407408000","20","52","91.97.97.203","8081","10.0.0.2","39134","0","2","212"
"0.437477","0.437477000","0.407454000","21","53","91.97.97.203","8081","10.0.0.2","39134","1","2","212"
"0.464042","0.464042000",,"22","76",,,,,,,
"0.591596","0.591596000","0.000000000","23","60","10.0.0.2","39136","91.97.97.203","8081","0","0","0"
"0.600194","0.600194000",,"24","76",,,,,,,
"0.624201","0.624201000","0.032605000","25","60","91.97.97.203","8081","10.0.0.2","39136","0","0","1"
"0.654807","0.654807000","0.624784000","26","52","10.0.0.2","39134","91.97.97.203","8081","0","212","3"
"0.688179","0.688179000",,"27","76",,,,,,,
"0.779243","0.779243000","0.187647000","28","52","10.0.0.2","39136","91.97.97.203","8081","0","1","1"
"0.779272","0.779272000","0.187676000","29","89","10.0.0.2","39136","91.97.97.203","8081","37","1","1"
"0.811949","0.811949000","0.220353000","30","52","91.97.97.203","8081","10.0.0.2","39136","0","1","38"
"0.811999","0.811999000","0.220403000","31","52","91.97.97.203","8081","10.0.0.2","39136","0","1","38"
"0.812307","0.812307000","0.782284000","32","53","91.97.97.203","8081","10.0.0.2","39134","1","3","212"
"0.812345","0.812345000","0.220749000","33","140","91.97.97.203","8081","10.0.0.2","39136","88","1","38"
"0.812398","0.812398000","0.220802000","34","140","91.97.97.203","8081","10.0.0.2","39136","88","89","38"
"0.812410","0.812410000","0.220814000","35","140","91.97.97.203","8081","10.0.0.2","39136","88","177","38"
"0.812459","0.812459000","0.220863000","36","140","91.97.97.203","8081","10.0.0.2","39136","88","265","38"
"0.812473","0.812473000","0.220877000","37","140","91.97.97.203","8081","10.0.0.2","39136","88","353","38"
"0.812519","0.812519000","0.220923000","38","140","91.97.97.203","8081","10.0.0.2","39136","88","441","38"
"0.812534","0.812534000","0.220938000","39","140","91.97.97.203","8081","10.0.0.2","39136","88","529","38"
"0.812579","0.812579000","0.220983000","40","140","91.97.97.203","8081","10.0.0.2","39136","88","617","38"
"0.812591","0.812591000","0.220995000","41","140","91.97.97.203","8081","10.0.0.2","39136","88","705","38"
"0.812625","0.812625000","0.221029000","42","140","91.97.97.203","8081","10.0.0.2","39136","88","793","38"
"0.966589","0.966589000","0.936566000","43","52","10.0.0.2","39134","91.97.97.203","8081","0","212","4"
"0.966620","0.966620000","0.375024000","44","52","10.0.0.2","39136","91.97.97.203","8081","0","38","89"
"0.966636","0.966636000","0.375040000","45","52","10.0.0.2","39136","91.97.97.203","8081","0","38","177"
"0.966650","0.966650000","0.375054000","46","52","10.0.0.2","39136","91.97.97.203","8081","0","38","265"
"0.966667","0.966667000","0.375071000","47","52","10.0.0.2","39136","91.97.97.203","8081","0","38","353"
"0.966682","0.966682000","0.375086000","48","52","10.0.0.2","39136","91.97.97.203","8081","0","38","441"
"0.966696","0.966696000","0.375100000","49","52","10.0.0.2","39136","91.97.97.203","8081","0","38","529"
"0.966711","0.966711000","0.375115000","50","52","10.0.0.2","39136","91.97.97.203","8081","0","38","617"
"0.966726","0.966726000","0.375130000","51","52","10.0.0.2","39136","91.97.97.203","8081","0","38","705"
"0.966742","0.966742000","0.375146000","52","52","10.0.0.2","39136","91.97.97.203","8081","0","38","793"
"0.998611","0.998611000","0.407015000","53","140","91.97.97.203","8081","10.0.0.2","39136","88","881","38"
"0.998656","0.998656000","0.407060000","54","140","91.97.97.203","8081","10.0.0.2","39136","88","969","38"
"0.998702","0.998702000","0.968679000","55","53","91.97.97.203","8081","10.0.0.2","39134","1","4","212"
"0.998995","0.998995000","0.407399000","56","140","91.97.97.203","8081","10.0.0.2","39136","88","1057","38"
"0.999181","0.999181000","0.407585000","57","140","91.97.97.203","8081","10.0.0.2","39136","88","1145","38"
"0.999212","0.999212000","0.407616000","58","140","91.97.97.203","8081","10.0.0.2","39136","88","1233","38"
