_ws.col.cls_time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"0.000000","0.000000000","0.000000000","1","60","10.0.0.2","47446","89.166.137.2","8081","0","0","0"
"0.035090","0.035090000","0.035090000","2","60","89.166.137.2","8081","10.0.0.2","47446","0","0","1"
"0.313106","0.313106000","0.313106000","3","52","10.0.0.2","47446","89.166.137.2","8081","0","1","1"
"0.313125","0.313125000","0.313125000","4","89","10.0.0.2","47446","89.166.137.2","8081","37","1","1"
"0.345270","0.345270000","0.345270000","5","52","89.166.137.2","8081","10.0.0.2","47446","0","1","38"
"0.345352","0.345352000","0.345352000","6","53","89.166.137.2","8081","10.0.0.2","47446","1","1","38"
"0.620100","0.620100000",,"7","76",,,,,,,
"0.620121","0.620121000",,"8","48",,,,,,,
"0.622744","0.622744000",,"9","76",,,,,,,
"0.625196","0.625196000","0.625196000","10","52","10.0.0.2","47446","89.166.137.2","8081","0","38","2"
"0.625225","0.625225000","0.625225000","11","56","10.0.0.2","47446","89.166.137.2","8081","4","38","2"
"0.625244","0.625244000","0.625244000","12","100","10.0.0.2","47446","89.166.137.2","8081","48","42","2"
"0.625258","0.625258000","0.625258000","13","100","10.0.0.2","47446","89.166.137.2","8081","48","90","2"
"0.625270","0.625270000","0.625270000","14","100","10.0.0.2","47446","89.166.137.2","8081","48","138","2"
"0.625285","0.625285000","0.625285000","15","78","10.0.0.2","47446","89.166.137.2","8081","26","186","2"
"0.657636","0.657636000","0.657636000","16","52","89.166.137.2","8081","10.0.0.2","47446","0","2","212"
"0.657682","0.657682000","0.657682000","17","53","89.166.137.2","8081","10.0.0.2","47446","1","2","212"
"0.683746","0.683746000",,"18","76",,,,,,,
"0.811664","0.811664000",,"19","76",,,,,,,
"0.938647","0.938647000","0.000000000","20","60","10.0.0.2","47450","89.166.137.2","8081","0","0","0"
"0.938684","0.938684000","0.938684000","21","52","10.0.0.2","47446","89.166.137.2","8081","0","212","3"
"0.971501","0.971501000","0.032854000","22","60","89.166.137.2","8081","10.0.0.2","47450","0","0","1"
"1.011755","1.011755000",,"23","76",,,,,,,
"1.195770","1.195770000",,"24","76",,,,,,,
"1.250102","1.250102000","0.311455000","25","52","10.0.0.2","47450","89.166.137.2","8081","0","1","1"
"1.250137","1.250137000","0.311490000","26","89","10.0.0.2","47450","89.166.137.2","8081","37","1","1"
"1.282397","1.282397000","0.343750000","27","52","89.166.137.2","8081","10.0.0.2","47450","0","1","38"
"1.282444","1.282444000","0.343797000","28","52","89.166.137.2","8081","10.0.0.2","47450","0","1","38"
"1.284808","1.284808000","1.284808000","29","53","89.166.137.2","8081","10.0.0.2","47446","1","3","212"
"1.284853","1.284853000","0.346206000","30","140","89.166.137.2","8081","10.0.0.2","47450","88","1","38"
"1.284920","1.284920000","0.346273000","31","140","89.166.137.2","8081","10.0.0.2","47450","88","89","38"
"1.284939","1.284939000","0.346292000","32","140","89.166.137.2","8081","10.0.0.2","47450","88","177","38"
"1.284995","1.284995000","0.346348000","33","140","89.166.137.2","8081","10.0.0.2","47450","88","265","38"
