_ws.col.cls_time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"0.000000","0.000000000",,"1","76",,,,,,,
"0.000016","0.000016000",,"2","48",,,,,,,
"0.001449","0.001449000",,"3","76",,,,,,,
"0.021356","0.021356000","0.000000000","4","60","10.0.0.2","59388","89.233.69.5","8081","0","0","0"
"0.056067","0.056067000","0.034711000","5","60","89.233.69.5","8081","10.0.0.2","59388","0","0","1"
"0.207665","0.207665000","0.186309000","6","52","10.0.0.2","59388","89.233.69.5","8081","0","1","1"
"0.207696","0.207696000","0.186340000","7","89","10.0.0.2","59388","89.233.69.5","8081","37","1","1"
"0.239822","0.239822000","0.218466000","8","52","89.233.69.5","8081","10.0.0.2","59388","0","1","38"
"0.239844","0.239844000","0.218488000","9","53","89.233.69.5","8081","10.0.0.2","59388","1","1","38"
"0.395629","0.395629000","0.374273000","10","52","10.0.0.2","59388","89.233.69.5","8081","0","38","2"
"0.395660","0.395660000","0.374304000","11","56","10.0.0.2","59388","89.233.69.5","8081","4","38","2"
"0.395680","0.395680000","0.374324000","12","100","10.0.0.2","59388","89.233.69.5","8081","48","42","2"
"0.395698","0.395698000","0.374342000","13","100","10.0.0.2","59388","89.233.69.5","8081","48","90","2"
"0.395721","0.395721000","0.374365000","14","100","10.0.0.2","59388","89.233.69.5","8081","48","138","2"
"0.395733","0.395733000","0.374377000","15","82","10.0.0.2","59388","89.233.69.5","8081","30","186","2"
"0.427898","0.427898000","0.406542000","16","52","89.233.69.5","8081","10.0.0.2","59388","0","2","216"
"0.427930","0.427930000","0.406574000","17","53","89.233.69.5","8081","10.0.0.2","59388","1","2","216"
"0.494505","0.494505000",,"18","76",,,,,,,
"0.526406","0.526406000",,"19","76",,,,,,,
"0.526441","0.526441000",,"20","48",,,,,,,
"0.529321","0.529321000",,"21","76",,,,,,,
"0.583038","0.583038000","0.000000000","22","60","10.0.0.2","59398","89.233.69.5","8081","0","0","0"
"0.615831","0.615831000","0.032793000","23","60","89.233.69.5","8081","10.0.0.2","59398","0","0","1"
"0.646321","0.646321000","0.624965000","24","52","10.0.0.2","59388","89.233.69.5","8081","0","216","3"
"0.686363","0.686363000",,"25","76",,,,,,,
"0.771406","0.771406000","0.188368000","26","52","10.0.0.2","59398","89.233.69.5","8081","0","1","1"
"0.771438","0.771438000","0.188400000","27","89","10.0.0.2","59398","89.233.69.5","8081","37","1","1"
"0.803926","0.803926000","0.220888000","28","52","89.233.69.5","8081","10.0.0.2","59398","0","1","38"
"0.804599","0.804599000","0.783243000","29","53","89.233.69.5","8081","10.0.0.2","59388","1","3","216"
"0.804631","0.804631000","0.221593000","30","140","89.233.69.5","8081","10.0.0.2","59398","88","1","38"
"0.804692","0.804692000","0.221654000","31","140","89.233.69.5","8081","10.0.0.2","59398","88","89","38"
"0.804711","0.804711000","0.221673000","32","140","89.233.69.5","8081","10.0.0.2","59398","88","177","38"
"0.804767","0.804767000","0.221729000","33","140","89.233.69.5","8081","10.0.0.2","59398","88","265","38"
"0.804780","0.804780000","0.221742000","34","140","89.233.69.5","8081","10.0.0.2","59398","88","353","38"
"0.804825","0.804825000","0.221787000","35","140","89.233.69.5","8081","10.0.0.2","59398","88","441","38"
"0.804836","0.804836000","0.221798000","36","140","89.233.69.5","8081","10.0.0.2","59398","88","529","38"
"0.804879","0.804879000","0.221841000","37","140","89.233.69.5","8081","10.0.0.2","59398","88","617","38"
"0.804893","0.804893000","0.221855000","38","140","89.233.69.5","8081","10.0.0.2","59398","88","705","38"
"0.804924","0.804924000","0.221886000","39","140","89.233.69.5","8081","10.0.0.2","59398","88","793","38"
"0.957753","0.957753000","0.936397000","40","52","10.0.0.2","59388","89.233.69.5","8081","0","216","4"
"0.957784","0.957784000","0.374746000","41","52","10.0.0.2","59398","89.233.69.5","8081","0","38","89"
"0.957802","0.957802000","0.374764000","42","52","10.0.0.2","59398","89.233.69.5","8081","0","38","177"
"0.957818","0.957818000","0.374780000","43","52","10.0.0.2","59398","89.233.69.5","8081","0","38","265"
"0.957836","0.957836000","0.374798000","44","52","10.0.0.2","59398","89.233.69.5","8081","0","38","353"
"0.957852","0.957852000","0.374814000","45","52","10.0.0.2","59398","89.233.69.5","8081","0","38","441"
"0.957869","0.957869000","0.374831000","46","52","10.0.0.2","59398","89.233.69.5","8081","0","38","529"
"0.957884","0.957884000","0.374846000","47","52","10.0.0.2","59398","89.233.69.5","8081","0","38","617"
"0.957900","0.957900000","0.374862000","48","52","10.0.0.2","59398","89.233.69.5","8081","0","38","705"
"0.957914","0.957914000","0.374876000","49","52","10.0.0.2","59398","89.233.69.5","8081","0","38","793"
"0.974579","0.974579000",,"50","76",,,,,,,
"0.990032","0.990032000","0.406994000","51","140","89.233.69.5","8081","10.0.0.2","59398","88","881","38"
"0.990062","0.990062000","0.407024000","52","140","89.233.69.5","8081","10.0.0.2","59398","88","969","38"
"0.990119","0.990119000","0.968763000","53","53","89.233.69.5","8081","10.0.0.2","59388","1","4","216"
"0.990138","0.990138000","0.407100000","54","140","89.233.69.5","8081","10.0.0.2","59398","88","1057","38"
