_ws.col.cls_time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"0.000000","0.000000000",,"1","76",,,,,,,
"0.176513","0.176513000","0.000000000","2","60","10.0.0.2","40410","89.233.69.5","8081","0","0","0"
"0.211179","0.211179000","0.034666000","3","60","89.233.69.5","8081","10.0.0.2","40410","0","0","1"
"0.360051","0.360051000",,"4","76",,,,,,,
"0.360063","0.360063000",,"5","48",,,,,,,
"0.363013","0.363013000",,"6","76",,,,,,,
"0.376158","0.376158000",,"7","76",,,,,,,
"0.489861","0.489861000","0.313348000","8","52","10.0.0.2","40410","89.233.69.5","8081","0","1","1"
"0.489889","0.489889000","0.313376000","9","89","10.0.0.2","40410","89.233.69.5","8081","37","1","1"
"0.522459","0.522459000","0.345946000","10","52","89.233.69.5","8081","10.0.0.2","40410","0","1","38"
"0.522495","0.522495000","0.345982000","11","52","89.233.69.5","8081","10.0.0.2","40410","0","1","38"
"0.522530","0.522530000","0.346017000","12","53","89.233.69.5","8081","10.0.0.2","40410","1","1","38"
"0.712066","0.712066000",,"13","76",,,,,,,
"0.801539","0.801539000","0.625026000","14","52","10.0.0.2","40410","89.233.69.5","8081","0","38","2"
"0.801568","0.801568000","0.625055000","15","56","10.0.0.2","40410","89.233.69.5","8081","4","38","2"
"0.801584","0.801584000","0.625071000","16","100","10.0.0.2","40410","89.233.69.5","8081","48","42","2"
"0.801598","0.801598000","0.625085000","17","100","10.0.0.2","40410","89.233.69.5","8081","48","90","2"
"0.801611","0.801611000","0.625098000","18","100","10.0.0.2","40410","89.233.69.5","8081","48","138","2"
"0.801624","0.801624000","0.625111000","19","77","10.0.0.2","40410","89.233.69.5","8081","25","186","2"
"0.834065","0.834065000","0.657552000","20","52","89.233.69.5","8081","10.0.0.2","40410","0","2","211"
"0.834110","0.834110000","0.657597000","21","53","89.233.69.5","8081","10.0.0.2","40410","1","2","211"
"1.115072","1.115072000","0.000000000","22","60","10.0.0.2","40422","89.233.69.5","8081","0","0","0"
"1.115104","1.115104000","0.938591000","23","52","10.0.0.2","40410","89.233.69.5","8081","0","211","3"
"1.147437","1.147437000","0.032365000","24","60","89.233.69.5","8081","10.0.0.2","40422","0","0","1"
"1.224066","1.224066000",,"25","76",,,,,,,
"1.426137","1.426137000","0.311065000","26","52","10.0.0.2","40422","89.233.69.5","8081","0","1","1"
"1.426165","1.426165000","0.311093000","27","89","10.0.0.2","40422","89.233.69.5","8081","37","1","1"
"1.458522","1.458522000","0.343450000","28","52","89.233.69.5","8081","10.0.0.2","40422","0","1","38"
"1.460905","1.460905000","1.284392000","29","53","89.233.69.5","8081","10.0.0.2","40410","1","3","211"
"1.460996","1.460996000","0.345924000","30","140","89.233.69.5","8081","10.0.0.2","40422","88","1","38"
"1.461067","1.461067000","0.345995000","31","140","89.233.69.5","8081","10.0.0.2","40422","88","89","38"
"1.461080","1.461080000","0.346008000","32","140","89.233.69.5","8081","10.0.0.2","40422","88","177","38"
"1.461126","1.461126000","0.346054000","33","140","89.233.69.5","8081","10.0.0.2","40422","88","265","38"
"1.461137","1.461137000","0.346065000","34","140","89.233.69.5","8081","10.0.0.2","40422","88","353","38"
"1.461182","1.461182000","0.346110000","35","140","89.233.69.5","8081","10.0.0.2","40422","88","441","38"
"1.461196","1.461196000","0.346124000","36","140","89.233.69.5","8081","10.0.0.2","40422","88","529","38"
"1.461240","1.461240000","0.346168000","37","140","89.233.69.5","8081","10.0.0.2","40422","88","617","38"
"1.461256","1.461256000","0.346184000","38","140","89.233.69.5","8081","10.0.0.2","40422","88","705","38"
