_ws.col.cls_time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"0.000000","0.000000000","0.000000000","1","60","10.0.0.2","51738","89.233.69.5","8081","0","0","0"
"0.034943","0.034943000","0.034943000","2","60","89.233.69.5","8081","10.0.0.2","51738","0","0","1"
"0.186238","0.186238000","0.186238000","3","52","10.0.0.2","51738","89.233.69.5","8081","0","1","1"
"0.186267","0.186267000","0.186267000","4","89","10.0.0.2","51738","89.233.69.5","8081","37","1","1"
"0.218311","0.218311000","0.218311000","5","52","89.233.69.5","8081","10.0.0.2","51738","0","1","38"
"0.218338","0.218338000","0.218338000","6","53","89.233.69.5","8081","10.0.0.2","51738","1","1","38"
"0.375102","0.375102000","0.375102000","7","52","10.0.0.2","51738","89.233.69.5","8081","0","38","2"
"0.375130","0.375130000","0.375130000","8","56","10.0.0.2","51738","89.233.69.5","8081","4","38","2"
"0.375149","0.375149000","0.375149000","9","100","10.0.0.2","51738","89.233.69.5","8081","48","42","2"
"0.375164","0.375164000","0.375164000","10","100","10.0.0.2","51738","89.233.69.5","8081","48","90","2"
"0.375178","0.375178000","0.375178000","11","100","10.0.0.2","51738","89.233.69.5","8081","48","138","2"
"0.375191","0.375191000","0.375191000","12","75","10.0.0.2","51738","89.233.69.5","8081","23","186","2"
"0.407128","0.407128000","0.407128000","13","52","89.233.69.5","8081","10.0.0.2","51738","0","2","209"
"0.407171","0.407171000","0.407171000","14","53","89.233.69.5","8081","10.0.0.2","51738","1","2","209"
"0.545184","0.545184000",,"15","76",,,,,,,
"0.545212","0.545212000",,"16","48",,,,,,,
"0.548119","0.548119000",,"17","76",,,,,,,
"0.561863","0.561863000","0.000000000","18","60","10.0.0.2","51752","89.233.69.5","8081","0","0","0"
"0.594280","0.594280000","0.032417000","19","60","89.233.69.5","8081","10.0.0.2","51752","0","0","1"
"0.625130","0.625130000","0.625130000","20","52","10.0.0.2","51738","89.233.69.5","8081","0","209","3"
"0.749321","0.749321000","0.187458000","21","52","10.0.0.2","51752","89.233.69.5","8081","0","1","1"
"0.749350","0.749350000","0.187487000","22","89","10.0.0.2","51752","89.233.69.5","8081","37","1","1"
"0.781826","0.781826000","0.219963000","23","52","89.233.69.5","8081","10.0.0.2","51752","0","1","38"
"0.783976","0.783976000","0.783976000","24","53","89.233.69.5","8081","10.0.0.2","51738","1","3","209"
"0.784054","0.784054000","0.222191000","25","140","89.233.69.5","8081","10.0.0.2","51752","88","1","38"
"0.784122","0.784122000","0.222259000","26","140","89.233.69.5","8081","10.0.0.2","51752","88","89","38"
"0.784138","0.784138000","0.222275000","27","140","89.233.69.5","8081","10.0.0.2","51752","88","177","38"
"0.784214","0.784214000","0.222351000","28","140","89.233.69.5","8081","10.0.0.2","51752","88","265","38"
"0.784231","0.784231000","0.222368000","29","140","89.233.69.5","8081","10.0.0.2","51752","88","353","38"
"0.784277","0.784277000","0.222414000","30","140","89.233.69.5","8081","10.0.0.2","51752","88","441","38"
"0.784288","0.784288000","0.222425000","31","140","89.233.69.5","8081","10.0.0.2","51752","88","529","38"
"0.784332","0.784332000","0.222469000","32","140","89.233.69.5","8081","10.0.0.2","51752","88","617","38"
"0.784345","0.784345000","0.222482000","33","140","89.233.69.5","8081","10.0.0.2","51752","88","705","38"
"0.784377","0.784377000","0.222514000","34","140","89.233.69.5","8081","10.0.0.2","51752","88","793","38"
"0.802472","0.802472000",,"35","76",,,,,,,
"0.802498","0.802498000",,"36","48",,,,,,,
"0.804265","0.804265000",,"37","76",,,,,,,
"0.936218","0.936218000","0.936218000","38","52","10.0.0.2","51738","89.233.69.5","8081","0","209","4"
"0.936248","0.936248000","0.374385000","39","52","10.0.0.2","51752","89.233.69.5","8081","0","38","89"
"0.936264","0.936264000","0.374401000","40","52","10.0.0.2","51752","89.233.69.5","8081","0","38","177"
"0.936281","0.936281000","0.374418000","41","52","10.0.0.2","51752","89.233.69.5","8081","0","38","265"
"0.936295","0.936295000","0.374432000","42","52","10.0.0.2","51752","89.233.69.5","8081","0","38","353"
"0.936314","0.936314000","0.374451000","43","52","10.0.0.2","51752","89.233.69.5","8081","0","38","441"
"0.936329","0.936329000","0.374466000","44","52","10.0.0.2","51752","89.233.69.5","8081","0","38","529"
