_ws.col.cls_time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"0.000000","0.000000000","0.000000000","1","60","10.0.0.2","33850","89.233.69.5","8081","0","0","0"
"0.034439","0.034439000","0.034439000","2","60","89.233.69.5","8081","10.0.0.2","33850","0","0","1"
"0.186317","0.186317000",,"3","76",,,,,,,
"0.186343","0.186343000",,"4","48",,,,,,,
"0.188720","0.188720000",,"5","76",,,,,,,
"0.257759","0.257759000",,"6","76",,,,,,,
"0.257782","0.257782000",,"7","48",,,,,,,
"0.260655","0.260655000",,"8","76",,,,,,,
"0.313048","0.313048000","0.313048000","9","52","10.0.0.2","33850","89.233.69.5","8081","0","1","1"
"0.313080","0.313080000","0.313080000","10","89","10.0.0.2","33850","89.233.69.5","8081","37","1","1"
"0.345681","0.345681000","0.345681000","11","52","89.233.69.5","8081","10.0.0.2","33850","0","1","38"
"0.345722","0.345722000","0.345722000","12","53","89.233.69.5","8081","10.0.0.2","33850","1","1","38"
"0.409699","0.409699000",,"13","76",,,,,,,
"0.513845","0.513845000",,"14","76",,,,,,,
"0.625480","0.625480000","0.625480000","15","52","10.0.0.2","33850","89.233.69.5","8081","0","38","2"
"0.625509","0.625509000","0.625509000","16","56","10.0.0.2","33850","89.233.69.5","8081","4","38","2"
"0.625526","0.625526000","0.625526000","17","100","10.0.0.2","33850","89.233.69.5","8081","48","42","2"
"0.625540","0.625540000","0.625540000","18","100","10.0.0.2","33850","89.233.69.5","8081","48","90","2"
"0.625583","0.625583000","0.625583000","19","100","10.0.0.2","33850","89.233.69.5","8081","48","138","2"
"0.625613","0.625613000","0.625613000","20","77","10.0.0.2","33850","89.233.69.5","8081","25","186","2"
"0.658117","0.658117000","0.658117000","21","52","89.233.69.5","8081","10.0.0.2","33850","0","2","211"
"0.658160","0.658160000","0.658160000","22","53","89.233.69.5","8081","10.0.0.2","33850","1","2","211"
"0.833708","0.833708000",,"23","76",,,,,,,
"0.897848","0.897848000",,"24","76",,,,,,,
"0.938695","0.938695000","0.000000000","25","60","10.0.0.2","33852","89.233.69.5","8081","0","0","0"
"0.938753","0.938753000","0.938753000","26","52","10.0.0.2","33850","89.233.69.5","8081","0","211","3"
"0.971329","0.971329000","0.032634000","27","60","89.233.69.5","8081","10.0.0.2","33852","0","0","1"
"1.250033","1.250033000","0.311338000","28","52","10.0.0.2","33852","89.233.69.5","8081","0","1","1"
"1.250062","1.250062000","0.311367000","29","89","10.0.0.2","33852","89.233.69.5","8081","37","1","1"
"1.282399","1.282399000","0.343704000","30","52","89.233.69.5","8081","10.0.0.2","33852","0","1","38"
"1.283064","1.283064000","1.283064000","31","53","89.233.69.5","8081","10.0.0.2","33850","1","3","211"
"1.283106","1.283106000","0.344411000","32","140","89.233.69.5","8081","10.0.0.2","33852","88","1","38"
"1.283170","1.283170000","0.344475000","33","140","89.233.69.5","8081","10.0.0.2","33852","88","89","38"
"1.283188","1.283188000","0.344493000","34","140","89.233.69.5","8081","10.0.0.2","33852","88","177","38"
"1.283245","1.283245000","0.344550000","35","140","89.233.69.5","8081","10.0.0.2","33852","88","265","38"
"1.283258","1.283258000","0.344563000","36","140","89.233.69.5","8081","10.0.0.2","33852","88","353","38"
"1.283303","1.283303000","0.344608000","37","140","89.233.69.5","8081","10.0.0.2","33852","88","441","38"
"1.283314","1.283314000","0.344619000","38","140","89.233.69.5","8081","10.0.0.2","33852","88","529","38"
"1.283359","1.283359000","0.344664000","39","140","89.233.69.5","8081","10.0.0.2","33852","88","617","38"
"1.283373","1.283373000","0.344678000","40","140","89.233.69.5","8081","10.0.0.2","33852","88","705","38"
"1.283406","1.283406000","0.344711000","41","140","89.233.69.5","8081","10.0.0.2","33852","88","793","38"
"1.562801","1.562801000","1.562801000","42","52","10.0.0.2","33850","89.233.69.5","8081","0","211","4"
"1.562830","1.562830000","0.624135000","43","52","10.0.0.2","33852","89.233.69.5","8081","0","38","89"
"1.562846","1.562846000","0.624151000","44","52","10.0.0.2","33852","89.233.69.5","8081","0","38","177"
"1.562860","1.562860000","0.624165000","45","52","10.0.0.2","33852","89.233.69.5","8081","0","38","265"
"1.562873","1.562873000","0.624178000","46","52","10.0.0.2","33852","89.233.69.5","8081","0","38","353"
"1.562886","1.562886000","0.624191000","47","52","10.0.0.2","33852","89.233.69.5","8081","0","38","441"
"1.562899","1.562899000","0.624204000","48","52","10.0.0.2","33852","89.233.69.5","8081","0","38","529"
"1.562914","1.562914000","0.624219000","49","52","10.0.0.2","33852","89.233.69.5","8081","0","38","617"
"1.562926","1.562926000","0.624231000","50","52","10.0.0.2","33852","89.233.69.5","8081","0","38","705"
"1.562940","1.562940000","0.624245000","51","52","10.0.0.2","33852","89.233.69.5","8081","0","38","793"
"1.594638","1.594638000","1.594638000","52","53","89.233.69.5","8081","10.0.0.2","33850","1","4","211"
"1.594903","1.594903000","0.656208000","53","140","89.233.69.5","8081","10.0.0.2","33852","88","881","38"
"1.594935","1.594935000","0.656240000","54","140","89.233.69.5","8081","10.0.0.2","33852","88","969","38"
"1.594984","1.594984000","0.656289000","55","140","89.233.69.5","8081","10.0.0.2","33852","88","1057","38"
"1.594995","1.594995000","0.656300000","56","140","89.233.69.5","8081","10.0.0.2","33852","88","1145","38"
"1.595040","1.595040000","0.656345000","57","140","89.233.69.5","8081","10.0.0.2","33852","88","1233","38"
"1.595052","1.595052000","0.656357000","58","140","89.233.69.5","8081","10.0.0.2","33852","88","1321","38"
"1.595096","1.595096000","0.656401000","59","140","89.233.69.5","8081","10.0.0.2","33852","88","1409","38"
"1.595107","1.595107000","0.656412000","60","140","89.233.69.5","8081","10.0.0.2","33852","88","1497","38"
"1.595151","1.595151000","0.656456000","61","140","89.233.69.5","8081","10.0.0.2","33852","88","1585","38"
"1.595163","1.595163000","0.656468000","62","140","89.233.69.5","8081","10.0.0.2","33852","88","1673","38"
"1.595207","1.595207000","0.656512000","63","140","89.233.69.5","8081","10.0.0.2","33852","88","1761","38"
"1.595235","1.595235000","0.656540000","64","140","89.233.69.5","8081","10.0.0.2","33852","88","1849","38"
"1.595280","1.595280000","0.656585000","65","140","89.233.69.5","8081","10.0.0.2","33852","88","1937","38"
"1.595297","1.595297000","0.656602000","66","140","89.233.69.5","8081","10.0.0.2","33852","88","2025","38"
"1.595341","1.595341000","0.656646000","67","140","89.233.69.5","8081","10.0.0.2","33852","88","2113","38"
"1.595354","1.595354000","0.656659000","68","140","89.233.69.5","8081","10.0.0.2","33852","88","2201","38"
"1.595398","1.595398000","0.656703000","69","140","89.233.69.5","8081","10.0.0.2","33852","88","2289","38"
"1.595412","1.595412000","0.656717000","70","140","89.233.69.5","8081","10.0.0.2","33852","88","2377","38"
"1.625050","1.625050000","0.686355000","71","52","10.0.0.2","33852","89.233.69.5","8081","0","38","881"
"1.657441","1.657441000","0.718746000","72","140","89.233.69.5","8081","10.0.0.2","33852","88","2465","38"
"1.657484","1.657484000","0.718789000","73","140","89.233.69.5","8081","10.0.0.2","33852","88","2553","38"
"1.874846","1.874846000","1.874846000","74","52","10.0.0.2","33850","89.233.69.5","8081","0","211","5"
"1.874873","1.874873000","0.936178000","75","52","10.0.0.2","33852","89.233.69.5","8081","0","38","969"
"1.874889","1.874889000","0.936194000","76","52","10.0.0.2","33852","89.233.69.5","8081","0","38","1057"
