_ws.col.cls_time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"0.000000","0.000000000","0.000000000","1","60","10.0.0.2","44208","89.166.137.2","8081","0","0","0"
"0.033595","0.033595000","0.033595000","2","60","89.166.137.2","8081","10.0.0.2","44208","0","0","1"
"0.072363","0.072363000",,"3","76",,,,,,,
"0.184193","0.184193000",,"4","76",,,,,,,
"0.313250","0.313250000","0.313250000","5","52","10.0.0.2","44208","89.166.137.2","8081","0","1","1"
"0.313280","0.313280000","0.313280000","6","89","10.0.0.2","44208","89.166.137.2","8081","37","1","1"
"0.345776","0.345776000","0.345776000","7","52","89.166.137.2","8081","10.0.0.2","44208","0","1","38"
"0.345818","0.345818000","0.345818000","8","53","89.166.137.2","8081","10.0.0.2","44208","1","1","38"
"0.360197","0.360197000",,"9","76",,,,,,,
"0.624678","0.624678000","0.624678000","10","52","10.0.0.2","44208","89.166.137.2","8081","0","38","2"
"0.624707","0.624707000","0.624707000","11","56","10.0.0.2","44208","89.166.137.2","8081","4","38","2"
"0.624726","0.624726000","0.624726000","12","100","10.0.0.2","44208","89.166.137.2","8081","48","42","2"
"0.624741","0.624741000","0.624741000","13","100","10.0.0.2","44208","89.166.137.2","8081","48","90","2"
"0.624754","0.624754000","0.624754000","14","100","10.0.0.2","44208","89.166.137.2","8081","48","138","2"
"0.624768","0.624768000","0.624768000","15","81","10.0.0.2","44208","89.166.137.2","8081","29","186","2"
"0.656705","0.656705000","0.656705000","16","52","89.166.137.2","8081","10.0.0.2","44208","0","2","186"
"0.657438","0.657438000","0.657438000","17","53","89.166.137.2","8081","10.0.0.2","44208","1","2","215"
"0.808308","0.808308000",,"18","76",,,,,,,
"0.938189","0.938189000","0.000000000","19","60","10.0.0.2","44214","89.166.137.2","8081","0","0","0"
"0.938223","0.938223000","0.938223000","20","52","10.0.0.2","44208","89.166.137.2","8081","0","215","3"
"0.970592","0.970592000","0.032403000","21","60","89.166.137.2","8081","10.0.0.2","44214","0","0","1"
"1.249335","1.249335000","0.311146000","22","52","10.0.0.2","44214","89.166.137.2","8081","0","1","1"
"1.249366","1.249366000","0.311177000","23","89","10.0.0.2","44214","89.166.137.2","8081","37","1","1"
"1.281718","1.281718000","0.343529000","24","52","89.166.137.2","8081","10.0.0.2","44214","0","1","38"
"1.281762","1.281762000","0.343573000","25","52","89.166.137.2","8081","10.0.0.2","44214","0","1","38"
"1.284187","1.284187000","1.284187000","26","53","89.166.137.2","8081","10.0.0.2","44208","1","3","215"
"1.284231","1.284231000","0.346042000","27","140","89.166.137.2","8081","10.0.0.2","44214","88","1","38"
"1.284296","1.284296000","0.346107000","28","140","89.166.137.2","8081","10.0.0.2","44214","88","89","38"
"1.284313","1.284313000","0.346124000","29","140","89.166.137.2","8081","10.0.0.2","44214","88","177","38"
"1.284363","1.284363000","0.346174000","30","140","89.166.137.2","8081","10.0.0.2","44214","88","265","38"
"1.284374","1.284374000","0.346185000","31","140","89.166.137.2","8081","10.0.0.2","44214","88","353","38"
"1.284419","1.284419000","0.346230000","32","140","89.166.137.2","8081","10.0.0.2","44214","88","441","38"
"1.284430","1.284430000","0.346241000","33","140","89.166.137.2","8081","10.0.0.2","44214","88","529","38"
"1.284474","1.284474000","0.346285000","34","140","89.166.137.2","8081","10.0.0.2","44214","88","617","38"
"1.284488","1.284488000","0.346299000","35","140","89.166.137.2","8081","10.0.0.2","44214","88","705","38"
"1.284522","1.284522000","0.346333000","36","140","89.166.137.2","8081","10.0.0.2","44214","88","793","38"
"1.563204","1.563204000","1.563204000","37","52","10.0.0.2","44208","89.166.137.2","8081","0","215","4"
"1.563231","1.563231000","0.625042000","38","52","10.0.0.2","44214","89.166.137.2","8081","0","38","89"
"1.563248","1.563248000","0.625059000","39","52","10.0.0.2","44214","89.166.137.2","8081","0","38","177"
"1.563263","1.563263000","0.625074000","40","52","10.0.0.2","44214","89.166.137.2","8081","0","38","265"
"1.563277","1.563277000","0.625088000","41","52","10.0.0.2","44214","89.166.137.2","8081","0","38","353"
"1.563292","1.563292000","0.625103000","42","52","10.0.0.2","44214","89.166.137.2","8081","0","38","441"
"1.563308","1.563308000","0.625119000","43","52","10.0.0.2","44214","89.166.137.2","8081","0","38","529"
"1.563322","1.563322000","0.625133000","44","52","10.0.0.2","44214","89.166.137.2","8081","0","38","617"
"1.563335","1.563335000","0.625146000","45","52","10.0.0.2","44214","89.166.137.2","8081","0","38","705"
"1.563350","1.563350000","0.625161000","46","52","10.0.0.2","44214","89.166.137.2","8081","0","38","793"
"1.595322","1.595322000","1.595322000","47","53","89.166.137.2","8081","10.0.0.2","44208","1","4","215"
"1.595369","1.595369000","0.657180000","48","140","89.166.137.2","8081","10.0.0.2","44214","88","881","38"
"1.595436","1.595436000","0.657247000","49","140","89.166.137.2","8081","10.0.0.2","44214","88","969","38"
"1.595451","1.595451000","0.657262000","50","140","89.166.137.2","8081","10.0.0.2","44214","88","1057","38"
"1.595506","1.595506000","0.657317000","51","140","89.166.137.2","8081","10.0.0.2","44214","88","1145","38"
"1.595518","1.595518000","0.657329000","52","140","89.166.137.2","8081","10.0.0.2","44214","88","1233","38"
"1.595562","1.595562000","0.657373000","53","140","89.166.137.2","8081","10.0.0.2","44214","88","1321","38"
"1.595574","1.595574000","0.657385000","54","140","89.166.137.2","8081","10.0.0.2","44214","88","1409","38"
"1.595618","1.595618000","0.657429000","55","140","89.166.137.2","8081","10.0.0.2","44214","88","1497","38"
