_ws.col.cls_time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"0.000000","0.000000000",,"1","76",,,,,,,
"0.000009","0.000009000",,"2","48",,,,,,,
"0.003980","0.003980000",,"3","76",,,,,,,
"0.116261","0.116261000","0.000000000","4","60","10.0.0.2","52952","89.166.137.2","8081","0","0","0"
"0.150191","0.150191000","0.033930000","5","60","89.166.137.2","8081","10.0.0.2","52952","0","0","1"
"0.200046","0.200046000",,"6","76",,,,,,,
"0.400407","0.400407000",,"7","76",,,,,,,
"0.400419","0.400419000",,"8","48",,,,,,,
"0.403057","0.403057000",,"9","76",,,,,,,
"0.429441","0.429441000","0.313180000","10","52","10.0.0.2","52952","89.166.137.2","8081","0","1","1"
"0.429459","0.429459000","0.313198000","11","89","10.0.0.2","52952","89.166.137.2","8081","37","1","1"
"0.461807","0.461807000","0.345546000","12","52","89.166.137.2","8081","10.0.0.2","52952","0","1","38"
"0.461839","0.461839000","0.345578000","13","52","89.166.137.2","8081","10.0.0.2","52952","0","1","38"
"0.461871","0.461871000","0.345610000","14","53","89.166.137.2","8081","10.0.0.2","52952","1","1","38"
"0.591938","0.591938000",,"15","76",,,,,,,
"0.741608","0.741608000","0.625347000","16","52","10.0.0.2","52952","89.166.137.2","8081","0","38","2"
"0.741625","0.741625000","0.625364000","17","56","10.0.0.2","52952","89.166.137.2","8081","4","38","2"
"0.741635","0.741635000","0.625374000","18","100","10.0.0.2","52952","89.166.137.2","8081","48","42","2"
"0.741645","0.741645000","0.625384000","19","100","10.0.0.2","52952","89.166.137.2","8081","48","90","2"
"0.741653","0.741653000","0.625392000","20","100","10.0.0.2","52952","89.166.137.2","8081","48","138","2"
"0.741661","0.741661000","0.625400000","21","78","10.0.0.2","52952","89.166.137.2","8081","26","186","2"
"0.773484","0.773484000","0.657223000","22","52","89.166.137.2","8081","10.0.0.2","52952","0","2","212"
"0.773512","0.773512000","0.657251000","23","53","89.166.137.2","8081","10.0.0.2","52952","1","2","212"
"0.976184","0.976184000",,"24","76",,,,,,,
"1.055042","1.055042000","0.000000000","25","60","10.0.0.2","52964","89.166.137.2","8081","0","0","0"
"1.055078","1.055078000","0.938817000","26","52","10.0.0.2","52952","89.166.137.2","8081","0","212","3"
"1.087474","1.087474000","0.032432000","27","60","89.166.137.2","8081","10.0.0.2","52964","0","0","1"
"1.104222","1.104222000",,"28","76",,,,,,,
"1.366184","1.366184000","0.311142000","29","52","10.0.0.2","52964","89.166.137.2","8081","0","1","1"
"1.366215","1.366215000","0.311173000","30","89","10.0.0.2","52964","89.166.137.2","8081","37","1","1"
"1.398469","1.398469000","0.343427000","31","52","89.166.137.2","8081","10.0.0.2","52964","0","1","38"
"1.400888","1.400888000","1.284627000","32","53","89.166.137.2","8081","10.0.0.2","52952","1","3","212"
"1.400967","1.400967000","0.345925000","33","140","89.166.137.2","8081","10.0.0.2","52964","88","1","38"
"1.401033","1.401033000","0.345991000","34","140","89.166.137.2","8081","10.0.0.2","52964","88","89","38"
"1.401048","1.401048000","0.346006000","35","140","89.166.137.2","8081","10.0.0.2","52964","88","177","38"
"1.401095","1.401095000","0.346053000","36","140","89.166.137.2","8081","10.0.0.2","52964","88","265","38"
