_ws.col.cls_time,frame.time_relative,tcp.time_relative,frame.number,frame.len,ip.src,tcp.srcport,ip.dst,tcp.dstport,tcp.len,tcp.seq,tcp.ack
"0.000000","0.000000000",,"1","76",,,,,,,
"0.060486","0.060486000","0.000000000","2","60","10.0.0.2","42442","89.166.137.2","8081","0","0","0"
"0.094245","0.094245000","0.033759000","3","60","89.166.137.2","8081","10.0.0.2","42442","0","0","1"
"0.374016","0.374016000","0.313530000","4","52","10.0.0.2","42442","89.166.137.2","8081","0","1","1"
"0.374047","0.374047000","0.313561000","5","89","10.0.0.2","42442","89.166.137.2","8081","37","1","1"
"0.406541","0.406541000","0.346055000","6","52","89.166.137.2","8081","10.0.0.2","42442","0","1","38"
"0.406567","0.406567000","0.346081000","7","53","89.166.137.2","8081","10.0.0.2","42442","1","1","38"
"0.456649","0.456649000",,"8","76",,,,,,,
"0.456667","0.456667000",,"9","48",,,,,,,
"0.459131","0.459131000",,"10","76",,,,,,,
"0.616222","0.616222000",,"11","76",,,,,,,
"0.648104","0.648104000",,"12","76",,,,,,,
"0.685433","0.685433000","0.624947000","13","52","10.0.0.2","42442","89.166.137.2","8081","0","38","2"
"0.685461","0.685461000","0.624975000","14","56","10.0.0.2","42442","89.166.137.2","8081","4","38","2"
"0.685477","0.685477000","0.624991000","15","100","10.0.0.2","42442","89.166.137.2","8081","48","42","2"
"0.685491","0.685491000","0.625005000","16","100","10.0.0.2","42442","89.166.137.2","8081","48","90","2"
"0.685505","0.685505000","0.625019000","17","100","10.0.0.2","42442","89.166.137.2","8081","48","138","2"
"0.685518","0.685518000","0.625032000","18","77","10.0.0.2","42442","89.166.137.2","8081","25","186","2"
"0.717586","0.717586000","0.657100000","19","52","89.166.137.2","8081","10.0.0.2","42442","0","2","211"
"0.717619","0.717619000","0.657133000","20","53","89.166.137.2","8081","10.0.0.2","42442","1","2","211"
"0.999063","0.999063000","0.000000000","21","60","10.0.0.2","42452","89.166.137.2","8081","0","0","0"
"0.999095","0.999095000","0.938609000","22","52","10.0.0.2","42442","89.166.137.2","8081","0","211","3"
"1.031443","1.031443000","0.032380000","23","60","89.166.137.2","8081","10.0.0.2","42452","0","0","1"
"1.288203","1.288203000",,"24","76",,,,,,,
"1.311074","1.311074000","0.312011000","25","52","10.0.0.2","42452","89.166.137.2","8081","0","1","1"
"1.311105","1.311105000","0.312042000","26","89","10.0.0.2","42452","89.166.137.2","8081","37","1","1"
"1.343527","1.343527000","0.344464000","27","52","89.166.137.2","8081","10.0.0.2","42452","0","1","38"
"1.344290","1.344290000","1.283804000","28","53","89.166.137.2","8081","10.0.0.2","42442","1","3","211"
"1.344321","1.344321000","0.345258000","29","140","89.166.137.2","8081","10.0.0.2","42452","88","1","38"
"1.344381","1.344381000","0.345318000","30","140","89.166.137.2","8081","10.0.0.2","42452","88","89","38"
"1.344399","1.344399000","0.345336000","31","140","89.166.137.2","8081","10.0.0.2","42452","88","177","38"
"1.344454","1.344454000","0.345391000","32","140","89.166.137.2","8081","10.0.0.2","42452","88","265","38"
"1.344471","1.344471000","0.345408000","33","140","89.166.137.2","8081","10.0.0.2","42452","88","353","38"
"1.344518","1.344518000","0.345455000","34","140","89.166.137.2","8081","10.0.0.2","42452","88","441","38"
"1.344529","1.344529000","0.345466000","35","140","89.166.137.2","8081","10.0.0.2","42452","88","529","38"
"1.344573","1.344573000","0.345510000","36","140","89.166.137.2","8081","10.0.0.2","42452","88","617","38"
"1.344587","1.344587000","0.345524000","37","140","89.166.137.2","8081","10.0.0.2","42452","88","705","38"
"1.344619","1.344619000","0.345556000","38","140","89.166.137.2","8081","10.0.0.2","42452","88","793","38"
"1.624056","1.624056000","1.563570000","39","52","10.0.0.2","42442","89.166.137.2","8081","0","211","4"
"1.624084","1.624084000","0.625021000","40","52","10.0.0.2","42452","89.166.137.2","8081","0","38","89"
"1.624102","1.624102000","0.625039000","41","52","10.0.0.2","42452","89.166.137.2","8081","0","38","177"
"1.624116","1.624116000","0.625053000","42","52","10.0.0.2","42452","89.166.137.2","8081","0","38","265"
"1.624132","1.624132000","0.625069000","43","52","10.0.0.2","42452","89.166.137.2","8081","0","38","353"
"1.624145","1.624145000","0.625082000","44","52","10.0.0.2","42452","89.166.137.2","8081","0","38","441"
"1.624157","1.624157000","0.625094000","45","52","10.0.0.2","42452","89.166.137.2","8081","0","38","529"
"1.624172","1.624172000","0.625109000","46","52","10.0.0.2","42452","89.166.137.2","8081","0","38","617"
